PRCP       032018 19100101 20151231 missing_value=99999.9 GLENEAGLE                                 
19411101 19411130    13.9
19411201 19411231    30.7
19420101 19420131    13.5
19420201 19420228   470.7
19420301 19420331     6.9
19420401 19420430    28.5
19420501 19420531    21.9
19420601 19420630    49.2
19420701 19420731    46.7
19420801 19420831     0.0
19420901 19420930    28.2
19421001 19421031    39.6
19421101 19421130    24.3
19421201 19421231   198.8
19430101 19430131    59.2
19430201 19430228   444.5
19430301 19430331     0.0
19430401 19430430     0.0
19430501 19430531     0.0
19430601 19430630    37.9
19430701 19430731     0.0
19430801 19430831     0.0
19430901 19430930    37.6
19431001 19431031     8.1
19431101 19431130     0.0
19431201 19431231   120.9
19440101 19440131    79.4
19440201 19440229   122.4
19440301 19440331   100.8
19440401 19440430    28.4
19440501 19440531     3.6
19440601 19440630    52.9
19440701 19440731    51.7
19440801 19440831    18.1
19440901 19440930     9.5
19441001 19441031     0.0
19441101 19441130     2.0
19441201 19441231    83.7
19450101 19450131   213.9
19450201 19450228   191.7
19450301 19450331   241.7
19450401 19450430    47.6
19450501 19450531    21.6
19450601 19450630    12.4
19450701 19450731    21.8
19450801 19450831     6.4
19450901 19450930     0.0
19451001 19451031     4.3
19451101 19451130    21.0
19451201 19451231     6.8
19460101 19460131   314.2
19460201 19460228   185.9
19460301 19460331   187.9
19460401 19460430     0.0
19460501 19460531     8.9
19460601 19460630     0.0
19460701 19460731     2.5
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031    14.0
19461101 19461130    62.0
19461201 19461231    92.3
19470101 19470131    48.8
19470201 19470228   284.9
19470301 19470331    80.0
19470401 19470430     7.1
19470501 19470531    25.4
19470601 19470630    13.5
19470701 19470731     7.4
19470801 19470831    34.3
19470901 19470930    54.9
19471001 19471031     0.0
19471101 19471130   149.4
19471201 19471231    31.3
19480101 19480131   256.2
19480201 19480229    30.1
19480301 19480331   331.7
19480401 19480430    11.4
19480501 19480531     6.4
19480601 19480630    26.8
19480701 19480731     9.6
19480801 19480831     8.9
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130    23.1
19481201 19481231    35.6
19490101 19490131   118.5
19490201 19490228   282.6
19490301 19490331   232.4
19490401 19490430    52.6
19490501 19490531     7.1
19490601 19490630     3.8
19490701 19490731     0.0
19490801 19490831     5.1
19490901 19490930    14.2
19491001 19491031     5.1
19491101 19491130     0.0
19491201 19491231   132.1
19500101 19500131   206.8
19500201 19500228   133.5
19500301 19500331   228.7
19500401 19500430    84.2
19500501 19500531    16.5
19500601 19500630    44.5
19500701 19500731    49.8
19500801 19500831     3.3
19500901 19500930     7.3
19501001 19501031    48.6
19501101 19501130   130.3
19501201 19501231   192.9
19510101 19510131   253.7
19510201 19510228    86.8
19510301 19510331     8.4
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    14.5
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930    10.4
19511001 19511031    33.0
19511101 19511130     0.0
19511201 19511231    30.5
19520101 19520131   154.3
19520201 19520229    45.4
19520301 19520331     9.9
19520401 19520430    27.0
19520501 19520531    10.7
19520601 19520630    26.4
19520701 19520731     6.9
19520801 19520831     9.7
19520901 19520930     0.0
19521001 19521031    40.4
19521101 19521130    85.3
19521201 19521231    71.2
19530101 19530131   239.4
19530201 19530228   336.2
19530301 19530331    41.6
19530401 19530430    12.8
19530501 19530531     4.0
19530601 19530630     8.9
19530701 19530731     7.6
19530801 19530831    36.6
19530901 19530930     7.9
19531001 19531031     1.5
19531101 19531130    36.0
19531201 19531231    63.5
19540101 19540131   147.9
19540201 19540228   172.7
19540301 19540331    87.0
19540401 19540430    99.0
19540501 19540531     3.1
19540601 19540630    22.9
19540701 19540731     4.6
19540801 19540831    20.3
19540901 19540930     0.0
19541001 19541031    48.3
19541101 19541130    30.2
19541201 19541231     2.0
19550101 19550131   114.2
19550201 19550228   260.8
19550301 19550331   324.4
19550401 19550430    50.8
19550501 19550531    54.3
19550601 19550630    43.7
19550701 19550731     6.9
19550801 19550831     0.0
19550901 19550930     7.2
19551001 19551031    14.2
19551101 19551130    14.5
19551201 19551231    78.1
19560101 19560131   247.7
19560201 19560229   483.8
19560301 19560331   435.5
19560401 19560430    87.2
19560501 19560531   143.0
19560601 19560630    89.9
19560701 19560731    14.0
19560801 19560831    40.8
19560901 19560930    43.2
19561001 19561031    30.1
19561101 19561130    79.5
19561201 19561231   146.9
19570101 19570131   362.5
19570201 19570228   111.6
19570301 19570331   138.2
19570401 19570430    16.5
19570501 19570531    18.9
19570601 19570630    45.4
19570701 19570731    25.2
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    47.0
19571101 19571130    37.6
19571201 19571231     0.0
19580101 19580131   232.4
19580201 19580228   180.3
19580301 19580331   131.8
19580401 19580430    86.7
19580501 19580531    15.2
19580601 19580630    10.9
19580701 19580731     0.0
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     0.0
19581101 19581130    26.7
19581201 19581231    87.2
19590101 19590131   203.8
19590201 19590228    52.1
19590301 19590331   152.0
19590401 19590430     9.1
19590501 19590531    31.4
19590601 19590630    25.9
19590701 19590731     8.0
19590801 19590831    24.0
19590901 19590930    14.8
19591001 19591031     2.0
19591101 19591130    70.5
19591201 19591231   324.2
19600101 19600131   114.6
19600201 19600229   143.0
19600301 19600331    61.7
19600401 19600430     4.9
19600501 19600531    66.1
19600601 19600630     9.6
19600701 19600731    23.1
19600801 19600831     0.0
19600901 19600930    11.7
19601001 19601031    36.7
19601101 19601130    97.5
19601201 19601231   116.3
19610101 19610131    95.7
19610201 19610228    28.9
19610301 19610331    67.3
19610401 19610430    33.9
19610501 19610531    29.5
19610601 19610630     1.5
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130   119.8
19611201 19611231    88.8
19620101 19620131   121.5
19620201 19620228   259.3
19620301 19620331    18.0
19620401 19620430    56.5
19620501 19620531     0.0
19620601 19620630    28.9
19620701 19620731    10.4
19620801 19620831     0.0
19620901 19620930    25.9
19621001 19621031     4.3
19621101 19621130    69.8
19621201 19621231   113.5
19630101 19630131   352.7
19630201 19630228   342.8
19630301 19630331    60.9
19630401 19630430    40.9
19630501 19630531   100.6
19630601 19630630     1.3
19630701 19630731     3.3
19630801 19630831     4.6
19630901 19630930     0.0
19631001 19631031     6.9
19631101 19631130     5.1
19631201 19631231     5.8
19640101 19640131    25.6
19640201 19640229   140.6
19640301 19640331   145.3
19640401 19640430    15.2
19640501 19640531    51.0
19640601 19640630     5.6
19640701 19640731     4.3
19640801 19640831     0.0
19640901 19640930     0.0
19641001 19641031   132.0
19641101 19641130    95.6
19641201 19641231   104.2
19650101 19650131    69.1
19650201 19650228    23.6
19650301 19650331   115.3
19650401 19650430    27.6
19650501 19650531    22.4
19650601 19650630    23.3
19650701 19650731     3.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     3.3
19651201 19651231   145.4
19660101 19660131   173.4
19660201 19660228    76.8
19660301 19660331    33.7
19660401 19660430    14.5
19660501 19660531     7.1
19660601 19660630    14.5
19660701 19660731     0.0
19660801 19660831     7.6
19660901 19660930     0.0
19661001 19661031     3.8
19661101 19661130    37.0
19661201 19661231     2.5
19670101 19670131    96.7
19670201 19670228    64.2
19670301 19670331   714.6
19670401 19670430     0.0
19670501 19670531     6.1
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031    59.3
19671101 19671130    14.5
19671201 19671231   126.9
19680101 19680131   200.6
19680201 19680229   286.8
19680301 19680331   108.3
19680401 19680430     0.0
19680501 19680531    38.4
19680601 19680630     0.0
19680701 19680731     0.0
19680801 19680831     0.0
19680901 19680930     5.3
19681001 19681031    22.8
19681101 19681130     4.8
19681201 19681231    87.6
19690101 19690131   171.7
19690201 19690228    71.9
19690301 19690331   115.9
19690401 19690430    16.7
19690501 19690531    13.5
19690601 19690630    28.7
19690701 19690731    23.6
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    38.6
19691101 19691130     0.0
19691201 19691231    98.0
19700101 19700131    55.2
19700201 19700228    78.1
19700301 19700331   146.2
19700401 19700430    52.8
19700501 19700531    12.9
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831    74.4
19700901 19700930    22.1
19701001 19701031     9.4
19701101 19701130   190.9
19701201 19701231    91.9
19710101 19710131   153.5
19710201 19710228   308.3
19710301 19710331   172.1
19710401 19710430    70.7
19710501 19710531     5.8
19710601 19710630    46.2
19710701 19710731     7.1
19710801 19710831    18.1
19710901 19710930     0.0
19711001 19711031    15.5
19711101 19711130    85.9
19711201 19711231   104.7
19720101 19720131   338.4
19720201 19720229   181.2
19720301 19720331   453.1
19720401 19720430     7.6
19720501 19720531    46.3
19720601 19720630    20.4
19720701 19720731     0.0
19720801 19720831     2.3
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    25.6
19721201 19721231     0.0
19730101 19730131    67.0
19730201 19730228   258.9
19730301 19730331   176.5
19730401 19730430   102.5
19730501 19730531     3.8
19730601 19730630     0.0
19730701 19730731     0.0
19730801 19730831    39.4
19730901 19730930    39.9
19731001 19731031     5.1
19731101 19731130   161.1
19731201 19731231   108.6
19740101 19740131   485.9
19740201 19740228   361.2
19740301 19740331   315.2
19740401 19740430   102.4
19740501 19740531     2.6
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    30.0
19740901 19740930     0.0
19741001 19741031    20.2
19741101 19741130    51.2
19741201 19741231    96.0
19750101 19750131   214.9
19750201 19750228   147.2
19750301 19750331   111.4
19750401 19750430    78.4
19750501 19750531     0.3
19750601 19750630     9.4
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930    90.0
19751001 19751031    40.4
19751101 19751130    33.0
19751201 19751231    89.6
19760101 19760131    84.6
19760201 19760229   195.8
19760301 19760331   212.8
19760401 19760430    27.2
19760501 19760531     0.0
19760601 19760630    13.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    65.5
19761101 19761130   125.8
19761201 19761231    79.4
19770101 19770131    63.8
19770201 19770228   325.6
19770301 19770331   364.4
19770401 19770430    20.0
19770501 19770531   105.0
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130    20.4
19771201 19771231    41.4
19780101 19780131   144.2
19780201 19780228    87.6
19780301 19780331    28.2
19780401 19780430    29.0
19780501 19780531    27.2
19780601 19780630     0.0
19780701 19780731     4.0
19780801 19780831    30.4
19780901 19780930     5.6
19781001 19781031     9.6
19781101 19781130   118.0
19781201 19781231   187.5
19790101 19790131   484.3
19790201 19790228   214.6
19790301 19790331   276.4
19790401 19790430    54.0
19790501 19790531     0.0
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031     0.0
19791101 19791130     0.0
19791201 19791231     0.0
19800101 19800131    32.0
19800201 19800229   112.6
19800301 19800331   231.2
19800401 19800430    71.0
19800501 19800531    36.0
19800601 19800630     0.0
19800701 19800731    18.8
19800801 19800831    33.8
19800901 19800930     0.0
19801001 19801031     0.0
19801101 19801130     0.0
19801201 19801231    15.6
19810101 19810131   446.6
19810201 19810228   258.4
19810301 19810331    16.4
19810401 19810430    55.0
19810501 19810531    73.6
19810601 19810630    19.0
19810701 19810731     6.0
19810801 19810831     0.0
19810901 19810930    31.4
19811001 19811031    12.0
19811101 19811130   245.6
19811201 19811231    58.2
19820101 19820131   112.0
19820201 19820228    82.0
19820301 19820331   121.6
19820401 19820430    96.6
19820501 19820531    16.6
19820601 19820630    21.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130     4.0
19821201 19821231    64.0
19830101 19830131    16.0
19830201 19830228    23.4
19830301 19830331   109.8
19830401 19830430   138.0
19830501 19830531   138.0
19830601 19830630    22.0
19830701 19830731    15.0
19830801 19830831     9.0
19830901 19830930    14.6
19831001 19831031    99.2
19831101 19831130   128.2
19831201 19831231    34.8
19840101 19840131   234.0
19840201 19840229   174.4
19840301 19840331    40.4
19840401 19840430     8.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    11.0
19840801 19840831     0.0
19840901 19840930     0.0
19841001 19841031    11.4
19841101 19841130    28.6
19841201 19841231    55.2
19850101 19850131    55.7
19850201 19850228   125.2
19850301 19850331   111.8
19850401 19850430    73.6
19850501 19850531    27.8
19850601 19850630     3.0
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031    76.6
19851101 19851130   112.0
19851201 19851231    96.8
19860101 19860131   210.6
19860201 19860228   272.0
19860301 19860331     0.0
19860401 19860430    47.2
19860501 19860531    25.4
19860601 19860630     6.9
19860701 19860731     0.0
19860801 19860831    19.4
19860901 19860930     0.0
19861001 19861031 99999.9
19861101 19861130 99999.9
19861201 19861231 99999.9
19870101 19870131 99999.9
19870201 19870228 99999.9
19870301 19870331 99999.9
19870401 19870430 99999.9
19870501 19870531 99999.9
19870601 19870630 99999.9
19870701 19870731 99999.9
19870801 19870831 99999.9
19870901 19870930 99999.9
19871001 19871031 99999.9
19871101 19871130    81.4
19871201 19871231   135.6
19880101 19880131     7.6
19880201 19880229   192.4
19880301 19880331    87.4
19880401 19880430    13.4
19880501 19880531    37.4
19880601 19880630    13.1
19880701 19880731    20.9
19880801 19880831    21.1
19880901 19880930     4.0
19881001 19881031    40.0
19881101 19881130   112.3
19881201 19881231   283.7
19890101 19890131   161.3
19890201 19890228   204.3
19890301 19890331   146.6
19890401 19890430    86.9
19890501 19890531    72.2
19890601 19890630    79.0
19890701 19890731    28.3
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031    19.5
19891101 19891130   161.2
19891201 19891231   177.9
19900101 19900131    35.0
