PRCP       003027 19090701 20180131 missing_value=99999.9 FOSSIL DOWNS                              
19500101 19500131    94.3
19500201 19500228    85.8
19500301 19500331     3.8
19500401 19500430     0.0
19500501 19500531    11.8
19500601 19500630     0.0
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     8.6
19501001 19501031    51.8
19501101 19501130    38.5
19501201 19501231   202.2
19510101 19510131    62.4
19510201 19510228   255.5
19510301 19510331    18.4
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630    42.4
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130    32.5
19511201 19511231    53.6
19520101 19520131    35.1
19520201 19520229    62.3
19520301 19520331     0.0
19520401 19520430     0.8
19520501 19520531     4.8
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     2.8
19520901 19520930     0.0
19521001 19521031     3.0
19521101 19521130     0.0
19521201 19521231     8.4
19530101 19530131   115.6
19530201 19530228    20.1
19530301 19530331    18.1
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     1.0
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130    21.8
19531201 19531231   125.2
19540101 19540131   189.9
19540201 19540228    16.0
19540301 19540331     4.6
19540401 19540430   249.9
19540501 19540531     0.0
19540601 19540630     3.3
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031     4.1
19541101 19541130    27.2
19541201 19541231     3.0
19550101 19550131   121.9
19550201 19550228    96.1
19550301 19550331    38.7
19550401 19550430     3.4
19550501 19550531    27.4
19550601 19550630    13.9
19550701 19550731    34.8
19550801 19550831     0.0
19550901 19550930     0.0
19551001 19551031     0.0
19551101 19551130    59.5
19551201 19551231    11.7
19560101 19560131    57.5
19560201 19560229   324.3
19560301 19560331     4.6
19560401 19560430     0.0
19560501 19560531    39.4
19560601 19560630     8.9
19560701 19560731    54.4
19560801 19560831     0.0
19560901 19560930     0.0
19561001 19561031     0.0
19561101 19561130    14.7
19561201 19561231     2.0
19570101 19570131    74.3
19570201 19570228   116.7
19570301 19570331    40.1
19570401 19570430     0.0
19570501 19570531     9.1
19570601 19570630    56.4
19570701 19570731    31.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    13.7
19571101 19571130     0.0
19571201 19571231   233.9
19580101 19580131    39.3
19580201 19580228    34.5
19580301 19580331    49.1
19580401 19580430    31.2
19580501 19580531     0.0
19580601 19580630     0.8
19580701 19580731     7.6
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     0.0
19581101 19581130    43.3
19581201 19581231    30.8
19590101 19590131   128.0
19590201 19590228    16.8
19590301 19590331    75.9
19590401 19590430    20.1
19590501 19590531    54.4
19590601 19590630     0.0
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130    12.2
19591201 19591231    39.4
19600101 19600131   166.1
19600201 19600229   127.1
19600301 19600331    32.3
19600401 19600430     9.9
19600501 19600531     7.1
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     6.6
19601101 19601130     3.6
19601201 19601231    50.9
19610101 19610131    50.8
19610201 19610228   142.2
19610301 19610331     4.1
19610401 19610430    39.5
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130    22.1
19611201 19611231    17.3
19620101 19620131   359.5
19620201 19620228   200.7
19620301 19620331    17.8
19620401 19620430     0.0
19620501 19620531    15.0
19620601 19620630     5.1
19620701 19620731     3.3
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     0.0
19621101 19621130     0.0
19621201 19621231    70.8
19630101 19630131   230.9
19630201 19630228   133.1
19630301 19630331    19.5
19630401 19630430     0.0
19630501 19630531     5.6
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     1.8
19631001 19631031     5.3
19631101 19631130    37.1
19631201 19631231   112.3
19640101 19640131    28.0
19640201 19640229     2.8
19640301 19640331     5.8
19640401 19640430     5.8
19640501 19640531     5.6
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.3
19641001 19641031     0.0
19641101 19641130    57.8
19641201 19641231    23.7
19650101 19650131    76.9
19650201 19650228    11.3
19650301 19650331   153.2
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031    12.0
19651101 19651130    61.2
19651201 19651231    49.1
19660101 19660131   104.5
19660201 19660228    36.7
19660301 19660331    27.1
19660401 19660430    21.6
19660501 19660531    15.7
19660601 19660630     2.6
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031    11.6
19661101 19661130    10.2
19661201 19661231    65.5
19670101 19670131   194.1
19670201 19670228   364.2
19670301 19670331   111.7
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630     0.0
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
