PRCP       035010 19310101 20101031 missing_value=99999.9 BLAIR ATHOL                               
19630401 19630430    95.2
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     1.0
19630801 19630831    73.4
19630901 19630930     0.0
19631001 19631031     6.4
19631101 19631130    65.8
19631201 19631231    38.6
19640101 19640131    35.3
19640201 19640229    53.4
19640301 19640331    21.9
19640401 19640430     3.0
19640501 19640531    33.0
19640601 19640630    14.2
19640701 19640731    54.1
19640801 19640831     3.0
19640901 19640930    18.3
19641001 19641031    59.4
19641101 19641130    34.0
19641201 19641231   116.9
19650101 19650131     5.8
19650201 19650228    34.0
19650301 19650331    93.2
19650401 19650430   112.1
19650501 19650531     1.0
19650601 19650630     3.0
19650701 19650731     3.0
19650801 19650831     9.4
19650901 19650930     1.8
19651001 19651031     0.0
19651101 19651130     0.8
19651201 19651231   214.4
19660101 19660131   141.6
19660201 19660228    27.7
19660301 19660331    46.5
19660401 19660430     0.0
19660501 19660531    17.6
19660601 19660630    27.9
19660701 19660731     1.8
19660801 19660831   121.2
19660901 19660930    29.5
19661001 19661031     7.6
19661101 19661130    80.6
19661201 19661231     8.1
19670101 19670131    44.4
19670201 19670228    71.9
19670301 19670331    16.8
19670401 19670430     7.7
19670501 19670531     2.4
19670601 19670630   154.3
19670701 19670731    19.6
19670801 19670831    22.4
19670901 19670930     0.0
19671001 19671031    25.3
19671101 19671130    71.0
19671201 19671231   104.9
19680101 19680131    88.7
19680201 19680229   300.0
19680301 19680331    63.2
19680401 19680430    81.5
19680501 19680531    55.9
19680601 19680630     0.0
19680701 19680731    50.2
19680801 19680831     2.0
19680901 19680930    23.9
19681001 19681031    19.9
19681101 19681130     1.3
19681201 19681231    43.7
19690101 19690131    48.3
19690201 19690228     5.8
19690301 19690331     6.9
19690401 19690430     0.0
19690501 19690531    66.6
19690601 19690630     4.0
19690701 19690731     1.5
19690801 19690831     0.3
19690901 19690930     0.0
19691001 19691031    44.9
19691101 19691130    31.0
19691201 19691231   105.3
19700101 19700131    54.8
19700201 19700228   192.4
19700301 19700331    19.6
19700401 19700430     0.0
19700501 19700531     0.0
19700601 19700630     1.5
19700701 19700731     0.0
19700801 19700831    13.0
19700901 19700930    49.8
19701001 19701031    14.0
19701101 19701130   108.3
19701201 19701231    55.7
19710101 19710131   147.3
19710201 19710228   194.5
19710301 19710331    14.0
19710401 19710430    28.0
19710501 19710531     3.8
19710601 19710630    10.2
19710701 19710731    24.9
19710801 19710831    80.0
19710901 19710930     2.8
19711001 19711031    33.3
19711101 19711130    43.0
19711201 19711231    97.0
