PRCP       007049 18990101 20170331 missing_value=99999.9 MILEURA                                   
19310801 19310831    33.0
19310901 19310930     5.1
19311001 19311031    10.4
19311101 19311130     3.0
19311201 19311231     6.5
19320101 19320131    28.1
19320201 19320229     0.0
19320301 19320331    47.8
19320401 19320430    36.3
19320501 19320531    32.5
19320601 19320630    13.5
19320701 19320731     6.7
19320801 19320831    59.3
19320901 19320930     1.0
19321001 19321031     4.3
19321101 19321130     0.0
19321201 19321231   122.2
19330101 19330131     1.3
19330201 19330228     1.0
19330301 19330331   124.2
19330401 19330430     0.0
19330501 19330531    16.9
19330601 19330630    15.5
19330701 19330731    22.2
19330801 19330831    31.1
19330901 19330930     1.0
19331001 19331031     2.8
19331101 19331130     1.3
19331201 19331231    14.2
19340101 19340131     3.8
19340201 19340228     2.8
19340301 19340331    80.5
19340401 19340430    79.4
19340501 19340531     7.4
19340601 19340630    31.2
19340701 19340731    11.3
19340801 19340831     4.0
19340901 19340930    11.9
19341001 19341031     0.0
19341101 19341130     8.1
19341201 19341231     3.5
19350101 19350131    32.5
19350201 19350228    16.5
19350301 19350331    17.5
19350401 19350430     0.0
19350501 19350531     5.3
19350601 19350630     0.0
19350701 19350731     5.6
19350801 19350831    23.9
19350901 19350930     0.0
19351001 19351031     0.0
19351101 19351130     0.0
19351201 19351231     0.0
19360101 19360131    66.3
19360201 19360229     3.1
19360301 19360331     8.2
19360401 19360430     3.6
19360501 19360531     7.9
19360601 19360630    15.3
19360701 19360731     1.5
19360801 19360831     0.0
19360901 19360930     1.1
19361001 19361031     1.0
19361101 19361130     0.0
19361201 19361231     7.3
19370101 19370131    42.9
19370201 19370228    20.5
19370301 19370331    13.5
19370401 19370430    16.7
19370501 19370531    59.2
19370601 19370630    22.4
19370701 19370731     0.0
19370801 19370831     8.4
19370901 19370930     2.8
19371001 19371031     2.0
19371101 19371130     3.0
19371201 19371231     2.8
19380101 19380131    30.3
19380201 19380228    14.0
19380301 19380331    10.7
19380401 19380430     9.2
19380501 19380531     8.6
