PRCP       050031 18901001 20180131 missing_value=99999.9 PEAK HILL POST OFFICE                     
19220901 19220930    15.6
19221001 19221031    15.3
19221101 19221130     0.0
19221201 19221231    45.4
19230101 19230131    11.9
19230201 19230228     0.8
19230301 19230331    23.2
19230401 19230430     4.3
19230501 19230531    11.2
19230601 19230630   130.7
19230701 19230731    54.8
19230801 19230831    12.5
19230901 19230930    16.0
19231001 19231031    35.5
19231101 19231130    28.4
19231201 19231231    31.5
19240101 19240131    13.8
19240201 19240229    43.8
19240301 19240331     4.8
19240401 19240430    50.9
19240501 19240531    20.9
19240601 19240630    69.1
19240701 19240731    52.3
19240801 19240831    36.8
19240901 19240930    92.5
19241001 19241031    27.0
19241101 19241130   124.3
19241201 19241231    45.0
19250101 19250131   116.6
19250201 19250228    56.7
19250301 19250331    27.9
19250401 19250430     3.0
19250501 19250531    52.7
19250601 19250630   161.9
19250701 19250731    36.0
19250801 19250831    25.9
19250901 19250930     9.5
19251001 19251031    25.2
19251101 19251130   111.7
19251201 19251231     8.6
19260101 19260131    33.9
19260201 19260228    15.3
19260301 19260331   130.5
19260401 19260430   109.2
19260501 19260531    69.7
19260601 19260630    27.1
19260701 19260731    28.7
19260801 19260831    29.2
19260901 19260930    33.0
19261001 19261031     9.0
19261101 19261130     0.0
19261201 19261231    65.4
19270101 19270131    85.9
19270201 19270228     6.8
19270301 19270331    81.6
19270401 19270430    40.4
19270501 19270531     9.7
19270601 19270630    24.2
19270701 19270731     1.1
19270801 19270831    26.2
19270901 19270930    55.9
19271001 19271031    44.5
19271101 19271130    68.6
19271201 19271231    74.2
19280101 19280131    75.9
19280201 19280229   191.9
19280301 19280331    38.6
19280401 19280430    83.1
19280501 19280531    15.2
19280601 19280630    46.6
19280701 19280731    52.3
19280801 19280831     8.9
19280901 19280930     6.6
19281001 19281031    21.9
19281101 19281130    28.0
19281201 19281231     0.0
19290101 19290131    13.2
19290201 19290228    61.9
19290301 19290331    11.9
19290401 19290430    26.4
