PRCP       018031 19100101 20171231 missing_value=99999.9 GILLES DOWNS                              
19490501 19490531    37.8
19490601 19490630     7.6
19490701 19490731    27.5
19490801 19490831     8.9
19490901 19490930    37.9
19491001 19491031    55.3
19491101 19491130    16.9
19491201 19491231    11.9
19500101 19500131     0.0
19500201 19500228    28.5
19500301 19500331     0.0
19500401 19500430     9.6
19500501 19500531    57.1
19500601 19500630    22.8
19500701 19500731    16.8
19500801 19500831    31.3
19500901 19500930     3.5
19501001 19501031    23.4
19501101 19501130    19.5
19501201 19501231     4.8
19510101 19510131     0.0
19510201 19510228     3.8
19510301 19510331     7.9
19510401 19510430     5.4
19510501 19510531    15.3
19510601 19510630    51.3
19510701 19510731    48.4
19510801 19510831    16.1
19510901 19510930    21.5
19511001 19511031    22.0
19511101 19511130     0.0
19511201 19511231    11.9
19520101 19520131    29.2
19520201 19520229     0.0
19520301 19520331    13.4
19520401 19520430    27.8
19520501 19520531    66.8
19520601 19520630    11.1
19520701 19520731    26.5
19520801 19520831    17.0
19520901 19520930    15.8
19521001 19521031    37.6
19521101 19521130    32.8
19521201 19521231    11.2
19530101 19530131    16.7
19530201 19530228     0.0
19530301 19530331     3.6
19530401 19530430     2.0
19530501 19530531     0.0
19530601 19530630    37.4
19530701 19530731    20.1
19530801 19530831    21.5
19530901 19530930    26.9
19531001 19531031    21.8
19531101 19531130    10.9
19531201 19531231    26.2
19540101 19540131    13.5
19540201 19540228     1.8
19540301 19540331     0.0
19540401 19540430    58.7
19540501 19540531     3.0
19540601 19540630    39.8
19540701 19540731    10.2
19540801 19540831    14.7
19540901 19540930    12.2
19541001 19541031    29.0
19541101 19541130    37.6
19541201 19541231    36.6
19550101 19550131     0.8
19550201 19550228    21.3
19550301 19550331    43.2
19550401 19550430    33.8
19550501 19550531    38.4
19550601 19550630    51.1
19550701 19550731    20.3
19550801 19550831    40.1
19550901 19550930    30.7
19551001 19551031    15.5
19551101 19551130    22.4
19551201 19551231     1.8
19560101 19560131    18.0
19560201 19560229    20.1
19560301 19560331    27.4
19560401 19560430    10.2
19560501 19560531    45.5
19560601 19560630    35.8
19560701 19560731    92.7
19560801 19560831    16.0
19560901 19560930    16.8
19561001 19561031    38.1
19561101 19561130     1.3
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228     3.1
19570301 19570331    10.6
19570401 19570430     4.4
19570501 19570531     4.8
19570601 19570630    13.9
19570701 19570731    20.0
19570801 19570831    17.5
19570901 19570930    19.1
19571001 19571031     7.2
19571101 19571130     6.3
19571201 19571231     0.0
19580101 19580131     3.0
19580201 19580228     0.0
19580301 19580331    48.2
19580401 19580430    11.8
19580501 19580531    34.3
19580601 19580630     0.0
19580701 19580731    29.6
19580801 19580831    57.3
19580901 19580930    58.6
19581001 19581031    16.0
19581101 19581130    33.0
19581201 19581231    29.4
19590101 19590131     5.5
19590201 19590228    12.4
19590301 19590331     6.4
19590401 19590430     0.0
19590501 19590531     0.0
19590601 19590630     3.5
19590701 19590731    41.4
19590801 19590831     7.9
19590901 19590930     7.9
19591001 19591031     4.8
19591101 19591130    16.2
19591201 19591231     9.1
19600101 19600131    19.8
19600201 19600229    53.8
19600301 19600331     8.3
19600401 19600430    30.2
19600501 19600531    26.4
19600601 19600630    27.4
19600701 19600731    61.0
19600801 19600831    17.0
19600901 19600930    67.9
19601001 19601031     3.8
19601101 19601130    12.7
19601201 19601231    20.6
19610101 19610131     0.0
19610201 19610228     8.7
19610301 19610331     9.6
19610401 19610430    84.4
19610501 19610531     1.8
19610601 19610630     5.4
19610701 19610731     8.3
19610801 19610831    33.0
19610901 19610930     9.4
19611001 19611031     0.0
19611101 19611130    43.7
19611201 19611231     5.9
19620101 19620131    27.7
19620201 19620228     7.4
19620301 19620331    15.7
19620401 19620430     1.8
19620501 19620531    42.4
19620601 19620630     6.4
19620701 19620731    15.3
19620801 19620831    14.3
19620901 19620930     2.6
19621001 19621031    27.4
19621101 19621130     0.0
19621201 19621231    33.8
19630101 19630131    22.4
19630201 19630228     0.0
19630301 19630331    33.0
19630401 19630430    86.1
19630501 19630531    90.7
19630601 19630630    39.6
19630701 19630731    31.4
19630801 19630831    15.5
19630901 19630930     2.3
19631001 19631031    14.7
19631101 19631130     6.9
19631201 19631231     4.5
19640101 19640131     7.9
19640201 19640229     7.1
19640301 19640331     0.0
19640401 19640430    20.6
19640501 19640531     5.4
19640601 19640630    10.4
19640701 19640731    28.0
19640801 19640831    22.8
19640901 19640930    38.2
19641001 19641031    13.8
19641101 19641130    10.4
19641201 19641231     2.5
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     1.8
19650401 19650430     1.8
19650501 19650531    25.2
19650601 19650630    16.9
19650701 19650731     4.1
19650801 19650831    60.0
19650901 19650930    19.2
19651001 19651031     0.0
19651101 19651130     7.4
19651201 19651231    24.9
19660101 19660131     7.4
19660201 19660228    44.7
19660301 19660331    20.8
19660401 19660430     0.3
19660501 19660531    35.2
19660601 19660630    27.8
19660701 19660731    18.5
19660801 19660831    17.0
19660901 19660930    15.5
19661001 19661031    10.7
19661101 19661130    65.8
19661201 19661231    45.7
19670101 19670131    31.2
19670201 19670228    59.6
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531    15.7
19670601 19670630     8.6
19670701 19670731    16.2
19670801 19670831     9.5
19670901 19670930    14.7
19671001 19671031     1.5
19671101 19671130     0.0
19671201 19671231     5.1
19680101 19680131    44.0
19680201 19680229    24.4
19680301 19680331    16.0
19680401 19680430    22.1
19680501 19680531    26.3
19680601 19680630    81.7
19680701 19680731    41.7
19680801 19680831    20.3
19680901 19680930    19.4
19681001 19681031    11.0
19681101 19681130    14.7
19681201 19681231     6.6
19690101 19690131    20.8
19690201 19690228    41.2
19690301 19690331    20.3
19690401 19690430    14.5
19690501 19690531    24.6
19690601 19690630    17.1
19690701 19690731    48.3
19690801 19690831    38.5
19690901 19690930    29.4
19691001 19691031     1.3
19691101 19691130     3.5
19691201 19691231     4.5
19700101 19700131     8.9
19700201 19700228     0.5
19700301 19700331    14.0
19700401 19700430     6.8
19700501 19700531    10.6
19700601 19700630     9.6
19700701 19700731     4.0
19700801 19700831    23.9
19700901 19700930    33.3
19701001 19701031    12.2
19701101 19701130     5.6
19701201 19701231    11.4
19710101 19710131     0.0
19710201 19710228     0.0
19710301 19710331    41.6
19710401 19710430    32.7
19710501 19710531    12.0
19710601 19710630    28.0
19710701 19710731    11.8
19710801 19710831    25.1
19710901 19710930    26.4
19711001 19711031     1.5
19711101 19711130    41.6
19711201 19711231    23.0
19720101 19720131    49.9
19720201 19720229    11.3
19720301 19720331     0.3
19720401 19720430     0.8
19720501 19720531     1.9
19720601 19720630     3.8
19720701 19720731    14.4
19720801 19720831    48.0
19720901 19720930    18.1
19721001 19721031    13.7
19721101 19721130    24.2
19721201 19721231    11.1
19730101 19730131    14.3
19730201 19730228   117.2
19730301 19730331    14.0
19730401 19730430    16.0
19730501 19730531    25.7
19730601 19730630    42.0
19730701 19730731    30.2
19730801 19730831    60.2
19730901 19730930    35.8
19731001 19731031    39.6
19731101 19731130    56.7
19731201 19731231    25.4
19740101 19740131   147.1
19740201 19740228    82.4
19740301 19740331     5.8
19740401 19740430    41.8
19740501 19740531   120.2
19740601 19740630    11.2
19740701 19740731    29.8
19740801 19740831    31.0
19740901 19740930    30.0
19741001 19741031    72.4
19741101 19741130     5.4
19741201 19741231     3.6
19750101 19750131     1.8
19750201 19750228    20.4
19750301 19750331    10.9
19750401 19750430    17.4
19750501 19750531    12.2
19750601 19750630     1.0
19750701 19750731    26.0
19750801 19750831    40.7
19750901 19750930    32.6
19751001 19751031    55.3
19751101 19751130     7.8
19751201 19751231     1.4
19760101 19760131     0.6
19760201 19760229    21.6
19760301 19760331    10.8
19760401 19760430     9.9
19760501 19760531     7.4
19760601 19760630    15.3
19760701 19760731     1.8
19760801 19760831     8.6
19760901 19760930    10.2
19761001 19761031   113.9
19761101 19761130     6.8
19761201 19761231     0.0
19770101 19770131     4.4
19770201 19770228     3.2
19770301 19770331     2.2
19770401 19770430     0.0
19770501 19770531    13.2
19770601 19770630    16.8
19770701 19770731     9.4
19770801 19770831     8.6
19770901 19770930    35.9
19771001 19771031    15.2
19771101 19771130     6.3
19771201 19771231    29.5
19780101 19780131    11.3
19780201 19780228     0.0
19780301 19780331     0.0
19780401 19780430     6.0
19780501 19780531    17.4
19780601 19780630    42.2
19780701 19780731    34.2
19780801 19780831    39.2
19780901 19780930    59.2
19781001 19781031    16.0
19781101 19781130    26.2
19781201 19781231     1.2
19790101 19790131    23.8
19790201 19790228    27.6
19790301 19790331     0.0
19790401 19790430    34.0
19790501 19790531    74.6
19790601 19790630     4.8
19790701 19790731    16.0
19790801 19790831    39.0
19790901 19790930    90.5
19791001 19791031    28.4
19791101 19791130    21.0
19791201 19791231    84.2
19800101 19800131     8.0
19800201 19800229     0.0
19800301 19800331     0.0
19800401 19800430    45.0
19800501 19800531    26.0
19800601 19800630    47.2
19800701 19800731    25.1
19800801 19800831     0.0
19800901 19800930     6.6
19801001 19801031    62.4
19801101 19801130     5.5
19801201 19801231     4.2
19810101 19810131    52.2
19810201 19810228    25.0
19810301 19810331    10.0
19810401 19810430     0.0
19810501 19810531    25.6
19810601 19810630    43.0
19810701 19810731    26.8
19810801 19810831    24.2
19810901 19810930     7.2
19811001 19811031     7.0
19811101 19811130    22.5
19811201 19811231     0.0
19820101 19820131     0.0
19820201 19820228     0.0
19820301 19820331    43.0
19820401 19820430     7.4
19820501 19820531     3.6
19820601 19820630    17.0
19820701 19820731     0.0
19820801 19820831     2.0
19820901 19820930    16.2
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231    12.6
19830101 19830131     0.0
19830201 19830228    12.0
19830301 19830331    31.5
19830401 19830430    26.2
19830501 19830531    12.9
19830601 19830630    11.4
19830701 19830731    48.3
19830801 19830831    19.4
19830901 19830930    19.6
19831001 19831031    38.8
19831101 19831130     0.0
19831201 19831231     8.6
19840101 19840131     0.0
19840201 19840229     0.0
19840301 19840331     2.0
19840401 19840430    37.4
19840501 19840531    13.1
19840601 19840630    24.0
19840701 19840731    25.6
19840801 19840831    47.9
19840901 19840930    43.2
19841001 19841031    31.4
19841101 19841130    22.0
19841201 19841231     4.0
19850101 19850131     6.4
