PRCP       086131 18630101 20180131 missing_value=99999.9 YAN YEAN                                  
19091101 19091130    16.4
19091201 19091231    50.5
19100101 19100131    42.3
19100201 19100228     8.1
19100301 19100331    53.6
19100401 19100430    20.2
19100501 19100531    41.5
19100601 19100630    33.0
19100701 19100731    61.0
19100801 19100831    51.3
19100901 19100930   104.4
19101001 19101031    94.5
19101101 19101130    56.4
19101201 19101231    75.5
19110101 19110131    20.7
19110201 19110228   220.9
19110301 19110331   171.7
19110401 19110430    11.3
19110501 19110531   106.6
19110601 19110630   113.6
19110701 19110731    54.0
19110801 19110831    26.5
19110901 19110930    79.5
19111001 19111031    36.7
19111101 19111130    42.4
19111201 19111231    90.5
19120101 19120131     9.8
19120201 19120229    64.5
19120301 19120331    22.7
19120401 19120430    51.2
19120501 19120531    28.2
19120601 19120630    39.5
19120701 19120731    53.7
19120801 19120831    40.2
19120901 19120930    68.4
19121001 19121031    31.2
19121101 19121130    69.1
19121201 19121231    76.2
19130101 19130131     9.9
19130201 19130228    16.0
19130301 19130331   142.0
19130401 19130430    49.3
19130501 19130531    88.3
19130601 19130630    48.9
19130701 19130731    30.1
19130801 19130831    49.8
19130901 19130930    33.0
19131001 19131031    56.7
19131101 19131130    84.7
19131201 19131231    25.2
19140101 19140131    29.4
19140201 19140228     3.6
19140301 19140331    62.5
19140401 19140430    42.1
19140501 19140531    71.5
19140601 19140630    42.7
19140701 19140731    46.3
19140801 19140831    14.6
19140901 19140930    41.1
19141001 19141031     7.5
19141101 19141130    61.5
19141201 19141231   147.1
19150101 19150131    41.2
19150201 19150228    25.5
19150301 19150331     9.4
19150401 19150430    64.6
19150501 19150531    71.8
19150601 19150630    40.1
19150701 19150731    27.5
19150801 19150831    60.6
19150901 19150930    53.1
19151001 19151031    69.4
19151101 19151130    26.6
19151201 19151231     9.2
19160101 19160131    96.8
19160201 19160229    27.4
19160301 19160331    21.1
19160401 19160430    56.9
19160501 19160531    28.8
19160601 19160630    33.6
19160701 19160731    39.3
19160801 19160831    72.9
19160901 19160930   232.0
19161001 19161031   111.1
19161101 19161130   122.7
19161201 19161231   112.0
19170101 19170131    45.2
19170201 19170228    37.9
19170301 19170331    39.1
19170401 19170430    42.0
19170501 19170531    58.7
19170601 19170630   108.1
19170701 19170731    32.5
19170801 19170831    74.3
19170901 19170930    82.0
19171001 19171031   104.8
19171101 19171130    67.7
19171201 19171231    65.6
19180101 19180131    42.6
19180201 19180228    31.9
19180301 19180331   118.0
19180401 19180430    47.9
19180501 19180531    91.5
19180601 19180630    42.3
19180701 19180731    48.0
19180801 19180831    98.0
19180901 19180930    63.2
19181001 19181031    62.3
19181101 19181130    26.9
19181201 19181231    44.8
19190101 19190131    11.8
19190201 19190228    57.4
19190301 19190331   105.2
19190401 19190430    18.4
19190501 19190531    40.2
19190601 19190630    38.5
19190701 19190731    54.0
19190801 19190831    26.7
19190901 19190930    55.5
19191001 19191031    43.3
19191101 19191130    30.0
19191201 19191231    82.0
19200101 19200131    37.2
19200201 19200229    28.1
19200301 19200331    40.5
19200401 19200430    74.1
19200501 19200531    46.8
19200601 19200630    81.9
19200701 19200731    37.8
19200801 19200831    68.4
19200901 19200930   129.7
19201001 19201031   120.6
19201101 19201130    88.4
19201201 19201231    18.8
19210101 19210131    78.6
19210201 19210228    35.6
19210301 19210331    36.1
19210401 19210430     9.7
19210501 19210531    71.9
19210601 19210630    41.6
19210701 19210731    33.4
19210801 19210831    90.1
19210901 19210930    71.2
19211001 19211031   106.6
19211101 19211130    54.3
19211201 19211231    34.3
19220101 19220131   136.9
19220201 19220228    50.7
19220301 19220331    10.5
19220401 19220430    19.9
19220501 19220531    60.1
19220601 19220630    43.8
19220701 19220731    61.2
19220801 19220831    53.8
19220901 19220930   106.6
19221001 19221031    75.2
19221101 19221130    27.2
19221201 19221231    59.5
19230101 19230131    29.5
19230201 19230228     8.1
19230301 19230331    10.5
19230401 19230430     0.0
19230501 19230531    55.9
19230601 19230630    57.0
19230701 19230731    89.8
19230801 19230831    47.5
19230901 19230930    60.6
19231001 19231031    97.5
19231101 19231130    86.6
19231201 19231231    35.4
19240101 19240131    56.5
19240201 19240229    75.0
19240301 19240331   139.7
19240401 19240430   130.5
19240501 19240531    26.1
19240601 19240630    34.8
