PRCP       016027 19090501 20171130 missing_value=99999.9 MCDOUALL PEAK                             
19481201 19481231     6.9
19490101 19490131     7.6
19490201 19490228    29.4
19490301 19490331    21.6
19490401 19490430     1.3
19490501 19490531    32.1
19490601 19490630     3.8
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930    42.5
19491001 19491031    17.8
19491101 19491130     9.9
19491201 19491231     4.1
19500101 19500131     0.0
19500201 19500228    33.0
19500301 19500331     2.5
19500401 19500430     0.0
19500501 19500531    49.2
19500601 19500630    10.2
19500701 19500731     1.0
19500801 19500831     2.8
19500901 19500930     7.6
19501001 19501031     9.4
19501101 19501130    54.8
19501201 19501231    43.2
19510101 19510131     0.0
19510201 19510228     0.0
19510301 19510331     1.8
19510401 19510430    10.9
19510501 19510531     0.0
19510601 19510630    51.0
19510701 19510731     0.0
19510801 19510831     3.5
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     7.1
19511201 19511231     3.0
19520101 19520131    17.8
19520201 19520229     0.0
19520301 19520331     3.6
19520401 19520430     3.5
19520501 19520531    38.2
19520601 19520630    14.0
19520701 19520731    24.9
19520801 19520831     9.4
19520901 19520930     0.0
19521001 19521031    38.7
19521101 19521130    15.6
19521201 19521231     0.8
19530101 19530131    30.7
19530201 19530228    18.1
19530301 19530331     0.0
19530401 19530430    14.7
19530501 19530531     0.0
19530601 19530630     1.0
19530701 19530731     0.0
19530801 19530831    33.2
19530901 19530930     0.0
19531001 19531031     3.0
19531101 19531130     0.3
19531201 19531231    29.5
19540101 19540131   102.8
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    35.6
19540501 19540531     0.0
19540601 19540630    14.0
19540701 19540731     1.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031    49.0
19541101 19541130    15.2
19541201 19541231    11.4
19550101 19550131     0.0
19550201 19550228     7.6
19550301 19550331   103.7
19550401 19550430    16.2
19550501 19550531    17.2
19550601 19550630     1.3
19550701 19550731    29.5
19550801 19550831    25.1
19550901 19550930     7.6
19551001 19551031     0.0
19551101 19551130    41.5
19551201 19551231     0.0
19560101 19560131    10.9
19560201 19560229     4.8
19560301 19560331     6.6
19560401 19560430     0.0
19560501 19560531     3.0
19560601 19560630    23.8
19560701 19560731    46.2
19560801 19560831     1.0
19560901 19560930     4.1
19561001 19561031    44.4
19561101 19561130     7.7
19561201 19561231     0.0
19570101 19570131     3.3
19570201 19570228    20.6
19570301 19570331    16.8
19570401 19570430     2.3
19570501 19570531     0.0
19570601 19570630    15.5
19570701 19570731     2.8
19570801 19570831     1.3
19570901 19570930     0.0
19571001 19571031     5.1
19571101 19571130     0.0
19571201 19571231    19.5
19580101 19580131     2.8
19580201 19580228    33.7
19580301 19580331     0.0
19580401 19580430     2.5
19580501 19580531    24.4
19580601 19580630    14.2
19580701 19580731    24.7
19580801 19580831    74.2
19580901 19580930     2.8
19581001 19581031    11.5
19581101 19581130    24.6
19581201 19581231     4.3
19590101 19590131     3.6
19590201 19590228    11.0
19590301 19590331    25.4
19590401 19590430     0.0
19590501 19590531     5.6
19590601 19590630     5.3
19590701 19590731     9.7
19590801 19590831     0.8
19590901 19590930     0.0
19591001 19591031     7.9
19591101 19591130    21.4
19591201 19591231    34.1
19600101 19600131    23.1
19600201 19600229    10.4
19600301 19600331     0.0
19600401 19600430    22.7
19600501 19600531    18.8
19600601 19600630     2.0
19600701 19600731    10.5
19600801 19600831     7.9
19600901 19600930    20.6
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231     1.3
19610101 19610131     4.6
19610201 19610228     0.0
19610301 19610331     0.0
19610401 19610430    20.9
19610501 19610531     0.0
19610601 19610630     0.5
19610701 19610731     0.0
19610801 19610831     0.8
19610901 19610930     1.3
19611001 19611031     0.0
19611101 19611130    17.0
19611201 19611231     1.5
19620101 19620131    25.2
19620201 19620228     1.8
19620301 19620331     0.0
19620401 19620430     0.0
19620501 19620531    11.9
19620601 19620630     0.0
19620701 19620731    10.4
19620801 19620831     2.8
19620901 19620930     3.6
19621001 19621031    21.3
19621101 19621130     0.0
19621201 19621231     0.0
19630101 19630131     0.8
19630201 19630228     0.0
19630301 19630331     5.6
19630401 19630430     4.6
19630501 19630531    26.7
19630601 19630630    34.8
19630701 19630731    10.1
19630801 19630831     1.5
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231    21.3
19640101 19640131     1.5
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430     7.4
19640501 19640531     4.6
19640601 19640630     2.0
19640701 19640731     4.3
19640801 19640831     0.0
19640901 19640930    44.7
19641001 19641031     0.0
19641101 19641130     7.6
19641201 19641231     3.8
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.0
19650401 19650430     0.0
19650501 19650531    13.9
19650601 19650630     5.3
19650701 19650731     0.0
19650801 19650831    10.4
19650901 19650930     2.3
19651001 19651031    11.2
19651101 19651130    13.5
19651201 19651231    38.3
19660101 19660131    12.4
19660201 19660228    52.8
19660301 19660331     9.7
19660401 19660430     2.6
19660501 19660531    16.0
19660601 19660630    44.4
19660701 19660731     0.0
