PRCP       047031 18910501 20171231 missing_value=99999.9 STEPHENS CREEK RESERVOIR                  
19271101 19271130    14.0
19271201 19271231    11.7
19280101 19280131     2.3
19280201 19280229    97.9
19280301 19280331    22.9
19280401 19280430     6.9
19280501 19280531     2.5
19280601 19280630    30.9
19280701 19280731    36.3
19280801 19280831     0.0
19280901 19280930     0.8
19281001 19281031     3.0
19281101 19281130     0.5
19281201 19281231     0.0
19290101 19290131     1.5
19290201 19290228     1.5
19290301 19290331     4.9
19290401 19290430    18.6
19290501 19290531     0.0
19290601 19290630     0.0
19290701 19290731     0.0
19290801 19290831     7.6
19290901 19290930    10.2
19291001 19291031     0.0
19291101 19291130    16.5
19291201 19291231    38.1
19300101 19300131     0.0
19300201 19300228    43.3
19300301 19300331     3.8
19300401 19300430     6.1
19300501 19300531    22.6
19300601 19300630     0.0
19300701 19300731     2.5
19300801 19300831    11.9
19300901 19300930    11.4
19301001 19301031    33.5
19301101 19301130    11.5
19301201 19301231    39.9
19310101 19310131     0.0
19310201 19310228     0.0
19310301 19310331    18.8
19310401 19310430    98.1
19310501 19310531    10.9
19310601 19310630    39.9
19310701 19310731    10.7
19310801 19310831     0.0
19310901 19310930    13.5
19311001 19311031    15.0
19311101 19311130     5.8
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    32.5
19320301 19320331     3.8
19320401 19320430    24.6
19320501 19320531    16.8
19320601 19320630    13.0
19320701 19320731     8.6
19320801 19320831    15.2
19320901 19320930    10.4
19321001 19321031     7.1
19321101 19321130    27.4
19321201 19321231    10.7
19330101 19330131     0.0
19330201 19330228     8.1
19330301 19330331    14.0
19330401 19330430     4.6
19330501 19330531     5.1
19330601 19330630     1.5
19330701 19330731     6.4
19330801 19330831     6.8
19330901 19330930    11.4
19331001 19331031     4.8
19331101 19331130    90.7
19331201 19331231    26.1
19340101 19340131     2.6
19340201 19340228     1.3
19340301 19340331     9.7
19340401 19340430    12.2
19340501 19340531     0.0
19340601 19340630     2.5
19340701 19340731    41.9
19340801 19340831     6.1
19340901 19340930     7.4
19341001 19341031    46.2
19341101 19341130    42.4
19341201 19341231     0.0
19350101 19350131     0.8
19350201 19350228     7.1
19350301 19350331    10.0
19350401 19350430    26.6
19350501 19350531     0.8
19350601 19350630     4.8
19350701 19350731     2.4
19350801 19350831     2.5
19350901 19350930    34.1
19351001 19351031    19.5
19351101 19351130     5.8
19351201 19351231    27.2
19360101 19360131    49.0
19360201 19360229     4.4
19360301 19360331     4.8
19360401 19360430     1.1
19360501 19360531    38.1
19360601 19360630     3.8
19360701 19360731    36.7
19360801 19360831    23.9
19360901 19360930     4.6
19361001 19361031    14.8
19361101 19361130     5.7
19361201 19361231    68.4
19370101 19370131    56.7
19370201 19370228    29.3
19370301 19370331     2.1
19370401 19370430     0.5
19370501 19370531    12.0
19370601 19370630    32.8
19370701 19370731     0.0
19370801 19370831    26.9
19370901 19370930     1.0
19371001 19371031    22.6
19371101 19371130     6.1
19371201 19371231    36.1
19380101 19380131     3.1
19380201 19380228     9.4
19380301 19380331     0.0
19380401 19380430     0.5
19380501 19380531     9.7
19380601 19380630     5.4
19380701 19380731    17.7
19380801 19380831    13.0
19380901 19380930     0.8
19381001 19381031    79.2
19381101 19381130     1.0
19381201 19381231     0.0
19390101 19390131     5.3
19390201 19390228   121.7
19390301 19390331    47.8
19390401 19390430    43.2
19390501 19390531    21.9
19390601 19390630    21.6
19390701 19390731     6.5
19390801 19390831     6.6
19390901 19390930     1.8
19391001 19391031    10.5
19391101 19391130    60.1
19391201 19391231     0.0
19400101 19400131     1.8
19400201 19400229     0.0
19400301 19400331     1.0
19400401 19400430    45.5
19400501 19400531     7.1
19400601 19400630     0.5
19400701 19400731     4.3
19400801 19400831     1.6
19400901 19400930     3.5
19401001 19401031     0.8
19401101 19401130     0.0
19401201 19401231     2.3
19410101 19410131    74.0
19410201 19410228     3.3
19410301 19410331    12.5
19410401 19410430     1.0
19410501 19410531     0.0
19410601 19410630    10.8
19410701 19410731    16.2
19410801 19410831     2.6
19410901 19410930     7.8
19411001 19411031    14.9
19411101 19411130    13.2
19411201 19411231     5.3
19420101 19420131     5.9
19420201 19420228    53.6
19420301 19420331     0.0
19420401 19420430     3.3
19420501 19420531    55.6
19420601 19420630    26.8
19420701 19420731    20.4
19420801 19420831    10.8
19420901 19420930     2.9
19421001 19421031    31.3
19421101 19421130     0.0
19421201 19421231     7.9
19430101 19430131     3.0
19430201 19430228    21.1
19430301 19430331     0.8
19430401 19430430    11.2
19430501 19430531     2.4
19430601 19430630     8.4
19430701 19430731    14.3
19430801 19430831    11.0
19430901 19430930    13.2
19431001 19431031    17.4
19431101 19431130    10.1
19431201 19431231     0.0
19440101 19440131     8.6
19440201 19440229    19.3
19440301 19440331     2.3
19440401 19440430     8.4
19440501 19440531     5.3
19440601 19440630     6.4
19440701 19440731     7.6
19440801 19440831    33.5
19440901 19440930     1.3
19441001 19441031     3.6
19441101 19441130     2.8
19441201 19441231    23.6
19450101 19450131     0.0
19450201 19450228     2.5
19450301 19450331     2.0
19450401 19450430     1.3
19450501 19450531     3.8
19450601 19450630    21.2
19450701 19450731    23.9
19450801 19450831    14.3
19450901 19450930     7.9
19451001 19451031    23.1
19451101 19451130     8.4
19451201 19451231    18.3
19460101 19460131    61.8
19460201 19460228    59.7
19460301 19460331     0.5
19460401 19460430     1.3
19460501 19460531     3.4
19460601 19460630    26.5
19460701 19460731     6.1
19460801 19460831     1.3
19460901 19460930     7.3
19461001 19461031     2.5
19461101 19461130    34.9
19461201 19461231    16.3
19470101 19470131     1.3
19470201 19470228   131.1
19470301 19470331    79.3
19470401 19470430     5.2
19470501 19470531     4.0
19470601 19470630     5.3
19470701 19470731    21.6
19470801 19470831    15.7
19470901 19470930    53.1
19471001 19471031    15.2
19471101 19471130    30.5
19471201 19471231     8.1
19480101 19480131     0.0
19480201 19480229    21.7
19480301 19480331     0.0
19480401 19480430    18.3
19480501 19480531    10.9
19480601 19480630    11.2
19480701 19480731     1.0
19480801 19480831    10.2
19480901 19480930     6.1
19481001 19481031    14.5
19481101 19481130     4.8
19481201 19481231   100.3
19490101 19490131     0.0
19490201 19490228    33.0
19490301 19490331    59.5
19490401 19490430     3.8
19490501 19490531    27.7
19490601 19490630     9.6
19490701 19490731    17.6
19490801 19490831     6.1
19490901 19490930    28.2
19491001 19491031    34.9
19491101 19491130    16.0
19491201 19491231     3.8
19500101 19500131     0.0
19500201 19500228   123.0
19500301 19500331    59.2
19500401 19500430     0.0
19500501 19500531    21.2
19500601 19500630    38.8
19500701 19500731    60.9
19500801 19500831     6.4
19500901 19500930     2.1
19501001 19501031    22.8
19501101 19501130    26.3
19501201 19501231    24.6
19510101 19510131     4.6
19510201 19510228    16.2
19510301 19510331     0.0
19510401 19510430     6.4
19510501 19510531     2.8
19510601 19510630    27.1
19510701 19510731    10.9
19510801 19510831     9.9
19510901 19510930    47.5
19511001 19511031    18.9
19511101 19511130     6.9
19511201 19511231     2.1
19520101 19520131    12.0
19520201 19520229     0.0
19520301 19520331    21.5
19520401 19520430    31.3
19520501 19520531    31.2
19520601 19520630     5.4
19520701 19520731    23.7
19520801 19520831    11.2
19520901 19520930    25.4
19521001 19521031    35.4
19521101 19521130    15.7
19521201 19521231     1.3
19530101 19530131    77.0
19530201 19530228     3.6
19530301 19530331     4.3
19530401 19530430     1.8
19530501 19530531     1.3
19530601 19530630     0.8
19530701 19530731     2.0
19530801 19530831    11.9
19530901 19530930    19.7
19531001 19531031    32.9
19531101 19531130     4.3
19531201 19531231     9.1
19540101 19540131    21.6
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    28.7
19540501 19540531     0.0
19540601 19540630     1.8
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     6.4
19541001 19541031    18.5
19541101 19541130    64.6
19541201 19541231    78.5
19550101 19550131     7.6
19550201 19550228    88.2
19550301 19550331    34.5
19550401 19550430    10.9
19550501 19550531    79.6
19550601 19550630    15.2
19550701 19550731    11.3
19550801 19550831    49.7
19550901 19550930    30.5
19551001 19551031    17.0
19551101 19551130    21.6
19551201 19551231     0.5
19560101 19560131    15.2
19560201 19560229    17.8
19560301 19560331    94.5
19560401 19560430    25.8
19560501 19560531    23.4
19560601 19560630    25.3
19560701 19560731    70.0
19560801 19560831     3.2
19560901 19560930    24.6
19561001 19561031     9.1
19561101 19561130     4.1
19561201 19561231     0.8
19570101 19570131     0.0
19570201 19570228    19.1
19570301 19570331    17.0
19570401 19570430     5.1
19570501 19570531     0.5
19570601 19570630    26.5
19570701 19570731    10.0
19570801 19570831    31.0
19570901 19570930     0.5
19571001 19571031     4.8
19571101 19571130     4.1
19571201 19571231    27.3
19580101 19580131    16.5
19580201 19580228     1.3
19580301 19580331    28.5
19580401 19580430    18.4
19580501 19580531     6.8
19580601 19580630     0.8
19580701 19580731    15.9
19580801 19580831    35.2
19580901 19580930     3.4
19581001 19581031    38.3
19581101 19581130   109.8
19581201 19581231    42.4
19590101 19590131     0.8
19590201 19590228     1.8
19590301 19590331    16.3
19590401 19590430     1.0
19590501 19590531    20.1
19590601 19590630     2.0
19590701 19590731    12.3
19590801 19590831    22.3
19590901 19590930     7.4
19591001 19591031    32.4
19591101 19591130     0.0
19591201 19591231    11.0
19600101 19600131    58.0
19600201 19600229    20.4
19600301 19600331     2.3
19600401 19600430     4.5
19600501 19600531    24.5
19600601 19600630     1.6
19600701 19600731    30.8
19600801 19600831     3.8
19600901 19600930    20.6
19601001 19601031     1.5
19601101 19601130    52.0
19601201 19601231     2.1
19610101 19610131    34.3
19610201 19610228     0.3
19610301 19610331     0.5
19610401 19610430    38.2
19610501 19610531     0.8
19610601 19610630    15.5
19610701 19610731    25.0
19610801 19610831     6.7
19610901 19610930     6.5
19611001 19611031    11.7
19611101 19611130    64.3
19611201 19611231    14.3
19620101 19620131   116.1
19620201 19620228     3.3
19620301 19620331    16.6
19620401 19620430     1.3
19620501 19620531    34.7
19620601 19620630     1.9
19620701 19620731     9.7
19620801 19620831     8.1
19620901 19620930     0.0
19621001 19621031    20.9
19621101 19621130     1.3
19621201 19621231    97.6
19630101 19630131    25.9
19630201 19630228     4.1
19630301 19630331     7.6
19630401 19630430    11.2
19630501 19630531    63.7
19630601 19630630    48.4
19630701 19630731     9.4
19630801 19630831    16.1
19630901 19630930     5.3
19631001 19631031     8.4
19631101 19631130     3.0
19631201 19631231    13.0
19640101 19640131     6.2
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430    21.9
19640501 19640531     5.7
19640601 19640630     2.8
19640701 19640731     4.6
19640801 19640831    17.8
19640901 19640930    94.5
19641001 19641031    43.7
19641101 19641130     0.8
19641201 19641231     4.9
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     1.3
19650401 19650430     0.0
19650501 19650531    13.9
19650601 19650630    24.4
19650701 19650731     5.4
19650801 19650831    26.9
19650901 19650930     9.5
19651001 19651031    10.5
19651101 19651130     2.4
19651201 19651231    45.0
19660101 19660131    15.0
19660201 19660228    21.1
19660301 19660331    10.2
19660401 19660430     0.5
19660501 19660531     5.4
19660601 19660630     3.3
19660701 19660731    13.6
19660801 19660831    16.3
19660901 19660930     1.8
19661001 19661031    11.4
19661101 19661130    19.5
19661201 19661231    47.3
19670101 19670131    15.3
19670201 19670228    27.2
19670301 19670331    12.2
19670401 19670430     0.0
19670501 19670531     3.0
19670601 19670630     9.7
19670701 19670731     1.1
19670801 19670831     2.6
19670901 19670930     0.5
19671001 19671031    13.8
19671101 19671130     1.0
19671201 19671231     0.0
19680101 19680131    75.0
19680201 19680229     1.3
19680301 19680331    13.2
19680401 19680430    31.8
19680501 19680531    67.8
19680601 19680630    15.0
19680701 19680731    18.3
19680801 19680831    14.5
19680901 19680930     3.8
19681001 19681031     4.0
19681101 19681130    10.2
19681201 19681231    14.9
19690101 19690131    10.5
19690201 19690228    11.0
19690301 19690331    47.6
19690401 19690430     1.8
19690501 19690531    15.0
19690601 19690630    12.7
19690701 19690731    18.8
19690801 19690831     2.3
19690901 19690930    12.2
19691001 19691031    10.9
19691101 19691130     1.5
19691201 19691231     4.1
19700101 19700131    19.1
19700201 19700228     4.6
19700301 19700331     3.8
19700401 19700430    43.2
19700501 19700531     1.8
19700601 19700630     0.8
19700701 19700731     3.8
19700801 19700831    10.4
19700901 19700930    24.4
19701001 19701031     2.0
19701101 19701130    14.0
19701201 19701231     9.1
19710101 19710131     0.0
19710201 19710228    20.4
19710301 19710331    45.7
19710401 19710430    46.5
19710501 19710531     9.3
19710601 19710630     4.1
19710701 19710731    25.4
19710801 19710831    15.5
19710901 19710930    31.9
19711001 19711031     0.0
19711101 19711130    25.4
19711201 19711231    15.7
19720101 19720131    67.3
19720201 19720229     6.9
19720301 19720331     0.0
19720401 19720430    18.3
19720501 19720531     1.3
19720601 19720630     3.6
19720701 19720731     5.6
19720801 19720831    21.7
19720901 19720930     7.1
19721001 19721031    18.3
19721101 19721130     0.3
19721201 19721231     3.6
19730101 19730131     6.8
19730201 19730228    36.4
19730301 19730331    18.6
19730401 19730430    27.4
19730501 19730531     7.8
19730601 19730630    22.4
19730701 19730731    24.3
19730801 19730831    49.1
19730901 19730930     5.3
19731001 19731031    92.4
19731101 19731130    57.6
19731201 19731231    53.6
19740101 19740131   177.8
19740201 19740228    49.2
19740301 19740331    32.4
19740401 19740430   190.6
19740501 19740531    74.8
19740601 19740630    12.4
19740701 19740731    20.8
19740801 19740831    29.2
19740901 19740930    31.1
19741001 19741031    61.2
19741101 19741130    29.2
19741201 19741231     3.6
19750101 19750131     8.8
19750201 19750228    25.2
19750301 19750331    10.4
19750401 19750430     3.0
19750501 19750531     2.8
19750601 19750630     1.6
19750701 19750731    11.2
19750801 19750831    36.6
19750901 19750930    38.3
19751001 19751031    97.4
19751101 19751130     5.8
19751201 19751231   107.8
19760101 19760131    65.6
19760201 19760229   116.2
19760301 19760331     1.2
19760401 19760430    32.6
19760501 19760531     0.0
19760601 19760630     1.4
19760701 19760731    18.4
19760801 19760831     1.0
19760901 19760930    14.8
19761001 19761031    39.2
19761101 19761130    13.8
19761201 19761231     2.8
19770101 19770131    18.6
19770201 19770228    14.4
19770301 19770331     8.0
19770401 19770430     0.0
19770501 19770531    11.3
19770601 19770630    16.2
19770701 19770731     1.0
19770801 19770831     0.8
19770901 19770930    24.9
19771001 19771031    18.6
19771101 19771130    16.3
19771201 19771231     2.6
19780101 19780131     9.0
19780201 19780228     0.0
19780301 19780331    15.7
19780401 19780430     1.0
19780501 19780531    29.0
19780601 19780630    50.6
19780701 19780731    24.1
19780801 19780831    36.8
19780901 19780930   107.8
19781001 19781031    39.3
19781101 19781130    45.5
19781201 19781231     0.0
19790101 19790131    25.4
19790201 19790228    51.8
19790301 19790331    26.8
19790401 19790430    13.6
19790501 19790531    44.0
19790601 19790630    16.7
19790701 19790731     2.4
19790801 19790831    28.0
19790901 19790930    51.3
19791001 19791031    15.6
19791101 19791130    12.1
19791201 19791231     4.2
19800101 19800131     7.8
19800201 19800229    13.4
19800301 19800331     0.0
19800401 19800430    74.7
