PRCP       009503 18970701 20140831 missing_value=99999.9 BOYANUP POST OFFICE                       
19381201 19381231    20.2
19390101 19390131    39.4
19390201 19390228    35.3
19390301 19390331     2.0
19390401 19390430    25.6
19390501 19390531   176.0
19390601 19390630   239.5
19390701 19390731   238.1
19390801 19390831   240.0
19390901 19390930    19.8
19391001 19391031    89.2
19391101 19391130    34.0
19391201 19391231     2.6
19400101 19400131    17.7
19400201 19400229     6.6
19400301 19400331    13.2
19400401 19400430    11.9
19400501 19400531    63.0
19400601 19400630   145.1
19400701 19400731   202.3
19400801 19400831    85.6
19400901 19400930    63.2
19401001 19401031    66.6
19401101 19401130     4.6
19401201 19401231    11.9
19410101 19410131     1.8
19410201 19410228     9.9
19410301 19410331    13.3
19410401 19410430    94.3
19410501 19410531   174.3
19410601 19410630   232.0
19410701 19410731   241.9
19410801 19410831   123.9
19410901 19410930   175.4
19411001 19411031    58.3
19411101 19411130    63.1
19411201 19411231     3.8
19420101 19420131     2.0
19420201 19420228     2.3
19420301 19420331    51.3
19420401 19420430   108.9
19420501 19420531   157.4
19420601 19420630   246.7
19420701 19420731   166.2
19420801 19420831   215.8
19420901 19420930   146.0
19421001 19421031    77.2
19421101 19421130    13.0
19421201 19421231    15.7
19430101 19430131    29.3
19430201 19430228     5.4
19430301 19430331   104.9
19430401 19430430    67.2
19430501 19430531    93.3
19430601 19430630   149.3
19430701 19430731   132.5
19430801 19430831   130.8
19430901 19430930   117.3
19431001 19431031    20.0
19431101 19431130     0.0
19431201 19431231    20.9
19440101 19440131     2.1
19440201 19440229     0.0
19440301 19440331    12.5
19440401 19440430    23.9
19440501 19440531   142.5
19440601 19440630   147.4
19440701 19440731   246.0
19440801 19440831    99.5
19440901 19440930    46.7
19441001 19441031    49.8
19441101 19441130    47.5
19441201 19441231    55.8
19450101 19450131     3.0
19450201 19450228     6.3
19450301 19450331    20.5
19450401 19450430    26.7
19450501 19450531   239.6
19450601 19450630   452.1
19450701 19450731   128.7
19450801 19450831   220.6
19450901 19450930   126.9
19451001 19451031    18.2
19451101 19451130    32.9
19451201 19451231    33.0
19460101 19460131     3.3
19460201 19460228     1.5
19460301 19460331    26.4
19460401 19460430    41.0
19460501 19460531   177.0
19460601 19460630   189.9
19460701 19460731   423.2
19460801 19460831    94.6
19460901 19460930    45.2
19461001 19461031     5.6
19461101 19461130    72.4
19461201 19461231    35.6
19470101 19470131     1.8
19470201 19470228     7.9
19470301 19470331     6.1
19470401 19470430    72.0
19470501 19470531   317.9
19470601 19470630   419.5
19470701 19470731   127.1
19470801 19470831    74.4
19470901 19470930    92.1
19471001 19471031    84.5
19471101 19471130     8.1
19471201 19471231    15.4
19480101 19480131     1.8
19480201 19480229     0.0
19480301 19480331    19.0
19480401 19480430    46.8
19480501 19480531    24.7
19480601 19480630   136.2
19480701 19480731   251.4
19480801 19480831   179.4
19480901 19480930   137.0
19481001 19481031    41.3
19481101 19481130    40.6
19481201 19481231    33.7
19490101 19490131     6.7
19490201 19490228     0.0
19490301 19490331    27.5
