PRCP       008106 19070101 20160531 missing_value=99999.9 PERANGERY                                 
19711201 19711231     0.0
19720101 19720131     0.0
19720201 19720229     1.8
19720301 19720331     0.0
19720401 19720430     0.5
19720501 19720531    32.5
19720601 19720630    65.5
19720701 19720731    92.8
19720801 19720831    38.9
19720901 19720930     8.1
19721001 19721031     0.0
19721101 19721130     2.8
19721201 19721231     0.0
19730101 19730131    18.3
19730201 19730228     1.3
19730301 19730331     0.0
19730401 19730430    16.1
19730501 19730531    22.9
19730601 19730630    36.0
19730701 19730731    65.1
19730801 19730831    32.2
19730901 19730930    42.5
19731001 19731031     3.9
19731101 19731130     5.5
19731201 19731231     3.0
19740101 19740131     0.0
19740201 19740228    20.1
19740301 19740331    22.4
19740401 19740430    11.4
19740501 19740531    95.2
19740601 19740630    56.0
19740701 19740731    61.6
19740801 19740831    59.3
19740901 19740930    24.4
19741001 19741031    13.0
19741101 19741130     4.4
19741201 19741231     5.6
19750101 19750131     1.0
19750201 19750228     8.0
19750301 19750331    38.6
19750401 19750430    58.2
19750501 19750531    54.2
19750601 19750630    49.9
19750701 19750731    39.8
19750801 19750831    31.4
19750901 19750930     8.4
19751001 19751031    54.1
19751101 19751130    10.0
19751201 19751231    21.8
19760101 19760131    23.8
19760201 19760229    23.6
19760301 19760331     1.6
19760401 19760430    16.5
19760501 19760531    22.8
19760601 19760630     9.8
19760701 19760731     5.8
19760801 19760831    27.6
19760901 19760930    21.0
19761001 19761031    28.2
19761101 19761130     4.6
19761201 19761231    21.8
19770101 19770131     0.0
19770201 19770228     0.0
19770301 19770331     0.8
19770401 19770430    30.4
19770501 19770531     8.4
19770601 19770630    27.6
19770701 19770731    10.0
19770801 19770831    14.8
19770901 19770930     3.0
19771001 19771031    40.8
19771101 19771130     4.0
19771201 19771231    16.4
19780101 19780131    29.4
19780201 19780228    58.6
19780301 19780331     0.0
19780401 19780430    17.0
19780501 19780531    12.4
19780601 19780630    25.0
19780701 19780731    70.2
19780801 19780831    28.6
19780901 19780930    24.0
19781001 19781031     8.8
19781101 19781130     0.0
19781201 19781231    50.5
19790101 19790131     0.0
19790201 19790228     5.0
19790301 19790331     0.0
19790401 19790430     2.8
19790501 19790531     9.0
19790601 19790630    21.0
19790701 19790731     6.4
19790801 19790831    30.2
19790901 19790930     1.2
19791001 19791031     0.9
19791101 19791130    24.6
19791201 19791231     4.0
19800101 19800131     0.0
19800201 19800229     0.0
19800301 19800331     0.8
19800401 19800430    21.1
19800501 19800531    36.3
19800601 19800630    47.6
19800701 19800731    50.0
19800801 19800831    14.4
19800901 19800930     3.6
19801001 19801031     6.4
19801101 19801130     0.4
19801201 19801231     0.0
19810101 19810131     2.2
19810201 19810228    18.2
19810301 19810331     2.0
19810401 19810430     2.0
19810501 19810531    50.4
19810601 19810630    63.4
19810701 19810731    43.0
19810801 19810831    46.2
19810901 19810930    12.2
19811001 19811031     7.0
19811101 19811130     8.2
19811201 19811231     4.2
19820101 19820131    22.2
19820201 19820228     0.0
19820301 19820331    12.4
19820401 19820430     1.9
19820501 19820531    21.6
19820601 19820630    63.6
19820701 19820731    19.6
19820801 19820831    12.8
19820901 19820930    33.2
19821001 19821031    11.5
19821101 19821130    14.2
19821201 19821231    17.6
19830101 19830131     2.2
19830201 19830228     0.0
19830301 19830331     0.6
19830401 19830430     4.0
19830501 19830531     3.6
19830601 19830630    72.0
19830701 19830731    55.2
19830801 19830831    33.6
19830901 19830930    34.4
19831001 19831031     2.0
19831101 19831130    35.6
19831201 19831231    20.8
19840101 19840131    17.6
19840201 19840229    19.6
19840301 19840331    87.0
19840401 19840430    44.4
19840501 19840531   157.6
19840601 19840630    21.2
19840701 19840731    32.2
19840801 19840831    25.1
19840901 19840930    31.0
19841001 19841031    17.8
19841101 19841130    48.2
19841201 19841231     9.8
19850101 19850131    28.2
19850201 19850228    26.2
19850301 19850331    10.9
19850401 19850430 99999.9
19850501 19850531    30.4
19850601 19850630    10.6
19850701 19850731    36.6
19850801 19850831    37.4
19850901 19850930    19.6
19851001 19851031    10.0
19851101 19851130     0.0
19851201 19851231     4.4
19860101 19860131    43.2
19860201 19860228    47.6
19860301 19860331     2.4
19860401 19860430     0.0
19860501 19860531    62.6
19860601 19860630    79.3
19860701 19860731    32.7
19860801 19860831    34.4
19860901 19860930    24.4
19861001 19861031    20.0
19861101 19861130     0.0
19861201 19861231     0.0
19870101 19870131     3.4
19870201 19870228    11.8
19870301 19870331    13.6
19870401 19870430     2.6
19870501 19870531    22.4
19870601 19870630    34.2
19870701 19870731    44.6
19870801 19870831    27.2
19870901 19870930    13.0
19871001 19871031    23.8
19871101 19871130    15.0
19871201 19871231    11.0
19880101 19880131     0.0
19880201 19880229    14.4
19880301 19880331     5.4
19880401 19880430    52.2
19880501 19880531   113.6
19880601 19880630    33.4
19880701 19880731    60.4
19880801 19880831    38.8
19880901 19880930     8.8
19881001 19881031     9.4
19881101 19881130     5.0
19881201 19881231    57.4
19890101 19890131     5.8
19890201 19890228    20.2
19890301 19890331     7.0
19890401 19890430    31.4
19890501 19890531    92.8
19890601 19890630    55.7
19890701 19890731    16.0
19890801 19890831    11.8
19890901 19890930     9.2
19891001 19891031     8.0
19891101 19891130     1.4
19891201 19891231     0.0
19900101 19900131    57.6
19900201 19900228    37.0
19900301 19900331     5.8
19900401 19900430    24.8
19900501 19900531    18.8
19900601 19900630    27.6
19900701 19900731    46.6
19900801 19900831    35.1
19900901 19900930    15.2
19901001 19901031    42.5
19901101 19901130     0.4
19901201 19901231     6.2
19910101 19910131    15.0
19910201 19910228     0.0
19910301 19910331     3.4
19910401 19910430     7.2
19910501 19910531    19.6
19910601 19910630    45.6
19910701 19910731    60.4
19910801 19910831    17.0
19910901 19910930     7.0
19911001 19911031    10.4
19911101 19911130    19.0
19911201 19911231    22.5
19920101 19920131     6.5
19920201 19920229    10.0
19920301 19920331    39.5
19920401 19920430   106.0
19920501 19920531     1.8
19920601 19920630    68.4
19920701 19920731    13.0
19920801 19920831   100.4
19920901 19920930    56.6
19921001 19921031     2.0
19921101 19921130    12.6
19921201 19921231     0.8
19930101 19930131     2.2
19930201 19930228     4.7
19930301 19930331     0.0
19930401 19930430    11.4
19930501 19930531   157.3
19930601 19930630    67.5
19930701 19930731    33.2
19930801 19930831    40.2
19930901 19930930    25.0
19931001 19931031    18.6
19931101 19931130    12.2
19931201 19931231     0.0
19940101 19940131     0.0
19940201 19940228    35.0
19940301 19940331     0.5
19940401 19940430     0.0
19940501 19940531    52.2
19940601 19940630    21.6
19940701 19940731    23.4
19940801 19940831    51.6
19940901 19940930    17.8
19941001 19941031     5.0
19941101 19941130     0.6
19941201 19941231     0.0
19950101 19950131     3.2
19950201 19950228    25.2
19950301 19950331    27.4
19950401 19950430    19.3
19950501 19950531    32.6
19950601 19950630    56.2
19950701 19950731    76.2
19950801 19950831     6.9
19950901 19950930    26.6
19951001 19951031     7.2
19951101 19951130     6.2
19951201 19951231     4.6
19960101 19960131     0.0
19960201 19960229    15.6
19960301 19960331     0.0
19960401 19960430    20.5
19960501 19960531    13.2
19960601 19960630    71.8
19960701 19960731   124.9
19960801 19960831    57.8
19960901 19960930    35.3
19961001 19961031     4.4
19961101 19961130    27.6
19961201 19961231     4.4
19970101 19970131     5.0
19970201 19970228    58.2
19970301 19970331     1.4
19970401 19970430    70.9
19970501 19970531    28.0
19970601 19970630    22.0
19970701 19970731    37.2
19970801 19970831    52.9
19970901 19970930    41.7
19971001 19971031     9.7
19971101 19971130    11.4
19971201 19971231     4.0
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     0.2
19980401 19980430     0.8
19980501 19980531   112.2
19980601 19980630    49.2
19980701 19980731    54.6
19980801 19980831    33.4
19980901 19980930 99999.9
19981001 19981031 99999.9
19981101 19981130 99999.9
19981201 19981231 99999.9
19990101 19990131     0.0
19990201 19990228     0.0
19990301 19990331    77.9
19990401 19990430    53.0
19990501 19990531   189.3
19990601 19990630    16.9
19990701 19990731    37.7
19990801 19990831    18.1
19990901 19990930    43.6
19991001 19991031    12.8
19991101 19991130     8.1
19991201 19991231    17.8
20000101 20000131    75.4
20000201 20000229     0.0
20000301 20000331    88.1
20000401 20000430     8.0
20000501 20000531     2.0
20000601 20000630    14.4
20000701 20000731    37.6
20000801 20000831    32.7
20000901 20000930     1.5
20001001 20001031     0.5
20001101 20001130     1.4
20001201 20001231     9.8
20010101 20010131    54.6
20010201 20010228    30.8
20010301 20010331    42.6
20010401 20010430     4.8
20010501 20010531    28.5
20010601 20010630     1.8
20010701 20010731    52.9
20010801 20010831    25.5
20010901 20010930    34.6
20011001 20011031    25.2
20011101 20011130    28.0
20011201 20011231     0.0
20020101 20020131    11.8
20020201 20020228     1.0
20020301 20020331     1.8
20020401 20020430     8.0
20020501 20020531    14.6
20020601 20020630    24.8
20020701 20020731    31.0
20020801 20020831    15.9
20020901 20020930    13.6
20021001 20021031    11.8
20021101 20021130     3.8
20021201 20021231    57.0
20030101 20030131     0.6
20030201 20030228     4.6
20030301 20030331    21.8
20030401 20030430    12.2
20030501 20030531    46.8
