PRCP       036026 18850101 20180131 missing_value=99999.9 ISISFORD POST OFFICE                      
19300301 19300331    28.9
19300401 19300430     5.6
19300501 19300531    73.6
19300601 19300630     4.8
19300701 19300731    38.8
19300801 19300831     0.0
19300901 19300930     0.8
19301001 19301031    65.9
19301101 19301130     6.6
19301201 19301231     3.3
19310101 19310131     6.2
19310201 19310228     4.3
19310301 19310331   198.5
19310401 19310430    16.0
19310501 19310531    13.2
19310601 19310630    15.2
19310701 19310731     5.1
19310801 19310831     0.0
19310901 19310930    32.3
19311001 19311031    15.2
19311101 19311130   112.1
19311201 19311231    84.7
19320101 19320131     3.1
19320201 19320229    69.1
19320301 19320331     2.6
19320401 19320430    19.5
19320501 19320531    60.0
19320601 19320630    21.8
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031     8.9
19321101 19321130    58.2
19321201 19321231     4.3
19330101 19330131    28.8
19330201 19330228    49.8
19330301 19330331     0.8
19330401 19330430     0.0
19330501 19330531     6.3
19330601 19330630    45.5
19330701 19330731   123.9
19330801 19330831     5.3
19330901 19330930     3.5
19331001 19331031    79.8
19331101 19331130   117.7
19331201 19331231    46.5
19340101 19340131    31.8
19340201 19340228    23.7
19340301 19340331     0.0
19340401 19340430    62.5
19340501 19340531     0.5
19340601 19340630    19.6
19340701 19340731    35.3
19340801 19340831     1.0
19340901 19340930     0.0
19341001 19341031    29.2
19341101 19341130     2.6
19341201 19341231    41.7
19350101 19350131     0.0
19350201 19350228     1.0
19350301 19350331     0.0
19350401 19350430    10.6
19350501 19350531     0.0
19350601 19350630    74.7
19350701 19350731     5.6
19350801 19350831    10.7
19350901 19350930    46.3
19351001 19351031    25.9
19351101 19351130    17.3
19351201 19351231    28.2
19360101 19360131    89.3
19360201 19360229    64.7
19360301 19360331   215.4
19360401 19360430     0.0
19360501 19360531    35.0
19360601 19360630    18.0
19360701 19360731    37.6
19360801 19360831     2.0
19360901 19360930     6.7
19361001 19361031     0.5
19361101 19361130    18.5
19361201 19361231    43.6
19370101 19370131    21.1
19370201 19370228    55.4
19370301 19370331   160.8
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    24.9
19370701 19370731    17.8
19370801 19370831     9.1
19370901 19370930     1.3
19371001 19371031     0.3
19371101 19371130    14.0
19371201 19371231     0.5
19380101 19380131    38.1
19380201 19380228    27.0
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     6.4
19380601 19380630    10.7
19380701 19380731     3.6
19380801 19380831    13.6
19380901 19380930     1.0
19381001 19381031     0.0
19381101 19381130    24.9
19381201 19381231     0.0
19390101 19390131    34.1
19390201 19390228    81.1
19390301 19390331    11.9
19390401 19390430    30.3
19390501 19390531     9.7
19390601 19390630     9.1
19390701 19390731    35.5
19390801 19390831    21.8
19390901 19390930     0.0
19391001 19391031   118.6
19391101 19391130    14.8
19391201 19391231    12.7
19400101 19400131    30.5
19400201 19400229   334.8
19400301 19400331     4.3
19400401 19400430     2.8
19400501 19400531     2.5
19400601 19400630     1.5
19400701 19400731     0.0
19400801 19400831    23.7
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130     6.7
19401201 19401231    70.8
19410101 19410131   281.7
19410201 19410228     0.0
19410301 19410331   177.7
19410401 19410430    90.8
19410501 19410531    27.0
19410601 19410630    37.0
19410701 19410731     0.0
19410801 19410831     1.0
19410901 19410930     0.0
19411001 19411031     7.6
19411101 19411130    97.3
19411201 19411231    24.0
19420101 19420131    14.7
19420201 19420228    13.5
19420301 19420331     6.8
19420401 19420430     6.9
19420501 19420531   119.5
19420601 19420630     1.3
19420701 19420731    10.8
19420801 19420831     0.0
19420901 19420930     3.8
19421001 19421031    39.6
19421101 19421130    18.8
19421201 19421231   123.4
19430101 19430131    46.9
19430201 19430228    32.8
19430301 19430331    43.6
19430401 19430430    14.7
19430501 19430531     1.0
19430601 19430630     6.9
19430701 19430731     0.0
19430801 19430831     1.4
19430901 19430930    82.3
19431001 19431031    18.4
19431101 19431130    15.5
19431201 19431231    14.1
19440101 19440131    20.9
19440201 19440229   294.1
19440301 19440331     0.0
19440401 19440430    10.2
19440501 19440531    23.4
19440601 19440630     0.0
