PRCP       095016 19100701 20180131 missing_value=99999.9 OSTERLEY                                  
19580401 19580430    93.7
19580501 19580531   286.6
19580601 19580630    33.1
19580701 19580731    50.9
19580801 19580831   103.8
19580901 19580930    21.9
19581001 19581031   119.0
19581101 19581130    40.7
19581201 19581231    81.2
19590101 19590131    22.4
19590201 19590228    19.0
19590301 19590331    28.1
19590401 19590430    70.8
19590501 19590531    10.8
19590601 19590630    41.9
19590701 19590731    37.0
19590801 19590831    91.5
19590901 19590930    68.6
19591001 19591031    27.1
19591101 19591130    33.5
19591201 19591231    98.3
19600101 19600131    24.4
19600201 19600229    19.9
19600301 19600331     8.3
19600401 19600430   295.5
19600501 19600531    82.3
19600601 19600630    20.1
19600701 19600731    81.0
19600801 19600831    16.6
19600901 19600930    75.7
19601001 19601031    83.8
19601101 19601130    45.6
19601201 19601231    11.4
19610101 19610131    20.9
19610201 19610228    16.5
19610301 19610331    26.4
19610401 19610430    67.0
19610501 19610531    27.5
19610601 19610630    67.4
19610701 19610731    58.0
19610801 19610831    65.4
19610901 19610930    45.4
19611001 19611031    11.8
19611101 19611130    37.7
19611201 19611231    26.9
19620101 19620131    34.7
19620201 19620228    27.0
19620301 19620331    51.0
19620401 19620430    49.6
19620501 19620531    83.7
19620601 19620630   110.0
19620701 19620731    61.9
19620801 19620831    91.8
19620901 19620930    75.5
19621001 19621031    91.1
19621101 19621130    48.0
19621201 19621231    16.4
19630101 19630131    66.2
19630201 19630228    16.4
19630301 19630331    36.5
19630401 19630430    10.4
19630501 19630531    27.5
19630601 19630630    28.3
19630701 19630731    48.6
19630801 19630831    43.7
19630901 19630930   100.3
19631001 19631031    23.8
19631101 19631130    26.4
19631201 19631231    10.3
19640101 19640131    34.5
19640201 19640229   122.3
19640301 19640331    41.3
19640401 19640430    31.1
19640501 19640531    60.2
19640601 19640630    49.5
19640701 19640731    76.0
19640801 19640831    82.2
19640901 19640930    92.3
19641001 19641031    51.1
19641101 19641130    46.2
19641201 19641231    53.4
19650101 19650131    38.7
19650201 19650228     9.1
19650301 19650331    31.3
19650401 19650430   118.1
19650501 19650531    64.6
19650601 19650630    38.1
19650701 19650731    27.1
19650801 19650831    25.8
19650901 19650930    47.1
19651001 19651031    21.2
19651101 19651130    47.6
19651201 19651231    21.8
19660101 19660131    19.3
19660201 19660228    26.6
19660301 19660331    90.8
19660401 19660430    82.4
19660501 19660531    61.3
19660601 19660630    19.7
19660701 19660731    80.5
19660801 19660831    28.2
19660901 19660930    85.3
19661001 19661031    81.0
19661101 19661130    37.1
19661201 19661231    28.4
19670101 19670131    17.3
19670201 19670228     5.8
19670301 19670331    28.3
19670401 19670430    27.0
19670501 19670531     6.9
19670601 19670630    12.7
19670701 19670731    53.2
19670801 19670831    68.5
19670901 19670930    51.4
19671001 19671031    45.0
19671101 19671130    96.2
19671201 19671231    60.2
19680101 19680131    19.4
19680201 19680229    31.9
19680301 19680331    29.2
19680401 19680430    88.1
19680501 19680531   114.0
19680601 19680630    51.0
19680701 19680731    21.9
19680801 19680831   105.5
19680901 19680930    48.3
19681001 19681031    85.0
19681101 19681130   125.7
19681201 19681231    35.3
19690101 19690131    37.3
19690201 19690228   153.5
19690301 19690331    31.7
19690401 19690430    97.9
19690501 19690531    86.4
19690601 19690630    63.6
19690701 19690731    26.2
19690801 19690831    63.8
19690901 19690930    18.6
19691001 19691031    28.2
19691101 19691130    59.0
19691201 19691231    84.3
19700101 19700131    78.9
19700201 19700228    42.9
19700301 19700331   125.2
19700401 19700430    45.5
19700501 19700531    20.1
19700601 19700630    45.8
19700701 19700731   111.3
19700801 19700831   182.8
19700901 19700930    61.7
19701001 19701031    71.5
19701101 19701130    59.0
19701201 19701231   135.8
19710101 19710131   112.6
19710201 19710228    70.4
19710301 19710331    29.4
19710401 19710430    43.1
19710501 19710531   123.6
