PRCP       012029 19010101 20180131 missing_value=99999.9 FRASER RANGE                              
19660701 19660731    24.6
19660801 19660831    32.1
19660901 19660930    30.6
19661001 19661031    34.3
19661101 19661130     4.5
19661201 19661231    33.1
19670101 19670131   144.8
19670201 19670228    20.8
19670301 19670331    36.8
19670401 19670430    31.7
19670501 19670531    55.2
19670601 19670630    24.3
19670701 19670731    39.8
19670801 19670831    25.8
19670901 19670930     6.1
19671001 19671031    29.6
19671101 19671130    12.4
19671201 19671231    24.9
19680101 19680131     7.4
19680201 19680229    15.2
19680301 19680331    57.6
19680401 19680430    16.2
19680501 19680531    41.5
19680601 19680630   122.4
19680701 19680731    27.9
19680801 19680831    12.7
19680901 19680930    35.8
19681001 19681031     6.8
19681101 19681130    10.1
19681201 19681231    54.7
19690101 19690131     0.0
19690201 19690228     6.1
19690301 19690331    43.2
19690401 19690430    42.9
19690501 19690531    49.5
19690601 19690630    22.4
19690701 19690731     3.1
19690801 19690831     8.6
19690901 19690930    25.4
19691001 19691031    28.5
19691101 19691130     0.0
19691201 19691231     4.3
19700101 19700131     2.8
19700201 19700228    26.7
19700301 19700331    15.0
19700401 19700430    41.4
19700501 19700531    19.3
19700601 19700630    31.8
19700701 19700731    16.7
19700801 19700831     6.4
19700901 19700930    77.6
19701001 19701031     8.4
19701101 19701130     7.9
19701201 19701231     1.8
19710101 19710131    15.7
19710201 19710228     0.0
19710301 19710331    14.5
19710401 19710430     8.0
19710501 19710531    20.3
19710601 19710630    46.5
19710701 19710731    10.7
19710801 19710831    20.7
19710901 19710930    18.6
19711001 19711031     9.7
19711101 19711130    67.8
19711201 19711231     3.6
19720101 19720131    11.7
19720201 19720229     5.1
19720301 19720331    27.7
19720401 19720430     6.6
19720501 19720531     1.5
19720601 19720630    46.5
19720701 19720731    33.1
19720801 19720831    19.6
19720901 19720930    10.0
19721001 19721031     2.0
19721101 19721130    27.0
19721201 19721231     3.8
19730101 19730131    13.2
19730201 19730228     3.3
19730301 19730331     0.0
19730401 19730430    49.7
19730501 19730531    23.2
19730601 19730630    55.4
19730701 19730731    39.5
19730801 19730831    47.8
19730901 19730930    32.3
19731001 19731031    20.6
19731101 19731130    46.5
19731201 19731231    10.9
19740101 19740131     2.2
19740201 19740228    21.4
19740301 19740331    78.4
19740401 19740430    81.4
19740501 19740531    51.4
19740601 19740630    32.5
19740701 19740731    36.8
19740801 19740831    26.7
19740901 19740930    29.3
19741001 19741031    10.2
19741101 19741130    11.5
19741201 19741231     1.3
19750101 19750131     0.0
19750201 19750228    74.6
19750301 19750331    47.4
19750401 19750430    58.0
19750501 19750531    28.8
19750601 19750630    14.2
19750701 19750731    31.8
19750801 19750831    54.6
19750901 19750930     5.0
19751001 19751031    89.2
19751101 19751130    43.2
19751201 19751231    12.6
19760101 19760131    13.2
19760201 19760229    81.8
19760301 19760331     3.2
19760401 19760430    10.2
19760501 19760531     7.8
