PRCP       031011 19100101 20180131 missing_value=99999.9 CAIRNS AERO                               
19540901 19540930    15.3
19541001 19541031    74.8
19541101 19541130    12.6
19541201 19541231    49.4
19550101 19550131   115.5
19550201 19550228   983.8
19550301 19550331   538.1
19550401 19550430   177.8
19550501 19550531   176.3
19550601 19550630   112.8
19550701 19550731    10.0
19550801 19550831    20.9
19550901 19550930    61.0
19551001 19551031    82.5
19551101 19551130   193.4
19551201 19551231    48.6
19560101 19560131   403.5
19560201 19560229   304.2
19560301 19560331   447.1
19560401 19560430   204.0
19560501 19560531    37.8
19560601 19560630    30.1
19560701 19560731    13.7
19560801 19560831    26.2
19560901 19560930    34.7
19561001 19561031    21.0
19561101 19561130    46.3
19561201 19561231   327.0
19570101 19570131   561.2
19570201 19570228   420.6
19570301 19570331   457.4
19570401 19570430   138.5
19570501 19570531   122.2
19570601 19570630    91.9
19570701 19570731    36.8
19570801 19570831     1.3
19570901 19570930     3.8
19571001 19571031     8.4
19571101 19571130    54.7
19571201 19571231    64.0
19580101 19580131   394.7
19580201 19580228   596.4
19580301 19580331   493.8
19580401 19580430   283.0
19580501 19580531   119.9
19580601 19580630    33.8
19580701 19580731     0.0
19580801 19580831    30.9
19580901 19580930    10.4
19581001 19581031    10.2
19581101 19581130    87.5
19581201 19581231    29.1
19590101 19590131   583.0
19590201 19590228   383.4
19590301 19590331   906.6
19590401 19590430   196.4
19590501 19590531   138.9
19590601 19590630    56.7
19590701 19590731    17.7
19590801 19590831    88.4
19590901 19590930    57.8
19591001 19591031     0.3
19591101 19591130   140.3
19591201 19591231   162.4
19600101 19600131   489.6
19600201 19600229   286.7
19600301 19600331   275.6
19600401 19600430    26.5
19600501 19600531    15.3
19600601 19600630    33.1
19600701 19600731    31.6
19600801 19600831     5.4
19600901 19600930     2.3
19601001 19601031    11.5
19601101 19601130     7.1
19601201 19601231    77.9
19610101 19610131   246.8
19610201 19610228    47.0
19610301 19610331   377.7
19610401 19610430   153.9
19610501 19610531    67.4
19610601 19610630     3.6
19610701 19610731    11.4
19610801 19610831    14.1
19610901 19610930    28.1
19611001 19611031    20.1
19611101 19611130    45.8
19611201 19611231   166.9
19620101 19620131   497.8
19620201 19620228   679.9
19620301 19620331   180.2
19620401 19620430   155.4
19620501 19620531    27.9
19620601 19620630    74.1
19620701 19620731    54.0
19620801 19620831     7.5
19620901 19620930    82.2
19621001 19621031     0.0
19621101 19621130    28.6
19621201 19621231    71.0
19630101 19630131   481.7
19630201 19630228   662.2
19630301 19630331   279.3
19630401 19630430   415.8
19630501 19630531   107.1
19630601 19630630    24.0
19630701 19630731     3.8
19630801 19630831     7.5
19630901 19630930    11.9
19631001 19631031    94.6
19631101 19631130    51.2
19631201 19631231   100.9
19640101 19640131   521.6
19640201 19640229   301.5
19640301 19640331   581.8
19640401 19640430   168.4
19640501 19640531   322.3
19640601 19640630     4.4
19640701 19640731    25.5
19640801 19640831    19.3
19640901 19640930    68.2
19641001 19641031   204.5
19641101 19641130   101.0
19641201 19641231   296.3
19650101 19650131   194.6
19650201 19650228   403.0
19650301 19650331   601.3
19650401 19650430   256.6
19650501 19650531   191.8
19650601 19650630   131.2
19650701 19650731    16.2
19650801 19650831     8.1
19650901 19650930     9.0
19651001 19651031    38.6
19651101 19651130    42.5
19651201 19651231   138.1
19660101 19660131   226.4
19660201 19660228    70.7
19660301 19660331   186.8
19660401 19660430   148.2
19660501 19660531    58.8
19660601 19660630    42.6
19660701 19660731     9.7
19660801 19660831    62.7
19660901 19660930     0.0
19661001 19661031    14.1
19661101 19661130    42.4
19661201 19661231    65.7
19670101 19670131    86.1
19670201 19670228   615.7
19670301 19670331  1017.4
19670401 19670430   111.9
19670501 19670531   139.9
19670601 19670630   127.0
19670701 19670731    32.5
19670801 19670831    14.7
19670901 19670930     0.8
19671001 19671031    24.8
19671101 19671130   101.7
19671201 19671231    67.8
19680101 19680131   632.0
19680201 19680229   758.9
19680301 19680331   130.7
19680401 19680430   161.7
19680501 19680531    92.1
19680601 19680630     4.2
