PRCP       080065 18930101 20180131 missing_value=99999.9 YARROWEYAH                                
19371001 19371031    46.5
19371101 19371130    19.6
19371201 19371231    24.1
19380101 19380131    12.1
19380201 19380228     9.7
19380301 19380331     0.0
19380401 19380430     9.3
19380501 19380531     6.4
19380601 19380630    64.4
19380701 19380731    39.1
19380801 19380831    28.7
19380901 19380930     9.1
19381001 19381031     2.8
19381101 19381130     0.0
19381201 19381231     1.0
19390101 19390131     1.3
19390201 19390228   105.7
19390301 19390331    60.7
19390401 19390430    78.0
19390501 19390531    22.0
19390601 19390630    95.1
19390701 19390731    44.3
19390801 19390831   103.9
19390901 19390930    32.4
19391001 19391031   106.7
19391101 19391130    64.1
19391201 19391231     3.5
19400101 19400131     4.1
19400201 19400229     0.0
19400301 19400331     0.0
19400401 19400430    77.6
19400501 19400531    12.0
19400601 19400630     5.3
19400701 19400731    20.4
19400801 19400831    10.8
19400901 19400930    49.0
19401001 19401031     3.8
19401101 19401130    16.4
19401201 19401231    19.6
19410101 19410131   118.9
19410201 19410228    12.2
19410301 19410331   114.3
19410401 19410430     5.1
19410501 19410531     2.8
19410601 19410630    34.8
19410701 19410731    54.3
19410801 19410831    19.6
19410901 19410930    20.7
19411001 19411031    25.7
19411101 19411130    24.9
19411201 19411231    14.2
19420101 19420131    26.4
19420201 19420228    28.7
19420301 19420331    16.2
19420401 19420430     8.4
19420501 19420531   118.6
19420601 19420630    46.2
19420701 19420731    18.1
19420801 19420831    42.9
19420901 19420930    11.0
19421001 19421031    36.3
19421101 19421130   102.9
19421201 19421231    10.9
19430101 19430131    21.3
19430201 19430228     7.9
19430301 19430331    10.2
19430401 19430430    27.1
19430501 19430531    26.1
19430601 19430630    14.9
19430701 19430731    27.4
19430801 19430831    25.4
19430901 19430930    49.3
19431001 19431031    17.9
19431101 19431130    14.2
19431201 19431231     1.1
19440101 19440131     1.8
19440201 19440229     0.0
19440301 19440331     9.5
19440401 19440430    37.4
19440501 19440531    66.5
19440601 19440630     9.2
19440701 19440731    17.9
19440801 19440831     2.3
19440901 19440930     4.9
19441001 19441031    24.0
19441101 19441130    18.2
19441201 19441231    43.0
19450101 19450131   102.2
19450201 19450228     7.1
19450301 19450331     0.5
19450401 19450430     1.6
19450501 19450531     9.2
19450601 19450630    58.3
19450701 19450731    34.7
19450801 19450831    69.7
19450901 19450930    14.8
19451001 19451031    61.0
19451101 19451130    31.3
19451201 19451231     9.4
19460101 19460131    70.6
19460201 19460228   117.7
19460301 19460331    29.7
19460401 19460430     8.2
19460501 19460531    20.1
19460601 19460630    35.1
19460701 19460731    50.3
19460801 19460831    26.1
19460901 19460930     9.6
19461001 19461031    20.5
19461101 19461130    77.9
19461201 19461231     1.8
19470101 19470131     0.3
19470201 19470228    51.8
19470301 19470331    59.8
19470401 19470430     8.4
19470501 19470531     8.5
19470601 19470630    33.4
19470701 19470731    66.2
19470801 19470831    41.4
19470901 19470930    40.9
