PRCP       016040 19100101 20141130 missing_value=99999.9 ROXBY DOWNS STATION                       
19691101 19691130     7.6
19691201 19691231     1.3
19700101 19700131     0.0
19700201 19700228     0.0
19700301 19700331     0.0
19700401 19700430    11.0
19700501 19700531     0.0
19700601 19700630     2.3
19700701 19700731     1.5
19700801 19700831    20.8
19700901 19700930    13.3
19701001 19701031     9.1
19701101 19701130    19.6
19701201 19701231     1.5
19710101 19710131     0.0
19710201 19710228    14.4
19710301 19710331    32.5
19710401 19710430     7.1
19710501 19710531     0.0
19710601 19710630    35.0
19710701 19710731    11.4
19710801 19710831    19.3
19710901 19710930     6.8
19711001 19711031     0.0
19711101 19711130    53.1
19711201 19711231    19.3
19720101 19720131    48.5
19720201 19720229     0.0
19720301 19720331     1.8
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831    15.0
19720901 19720930     8.6
19721001 19721031     0.0
19721101 19721130     4.3
19721201 19721231     0.0
19730101 19730131    11.9
19730201 19730228    96.6
19730301 19730331     8.4
19730401 19730430    16.0
19730501 19730531     2.5
19730601 19730630    35.7
19730701 19730731    44.4
19730801 19730831    55.4
19730901 19730930    10.2
19731001 19731031    26.6
19731101 19731130    19.1
19731201 19731231    44.7
19740101 19740131    85.0
19740201 19740228   151.8
19740301 19740331    14.5
19740401 19740430    29.4
19740501 19740531   135.6
19740601 19740630     1.8
19740701 19740731    12.8
19740801 19740831    33.0
19740901 19740930    34.4
19741001 19741031    83.0
19741101 19741130     0.0
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228    65.8
19750301 19750331     4.4
19750401 19750430     8.4
19750501 19750531    12.0
19750601 19750630     8.8
19750701 19750731    11.4
19750801 19750831    15.6
19750901 19750930    18.0
19751001 19751031   104.2
19751101 19751130     0.0
19751201 19751231    51.4
19760101 19760131    39.8
19760201 19760229    52.0
19760301 19760331     0.0
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     2.6
19760701 19760731    11.2
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031    39.0
19761101 19761130    16.6
19761201 19761231    18.0
19770101 19770131     0.0
19770201 19770228     0.0
19770301 19770331     1.0
19770401 19770430     0.0
19770501 19770531     4.2
19770601 19770630     5.2
19770701 19770731     0.0
19770801 19770831     1.8
19770901 19770930     0.6
19771001 19771031     4.2
19771101 19771130    61.6
19771201 19771231     4.6
19780101 19780131     2.2
19780201 19780228     0.0
19780301 19780331     0.4
19780401 19780430     0.0
19780501 19780531    11.2
19780601 19780630    37.4
19780701 19780731    27.0
19780801 19780831    10.4
19780901 19780930    19.4
19781001 19781031     0.8
19781101 19781130    33.6
19781201 19781231     1.4
19790101 19790131     0.0
19790201 19790228    14.0
19790301 19790331     0.0
19790401 19790430     9.8
19790501 19790531    96.6
19790601 19790630     3.4
19790701 19790731    10.6
19790801 19790831    27.0
19790901 19790930    28.0
19791001 19791031    10.0
19791101 19791130    64.2
19791201 19791231     2.8
19800101 19800131     7.8
19800201 19800229     9.2
19800301 19800331     0.0
19800401 19800430    26.6
19800501 19800531     9.6
19800601 19800630     9.0
19800701 19800731    22.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     6.4
19801101 19801130     0.0
19801201 19801231     4.8
19810101 19810131    98.2
19810201 19810228    17.2
19810301 19810331     9.8
19810401 19810430     8.4
19810501 19810531    34.8
19810601 19810630     7.6
19810701 19810731    15.4
19810801 19810831     7.0
19810901 19810930    12.4
19811001 19811031     0.0
19811101 19811130    12.8
19811201 19811231    23.4
19820101 19820131    20.2
19820201 19820228    28.8
19820301 19820331     7.8
19820401 19820430     0.0
19820501 19820531     2.2
19820601 19820630    10.2
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     7.8
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231    20.6
19830101 19830131     0.0
19830201 19830228     6.0
19830301 19830331    43.8
19830401 19830430     2.6
19830501 19830531     2.2
19830601 19830630     4.6
19830701 19830731     8.4
19830801 19830831    10.8
19830901 19830930     5.6
19831001 19831031     4.6
19831101 19831130    15.2
19831201 19831231    22.2
19840101 19840131    17.2
19840201 19840229     0.0
19840301 19840331     0.0
19840401 19840430    13.8
19840501 19840531    12.4
19840601 19840630    13.0
19840701 19840731    11.0
19840801 19840831     7.6
19840901 19840930    33.2
19841001 19841031    23.2
19841101 19841130    14.0
19841201 19841231     1.0
19850101 19850131     0.0
19850201 19850228     1.4
19850301 19850331    12.8
19850401 19850430     0.0
19850501 19850531    32.8
19850601 19850630     7.4
19850701 19850731     0.0
19850801 19850831    30.0
19850901 19850930     0.6
19851001 19851031    17.8
19851101 19851130     5.8
19851201 19851231     4.8
19860101 19860131     0.0
19860201 19860228     1.0
19860301 19860331     0.0
19860401 19860430     0.0
19860501 19860531    27.0
19860601 19860630     7.0
19860701 19860731    50.2
19860801 19860831    24.0
19860901 19860930     0.0
19861001 19861031    55.2
19861101 19861130    21.8
19861201 19861231    11.8
19870101 19870131    43.8
19870201 19870228    45.0
19870301 19870331    11.4
19870401 19870430     0.0
19870501 19870531    20.6
19870601 19870630    13.4
19870701 19870731     8.4
19870801 19870831     0.0
19870901 19870930     3.0
19871001 19871031     0.0
19871101 19871130     0.0
19871201 19871231    19.0
19880101 19880131     4.4
19880201 19880229     0.0
19880301 19880331    33.8
19880401 19880430     2.8
19880501 19880531    42.4
19880601 19880630    18.2
19880701 19880731    10.8
19880801 19880831     0.0
19880901 19880930     3.6
19881001 19881031     0.0
19881101 19881130     0.0
19881201 19881231    87.2
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331   269.8
19890401 19890430    10.4
19890501 19890531    52.0
19890601 19890630    29.0
19890701 19890731    13.8
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     3.2
19891101 19891130    15.0
19891201 19891231    14.9
19900101 19900131    23.7
19900201 19900228     2.0
19900301 19900331     0.0
19900401 19900430     2.6
19900501 19900531    43.2
19900601 19900630     6.1
19900701 19900731     6.6
19900801 19900831    14.7
19900901 19900930     3.0
19901001 19901031     1.4
19901101 19901130     0.4
19901201 19901231     2.1
19910101 19910131     0.0
19910201 19910228     0.0
19910301 19910331    10.0
19910401 19910430 99999.9
19910501 19910531     0.0
19910601 19910630    18.0
19910701 19910731     5.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130    15.5
19911201 19911231     0.0
19920101 19920131     0.0
19920201 19920229    77.0
19920301 19920331    27.6
19920401 19920430     4.2
19920501 19920531    30.0
19920601 19920630     2.0
19920701 19920731     0.0
19920801 19920831    33.8
19920901 19920930    27.2
19921001 19921031    61.2
19921101 19921130    18.6
19921201 19921231    70.8
19930101 19930131    13.8
19930201 19930228 99999.9
19930301 19930331 99999.9
19930401 19930430     0.0
19930501 19930531    25.4
19930601 19930630    15.4
19930701 19930731    14.4
19930801 19930831     3.2
19930901 19930930     0.3
19931001 19931031 99999.9
19931101 19931130 99999.9
19931201 19931231 99999.9
19940101 19940131 99999.9
19940201 19940228 99999.9
19940301 19940331 99999.9
19940401 19940430     0.0
19940501 19940531     0.4
19940601 19940630    10.9
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.0
19941001 19941031     0.0
19941101 19941130     0.0
19941201 19941231 99999.9
19950101 19950131 99999.9
19950201 19950228 99999.9
19950301 19950331 99999.9
19950401 19950430 99999.9
19950501 19950531 99999.9
19950601 19950630 99999.9
19950701 19950731 99999.9
19950801 19950831 99999.9
19950901 19950930 99999.9
19951001 19951031 99999.9
19951101 19951130 99999.9
19951201 19951231 99999.9
19960101 19960131     0.0
19960201 19960229     2.0
19960301 19960331     0.0
19960401 19960430     0.0
19960501 19960531     1.4
19960601 19960630     7.2
19960701 19960731    36.0
19960801 19960831     7.4
19960901 19960930    32.0
19961001 19961031     0.0
19961101 19961130    14.8
19961201 19961231    24.0
19970101 19970131    39.6
19970201 19970228    72.4
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531     8.0
19970601 19970630     5.8
19970701 19970731     0.0
19970801 19970831    23.8
19970901 19970930    35.4
19971001 19971031    15.0
19971101 19971130    15.8
19971201 19971231     0.0
19980101 19980131    31.6
19980201 19980228     7.8
19980301 19980331     8.8
19980401 19980430    34.0
19980501 19980531     1.2
19980601 19980630     6.4
19980701 19980731    20.8
19980801 19980831    17.0
19980901 19980930    15.4
19981001 19981031    11.4
19981101 19981130    34.8
19981201 19981231    22.8
19990101 19990131     0.0
19990201 19990228     8.0
19990301 19990331     9.0
19990401 19990430     1.2
19990501 19990531     6.8
19990601 19990630    10.8
19990701 19990731     2.0
19990801 19990831     8.0
19990901 19990930     5.8
19991001 19991031    10.0
19991101 19991130     9.6
19991201 19991231    10.0
20000101 20000131     1.4
20000201 20000229    48.0
20000301 20000331     6.6
20000401 20000430    10.4
20000501 20000531     6.8
20000601 20000630     2.2
20000701 20000731     0.6
20000801 20000831    12.8
20000901 20000930    12.4
20001001 20001031     5.8
20001101 20001130    17.4
20001201 20001231     2.2
20010101 20010131    40.0
20010201 20010228     5.2
20010301 20010331     9.0
20010401 20010430     5.0
20010501 20010531     9.0
20010601 20010630    74.4
20010701 20010731     8.6
20010801 20010831     4.0
20010901 20010930    24.0
20011001 20011031    51.6
20011101 20011130    12.2
20011201 20011231    37.8
20020101 20020131    13.4
20020201 20020228     0.0
20020301 20020331     0.4
20020401 20020430     1.0
20020501 20020531     7.4
20020601 20020630     3.6
20020701 20020731     4.0
20020801 20020831     0.0
20020901 20020930     4.6
20021001 20021031     0.0
20021101 20021130    22.4
20021201 20021231     0.4
20030101 20030131     4.4
20030201 20030228    94.0
20030301 20030331     0.0
20030401 20030430    24.2
20030501 20030531     0.0
20030601 20030630     1.6
20030701 20030731     3.4
20030801 20030831    32.6
20030901 20030930     7.0
20031001 20031031    32.8
20031101 20031130    16.6
20031201 20031231     3.0
20040101 20040131     2.0
20040201 20040229     5.8
20040301 20040331     0.0
20040401 20040430     2.6
20040501 20040531    18.0
20040601 20040630    56.6
20040701 20040731    10.6
20040801 20040831    11.2
20040901 20040930     7.0
20041001 20041031    25.4
20041101 20041130    12.6
20041201 20041231    18.4
20050101 20050131    20.8
20050201 20050228     0.0
20050301 20050331     3.0
20050401 20050430     0.0
20050501 20050531     1.8
20050601 20050630    24.4
20050701 20050731    12.6
20050801 20050831     4.6
20050901 20050930    11.6
20051001 20051031    51.0
20051101 20051130    11.6
20051201 20051231     6.0
20060101 20060131     7.0
20060201 20060228    30.0
