PRCP       017031 18850801 20141231 missing_value=99999.9 MARREE                                    
19241101 19241130    17.0
19241201 19241231     9.7
19250101 19250131    15.0
19250201 19250228    42.6
19250301 19250331     0.0
19250401 19250430     4.6
19250501 19250531    14.8
19250601 19250630     0.0
19250701 19250731    33.5
19250801 19250831     0.0
19250901 19250930     0.8
19251001 19251031     0.0
19251101 19251130     0.0
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331    52.1
19260401 19260430     9.1
19260501 19260531    21.5
19260601 19260630     6.6
19260701 19260731     0.5
19260801 19260831     8.4
19260901 19260930    40.7
19261001 19261031     0.0
19261101 19261130     4.3
19261201 19261231     0.5
19270101 19270131     2.3
19270201 19270228     5.8
19270301 19270331     7.1
19270401 19270430     0.0
19270501 19270531     0.5
19270601 19270630    16.7
19270701 19270731     5.1
19270801 19270831     0.0
19270901 19270930     4.9
19271001 19271031     7.9
19271101 19271130     7.7
19271201 19271231    78.3
19280101 19280131     4.4
19280201 19280229    24.9
19280301 19280331     1.3
19280401 19280430     0.0
19280501 19280531     1.5
19280601 19280630    27.0
19280701 19280731     8.7
19280801 19280831     3.3
19280901 19280930     1.5
19281001 19281031    21.6
19281101 19281130     0.0
19281201 19281231    18.5
19290101 19290131     1.3
19290201 19290228     0.0
19290301 19290331    25.2
19290401 19290430     0.0
19290501 19290531     0.0
19290601 19290630     8.9
19290701 19290731     0.0
19290801 19290831     4.8
19290901 19290930    14.0
19291001 19291031     0.0
19291101 19291130     8.9
19291201 19291231    30.2
19300101 19300131     0.0
19300201 19300228    48.7
19300301 19300331     0.0
19300401 19300430    17.6
19300501 19300531     6.8
19300601 19300630     0.0
19300701 19300731     2.3
19300801 19300831     8.3
19300901 19300930     9.9
19301001 19301031    47.0
19301101 19301130    14.0
19301201 19301231    66.5
19310101 19310131     1.0
19310201 19310228     0.0
19310301 19310331    25.9
19310401 19310430    33.2
19310501 19310531     9.3
19310601 19310630    21.1
19310701 19310731     5.6
19310801 19310831     1.3
19310901 19310930     1.1
19311001 19311031     5.1
19311101 19311130     3.8
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229     9.9
19320301 19320331    19.1
19320401 19320430     8.9
19320501 19320531    49.8
19320601 19320630     6.4
19320701 19320731     1.3
19320801 19320831     3.5
19320901 19320930    24.0
19321001 19321031    34.1
19321101 19321130    35.6
19321201 19321231     1.1
19330101 19330131     0.0
19330201 19330228    19.6
19330301 19330331    11.2
19330401 19330430     4.1
19330501 19330531    12.2
19330601 19330630     0.0
19330701 19330731     7.3
19330801 19330831    28.4
19330901 19330930     0.5
19331001 19331031     0.0
19331101 19331130     8.9
19331201 19331231     4.8
19340101 19340131     2.5
19340201 19340228    21.2
19340301 19340331    20.0
19340401 19340430     1.0
19340501 19340531     0.0
19340601 19340630     1.3
19340701 19340731     1.0
19340801 19340831     0.0
19340901 19340930     3.0
19341001 19341031    31.2
19341101 19341130     2.3
19341201 19341231     0.0
19350101 19350131    19.1
19350201 19350228     0.0
19350301 19350331     0.0
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630    21.8
19350701 19350731     0.0
19350801 19350831    16.0
19350901 19350930    26.2
19351001 19351031    16.0
19351101 19351130     7.1
19351201 19351231     3.0
19360101 19360131    15.5
19360201 19360229     1.3
19360301 19360331     0.5
19360401 19360430     0.0
19360501 19360531    18.3
19360601 19360630     0.0
19360701 19360731    27.0
19360801 19360831     7.1
19360901 19360930     0.0
19361001 19361031    23.1
19361101 19361130     0.0
19361201 19361231    22.8
19370101 19370131    54.4
19370201 19370228     6.8
19370301 19370331     0.0
19370401 19370430     1.0
19370501 19370531     0.5
19370601 19370630     5.3
19370701 19370731     0.0
19370801 19370831     5.1
19370901 19370930     0.0
19371001 19371031     6.6
19371101 19371130    78.0
19371201 19371231    12.7
19380101 19380131     0.0
19380201 19380228    74.9
19380301 19380331     0.0
19380401 19380430     0.0
19380501 19380531     4.1
19380601 19380630     6.6
19380701 19380731     6.1
19380801 19380831    19.9
19380901 19380930     0.5
19381001 19381031     4.8
19381101 19381130     0.0
19381201 19381231     1.3
19390101 19390131    97.1
19390201 19390228    75.4
