PRCP       014401 19161201 20180131 missing_value=99999.9 WARRUWI                                   
19470801 19470831     1.1
19470901 19470930     1.0
19471001 19471031     1.4
19471101 19471130    31.9
19471201 19471231   135.0
19480101 19480131   126.0
19480201 19480229   214.3
19480301 19480331    99.8
19480401 19480430   602.1
19480501 19480531     4.3
19480601 19480630     0.4
19480701 19480731     0.0
19480801 19480831     0.8
19480901 19480930     0.0
19481001 19481031     0.8
19481101 19481130   118.3
19481201 19481231   150.3
19490101 19490131   176.3
19490201 19490228   262.3
19490301 19490331   347.0
19490401 19490430    53.5
19490501 19490531     0.0
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     2.0
19490901 19490930     2.5
19491001 19491031     1.3
19491101 19491130    79.9
19491201 19491231   392.6
19500101 19500131   543.8
19500201 19500228   290.4
19500301 19500331   119.0
19500401 19500430    26.0
19500501 19500531    26.2
19500601 19500630     0.0
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031    76.4
19501101 19501130    40.5
19501201 19501231   272.2
19510101 19510131   234.3
19510201 19510228   331.7
19510301 19510331   137.2
19510401 19510430    41.8
19510501 19510531     0.0
19510601 19510630     0.0
19510701 19510731     0.0
19510801 19510831    10.7
19510901 19510930     3.6
19511001 19511031     0.5
19511101 19511130     0.0
19511201 19511231     9.7
19520101 19520131   293.6
19520201 19520229   220.2
19520301 19520331   143.1
19520401 19520430    29.0
19520501 19520531     2.6
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031    72.6
19521101 19521130    95.5
19521201 19521231   112.9
19530101 19530131   249.7
19530201 19530228   182.6
19530301 19530331   158.4
19530401 19530430   459.6
19530501 19530531     0.0
19530601 19530630     0.0
19530701 19530731     0.0
19530801 19530831     0.0
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130     3.8
19531201 19531231    90.5
19540101 19540131   367.5
19540201 19540228   114.0
19540301 19540331    98.4
19540401 19540430   360.4
19540501 19540531     0.0
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031    27.7
19541101 19541130    46.7
19541201 19541231   387.5
19550101 19550131   238.8
19550201 19550228   385.5
19550301 19550331   179.4
19550401 19550430   177.3
19550501 19550531    29.2
19550601 19550630    17.2
19550701 19550731    44.2
19550801 19550831     0.5
19550901 19550930     0.0
19551001 19551031     1.5
19551101 19551130   190.5
19551201 19551231     6.9
19560101 19560131   285.1
19560201 19560229   324.4
19560301 19560331   306.9
19560401 19560430   265.3
19560501 19560531    76.1
19560601 19560630     0.0
19560701 19560731     4.3
19560801 19560831     0.0
19560901 19560930     1.5
19561001 19561031     2.0
19561101 19561130   121.3
19561201 19561231   359.7
19570101 19570131   223.2
19570201 19570228   295.4
19570301 19570331   455.1
19570401 19570430   555.1
19570501 19570531     2.6
19570601 19570630     3.1
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     4.1
19571101 19571130    30.0
19571201 19571231   624.9
19580101 19580131   197.4
19580201 19580228   129.3
19580301 19580331    90.6
19580401 19580430   113.1
19580501 19580531    19.7
19580601 19580630     0.0
19580701 19580731     1.0
19580801 19580831     3.0
19580901 19580930     0.0
19581001 19581031    14.2
19581101 19581130    79.8
19581201 19581231   105.4
19590101 19590131   417.1
19590201 19590228   264.1
19590301 19590331   165.8
19590401 19590430   506.2
19590501 19590531     4.8
19590601 19590630     0.3
19590701 19590731     0.0
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130    17.3
19591201 19591231   203.2
19600101 19600131   241.1
19600201 19600229   321.3
19600301 19600331   223.0
19600401 19600430    81.1
19600501 19600531    48.3
19600601 19600630     0.0
19600701 19600731     0.0
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130    45.4
19601201 19601231    90.2
19610101 19610131   324.6
19610201 19610228   314.7
19610301 19610331   104.1
19610401 19610430    44.2
19610501 19610531     0.8
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     4.1
19610901 19610930     0.5
19611001 19611031     0.5
19611101 19611130    21.6
19611201 19611231    73.8
19620101 19620131   557.4
19620201 19620228   236.1
19620301 19620331    63.0
19620401 19620430    40.4
19620501 19620531     9.1
19620601 19620630     5.0
19620701 19620731     0.0
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     6.1
19621101 19621130    58.1
19621201 19621231   123.9
19630101 19630131   133.4
19630201 19630228   315.6
19630301 19630331   193.5
19630401 19630430   265.7
19630501 19630531     0.0
19630601 19630630     0.0
19630701 19630731     0.0
19630801 19630831     0.0
19630901 19630930     1.8
19631001 19631031     2.8
19631101 19631130    12.5
19631201 19631231   162.4
19640101 19640131   290.9
19640201 19640229   161.9
19640301 19640331   504.3
19640401 19640430   139.3
19640501 19640531    53.6
19640601 19640630     0.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.3
19641001 19641031    15.0
19641101 19641130   330.5
19641201 19641231   293.8
19650101 19650131   220.5
19650201 19650228   476.0
19650301 19650331   345.3
19650401 19650430    10.9
19650501 19650531    24.7
19650601 19650630     2.1
19650701 19650731     0.0
19650801 19650831     0.3
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     1.5
19651201 19651231   425.2
19660101 19660131   295.1
19660201 19660228   398.4
19660301 19660331    56.5
19660401 19660430     3.8
19660501 19660531     3.8
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031    10.2
19661101 19661130    92.0
19661201 19661231    44.0
19670101 19670131   316.1
19670201 19670228   285.6
19670301 19670331   116.0
19670401 19670430    28.5
19670501 19670531     6.9
19670601 19670630     9.1
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130    19.6
19671201 19671231   183.8
19680101 19680131   336.0
19680201 19680229   330.9
19680301 19680331    87.9
19680401 19680430    93.2
19680501 19680531   185.2
19680601 19680630     0.3
19680701 19680731     0.0
19680801 19680831     0.0
19680901 19680930     0.0
19681001 19681031     0.0
19681101 19681130    21.8
19681201 19681231   190.3
19690101 19690131   374.9
19690201 19690228   408.5
19690301 19690331   547.1
19690401 19690430    28.7
19690501 19690531     1.8
19690601 19690630     0.0
19690701 19690731     0.5
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    66.8
19691101 19691130     0.8
19691201 19691231   155.8
19700101 19700131   106.9
19700201 19700228   136.0
19700301 19700331   130.2
19700401 19700430    33.6
19700501 19700531     5.6
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.3
19700901 19700930     8.1
19701001 19701031     0.0
19701101 19701130    74.5
19701201 19701231   232.7
19710101 19710131   170.2
19710201 19710228   241.8
19710301 19710331   306.9
19710401 19710430   182.8
19710501 19710531     0.0
19710601 19710630     0.3
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031    18.8
19711101 19711130    67.8
19711201 19711231    86.8
19720101 19720131   248.3
19720201 19720229   199.3
19720301 19720331   260.0
19720401 19720430    33.9
19720501 19720531    13.3
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     4.1
19721001 19721031     0.5
19721101 19721130    21.6
19721201 19721231    53.5
19730101 19730131   337.5
19730201 19730228   289.7
19730301 19730331   260.3
19730401 19730430    29.2
19730501 19730531     8.1
19730601 19730630    46.5
19730701 19730731     2.3
19730801 19730831     0.0
19730901 19730930     0.0
19731001 19731031     0.0
19731101 19731130   457.6
19731201 19731231    62.7
19740101 19740131   379.0
19740201 19740228   118.9
19740301 19740331   355.1
19740401 19740430    68.8
19740501 19740531     6.9
19740601 19740630     0.2
19740701 19740731     0.2
19740801 19740831     3.2
19740901 19740930     2.0
19741001 19741031    53.0
19741101 19741130   107.6
19741201 19741231   222.2
19750101 19750131   117.4
19750201 19750228   281.1
19750301 19750331   310.9
19750401 19750430   221.3
19750501 19750531    21.0
19750601 19750630     3.6
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930     0.0
19751001 19751031     1.2
19751101 19751130   180.4
19751201 19751231   276.7
19760101 19760131   250.2
19760201 19760229   229.9
19760301 19760331   430.1
19760401 19760430    22.8
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     0.0
19761001 19761031     6.0
19761101 19761130    30.7
