PRCP       044168 19040101 20151231 missing_value=99999.9 BAYRICK                                   
19360101 19360131    86.4
19360201 19360229    54.4
19360301 19360331   245.1
19360401 19360430     0.0
19360501 19360531     5.1
19360601 19360630    45.5
19360701 19360731    55.4
19360801 19360831     1.6
19360901 19360930    16.0
19361001 19361031     0.0
19361101 19361130    50.5
19361201 19361231    63.7
19370101 19370131    24.9
19370201 19370228    74.1
19370301 19370331   107.9
19370401 19370430    20.3
19370501 19370531     0.0
19370601 19370630    34.6
19370701 19370731    25.2
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031    10.2
19371101 19371130    26.2
19371201 19371231     0.0
19380101 19380131   129.6
19380201 19380228    53.6
19380301 19380331     0.8
19380401 19380430     0.0
19380501 19380531    27.9
19380601 19380630    30.5
19380701 19380731    17.8
19380801 19380831    29.1
19380901 19380930    12.7
19381001 19381031    19.0
19381101 19381130    34.8
19381201 19381231     0.0
19390101 19390131    78.1
19390201 19390228    68.6
19390301 19390331   109.4
19390401 19390430    57.5
19390501 19390531    22.9
19390601 19390630    20.3
19390701 19390731    84.4
19390801 19390831    28.4
19390901 19390930     0.0
19391001 19391031    39.9
19391101 19391130    23.6
19391201 19391231    34.8
19400101 19400131    64.2
19400201 19400229   172.3
19400301 19400331     5.6
19400401 19400430    22.9
19400501 19400531    25.7
19400601 19400630     0.0
19400701 19400731     0.0
19400801 19400831    25.4
19400901 19400930     7.6
19401001 19401031     0.0
19401101 19401130    33.2
19401201 19401231    46.8
19410101 19410131   367.3
19410201 19410228    30.4
19410301 19410331   109.0
19410401 19410430    12.7
19410501 19410531    75.8
19410601 19410630    45.3
19410701 19410731     5.1
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    19.0
19411101 19411130    12.4
19411201 19411231    36.1
19420101 19420131    29.5
19420201 19420228    25.1
19420301 19420331     0.0
19420401 19420430    25.9
19420501 19420531    71.1
19420601 19420630    12.7
19420701 19420731    28.5
19420801 19420831     0.0
19420901 19420930     5.1
19421001 19421031    57.4
19421101 19421130     2.5
19421201 19421231    87.6
19430101 19430131    46.3
19430201 19430228    14.5
19430301 19430331    27.2
19430401 19430430    15.2
19430501 19430531    15.2
19430601 19430630     3.8
19430701 19430731     0.0
19430801 19430831     8.1
19430901 19430930    85.6
19431001 19431031    52.0
19431101 19431130    55.9
19431201 19431231    16.5
19440101 19440131     9.4
19440201 19440229   112.6
19440301 19440331     0.0
19440401 19440430    17.8
19440501 19440531    29.2
19440601 19440630     0.0
19440701 19440731    61.2
19440801 19440831    42.9
19440901 19440930    10.2
19441001 19441031    16.5
19441101 19441130    20.9
19441201 19441231    63.9
19450101 19450131    27.2
19450201 19450228    59.0
19450301 19450331     2.0
19450401 19450430    19.1
19450501 19450531    59.7
19450601 19450630    45.1
19450701 19450731    52.1
19450801 19450831    16.5
19450901 19450930     7.6
19451001 19451031    23.2
19451101 19451130    14.0
19451201 19451231    21.6
19460101 19460131   225.2
