PRCP       078078 18830101 20180131 missing_value=99999.9 KANIVA                                    
19140701 19140731    19.7
19140801 19140831     5.3
19140901 19140930     5.9
19141001 19141031     3.8
19141101 19141130    47.3
19141201 19141231    27.5
19150101 19150131     8.9
19150201 19150228     2.3
19150301 19150331     4.3
19150401 19150430    22.7
19150501 19150531    56.2
19150601 19150630   112.2
19150701 19150731    33.1
19150801 19150831    74.3
19150901 19150930   106.2
19151001 19151031    28.4
19151101 19151130    12.0
19151201 19151231     0.5
19160101 19160131    35.1
19160201 19160229     5.0
19160301 19160331     0.5
19160401 19160430    14.8
19160501 19160531    21.0
19160601 19160630   110.4
19160701 19160731    59.1
19160801 19160831   107.8
19160901 19160930    80.3
19161001 19161031    50.4
19161101 19161130    76.9
19161201 19161231    30.1
19170101 19170131     9.7
19170201 19170228    27.9
19170301 19170331    31.0
19170401 19170430    20.4
19170501 19170531    81.3
19170601 19170630    30.9
19170701 19170731    99.7
19170801 19170831    52.2
19170901 19170930    82.3
19171001 19171031    79.7
19171101 19171130    15.5
19171201 19171231    23.4
19180101 19180131    21.1
19180201 19180228    19.5
19180301 19180331     9.9
19180401 19180430    35.7
19180501 19180531    85.2
19180601 19180630    80.4
19180701 19180731    47.6
19180801 19180831    55.4
19180901 19180930     5.1
19181001 19181031    54.3
19181101 19181130     8.6
19181201 19181231     8.9
19190101 19190131     4.3
19190201 19190228    90.4
19190301 19190331    31.8
19190401 19190430     5.3
19190501 19190531    40.0
19190601 19190630    29.9
19190701 19190731    46.4
19190801 19190831    44.2
19190901 19190930    46.6
19191001 19191031    37.9
19191101 19191130     4.5
19191201 19191231    24.2
19200101 19200131     1.8
19200201 19200229     0.0
19200301 19200331    16.3
19200401 19200430     2.3
19200501 19200531    45.7
19200601 19200630    71.4
19200701 19200731    34.7
19200801 19200831   138.2
19200901 19200930    54.4
19201001 19201031    53.3
19201101 19201130    36.7
19201201 19201231    13.7
19210101 19210131    33.3
19210201 19210228    34.6
19210301 19210331    17.9
19210401 19210430    10.9
19210501 19210531    54.0
19210601 19210630    55.6
19210701 19210731    81.5
19210801 19210831    53.4
19210901 19210930    51.3
19211001 19211031    27.7
19211101 19211130    68.5
19211201 19211231    24.7
19220101 19220131    16.2
19220201 19220228    11.4
19220301 19220331     1.0
19220401 19220430    32.6
19220501 19220531    63.5
19220601 19220630    68.3
19220701 19220731    56.0
19220801 19220831    55.8
19220901 19220930    43.0
19221001 19221031    58.4
19221101 19221130     4.8
19221201 19221231    72.4
19230101 19230131     4.1
19230201 19230228     2.8
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531   122.4
19230601 19230630   102.2
19230701 19230731    85.1
19230801 19230831    37.7
19230901 19230930    76.4
19231001 19231031    48.2
19231101 19231130    21.1
19231201 19231231    43.6
19240101 19240131    10.6
19240201 19240229    83.2
19240301 19240331    29.1
19240401 19240430    17.4
19240501 19240531    31.4
19240601 19240630    47.9
19240701 19240731    16.8
19240801 19240831    41.0
19240901 19240930    55.3
19241001 19241031    51.1
19241101 19241130    71.5
19241201 19241231     3.6
19250101 19250131    11.9
19250201 19250228    28.5
19250301 19250331     9.4
19250401 19250430    14.7
19250501 19250531    72.3
19250601 19250630    48.6
19250701 19250731    44.1
19250801 19250831    45.7
19250901 19250930    69.6
19251001 19251031    11.8
19251101 19251130    13.5
19251201 19251231     3.3
19260101 19260131     0.0
19260201 19260228     7.1
19260301 19260331     1.8
19260401 19260430    55.5
19260501 19260531   100.1
19260601 19260630    36.5
19260701 19260731    53.8
19260801 19260831    67.2
19260901 19260930    39.4
19261001 19261031    33.4
19261101 19261130    11.4
19261201 19261231     8.1
19270101 19270131     8.9
19270201 19270228    20.3
19270301 19270331    12.7
19270401 19270430     2.5
19270501 19270531    73.9
19270601 19270630    22.2
19270701 19270731    69.9
19270801 19270831   103.1
19270901 19270930    22.3
19271001 19271031     9.3
19271101 19271130    34.9
19271201 19271231    26.8
19280101 19280131    32.8
19280201 19280229    60.7
19280301 19280331    20.9
19280401 19280430    24.5
19280501 19280531    34.1
19280601 19280630    34.0
19280701 19280731    61.8
19280801 19280831     9.9
19280901 19280930    57.6
19281001 19281031    86.1
19281101 19281130     7.3
19281201 19281231     3.8
19290101 19290131    20.6
19290201 19290228     8.8
19290301 19290331    24.6
19290401 19290430    35.6
19290501 19290531    40.5
19290601 19290630    65.1
19290701 19290731    42.6
19290801 19290831    53.8
19290901 19290930    38.1
19291001 19291031    21.3
19291101 19291130     8.9
19291201 19291231    69.1
19300101 19300131     0.0
19300201 19300228    27.7
19300301 19300331     5.5
19300401 19300430    33.7
19300501 19300531    22.9
19300601 19300630     8.5
19300701 19300731    76.4
19300801 19300831    72.3
19300901 19300930    58.1
19301001 19301031    42.2
19301101 19301130    30.2
19301201 19301231   107.7
19310101 19310131     7.6
19310201 19310228     1.0
19310301 19310331    18.9
19310401 19310430    38.3
19310501 19310531    37.4
19310601 19310630    93.5
19310701 19310731    48.9
19310801 19310831    58.2
19310901 19310930    40.3
19311001 19311031     6.0
19311101 19311130    11.8
19311201 19311231    23.4
19320101 19320131     0.0
19320201 19320229    54.7
19320301 19320331    31.8
19320401 19320430    68.3
19320501 19320531    32.6
19320601 19320630    63.7
19320701 19320731    59.1
19320801 19320831    56.6
19320901 19320930    29.0
19321001 19321031    41.8
19321101 19321130    12.2
19321201 19321231    18.7
19330101 19330131    50.0
19330201 19330228     2.0
19330301 19330331    19.9
19330401 19330430    27.9
19330501 19330531    88.8
