PRCP       016055 18940101 20180131 missing_value=99999.9 YARDEA                                    
19260901 19260930    30.1
19261001 19261031    28.5
19261101 19261130     3.0
19261201 19261231     0.0
19270101 19270131     2.0
19270201 19270228     1.8
19270301 19270331    14.3
19270401 19270430     1.0
19270501 19270531    16.0
19270601 19270630    60.2
19270701 19270731    25.3
19270801 19270831    17.3
19270901 19270930     7.9
19271001 19271031     5.6
19271101 19271130    15.8
19271201 19271231     5.1
19280101 19280131     0.8
19280201 19280229    18.5
19280301 19280331     1.3
19280401 19280430     3.3
19280501 19280531     6.1
19280601 19280630    23.5
19280701 19280731    15.5
19280801 19280831     7.9
19280901 19280930     8.0
19281001 19281031    24.6
19281101 19281130     3.6
19281201 19281231     0.0
19290101 19290131     0.0
19290201 19290228    18.3
19290301 19290331     0.0
19290401 19290430     0.0
19290501 19290531    22.9
19290601 19290630    10.1
19290701 19290731    12.0
19290801 19290831    25.1
19290901 19290930    31.3
19291001 19291031     4.3
19291101 19291130    48.8
19291201 19291231     2.8
19300101 19300131     0.0
19300201 19300228     4.1
19300301 19300331     0.0
19300401 19300430    16.4
19300501 19300531     7.6
19300601 19300630    13.7
19300701 19300731    54.6
19300801 19300831    41.6
19300901 19300930    15.8
19301001 19301031    72.2
19301101 19301130     5.3
19301201 19301231     2.3
19310101 19310131     2.0
19310201 19310228     0.8
19310301 19310331    40.7
19310401 19310430    36.0
19310501 19310531    26.8
19310601 19310630    58.7
19310701 19310731    26.7
19310801 19310831    19.8
19310901 19310930    20.1
19311001 19311031    10.1
19311101 19311130    11.2
19311201 19311231     1.8
19320101 19320131     3.0
19320201 19320229    45.2
19320301 19320331     1.3
19320401 19320430    23.7
19320501 19320531    14.9
19320601 19320630    42.3
19320701 19320731    29.7
19320801 19320831    52.5
19320901 19320930    24.7
19321001 19321031    18.5
19321101 19321130     0.0
19321201 19321231    13.9
19330101 19330131     5.1
19330201 19330228     0.0
19330301 19330331    23.5
19330401 19330430    11.0
19330501 19330531    38.6
19330601 19330630     1.3
19330701 19330731    30.5
19330801 19330831    33.7
19330901 19330930    21.9
19331001 19331031     6.3
19331101 19331130   107.7
19331201 19331231     8.6
19340101 19340131     1.5
19340201 19340228    27.7
19340301 19340331    26.4
19340401 19340430     1.5
19340501 19340531     5.1
19340601 19340630    21.6
19340701 19340731    16.8
19340801 19340831    51.0
19340901 19340930     9.1
19341001 19341031    28.2
19341101 19341130    45.5
19341201 19341231     0.0
19350101 19350131    26.7
19350201 19350228     0.0
19350301 19350331    41.7
19350401 19350430     8.7
19350501 19350531    18.8
19350601 19350630    18.3
19350701 19350731    19.0
19350801 19350831    25.0
19350901 19350930    58.8
19351001 19351031    43.2
19351101 19351130    21.8
19351201 19351231     7.4
19360101 19360131    14.2
19360201 19360229     8.9
19360301 19360331     0.0
19360401 19360430     1.0
19360501 19360531     5.4
19360601 19360630    32.2
19360701 19360731    64.6
19360801 19360831    27.5
19360901 19360930     2.0
19361001 19361031    37.8
19361101 19361130     5.8
19361201 19361231    42.9
19370101 19370131    31.9
19370201 19370228    13.9
19370301 19370331     1.3
19370401 19370430    14.2
19370501 19370531    23.8
19370601 19370630    27.1
19370701 19370731    18.6
19370801 19370831    58.0
19370901 19370930    12.0
19371001 19371031    11.2
19371101 19371130    23.1
19371201 19371231    13.5
19380101 19380131     6.8
19380201 19380228   130.0
19380301 19380331     0.0
19380401 19380430    29.3
19380501 19380531     4.6
19380601 19380630    33.9
19380701 19380731    24.6
19380801 19380831    31.9
19380901 19380930     3.0
19381001 19381031    22.9
19381101 19381130     0.0
19381201 19381231     8.9
19390101 19390131    42.2
19390201 19390228     5.9
19390301 19390331    32.2
19390401 19390430    11.4
19390501 19390531    21.4
19390601 19390630    20.4
19390701 19390731    52.5
19390801 19390831    59.0
19390901 19390930     3.5
19391001 19391031     6.1
19391101 19391130    47.7
19391201 19391231     0.5
19400101 19400131    27.5
19400201 19400229    25.2
19400301 19400331    20.1
19400401 19400430    14.2
19400501 19400531    18.0
19400601 19400630     2.6
19400701 19400731    18.0
19400801 19400831     6.1
19400901 19400930    11.1
19401001 19401031     5.9
19401101 19401130    12.9
19401201 19401231     2.3
19410101 19410131    45.0
19410201 19410228     0.0
19410301 19410331    65.3
19410401 19410430     3.8
19410501 19410531     7.3
19410601 19410630    22.3
19410701 19410731    22.6
19410801 19410831    36.2
19410901 19410930    47.5
19411001 19411031    18.8
19411101 19411130    17.7
19411201 19411231     0.0
19420101 19420131    20.5
19420201 19420228     1.8
19420301 19420331     5.9
19420401 19420430    18.8
19420501 19420531    31.1
19420601 19420630    57.6
19420701 19420731    38.3
19420801 19420831    47.2
19420901 19420930    36.1
19421001 19421031    12.8
19421101 19421130    36.7
19421201 19421231    35.1
19430101 19430131     6.6
19430201 19430228    38.4
19430301 19430331     1.3
19430401 19430430    13.4
19430501 19430531     6.6
19430601 19430630    12.1
19430701 19430731    41.2
19430801 19430831    37.9
19430901 19430930    19.6
19431001 19431031    18.3
19431101 19431130     2.1
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229     8.1
19440301 19440331     0.3
19440401 19440430    14.7
19440501 19440531    36.3
19440601 19440630     6.9
19440701 19440731    12.2
19440801 19440831    14.0
19440901 19440930    16.0
19441001 19441031     5.3
19441101 19441130    10.7
19441201 19441231    41.4
19450101 19450131    31.0
19450201 19450228     4.5
19450301 19450331     0.5
19450401 19450430     3.8
19450501 19450531    19.5
19450601 19450630    34.7
19450701 19450731     9.4
19450801 19450831    20.9
19450901 19450930    16.1
19451001 19451031    33.0
19451101 19451130    27.5
19451201 19451231   107.8
19460101 19460131    28.4
19460201 19460228   144.6
19460301 19460331     2.8
19460401 19460430    12.6
19460501 19460531    16.6
19460601 19460630    24.6
19460701 19460731    36.2
19460801 19460831     7.9
19460901 19460930    30.7
19461001 19461031     6.9
19461101 19461130    45.7
19461201 19461231    45.8
19470101 19470131     5.1
19470201 19470228     7.6
19470301 19470331    32.0
19470401 19470430     6.3
19470501 19470531     5.1
19470601 19470630    22.8
19470701 19470731    35.4
19470801 19470831    34.3
19470901 19470930    39.6
19471001 19471031    11.4
19471101 19471130     6.9
19471201 19471231    11.4
19480101 19480131     0.0
19480201 19480229     2.8
19480301 19480331     0.0
19480401 19480430     7.8
19480501 19480531    12.5
19480601 19480630    10.6
19480701 19480731     8.0
19480801 19480831    26.5
19480901 19480930     0.0
19481001 19481031    43.7
19481101 19481130    22.8
19481201 19481231    28.2
19490101 19490131     0.0
19490201 19490228    42.7
19490301 19490331     0.0
19490401 19490430     0.0
19490501 19490531    27.1
19490601 19490630    13.9
19490701 19490731    38.9
19490801 19490831     7.3
19490901 19490930    49.0
19491001 19491031    53.6
19491101 19491130    44.6
19491201 19491231    12.5
19500101 19500131     0.0
19500201 19500228    22.9
19500301 19500331     3.8
19500401 19500430     1.8
19500501 19500531    49.4
19500601 19500630    29.9
19500701 19500731    14.8
19500801 19500831    45.2
19500901 19500930    12.8
19501001 19501031    40.7
19501101 19501130    15.8
19501201 19501231    80.5
19510101 19510131     0.0
19510201 19510228     0.0
19510301 19510331     7.6
19510401 19510430     5.9
19510501 19510531    43.8
19510601 19510630    58.3
19510701 19510731   101.6
19510801 19510831    38.9
19510901 19510930    18.5
19511001 19511031    22.3
19511101 19511130     1.8
19511201 19511231    15.5
19520101 19520131    29.2
19520201 19520229     0.5
19520301 19520331    12.7
19520401 19520430    35.6
19520501 19520531    61.3
19520601 19520630    12.2
19520701 19520731    28.9
19520801 19520831    11.6
19520901 19520930    24.1
19521001 19521031    36.3
19521101 19521130    33.1
19521201 19521231    11.2
19530101 19530131    23.9
19530201 19530228    11.1
19530301 19530331     0.0
19530401 19530430     0.0
19530501 19530531     9.6
19530601 19530630    46.0
19530701 19530731    25.7
19530801 19530831    41.8
19530901 19530930    17.6
19531001 19531031    25.4
19531101 19531130    16.3
19531201 19531231    27.5
19540101 19540131    23.1
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    38.8
19540501 19540531     0.0
19540601 19540630    29.9
19540701 19540731     7.8
19540801 19540831    23.9
19540901 19540930     6.9
19541001 19541031    37.9
19541101 19541130     6.4
19541201 19541231    13.0
19550101 19550131     0.0
19550201 19550228    34.6
