PRCP       091044 19080101 20180131 missing_value=99999.9 IRISHTOWN (JOHNS HILL ROAD)               
19681201 19681231    23.4
19690101 19690131    53.7
19690201 19690228   146.8
19690301 19690331    68.0
19690401 19690430    85.3
19690501 19690531   120.5
19690601 19690630    56.0
19690701 19690731   159.5
19690801 19690831   145.3
19690901 19690930   134.6
19691001 19691031    58.5
19691101 19691130    95.8
19691201 19691231    80.5
19700101 19700131    47.6
19700201 19700228    20.5
19700301 19700331    50.2
19700401 19700430   129.3
19700501 19700531   101.0
19700601 19700630   153.1
19700701 19700731   200.9
19700801 19700831   219.9
19700901 19700930   133.6
19701001 19701031    86.6
19701101 19701130    71.6
19701201 19701231    92.8
19710101 19710131    39.6
19710201 19710228    64.4
19710301 19710331    33.9
19710401 19710430   146.0
19710501 19710531   160.3
19710601 19710630   191.5
19710701 19710731    74.9
19710801 19710831   167.9
19710901 19710930   180.4
19711001 19711031   173.5
19711101 19711130    94.1
19711201 19711231    90.3
19720101 19720131    41.5
19720201 19720229    44.0
19720301 19720331    23.4
19720401 19720430    82.1
19720501 19720531    47.7
19720601 19720630    86.5
19720701 19720731   214.9
19720801 19720831   136.5
19720901 19720930    75.6
19721001 19721031    34.3
19721101 19721130    40.3
19721201 19721231    41.7
19730101 19730131    62.0
19730201 19730228    48.3
19730301 19730331    84.7
19730401 19730430   153.7
19730501 19730531   216.7
19730601 19730630   139.6
19730701 19730731    86.9
19730801 19730831   142.2
19730901 19730930   154.0
19731001 19731031   118.5
19731101 19731130    48.8
19731201 19731231   129.6
19740101 19740131    27.6
19740201 19740228    27.0
19740301 19740331    16.5
19740401 19740430   134.4
19740501 19740531    63.5
19740601 19740630    56.8
19740701 19740731   255.4
19740801 19740831   134.6
19740901 19740930   191.8
19741001 19741031   110.5
19741101 19741130    46.0
19741201 19741231   181.4
19750101 19750131    62.9
19750201 19750228    13.2
19750301 19750331   192.8
19750401 19750430    80.5
19750501 19750531   254.8
19750601 19750630    97.4
19750701 19750731   276.9
19750801 19750831   113.5
19750901 19750930   166.0
19751001 19751031   111.2
19751101 19751130   142.4
19751201 19751231    75.2
19760101 19760131    35.4
19760201 19760229    51.2
19760301 19760331    82.7
19760401 19760430    64.2
19760501 19760531   143.8
19760601 19760630   120.1
19760701 19760731   108.8
19760801 19760831   176.7
19760901 19760930    67.4
19761001 19761031    55.4
19761101 19761130    98.7
19761201 19761231   131.9
19770101 19770131    80.7
19770201 19770228    33.3
19770301 19770331   143.4
19770401 19770430    60.6
19770501 19770531   168.2
19770601 19770630   128.4
19770701 19770731   111.8
19770801 19770831   123.5
19770901 19770930    26.6
19771001 19771031    90.9
19771101 19771130   142.0
19771201 19771231    48.1
19780101 19780131    67.7
19780201 19780228    52.3
19780301 19780331    68.8
19780401 19780430   107.5
19780501 19780531   117.8
19780601 19780630   106.1
19780701 19780731   178.1
19780801 19780831   120.6
19780901 19780930    73.1
19781001 19781031    93.4
19781101 19781130    71.3
19781201 19781231    72.7
19790101 19790131   112.6
19790201 19790228    64.6
19790301 19790331    57.0
19790401 19790430   100.9
19790501 19790531   102.2
19790601 19790630   108.9
19790701 19790731    87.3
19790801 19790831   147.8
19790901 19790930   187.0
19791001 19791031   193.0
19791101 19791130    82.8
19791201 19791231    94.9
19800101 19800131    28.6
19800201 19800229    35.8
19800301 19800331    44.9
19800401 19800430   111.7
19800501 19800531   116.0
19800601 19800630   149.6
19800701 19800731   147.6
19800801 19800831   181.2
19800901 19800930   208.8
19801001 19801031    55.4
19801101 19801130    61.4
19801201 19801231    42.4
19810101 19810131    27.2
19810201 19810228    24.4
19810301 19810331    85.8
19810401 19810430   137.8
19810501 19810531    92.8
19810601 19810630   203.0
19810701 19810731   161.8
19810801 19810831   227.8
19810901 19810930   109.0
19811001 19811031    86.2
19811101 19811130    68.0
19811201 19811231    33.8
19820101 19820131    42.2
19820201 19820228    34.8
19820301 19820331   108.6
19820401 19820430    88.2
19820501 19820531   133.8
19820601 19820630   116.4
19820701 19820731   152.0
19820801 19820831    40.4
19820901 19820930   137.6
19821001 19821031    62.0
19821101 19821130    41.2
19821201 19821231    40.2
19830101 19830131    60.8
19830201 19830228     5.0
19830301 19830331    76.6
19830401 19830430   139.0
19830501 19830531   110.6
19830601 19830630   125.4
19830701 19830731   128.4
19830801 19830831   118.8
19830901 19830930   111.0
