PRCP       020005 19110501 20160930 missing_value=99999.9 ERUDINA                                   
19460501 19460531     0.0
19460601 19460630    14.7
19460701 19460731     1.3
19460801 19460831     1.0
19460901 19460930    15.0
19461001 19461031     4.1
19461101 19461130    23.2
19461201 19461231     0.3
19470101 19470131     0.0
19470201 19470228    48.0
19470301 19470331    23.9
19470401 19470430     5.1
19470501 19470531     0.0
19470601 19470630    10.2
19470701 19470731     8.1
19470801 19470831    19.0
19470901 19470930     4.6
19471001 19471031    25.4
19471101 19471130    24.4
19471201 19471231     2.8
19480101 19480131     0.0
19480201 19480229     4.6
19480301 19480331     0.0
19480401 19480430    10.7
19480501 19480531     0.0
19480601 19480630     4.3
19480701 19480731    13.1
19480801 19480831     2.0
19480901 19480930     0.0
19481001 19481031    21.4
19481101 19481130     7.8
19481201 19481231    62.3
19490101 19490131     0.0
19490201 19490228    32.2
19490301 19490331    50.6
19490401 19490430     2.3
19490501 19490531    28.8
19490601 19490630     0.0
19490701 19490731     7.0
19490801 19490831     1.3
19490901 19490930    31.9
19491001 19491031    27.3
19491101 19491130    12.3
19491201 19491231     5.1
19500101 19500131     0.0
19500201 19500228    92.9
19500301 19500331   126.5
19500401 19500430     0.0
19500501 19500531    60.5
19500601 19500630    25.4
19500701 19500731    32.3
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031    13.9
19501101 19501130    25.6
19501201 19501231     6.1
19510101 19510131     0.5
19510201 19510228     0.0
19510301 19510331     1.0
19510401 19510430     3.0
19510501 19510531     0.5
19510601 19510630    38.0
19510701 19510731    12.5
19510801 19510831     5.8
19510901 19510930    17.8
19511001 19511031    19.5
19511101 19511130     0.0
19511201 19511231     0.0
19520101 19520131    24.9
19520201 19520229    27.2
19520301 19520331     9.7
19520401 19520430    12.7
19520501 19520531    38.7
19520601 19520630     3.1
19520701 19520731     9.9
19520801 19520831    15.5
19520901 19520930     7.6
19521001 19521031    15.5
19521101 19521130     1.8
19521201 19521231     1.0
19530101 19530131    47.4
19530201 19530228    35.5
19530301 19530331     0.0
19530401 19530430     1.6
19530501 19530531     1.3
19530601 19530630     4.1
19530701 19530731     2.0
19530801 19530831     8.1
19530901 19530930     6.4
19531001 19531031     9.6
19531101 19531130     8.1
19531201 19531231    13.8
19540101 19540131    20.8
19540201 19540228     0.5
19540301 19540331     0.0
19540401 19540430    20.0
19540501 19540531     0.0
19540601 19540630     4.1
19540701 19540731     1.8
19540801 19540831     7.0
19540901 19540930     1.5
19541001 19541031    14.5
