PRCP       010795 19080301 20160531 missing_value=99999.9 AVONDALE RESEARCH STN                     
19650201 19650228     6.4
19650301 19650331     5.1
19650401 19650430     3.3
19650501 19650531    52.6
19650601 19650630   107.2
19650701 19650731    77.1
19650801 19650831    75.8
19650901 19650930    17.1
19651001 19651031    41.0
19651101 19651130    33.9
19651201 19651231    19.3
19660101 19660131     1.3
19660201 19660228     4.4
19660301 19660331     1.1
19660401 19660430    28.4
19660501 19660531    10.7
19660601 19660630    68.9
19660701 19660731   105.1
19660801 19660831    33.8
19660901 19660930    33.8
19661001 19661031    48.1
19661101 19661130     0.8
19661201 19661231     8.4
19670101 19670131     0.0
19670201 19670228     0.8
19670301 19670331     5.8
19670401 19670430    28.4
19670501 19670531   156.3
19670601 19670630    93.5
19670701 19670731    77.5
19670801 19670831    28.6
19670901 19670930    11.7
19671001 19671031    15.5
19671101 19671130     3.3
19671201 19671231     1.8
19680101 19680131    21.3
19680201 19680229    13.0
19680301 19680331    35.7
19680401 19680430    32.3
19680501 19680531    23.1
19680601 19680630   125.3
19680701 19680731    84.4
19680801 19680831    47.0
19680901 19680930    43.7
19681001 19681031    13.7
19681101 19681130     1.5
19681201 19681231     0.8
19690101 19690131     0.0
19690201 19690228     0.0
19690301 19690331    13.3
19690401 19690430    13.4
19690501 19690531    34.2
19690601 19690630    85.2
19690701 19690731    34.7
19690801 19690831    21.0
19690901 19690930    21.5
19691001 19691031     2.3
19691101 19691130     4.4
19691201 19691231     3.4
19700101 19700131     0.3
19700201 19700228    43.4
19700301 19700331     0.3
19700401 19700430    23.8
19700501 19700531    60.7
19700601 19700630    87.1
19700701 19700731    40.4
19700801 19700831    18.8
19700901 19700930    42.3
19701001 19701031    28.9
19701101 19701130    11.1
19701201 19701231     6.9
19710101 19710131    16.5
19710201 19710228    10.1
19710301 19710331    60.7
19710401 19710430     2.4
19710501 19710531    38.0
19710601 19710630    31.9
19710701 19710731    31.9
19710801 19710831    37.6
19710901 19710930    76.7
19711001 19711031    24.7
19711101 19711130    23.0
19711201 19711231     0.0
19720101 19720131     0.3
19720201 19720229     0.0
19720301 19720331     3.1
19720401 19720430    13.5
19720501 19720531    21.7
19720601 19720630    49.5
19720701 19720731    57.7
19720801 19720831    70.7
19720901 19720930     7.2
19721001 19721031     9.5
19721101 19721130     4.0
19721201 19721231     0.3
19730101 19730131     8.4
19730201 19730228     0.0
19730301 19730331     0.0
19730401 19730430    20.5
19730501 19730531    34.6
19730601 19730630   102.5
19730701 19730731    75.3
19730801 19730831    58.7
19730901 19730930    60.9
19731001 19731031    20.8
19731101 19731130    10.2
19731201 19731231     0.0
19740101 19740131     0.4
19740201 19740228     0.4
19740301 19740331     1.2
19740401 19740430   109.6
19740501 19740531    94.0
19740601 19740630    48.6
19740701 19740731   133.4
19740801 19740831    59.4
19740901 19740930    20.0
19741001 19741031    27.4
19741101 19741130     6.9
19741201 19741231     0.0
19750101 19750131     0.0
19750201 19750228     0.0
19750301 19750331    30.8
19750401 19750430    43.2
19750501 19750531    35.0
19750601 19750630    69.1
19750701 19750731   104.6
19750801 19750831    51.5
19750901 19750930    23.4
19751001 19751031    20.0
19751101 19751130     5.5
19751201 19751231     0.7
19760101 19760131    28.0
19760201 19760229    50.6
19760301 19760331     0.8
19760401 19760430    32.2
19760501 19760531    40.7
19760601 19760630    29.6
19760701 19760731    18.9
19760801 19760831   122.4
19760901 19760930    46.6
19761001 19761031    27.0
19761101 19761130    22.7
19761201 19761231     0.6
19770101 19770131     3.0
19770201 19770228     8.6
19770301 19770331     0.5
19770401 19770430    12.0
19770501 19770531    41.0
19770601 19770630    40.2
19770701 19770731    32.4
19770801 19770831    69.8
19770901 19770930    10.9
19771001 19771031    66.4
19771101 19771130     9.8
19771201 19771231    15.6
19780101 19780131    23.2
19780201 19780228    53.6
19780301 19780331     4.4
19780401 19780430     9.6
19780501 19780531    46.9
19780601 19780630    67.5
19780701 19780731   123.6
19780801 19780831    22.6
19780901 19780930    37.4
19781001 19781031    12.2
19781101 19781130     7.4
19781201 19781231    25.5
19790101 19790131     1.2
19790201 19790228    13.2
19790301 19790331    23.4
19790401 19790430    26.7
19790501 19790531    44.8
19790601 19790630    65.4
19790701 19790731    27.1
19790801 19790831    64.4
19790901 19790930    15.2
19791001 19791031     6.6
19791101 19791130    14.0
19791201 19791231     1.0
19800101 19800131     0.7
19800201 19800229    15.2
19800301 19800331     0.0
19800401 19800430    37.1
19800501 19800531    26.1
19800601 19800630    75.2
19800701 19800731    43.7
19800801 19800831    34.6
19800901 19800930    16.2
19801001 19801031    16.8
19801101 19801130     7.2
19801201 19801231    14.2
19810101 19810131     1.4
19810201 19810228    42.0
19810301 19810331     2.6
19810401 19810430    14.1
19810501 19810531    81.1
19810601 19810630    83.5
19810701 19810731    66.8
19810801 19810831    58.2
19810901 19810930    20.9
19811001 19811031    23.2
19811101 19811130    50.0
19811201 19811231     3.8
19820101 19820131    74.4
19820201 19820228     0.4
19820301 19820331    16.9
19820401 19820430     0.0
19820501 19820531    29.1
19820601 19820630    73.0
19820701 19820731    56.0
19820801 19820831    61.0
19820901 19820930    44.2
19821001 19821031    22.6
19821101 19821130    48.0
19821201 19821231     8.8
19830101 19830131     0.0
19830201 19830228     6.0
19830301 19830331     9.0
19830401 19830430     5.0
19830501 19830531     9.4
19830601 19830630   182.8
19830701 19830731   106.6
19830801 19830831    57.5
19830901 19830930    63.5
19831001 19831031     5.2
19831101 19831130    76.0
19831201 19831231    21.4
19840101 19840131     0.0
19840201 19840229     2.0
19840301 19840331    45.8
19840401 19840430    48.6
19840501 19840531   110.9
19840601 19840630    26.8
19840701 19840731    47.6
19840801 19840831    38.6
19840901 19840930    53.8
19841001 19841031    13.0
19841101 19841130    30.8
19841201 19841231     6.8
19850101 19850131     0.8
19850201 19850228     8.2
19850301 19850331    24.0
19850401 19850430    17.6
19850501 19850531    14.8
19850601 19850630    36.8
19850701 19850731   113.1
19850801 19850831    67.0
19850901 19850930    40.6
19851001 19851031     8.8
19851101 19851130    14.6
19851201 19851231     1.2
19860101 19860131     6.6
19860201 19860228    80.8
19860301 19860331    12.8
19860401 19860430     2.0
19860501 19860531    70.9
19860601 19860630   102.0
19860701 19860731    50.5
19860801 19860831    43.6
19860901 19860930    15.8
19861001 19861031    19.4
19861101 19861130    22.5
19861201 19861231     0.0
19870101 19870131     0.0
19870201 19870228     0.0
19870301 19870331     3.8
19870401 19870430    30.7
19870501 19870531    48.6
19870601 19870630    53.8
19870701 19870731    81.0
19870801 19870831    37.6
19870901 19870930    32.1
19871001 19871031     8.2
19871101 19871130    16.5
19871201 19871231    16.0
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    18.6
19880401 19880430    26.4
19880501 19880531    46.0
19880601 19880630   103.3
19880701 19880731    71.9
19880801 19880831    52.1
19880901 19880930    41.4
19881001 19881031    16.2
19881101 19881130    11.2
19881201 19881231    30.6
19890101 19890131    20.4
19890201 19890228    32.8
19890301 19890331     0.0
19890401 19890430    24.8
19890501 19890531    88.1
19890601 19890630    61.5
19890701 19890731    55.7
19890801 19890831    29.2
19890901 19890930    21.0
19891001 19891031    20.0
19891101 19891130    30.0
19891201 19891231     1.4
19900101 19900131   126.8
19900201 19900228    37.8
19900301 19900331    23.2
19900401 19900430    39.6
19900501 19900531    20.5
19900601 19900630    27.2
19900701 19900731    86.6
19900801 19900831    40.7
19900901 19900930    24.2
19901001 19901031    30.5
19901101 19901130     1.2
19901201 19901231     2.1
19910101 19910131     5.9
19910201 19910228    19.1
19910301 19910331     1.3
19910401 19910430    29.5
19910501 19910531    27.2
19910601 19910630    94.2
19910701 19910731    85.6
19910801 19910831    41.7
19910901 19910930    32.0
19911001 19911031    12.3
19911101 19911130    33.6
19911201 19911231    47.0
19920101 19920131     0.4
19920201 19920229    41.9
19920301 19920331    35.1
19920401 19920430    38.6
19920501 19920531    18.2
19920601 19920630   120.9
19920701 19920731    46.4
19920801 19920831    83.4
19920901 19920930    38.9
19921001 19921031    24.0
19921101 19921130    23.3
19921201 19921231     3.5
19930101 19930131     4.1
19930201 19930228    19.6
19930301 19930331    11.4
19930401 19930430     6.2
19930501 19930531    51.1
19930601 19930630    82.0
19930701 19930731    45.0
19930801 19930831    61.8
19930901 19930930    51.2
19931001 19931031     9.8
19931101 19931130    19.4
19931201 19931231     1.2
19940101 19940131     0.0
19940201 19940228     0.0
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531    69.3
19940601 19940630    71.5
19940701 19940731    44.1
19940801 19940831    34.1
19940901 19940930    18.8
19941001 19941031     9.8
19941101 19941130     0.5
19941201 19941231     1.0
19950101 19950131    17.9
19950201 19950228     8.7
19950301 19950331    10.2
19950401 19950430    12.7
19950501 19950531    69.6
19950601 19950630    76.0
19950701 19950731   119.4
19950801 19950831    33.7
19950901 19950930    32.9
19951001 19951031    68.3
19951101 19951130    12.7
19951201 19951231     5.4
19960101 19960131     1.0
19960201 19960229     0.0
19960301 19960331     3.1
19960401 19960430     0.0
19960501 19960531    39.4
19960601 19960630   122.0
19960701 19960731   132.2
19960801 19960831    46.0
19960901 19960930    60.0
19961001 19961031    32.2
19961101 19961130    62.2
19961201 19961231     3.8
19970101 19970131     0.0
19970201 19970228    30.6
19970301 19970331    40.3
19970401 19970430    41.6
19970501 19970531    32.4
19970601 19970630    32.4
19970701 19970731    52.1
19970801 19970831    67.6
19970901 19970930    31.0
19971001 19971031    31.4
19971101 19971130     4.6
19971201 19971231     0.0
19980101 19980131 99999.9
19980201 19980228     0.0
19980301 19980331    13.4
19980401 19980430    21.2
19980501 19980531    30.6
19980601 19980630   107.6
19980701 19980731    56.6
19980801 19980831   100.3
19980901 19980930    39.6
19981001 19981031    14.0
19981101 19981130    12.0
19981201 19981231    13.6
19990101 19990131     6.2
19990201 19990228     0.0
19990301 19990331    27.6
19990401 19990430     6.4
19990501 19990531    90.4
19990601 19990630    63.0
19990701 19990731    65.6
19990801 19990831    55.4
19990901 19990930    71.2
19991001 19991031    48.8
19991101 19991130    13.8
19991201 19991231    11.8
20000101 20000131   127.0
20000201 20000229     0.0
20000301 20000331     9.6
20000401 20000430    12.4
20000501 20000531    10.6
20000601 20000630    59.3
20000701 20000731    91.0
20000801 20000831    67.7
20000901 20000930    23.2
20001001 20001031     0.0
20001101 20001130     4.0
20001201 20001231     2.6
20010101 20010131     1.8
20010201 20010228     3.2
20010301 20010331     2.4
20010401 20010430     2.6
20010501 20010531    58.0
20010601 20010630     6.6
20010701 20010731   100.5
20010801 20010831    58.0
20010901 20010930    47.8
20011001 20011031    26.4
20011101 20011130    17.6
20011201 20011231    10.0
20020101 20020131    12.0
20020201 20020228     0.0
20020301 20020331     0.0
20020401 20020430    20.2
20020501 20020531    31.5
20020601 20020630    66.6
20020701 20020731    55.9
20020801 20020831    41.1
20020901 20020930    21.9
20021001 20021031    19.9
20021101 20021130     9.0
20021201 20021231     6.4
20030101 20030131     0.0
20030201 20030228     9.4
20030301 20030331    15.3
20030401 20030430    37.2
20030501 20030531    62.6
20030601 20030630    96.0
20030701 20030731    42.3
20030801 20030831    65.1
20030901 20030930    42.4
20031001 20031031     4.4
20031101 20031130    11.4
20031201 20031231     5.4
20040101 20040131     3.2
20040201 20040229    62.8
20040301 20040331     5.0
20040401 20040430     2.4
20040501 20040531    40.4
