PRCP       056023 19121201 20180131 missing_value=99999.9 OLD KOREELAH (MCPHERSON)                  
19480101 19480131    81.7
19480201 19480229    56.7
19480301 19480331   125.6
19480401 19480430    31.3
19480501 19480531    86.0
19480601 19480630   257.3
19480701 19480731    29.3
19480801 19480831     9.1
19480901 19480930    76.1
19481001 19481031     3.0
19481101 19481130    55.4
19481201 19481231    95.5
19490101 19490131    52.1
19490201 19490228   108.9
19490301 19490331   223.4
19490401 19490430    18.0
19490501 19490531    30.2
19490601 19490630   111.8
19490701 19490731    55.3
19490801 19490831    11.5
19490901 19490930    72.0
19491001 19491031   166.7
19491101 19491130    96.0
19491201 19491231    43.4
19500101 19500131   109.8
19500201 19500228   225.3
19500301 19500331    79.6
19500401 19500430    65.2
19500501 19500531    22.1
19500601 19500630   333.2
19500701 19500731   126.2
19500801 19500831    15.3
19500901 19500930    30.8
19501001 19501031   164.4
19501101 19501130    96.8
19501201 19501231    48.1
19510101 19510131   315.2
19510201 19510228    25.1
19510301 19510331    90.7
19510401 19510430    87.5
19510501 19510531    33.2
19510601 19510630    69.1
19510701 19510731     8.6
19510801 19510831    23.1
19510901 19510930    10.4
19511001 19511031    33.8
19511101 19511130     6.4
19511201 19511231    55.9
19520101 19520131    32.8
19520201 19520229    91.5
19520301 19520331    81.0
19520401 19520430    50.5
19520501 19520531   101.0
19520601 19520630    55.6
19520701 19520731    23.5
19520801 19520831    50.5
19520901 19520930    19.5
19521001 19521031   159.3
19521101 19521130    21.3
19521201 19521231    37.3
19530101 19530131   124.6
19530201 19530228   158.6
19530301 19530331    84.8
19530401 19530430    30.7
19530501 19530531    16.0
19530601 19530630    12.4
19530701 19530731     3.8
19530801 19530831    30.3
19530901 19530930     3.3
19531001 19531031    34.0
19531101 19531130    27.1
19531201 19531231    21.6
19540101 19540131    67.1
19540201 19540228   358.5
19540301 19540331    25.6
19540401 19540430    36.8
19540501 19540531    73.9
19540601 19540630    40.6
19540701 19540731   138.6
19540801 19540831    74.7
19540901 19540930    75.8
19541001 19541031   146.8
19541101 19541130    68.5
19541201 19541231    44.6
19550101 19550131    73.2
19550201 19550228    92.1
19550301 19550331   249.2
19550401 19550430   102.3
19550501 19550531   108.0
19550601 19550630    23.5
19550701 19550731    39.8
19550801 19550831    20.1
19550901 19550930    45.2
19551001 19551031    92.7
19551101 19551130    17.8
19551201 19551231   146.5
19560101 19560131   185.6
19560201 19560229   299.3
19560301 19560331    99.7
19560401 19560430    49.3
19560501 19560531    80.1
19560601 19560630    78.7
19560701 19560731    31.7
19560801 19560831     7.7
19560901 19560930     6.6
19561001 19561031    55.3
19561101 19561130    38.6
19561201 19561231   227.1
19570101 19570131    81.9
19570201 19570228    61.3
19570301 19570331    96.3
19570401 19570430     7.4
19570501 19570531     0.0
19570601 19570630    26.9
19570701 19570731    83.5
19570801 19570831    86.6
19570901 19570930     0.0
19571001 19571031    65.3
19571101 19571130     0.0
19571201 19571231    20.9
19580101 19580131    72.6
19580201 19580228   106.7
19580301 19580331    82.5
19580401 19580430    97.4
19580501 19580531     3.0
19580601 19580630   121.6
19580701 19580731     5.3
19580801 19580831    40.2
19580901 19580930    61.2
19581001 19581031    35.9
19581101 19581130    37.0
19581201 19581231    81.8
19590101 19590131   233.8
19590201 19590228   237.8
19590301 19590331   125.6
19590401 19590430    41.2
19590501 19590531    27.3
19590601 19590630    14.8
19590701 19590731    41.5
19590801 19590831    19.3
19590901 19590930    76.6
19591001 19591031   127.5
19591101 19591130   209.0
19591201 19591231   166.6
19600101 19600131    37.6
19600201 19600229   142.2
19600301 19600331    61.7
19600401 19600430    10.4
19600501 19600531    45.4
19600601 19600630    41.2
19600701 19600731    53.9
19600801 19600831    30.5
19600901 19600930     6.4
19601001 19601031    35.9
19601101 19601130    38.3
19601201 19601231    87.7
19610101 19610131    42.6
19610201 19610228   346.5
19610301 19610331    25.4
19610401 19610430    21.6
19610501 19610531    48.5
19610601 19610630    29.7
19610701 19610731    74.2
19610801 19610831    33.8
19610901 19610930    43.5
19611001 19611031    79.8
19611101 19611130    96.8
19611201 19611231   116.8
19620101 19620131   167.3
19620201 19620228    34.3
19620301 19620331   216.3
19620401 19620430   121.9
19620501 19620531    22.9
19620601 19620630     7.6
19620701 19620731   169.1
19620801 19620831    36.1
19620901 19620930    58.7
19621001 19621031    26.9
19621101 19621130    21.6
19621201 19621231   153.5
19630101 19630131    79.4
19630201 19630228    62.4
19630301 19630331   269.0
19630401 19630430    37.0
19630501 19630531   187.0
19630601 19630630    20.1
19630701 19630731     7.6
19630801 19630831    37.6
19630901 19630930     7.6
19631001 19631031    34.5
19631101 19631130   104.1
19631201 19631231    88.0
19640101 19640131    54.0
19640201 19640229    77.7
19640301 19640331   164.0
19640401 19640430    69.9
19640501 19640531    67.8
19640601 19640630    17.3
19640701 19640731    38.9
19640801 19640831    15.0
19640901 19640930    37.6
19641001 19641031    28.8
19641101 19641130    91.6
19641201 19641231   132.4
19650101 19650131    70.9
19650201 19650228    58.7
19650301 19650331     5.9
19650401 19650430    16.8
19650501 19650531    15.8
19650601 19650630    89.0
19650701 19650731   282.4
19650801 19650831    24.8
19650901 19650930    26.6
19651001 19651031    20.6
19651101 19651130    10.0
19651201 19651231   235.6
19660101 19660131     7.5
19660201 19660228    67.0
19660301 19660331    42.1
19660401 19660430    46.7
19660501 19660531     4.5
19660601 19660630    64.6
19660701 19660731     0.0
19660801 19660831    54.4
19660901 19660930    30.4
19661001 19661031    69.8
19661101 19661130    83.3
19661201 19661231    66.7
19670101 19670131   132.4
19670201 19670228    72.3
19670301 19670331   250.2
19670401 19670430    42.9
19670501 19670531    34.6
19670601 19670630   267.7
19670701 19670731    30.5
19670801 19670831    45.7
19670901 19670930    86.2
19671001 19671031    12.2
19671101 19671130    88.5
19671201 19671231    89.1
19680101 19680131   247.7
19680201 19680229   132.6
19680301 19680331    46.5
19680401 19680430    19.1
19680501 19680531    48.9
19680601 19680630    12.2
19680701 19680731    60.7
19680801 19680831    79.8
19680901 19680930    17.2
19681001 19681031    14.4
19681101 19681130    10.2
19681201 19681231    99.8
19690101 19690131   117.1
19690201 19690228    46.9
19690301 19690331    49.0
19690401 19690430     3.8
19690501 19690531    98.8
19690601 19690630    10.9
19690701 19690731    15.8
19690801 19690831    31.0
19690901 19690930    37.5
19691001 19691031   122.7
19691101 19691130    52.0
19691201 19691231    20.0
19700101 19700131    75.8
19700201 19700228    86.7
19700301 19700331    74.4
19700401 19700430    33.5
19700501 19700531     6.6
19700601 19700630     9.4
19700701 19700731     0.0
19700801 19700831    13.4
19700901 19700930    59.9
19701001 19701031    53.2
19701101 19701130    49.6
19701201 19701231   187.9
19710101 19710131   189.9
19710201 19710228   313.1
19710301 19710331    77.0
19710401 19710430    50.8
19710501 19710531    32.2
19710601 19710630     2.5
19710701 19710731    44.2
19710801 19710831    14.7
19710901 19710930    43.9
19711001 19711031    54.1
19711101 19711130    66.0
19711201 19711231    67.6
19720101 19720131   130.6
19720201 19720229   154.3
19720301 19720331   119.7
19720401 19720430    67.1
19720501 19720531    61.5
19720601 19720630    21.0
19720701 19720731    13.0
19720801 19720831    29.7
19720901 19720930     2.5
19721001 19721031   258.5
19721101 19721130    56.9
19721201 19721231   138.6
19730101 19730131   147.6
19730201 19730228   178.6
19730301 19730331    34.3
19730401 19730430    20.4
19730501 19730531     5.3
19730601 19730630    22.3
19730701 19730731   230.3
19730801 19730831    47.3
19730901 19730930    85.6
19731001 19731031    51.0
19731101 19731130   126.8
19731201 19731231    66.2
19740101 19740131   254.4
19740201 19740228    27.6
19740301 19740331   113.4
19740401 19740430    61.0
19740501 19740531    38.2
19740601 19740630    87.6
19740701 19740731    16.0
19740801 19740831    36.6
19740901 19740930    26.0
19741001 19741031    77.1
19741101 19741130   129.8
19741201 19741231    61.8
19750101 19750131    14.6
19750201 19750228   188.2
19750301 19750331   253.2
19750401 19750430    30.2
19750501 19750531    20.0
19750601 19750630    49.6
19750701 19750731    38.4
19750801 19750831    31.0
19750901 19750930    42.2
19751001 19751031    83.4
19751101 19751130    91.4
19751201 19751231   347.0
19760101 19760131   125.8
19760201 19760229   303.0
19760301 19760331   140.8
19760401 19760430    49.0
19760501 19760531    44.0
19760601 19760630    43.8
19760701 19760731    53.4
19760801 19760831    19.1
19760901 19760930    55.4
19761001 19761031    66.2
19761101 19761130   122.6
19761201 19761231    26.6
19770101 19770131    34.2
19770201 19770228    95.0
19770301 19770331   145.6
19770401 19770430    45.6
19770501 19770531    97.0
19770601 19770630    11.6
19770701 19770731    11.8
19770801 19770831    12.6
19770901 19770930     3.2
19771001 19771031    31.4
19771101 19771130    51.8
19771201 19771231    31.2
19780101 19780131   127.8
19780201 19780228    53.4
19780301 19780331   184.9
19780401 19780430    41.7
19780501 19780531    39.4
19780601 19780630    21.6
19780701 19780731    50.8
19780801 19780831    67.2
19780901 19780930    73.3
19781001 19781031    65.4
19781101 19781130    75.9
19781201 19781231   101.7
19790101 19790131   117.6
19790201 19790228    62.6
19790301 19790331   123.6
19790401 19790430    58.8
19790501 19790531    40.7
19790601 19790630   109.0
19790701 19790731    41.4
19790801 19790831     4.0
19790901 19790930     8.4
19791001 19791031    40.5
19791101 19791130    95.8
19791201 19791231    49.6
19800101 19800131    92.0
19800201 19800229    98.2
19800301 19800331    50.0
19800401 19800430     8.0
19800501 19800531   169.4
19800601 19800630    12.3
19800701 19800731    19.2
19800801 19800831    24.2
19800901 19800930     0.0
19801001 19801031    40.0
19801101 19801130    54.0
19801201 19801231    48.6
19810101 19810131    38.1
19810201 19810228   211.8
19810301 19810331    64.2
19810401 19810430    99.2
19810501 19810531    73.0
19810601 19810630    34.4
19810701 19810731    30.6
19810801 19810831    35.0
19810901 19810930    15.0
19811001 19811031    28.0
19811101 19811130   101.6
19811201 19811231   182.2
19820101 19820131    86.6
19820201 19820228    88.6
19820301 19820331   174.4
19820401 19820430    33.4
19820501 19820531    28.1
19820601 19820630    11.0
19820701 19820731    12.8
19820801 19820831    21.0
19820901 19820930    76.6
19821001 19821031   100.6
19821101 19821130    26.2
19821201 19821231   126.6
19830101 19830131    46.2
19830201 19830228    31.2
19830301 19830331    61.2
19830401 19830430    91.4
19830501 19830531   212.0
19830601 19830630   117.2
19830701 19830731    49.9
19830801 19830831    59.0
19830901 19830930    88.0
19831001 19831031   145.9
19831101 19831130   156.1
19831201 19831231   127.6
19840101 19840131    92.5
19840201 19840229    98.6
19840301 19840331    78.6
19840401 19840430   176.8
19840501 19840531    26.0
19840601 19840630    47.0
19840701 19840731   126.4
19840801 19840831    17.2
19840901 19840930    35.4
19841001 19841031    49.2
19841101 19841130   127.3
19841201 19841231    45.0
19850101 19850131    57.6
19850201 19850228    90.2
19850301 19850331    65.6
19850401 19850430   101.6
19850501 19850531    78.2
19850601 19850630    36.4
19850701 19850731    60.2
19850801 19850831    38.2
19850901 19850930    31.6
19851001 19851031    76.8
19851101 19851130    50.8
19851201 19851231   162.1
19860101 19860131    71.0
19860201 19860228   132.4
19860301 19860331    30.8
19860401 19860430     9.0
19860501 19860531   102.7
19860601 19860630     2.2
19860701 19860731    41.9
19860801 19860831    30.6
19860901 19860930     3.6
19861001 19861031    55.0
19861101 19861130   108.8
19861201 19861231    61.2
19870101 19870131   215.9
19870201 19870228    59.0
19870301 19870331   146.6
19870401 19870430    40.6
19870501 19870531   127.0
19870601 19870630    69.0
19870701 19870731    35.0
19870801 19870831    90.8
19870901 19870930    11.0
19871001 19871031    87.6
19871101 19871130    42.2
19871201 19871231   172.6
19880101 19880131   107.6
19880201 19880229    62.8
19880301 19880331    91.0
19880401 19880430   419.0
19880501 19880531    23.9
19880601 19880630   130.0
19880701 19880731   111.6
19880801 19880831    34.6
19880901 19880930    72.8
19881001 19881031    12.8
19881101 19881130    36.8
19881201 19881231   169.8
19890101 19890131   174.6
19890201 19890228    50.8
19890301 19890331   205.0
19890401 19890430   247.4
19890501 19890531    93.8
19890601 19890630    30.4
19890701 19890731    50.0
19890801 19890831    20.6
19890901 19890930     8.4
19891001 19891031    44.2
19891101 19891130   137.4
19891201 19891231   118.8
19900101 19900131    64.0
19900201 19900228   212.6
19900301 19900331    75.2
19900401 19900430   146.6
19900501 19900531   134.6
19900601 19900630    46.4
19900701 19900731    56.8
19900801 19900831    13.6
19900901 19900930    14.8
19901001 19901031    11.8
19901101 19901130    51.8
19901201 19901231    69.2
19910101 19910131   164.2
19910201 19910228   135.6
19910301 19910331    25.2
19910401 19910430     1.8
19910501 19910531    23.6
19910601 19910630    33.0
19910701 19910731    15.4
19910801 19910831     0.0
19910901 19910930     2.6
19911001 19911031    13.6
19911101 19911130    39.4
19911201 19911231   247.2
19920101 19920131    44.6
19920201 19920229   146.6
19920301 19920331    92.4
19920401 19920430    65.0
19920501 19920531    68.4
19920601 19920630    23.0
19920701 19920731    38.4
19920801 19920831    34.8
