PRCP       032032 18900501 20180131 missing_value=99999.9 MACKNADE SUGAR MILL                       
19361001 19361031     1.0
19361101 19361130     8.4
19361201 19361231   312.1
19370101 19370131   326.4
19370201 19370228   232.1
19370301 19370331  1020.1
19370401 19370430    40.4
19370501 19370531    82.2
19370601 19370630    74.8
19370701 19370731    76.2
19370801 19370831     6.7
19370901 19370930    26.3
19371001 19371031     0.5
19371101 19371130   129.0
19371201 19371231    34.6
19380101 19380131   737.2
19380201 19380228   546.8
19380301 19380331    91.9
19380401 19380430    55.1
19380501 19380531   205.8
19380601 19380630    85.5
19380701 19380731   110.6
19380801 19380831    54.8
19380901 19380930    14.5
19381001 19381031    52.4
19381101 19381130   162.2
19381201 19381231    50.8
19390101 19390131   321.6
19390201 19390228   714.5
19390301 19390331   657.6
19390401 19390430   247.5
19390501 19390531    35.5
19390601 19390630    60.9
19390701 19390731    23.1
19390801 19390831    12.9
19390901 19390930     1.8
19391001 19391031    20.8
19391101 19391130    74.2
19391201 19391231    52.6
19400101 19400131   361.3
19400201 19400229   654.8
19400301 19400331   738.7
19400401 19400430   125.2
19400501 19400531    63.7
19400601 19400630    80.1
19400701 19400731     7.4
19400801 19400831    53.0
19400901 19400930    18.1
19401001 19401031    10.5
19401101 19401130    43.9
19401201 19401231    22.6
19410101 19410131   911.9
19410201 19410228   456.3
19410301 19410331   485.3
19410401 19410430   406.2
19410501 19410531   222.3
19410601 19410630    63.8
19410701 19410731    28.6
19410801 19410831    14.0
19410901 19410930     4.6
19411001 19411031     3.6
19411101 19411130    35.8
19411201 19411231   164.4
19420101 19420131   151.8
19420201 19420228   511.4
19420301 19420331    84.0
19420401 19420430   265.4
19420501 19420531    79.6
19420601 19420630   225.2
19420701 19420731   118.2
19420801 19420831    29.9
19420901 19420930    55.9
19421001 19421031    31.3
19421101 19421130    42.5
19421201 19421231   426.5
19430101 19430131   135.4
19430201 19430228   584.7
19430301 19430331    40.9
19430401 19430430    79.1
19430501 19430531    36.0
19430601 19430630    32.4
19430701 19430731     8.2
19430801 19430831     7.5
19430901 19430930    57.9
19431001 19431031    47.0
19431101 19431130    64.7
19431201 19431231    49.6
19440101 19440131   135.4
19440201 19440229   574.1
19440301 19440331   289.5
19440401 19440430   110.8
19440501 19440531     7.9
19440601 19440630    94.7
19440701 19440731    87.5
19440801 19440831    55.7
19440901 19440930    28.9
19441001 19441031    20.6
19441101 19441130     3.3
19441201 19441231    60.7
19450101 19450131   177.8
19450201 19450228   730.4
19450301 19450331  1166.4
19450401 19450430   141.4
19450501 19450531    98.8
19450601 19450630   111.8
19450701 19450731    46.4
19450801 19450831    36.5
19450901 19450930    19.0
19451001 19451031    78.7
19451101 19451130    55.9
19451201 19451231   114.3
19460101 19460131   540.9
19460201 19460228   446.9
19460301 19460331   457.9
19460401 19460430    14.2
19460501 19460531    65.5
19460601 19460630     9.9
19460701 19460731     5.6
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     2.3
19461101 19461130    26.9
19461201 19461231    14.2
19470101 19470131     6.9
19470201 19470228   794.9
19470301 19470331   741.3
19470401 19470430    21.7
19470501 19470531   254.8
19470601 19470630    63.9
19470701 19470731    12.3
19470801 19470831    48.7
19470901 19470930    87.4
19471001 19471031    29.3
19471101 19471130   120.4
19471201 19471231    40.9
19480101 19480131   492.8
19480201 19480229   174.2
19480301 19480331   341.2
19480401 19480430    36.5
19480501 19480531    36.4
19480601 19480630    68.4
19480701 19480731    48.3
19480801 19480831     9.0
19480901 19480930     2.5
19481001 19481031     0.0
19481101 19481130    10.9
19481201 19481231   118.0
19490101 19490131   629.2
19490201 19490228   427.6
19490301 19490331   824.6
19490401 19490430   160.0
19490501 19490531    66.7
19490601 19490630    17.7
19490701 19490731     2.8
19490801 19490831    18.7
19490901 19490930    27.7
19491001 19491031    52.3
19491101 19491130    42.1
19491201 19491231    61.2
19500101 19500131   607.2
19500201 19500228   284.2
19500301 19500331   988.7
19500401 19500430   430.0
19500501 19500531    64.1
19500601 19500630    68.9
19500701 19500731   171.0
19500801 19500831     2.8
19500901 19500930    68.1
19501001 19501031    68.3
19501101 19501130   752.2
19501201 19501231   189.9
19510101 19510131   576.3
19510201 19510228   234.7
19510301 19510331   140.5
19510401 19510430    20.6
19510501 19510531    66.5
19510601 19510630    50.4
19510701 19510731     5.9
19510801 19510831    14.8
19510901 19510930    39.1
19511001 19511031    12.6
19511101 19511130    25.6
19511201 19511231    35.3
19520101 19520131   888.6
19520201 19520229    86.1
19520301 19520331   357.7
19520401 19520430    81.7
19520501 19520531    57.4
19520601 19520630    99.3
19520701 19520731    37.6
19520801 19520831    46.5
19520901 19520930     4.1
19521001 19521031    13.7
19521101 19521130    67.5
19521201 19521231    59.1
19530101 19530131  1343.2
19530201 19530228   709.2
19530301 19530331   234.7
19530401 19530430   111.8
19530501 19530531    12.7
19530601 19530630    31.3
19530701 19530731     4.4
19530801 19530831    87.9
19530901 19530930     8.6
19531001 19531031    29.2
19531101 19531130     8.2
19531201 19531231    39.8
19540101 19540131   801.2
19540201 19540228   808.7
19540301 19540331   248.0
19540401 19540430   737.2
19540501 19540531    62.6
19540601 19540630    34.6
19540701 19540731    25.1
19540801 19540831    40.6
19540901 19540930    28.8
19541001 19541031   329.9
19541101 19541130   113.0
19541201 19541231   114.8
19550101 19550131   125.9
19550201 19550228  1106.9
19550301 19550331   797.1
19550401 19550430   330.4
19550501 19550531   238.0
19550601 19550630    39.4
19550701 19550731    15.6
19550801 19550831     0.8
19550901 19550930    17.8
19551001 19551031    10.7
19551101 19551130   114.8
19551201 19551231   163.5
19560101 19560131   780.3
19560201 19560229   392.1
19560301 19560331  1017.8
19560401 19560430   183.0
19560501 19560531   104.2
19560601 19560630    68.9
19560701 19560731    39.4
19560801 19560831    84.6
19560901 19560930    50.3
19561001 19561031     4.8
19561101 19561130   204.1
19561201 19561231   150.8
19570101 19570131   341.3
19570201 19570228   515.7
19570301 19570331   469.6
19570401 19570430   125.0
19570501 19570531    82.7
19570601 19570630   109.5
19570701 19570731   130.7
19570801 19570831     3.0
19570901 19570930    15.2
19571001 19571031    18.3
19571101 19571130    42.1
19571201 19571231    22.3
19580101 19580131   192.3
19580201 19580228   318.2
19580301 19580331   601.0
19580401 19580430   120.1
19580501 19580531    72.4
19580601 19580630    55.5
19580701 19580731     0.0
19580801 19580831    11.1
19580901 19580930    57.4
19581001 19581031     0.5
19581101 19581130   228.1
19581201 19581231    94.2
19590101 19590131   577.0
19590201 19590228   267.7
19590301 19590331   913.1
19590401 19590430   380.9
19590501 19590531   119.0
19590601 19590630    13.0
19590701 19590731     1.6
19590801 19590831    27.4
19590901 19590930     4.1
19591001 19591031     0.0
19591101 19591130    63.9
19591201 19591231   406.3
19600101 19600131   572.3
19600201 19600229   674.4
19600301 19600331   360.3
19600401 19600430    62.6
19600501 19600531    67.1
19600601 19600630    27.0
19600701 19600731    21.9
19600801 19600831     0.0
19600901 19600930     0.6
19601001 19601031    11.7
19601101 19601130    29.6
19601201 19601231   361.2
19610101 19610131    94.2
19610201 19610228   134.9
19610301 19610331   201.9
19610401 19610430   145.5
19610501 19610531    41.6
19610601 19610630     2.8
19610701 19610731    22.1
19610801 19610831    15.0
19610901 19610930     1.9
19611001 19611031    10.9
19611101 19611130   125.0
19611201 19611231   171.5
19620101 19620131   786.2
19620201 19620228   978.5
19620301 19620331   224.8
19620401 19620430   107.2
19620501 19620531    67.0
19620601 19620630    41.9
19620701 19620731    26.3
19620801 19620831    40.6
19620901 19620930    95.9
19621001 19621031     1.3
19621101 19621130    46.0
19621201 19621231   267.4
19630101 19630131   772.7
19630201 19630228   765.6
19630301 19630331   401.4
19630401 19630430   350.8
19630501 19630531   129.6
19630601 19630630     9.4
19630701 19630731     8.1
19630801 19630831    72.8
