PRCP       061000 18940601 20130531 missing_value=99999.9 ABERDEEN (MAIN RD)                        
19300401 19300430     8.1
19300501 19300531    10.7
19300601 19300630   179.3
19300701 19300731    58.1
19300801 19300831    22.1
19300901 19300930    14.7
19301001 19301031    91.2
19301101 19301130    36.3
19301201 19301231    17.0
19310101 19310131    90.7
19310201 19310228    12.7
19310301 19310331   113.1
19310401 19310430   129.2
19310501 19310531   111.2
19310601 19310630    62.8
19310701 19310731   120.4
19310801 19310831    12.9
19310901 19310930    20.3
19311001 19311031    23.6
19311101 19311130    75.5
19311201 19311231    83.0
19320101 19320131    11.5
19320201 19320229   122.4
19320301 19320331   113.9
19320401 19320430    27.2
19320501 19320531    10.9
19320601 19320630    18.6
19320701 19320731    40.1
19320801 19320831    34.4
19320901 19320930   117.9
19321001 19321031    34.0
19321101 19321130    83.8
19321201 19321231    38.1
19330101 19330131    48.9
19330201 19330228     7.1
19330301 19330331    21.3
19330401 19330430    53.0
19330501 19330531    43.7
19330601 19330630    27.4
19330701 19330731    51.4
19330801 19330831     5.9
19330901 19330930    49.7
19331001 19331031    97.0
19331101 19331130    76.9
19331201 19331231    94.3
19340101 19340131    29.2
19340201 19340228   103.2
19340301 19340331     2.3
19340401 19340430    46.2
19340501 19340531     4.8
19340601 19340630    21.3
19340701 19340731    75.1
19340801 19340831    67.3
19340901 19340930    93.9
19341001 19341031    41.6
19341101 19341130    70.4
19341201 19341231    76.1
19350101 19350131    71.9
19350201 19350228    39.7
19350301 19350331    10.9
19350401 19350430    34.8
19350501 19350531    36.4
19350601 19350630     4.1
19350701 19350731    45.7
19350801 19350831    10.6
19350901 19350930    39.8
19351001 19351031    48.0
19351101 19351130     8.3
19351201 19351231    36.4
19360101 19360131    27.9
19360201 19360229   102.8
19360301 19360331    95.2
19360401 19360430    27.0
19360501 19360531    26.1
19360601 19360630    28.9
19360701 19360731    58.4
19360801 19360831    29.7
19360901 19360930    26.1
19361001 19361031    14.5
19361101 19361130     1.3
19361201 19361231    64.2
19370101 19370131    80.0
19370201 19370228    26.6
19370301 19370331    57.1
19370401 19370430    17.5
19370501 19370531    19.3
19370601 19370630    45.9
19370701 19370731    23.1
19370801 19370831    50.3
19370901 19370930    17.1
19371001 19371031    28.6
19371101 19371130    69.7
19371201 19371231    63.1
19380101 19380131    45.9
19380201 19380228    29.4
19380301 19380331     5.3
19380401 19380430    75.2
19380501 19380531    43.7
19380601 19380630    16.0
19380701 19380731    18.0
19380801 19380831    35.1
19380901 19380930    11.7
19381001 19381031    30.7
19381101 19381130    69.6
19381201 19381231    22.4
19390101 19390131    64.6
