PRCP       012013 18970101 20180131 missing_value=99999.9 BULONG                                    
19350601 19350630    17.3
19350701 19350731    19.9
19350801 19350831    13.9
19350901 19350930     0.5
19351001 19351031    54.4
19351101 19351130     2.8
19351201 19351231     3.8
19360101 19360131    32.3
19360201 19360229     0.0
19360301 19360331     0.0
19360401 19360430     1.6
19360501 19360531     4.1
19360601 19360630    19.5
19360701 19360731    34.3
19360801 19360831     6.1
19360901 19360930     0.3
19361001 19361031     4.6
19361101 19361130    13.5
19361201 19361231    25.6
19370101 19370131    13.9
19370201 19370228     0.8
19370301 19370331   144.9
19370401 19370430     4.3
19370501 19370531    20.1
19370601 19370630    27.7
19370701 19370731     1.6
19370801 19370831    10.6
19370901 19370930     7.1
19371001 19371031     2.9
19371101 19371130    21.8
19371201 19371231     9.7
19380101 19380131    24.9
19380201 19380228     0.3
19380301 19380331     9.9
19380401 19380430     9.1
19380501 19380531    15.8
19380601 19380630    28.7
19380701 19380731    57.9
19380801 19380831     7.6
19380901 19380930     5.3
19381001 19381031     0.0
19381101 19381130    16.6
19381201 19381231     1.3
19390101 19390131   103.7
19390201 19390228     2.3
19390301 19390331     5.1
19390401 19390430    25.8
19390501 19390531     6.4
19390601 19390630    22.7
19390701 19390731    27.0
19390801 19390831    19.3
19390901 19390930     2.3
19391001 19391031    15.3
19391101 19391130    50.0
19391201 19391231     0.0
19400101 19400131    15.0
19400201 19400229     0.0
19400301 19400331     9.6
19400401 19400430     0.0
19400501 19400531    18.6
19400601 19400630     8.6
19400701 19400731    22.0
19400801 19400831     6.6
19400901 19400930    10.0
19401001 19401031    27.9
19401101 19401130     0.5
19401201 19401231     2.3
19410101 19410131     1.0
19410201 19410228     0.8
19410301 19410331     0.0
19410401 19410430    17.4
19410501 19410531    23.1
19410601 19410630    19.8
19410701 19410731    23.4
19410801 19410831    30.5
19410901 19410930    10.2
19411001 19411031    59.7
19411101 19411130     2.5
19411201 19411231    16.5
19420101 19420131    90.0
19420201 19420228    56.1
19420301 19420331    74.3
19420401 19420430    25.8
19420501 19420531    17.1
19420601 19420630    63.3
19420701 19420731    35.8
19420801 19420831    13.4
19420901 19420930     0.5
19421001 19421031    17.3
19421101 19421130     0.0
19421201 19421231    30.2
19430101 19430131     3.6
19430201 19430228    15.5
19430301 19430331    84.7
19430401 19430430    34.6
19430501 19430531     8.1
19430601 19430630     7.6
19430701 19430731    10.0
19430801 19430831    11.7
19430901 19430930     4.6
19431001 19431031     5.0
19431101 19431130    11.0
19431201 19431231    31.2
19440101 19440131     0.3
19440201 19440229     0.0
19440301 19440331     6.1
19440401 19440430     1.8
19440501 19440531    21.1
19440601 19440630     0.5
19440701 19440731    25.3
19440801 19440831    44.0
19440901 19440930     0.3
19441001 19441031     1.3
19441101 19441130     8.4
19441201 19441231     6.1
19450101 19450131     9.2
19450201 19450228     0.0
19450301 19450331    15.0
19450401 19450430     4.0
19450501 19450531    13.2
19450601 19450630    22.6
19450701 19450731    23.1
19450801 19450831    33.0
19450901 19450930    15.3
19451001 19451031     0.0
19451101 19451130     1.8
19451201 19451231     4.3
19460101 19460131     1.3
19460201 19460228     6.6
19460301 19460331     0.5
19460401 19460430     6.9
19460501 19460531    11.8
19460601 19460630     8.5
19460701 19460731    23.1
19460801 19460831     6.6
19460901 19460930    10.1
19461001 19461031     0.0
19461101 19461130    36.7
19461201 19461231     3.3
19470101 19470131    23.1
19470201 19470228     7.7
19470301 19470331    44.4
19470401 19470430    36.6
19470501 19470531    22.3
19470601 19470630     7.1
19470701 19470731    35.3
19470801 19470831    18.3
19470901 19470930    13.3
19471001 19471031    32.7
19471101 19471130    10.3
19471201 19471231     7.4
19480101 19480131     0.0
19480201 19480229   315.7
19480301 19480331     1.0
19480401 19480430    15.8
19480501 19480531     0.0
19480601 19480630    16.7
19480701 19480731    15.7
19480801 19480831     7.1
19480901 19480930     0.8
19481001 19481031     3.3
19481101 19481130     6.9
19481201 19481231    10.4
19490101 19490131     1.3
19490201 19490228    34.3
19490301 19490331     1.3
19490401 19490430     1.3
19490501 19490531     8.9
19490601 19490630     5.1
19490701 19490731    16.3
19490801 19490831    35.8
19490901 19490930    19.8
19491001 19491031    30.7
19491101 19491130    31.8
19491201 19491231     3.0
19500101 19500131     0.0
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    53.5
19500601 19500630    13.4
19500701 19500731     6.9
19500801 19500831     7.2
19500901 19500930    10.6
19501001 19501031    11.7
19501101 19501130     0.0
19501201 19501231     0.0
19510101 19510131    38.3
19510201 19510228    17.8
19510301 19510331    12.4
19510401 19510430    37.6
19510501 19510531    20.1
19510601 19510630    75.7
19510701 19510731    23.1
19510801 19510831     5.6
19510901 19510930     5.8
19511001 19511031     5.1
19511101 19511130     0.0
19511201 19511231     5.5
19520101 19520131    83.6
19520201 19520229    49.5
19520301 19520331    32.5
19520401 19520430     1.8
19520501 19520531     0.8
19520601 19520630     1.8
19520701 19520731    11.2
19520801 19520831     3.8
19520901 19520930    18.5
19521001 19521031    12.0
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131     0.8
19530201 19530228     5.6
19530301 19530331    41.8
19530401 19530430    23.8
19530501 19530531    19.3
19530601 19530630    25.4
19530701 19530731    23.9
19530801 19530831    35.4
19530901 19530930    16.6
19531001 19531031     7.4
19531101 19531130     1.3
19531201 19531231     5.6
19540101 19540131     1.8
19540201 19540228     3.8
19540301 19540331     0.0
19540401 19540430    10.7
19540501 19540531    36.4
19540601 19540630    18.5
19540701 19540731    18.3
19540801 19540831     8.1
19540901 19540930    40.4
19541001 19541031     6.1
19541101 19541130     0.0
19541201 19541231     0.0
19550101 19550131    35.6
19550201 19550228    67.5
19550301 19550331    17.2
19550401 19550430    17.3
19550501 19550531    14.7
19550601 19550630    52.2
19550701 19550731     2.3
19550801 19550831    22.6
19550901 19550930   101.7
19551001 19551031    10.0
19551101 19551130    10.2
19551201 19551231     5.6
19560101 19560131     0.0
19560201 19560229     6.9
19560301 19560331     0.0
19560401 19560430     4.5
19560501 19560531    32.2
19560601 19560630     8.9
19560701 19560731    14.5
19560801 19560831     6.6
19560901 19560930     0.0
19561001 19561031     9.6
19561101 19561130    37.1
19561201 19561231    18.8
19570101 19570131    18.2
19570201 19570228    41.9
19570301 19570331     6.4
19570401 19570430     0.0
19570501 19570531    18.3
19570601 19570630    85.8
19570701 19570731     2.3
19570801 19570831    21.3
19570901 19570930     2.3
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231     1.5
19580101 19580131    13.2
19580201 19580228     7.6
19580301 19580331    58.2
19580401 19580430     0.0
19580501 19580531    22.6
19580601 19580630     6.6
19580701 19580731    46.8
19580801 19580831    53.4
19580901 19580930    36.5
19581001 19581031    25.5
19581101 19581130    73.9
19581201 19581231    41.9
19590101 19590131     3.0
19590201 19590228    11.9
19590301 19590331     3.0
19590401 19590430    39.4
19590501 19590531     1.3
19590601 19590630    49.0
19590701 19590731     4.6
19590801 19590831    10.9
19590901 19590930     6.9
19591001 19591031     3.8
19591101 19591130    40.7
19591201 19591231    49.4
19600101 19600131    91.5
19600201 19600229   119.2
19600301 19600331    48.5
19600401 19600430    22.3
19600501 19600531     8.5
19600601 19600630     9.8
19600701 19600731    69.1
19600801 19600831     2.8
19600901 19600930    39.2
19601001 19601031     1.5
19601101 19601130     0.0
19601201 19601231    14.8
19610101 19610131    92.5
19610201 19610228     5.4
19610301 19610331     7.6
19610401 19610430    72.4
19610501 19610531     0.5
19610601 19610630    24.9
19610701 19610731    30.0
19610801 19610831    10.0
19610901 19610930     6.6
19611001 19611031     0.0
19611101 19611130     0.0
19611201 19611231     1.8
19620101 19620131     2.8
19620201 19620228    42.7
19620301 19620331     6.9
19620401 19620430     7.1
19620501 19620531    53.9
19620601 19620630    16.6
19620701 19620731    15.1
19620801 19620831     1.5
19620901 19620930     4.6
19621001 19621031     7.1
19621101 19621130     1.3
19621201 19621231    15.9
19630101 19630131   120.9
19630201 19630228    59.7
19630301 19630331    21.0
19630401 19630430    24.3
19630501 19630531    99.2
19630601 19630630    24.2
19630701 19630731    64.6
19630801 19630831    23.2
19630901 19630930     1.5
19631001 19631031     0.3
19631101 19631130    13.0
19631201 19631231     7.4
19640101 19640131    15.8
19640201 19640229     0.0
19640301 19640331     5.1
19640401 19640430    35.7
19640501 19640531     0.5
19640601 19640630    26.9
19640701 19640731    54.6
19640801 19640831    15.0
19640901 19640930    10.4
19641001 19641031     2.8
19641101 19641130    18.2
19641201 19641231     0.0
19650101 19650131     0.0
19650201 19650228     3.1
19650301 19650331     5.3
19650401 19650430     0.5
19650501 19650531    36.6
19650601 19650630    61.7
19650701 19650731    14.8
19650801 19650831    27.6
19650901 19650930     7.6
19651001 19651031    14.3
19651101 19651130    13.2
19651201 19651231     6.1
19660101 19660131    20.3
19660201 19660228    56.1
19660301 19660331     3.6
19660401 19660430    60.5
19660501 19660531     2.1
19660601 19660630    28.8
19660701 19660731    15.8
19660801 19660831     8.7
19660901 19660930     8.6
19661001 19661031    11.9
19661101 19661130     3.5
19661201 19661231     1.3
19670101 19670131   141.7
19670201 19670228    15.2
19670301 19670331    11.2
19670401 19670430     6.5
19670501 19670531    47.8
19670601 19670630    16.6
19670701 19670731    29.8
19670801 19670831    10.4
19670901 19670930     0.0
19671001 19671031     8.6
19671101 19671130     4.3
19671201 19671231    12.0
19680101 19680131    20.3
19680201 19680229    11.3
19680301 19680331    44.7
19680401 19680430    10.2
19680501 19680531    19.6
19680601 19680630   118.7
19680701 19680731    14.0
19680801 19680831     8.5
19680901 19680930    14.3
19681001 19681031     0.0
19681101 19681130     0.3
19681201 19681231    46.8
19690101 19690131    17.3
19690201 19690228     3.6
19690301 19690331     3.3
19690401 19690430     8.2
19690501 19690531    20.0
19690601 19690630     3.0
19690701 19690731     3.3
19690801 19690831     5.4
19690901 19690930    17.5
19691001 19691031     5.6
19691101 19691130     7.0
19691201 19691231     0.0
19700101 19700131     5.3
19700201 19700228    15.8
19700301 19700331     8.6
19700401 19700430    29.3
19700501 19700531    21.1
19700601 19700630    20.7
19700701 19700731     9.4
