PRCP       044002 18890301 20170731 missing_value=99999.9 AUGATHELLA POST OFFICE                    
19200601 19200630   119.5
19200701 19200731   119.3
19200801 19200831    34.3
19200901 19200930    25.4
19201001 19201031    84.1
19201101 19201130    10.9
19201201 19201231   108.5
19210101 19210131    49.0
19210201 19210228     9.4
19210301 19210331   124.5
19210401 19210430     5.3
19210501 19210531    61.1
19210601 19210630   238.0
19210701 19210731    90.4
19210801 19210831    68.2
19210901 19210930    83.6
19211001 19211031    26.9
19211101 19211130    35.1
19211201 19211231    71.6
19220101 19220131    26.5
19220201 19220228     0.0
19220301 19220331     7.6
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630    25.4
19220701 19220731     7.4
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    18.8
19221101 19221130    23.4
19221201 19221231   136.4
19230101 19230131    11.2
19230201 19230228     0.0
19230301 19230331    42.2
19230401 19230430    35.0
19230501 19230531    23.1
19230601 19230630    94.5
19230701 19230731     7.6
19230801 19230831    13.2
19230901 19230930    27.5
19231001 19231031    27.7
19231101 19231130    27.9
19231201 19231231    82.7
19240101 19240131    72.4
19240201 19240229   123.1
19240301 19240331   195.5
19240401 19240430    18.0
19240501 19240531     5.6
19240601 19240630    10.4
19240701 19240731     4.9
19240801 19240831    95.7
19240901 19240930    53.4
19241001 19241031   100.6
19241101 19241130   241.8
19241201 19241231    64.0
19250101 19250131   138.2
19250201 19250228    31.5
19250301 19250331   115.7
19250401 19250430     0.0
19250501 19250531    26.3
19250601 19250630     2.3
19250701 19250731    16.8
19250801 19250831    52.0
19250901 19250930     1.3
19251001 19251031     4.6
19251101 19251130    79.5
19251201 19251231   148.8
19260101 19260131    72.8
19260201 19260228    40.8
19260301 19260331    51.8
19260401 19260430    36.8
19260501 19260531    38.3
19260601 19260630     0.0
19260701 19260731     7.0
19260801 19260831     3.1
19260901 19260930    73.3
19261001 19261031     1.3
19261101 19261130    25.4
19261201 19261231    64.5
19270101 19270131    82.0
19270201 19270228     4.1
19270301 19270331   114.3
19270401 19270430     0.0
19270501 19270531     4.8
19270601 19270630    33.0
19270701 19270731     0.0
19270801 19270831     1.0
19270901 19270930     1.8
19271001 19271031    61.7
19271101 19271130    23.8
19271201 19271231   214.2
19280101 19280131    91.4
19280201 19280229   184.2
19280301 19280331    38.6
19280401 19280430   131.1
19280501 19280531    10.9
19280601 19280630    37.6
19280701 19280731    10.4
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     8.6
19281101 19281130    32.5
19281201 19281231    54.2
19290101 19290131     0.0
19290201 19290228    58.3
19290301 19290331    56.3
19290401 19290430    61.9
19290501 19290531     0.0
19290601 19290630    12.7
19290701 19290731     3.0
19290801 19290831     3.1
19290901 19290930     1.8
19291001 19291031     7.7
19291101 19291130    31.6
19291201 19291231    77.7
19300101 19300131   134.1
19300201 19300228    20.8
19300301 19300331    23.1
19300401 19300430    27.2
19300501 19300531    22.1
19300601 19300630    26.6
19300701 19300731    25.2
19300801 19300831    41.2
19300901 19300930     2.1
19301001 19301031    47.3
19301101 19301130    21.6
19301201 19301231    15.5
19310101 19310131    36.1
19310201 19310228    11.2
19310301 19310331   152.4
19310401 19310430    55.1
19310501 19310531    27.5
19310601 19310630    52.4
19310701 19310731    21.2
19310801 19310831     1.5
19310901 19310930     3.9
19311001 19311031    38.3
19311101 19311130    83.6
19311201 19311231   110.2
19320101 19320131     8.4
19320201 19320229    29.7
19320301 19320331    20.1
19320401 19320430    23.3
19320501 19320531    47.7
19320601 19320630    21.7
19320701 19320731    10.9
19320801 19320831     0.0
19320901 19320930     6.2
19321001 19321031    10.4
19321101 19321130    73.9
19321201 19321231    14.5
19330101 19330131    42.8
19330201 19330228    30.5
19330301 19330331     4.1
19330401 19330430    10.4
19330501 19330531    10.7
19330601 19330630    47.0
19330701 19330731   144.8
19330801 19330831    32.2
19330901 19330930    33.0
19331001 19331031   106.7
19331101 19331130   219.1
19331201 19331231    50.6
19340101 19340131    69.8
19340201 19340228    49.1
19340301 19340331     0.0
19340401 19340430    26.2
19340501 19340531     0.0
19340601 19340630    19.6
19340701 19340731    35.7
19340801 19340831     0.0
19340901 19340930     5.3
19341001 19341031    40.6
19341101 19341130    63.5
19341201 19341231    15.0
19350101 19350131     0.0
19350201 19350228    28.4
19350301 19350331     0.0
19350401 19350430    15.0
19350501 19350531     0.0
19350601 19350630    36.3
19350701 19350731    27.0
19350801 19350831    14.7
19350901 19350930    34.0
19351001 19351031    24.6
19351101 19351130     7.6
19351201 19351231    11.9
19360101 19360131    33.5
19360201 19360229    83.4
19360301 19360331   229.5
19360401 19360430     0.0
19360501 19360531    10.9
19360601 19360630    32.5
19360701 19360731    61.0
19360801 19360831    14.2
19360901 19360930    11.4
19361001 19361031     0.0
19361101 19361130    29.8
19361201 19361231   127.5
19370101 19370131    38.3
19370201 19370228   129.7
19370301 19370331    96.0
19370401 19370430     3.0
19370501 19370531     0.0
19370601 19370630    26.2
19370701 19370731    25.4
19370801 19370831     9.4
19370901 19370930     0.0
19371001 19371031     2.5
19371101 19371130    25.4
19371201 19371231     8.4
19380101 19380131   127.5
19380201 19380228    71.2
19380301 19380331     2.0
19380401 19380430     2.8
19380501 19380531    46.3
19380601 19380630    19.8
19380701 19380731    31.2
19380801 19380831    20.3
19380901 19380930     9.8
19381001 19381031    34.6
19381101 19381130    90.0
19381201 19381231     1.5
19390101 19390131   122.9
19390201 19390228   131.8
19390301 19390331   137.7
19390401 19390430    51.2
19390501 19390531     9.6
19390601 19390630    29.2
19390701 19390731    72.4
19390801 19390831    31.8
19390901 19390930     0.0
19391001 19391031    22.6
19391101 19391130    12.5
19391201 19391231    19.6
19400101 19400131    28.2
19400201 19400229   141.2
19400301 19400331    14.7
19400401 19400430     9.4
19400501 19400531    17.2
19400601 19400630     8.4
19400701 19400731     0.0
19400801 19400831    32.7
19400901 19400930    11.2
19401001 19401031     4.6
19401101 19401130     7.3
19401201 19401231   103.4
19410101 19410131   255.2
19410201 19410228    57.2
19410301 19410331    98.4
19410401 19410430    82.0
19410501 19410531    36.4
19410601 19410630    36.6
19410701 19410731     4.8
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031    30.2
19411101 19411130    73.3
19411201 19411231    49.6
19420101 19420131    30.1
19420201 19420228    26.9
19420301 19420331     2.6
19420401 19420430    20.6
19420501 19420531    57.9
19420601 19420630    16.3
19420701 19420731    24.9
19420801 19420831     0.0
19420901 19420930     3.1
19421001 19421031    19.6
19421101 19421130    43.4
19421201 19421231   104.8
19430101 19430131    51.5
19430201 19430228    22.6
19430301 19430331    34.8
19430401 19430430    18.3
19430501 19430531     2.6
19430601 19430630    29.8
19430701 19430731     0.0
19430801 19430831    12.2
19430901 19430930    81.3
19431001 19431031    34.7
19431101 19431130    71.9
19431201 19431231    16.8
19440101 19440131    25.9
19440201 19440229    83.1
19440301 19440331    16.8
19440401 19440430    11.7
19440501 19440531    14.0
19440601 19440630     4.8
19440701 19440731    52.4
19440801 19440831    31.3
19440901 19440930     7.1
19441001 19441031    15.5
19441101 19441130     5.1
19441201 19441231    29.0
19450101 19450131    16.5
19450201 19450228    70.5
19450301 19450331     1.8
19450401 19450430    25.1
19450501 19450531    37.4
19450601 19450630    46.8
19450701 19450731    41.4
19450801 19450831    23.1
19450901 19450930     0.0
19451001 19451031    46.5
19451101 19451130    15.5
19451201 19451231    22.6
19460101 19460131    83.2
19460201 19460228    50.8
19460301 19460331     7.6
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     3.3
19460701 19460731     0.0
19460801 19460831     0.0
