PRCP       050004 19110401 20170731 missing_value=99999.9 BOGAN GATE POST OFFICE                    
19520801 19520831    45.8
19520901 19520930    16.1
19521001 19521031    71.5
19521101 19521130    27.0
19521201 19521231    50.4
19530101 19530131    52.3
19530201 19530228    34.8
19530301 19530331    20.6
19530401 19530430    15.5
19530501 19530531    30.8
19530601 19530630    14.5
19530701 19530731     2.6
19530801 19530831    66.3
19530901 19530930    21.4
19531001 19531031    42.6
19531101 19531130    48.0
19531201 19531231    10.1
19540101 19540131    98.9
19540201 19540228   120.9
19540301 19540331     0.0
19540401 19540430    54.6
19540501 19540531     1.8
19540601 19540630    29.1
19540701 19540731    13.7
19540801 19540831    28.4
19540901 19540930    20.5
19541001 19541031   130.3
19541101 19541130    66.7
19541201 19541231    72.3
19550101 19550131    64.0
19550201 19550228   161.3
19550301 19550331    20.0
19550401 19550430    20.3
19550501 19550531    67.3
19550601 19550630    53.9
19550701 19550731    33.6
19550801 19550831    59.2
19550901 19550930    33.8
19551001 19551031   178.6
19551101 19551130    38.5
19551201 19551231    21.1
19560101 19560131    97.0
19560201 19560229   111.6
19560301 19560331   142.8
19560401 19560430    92.0
19560501 19560531    81.5
19560601 19560630    63.0
19560701 19560731    81.5
19560801 19560831    30.6
19560901 19560930    30.5
19561001 19561031    97.8
19561101 19561130     5.9
19561201 19561231     0.0
19570101 19570131     5.4
19570201 19570228    23.7
19570301 19570331    35.3
19570401 19570430    14.7
19570501 19570531     2.8
19570601 19570630     7.4
19570701 19570731    77.8
19570801 19570831    32.6
19570901 19570930     0.5
19571001 19571031     6.1
19571101 19571130     9.7
19571201 19571231    37.1
19580101 19580131    59.7
19580201 19580228    33.5
19580301 19580331   100.1
19580401 19580430    34.8
19580501 19580531    27.9
19580601 19580630    22.4
19580701 19580731    44.1
19580801 19580831    59.9
19580901 19580930    65.8
19581001 19581031    51.9
19581101 19581130    10.2
19581201 19581231    46.3
19590101 19590131    69.2
19590201 19590228   150.5
19590301 19590331   145.1
19590401 19590430   109.3
19590501 19590531     9.9
19590601 19590630    52.8
19590701 19590731    65.8
19590801 19590831     5.6
19590901 19590930    12.7
19591001 19591031    31.8
19591101 19591130    31.7
19591201 19591231    26.4
19600101 19600131    65.7
19600201 19600229    35.7
19600301 19600331    14.6
19600401 19600430     4.4
19600501 19600531    37.6
19600601 19600630     9.7
19600701 19600731    59.2
19600801 19600831    68.0
19600901 19600930    51.2
19601001 19601031    31.9
19601101 19601130    38.4
19601201 19601231    30.4
19610101 19610131    56.7
19610201 19610228     8.4
19610301 19610331    36.8
19610401 19610430    69.6
19610501 19610531     4.7
19610601 19610630    38.3
19610701 19610731    37.2
19610801 19610831    71.7
19610901 19610930     8.1
19611001 19611031    15.6
19611101 19611130   175.0
19611201 19611231    53.3
19620101 19620131    73.5
19620201 19620228    23.7
19620301 19620331    24.7
19620401 19620430     9.9
19620501 19620531    72.5
19620601 19620630    22.1
19620701 19620731    30.7
19620801 19620831    68.9
19620901 19620930    14.7
19621001 19621031    31.2
19621101 19621130    13.4
19621201 19621231   122.1
19630101 19630131    65.3
19630201 19630228   100.1
19630301 19630331    83.0
19630401 19630430    55.8
19630501 19630531    73.0
19630601 19630630    42.0
19630701 19630731    48.5
19630801 19630831    27.4
19630901 19630930    40.9
19631001 19631031    29.5
19631101 19631130    40.5
19631201 19631231    59.0
19640101 19640131     7.1
19640201 19640229    13.4
19640301 19640331    13.4
19640401 19640430    75.0
19640501 19640531    54.3
19640601 19640630    71.7
19640701 19640731    25.9
19640801 19640831    30.8
19640901 19640930    56.0
19641001 19641031    57.9
19641101 19641130     9.2
19641201 19641231     7.4
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331    10.9
19650401 19650430    21.8
19650501 19650531    26.7
19650601 19650630    10.9
19650701 19650731    31.8
19650801 19650831    49.3
19650901 19650930    45.5
19651001 19651031    64.0
19651101 19651130    15.0
19651201 19651231    69.1
19660101 19660131     7.9
