PRCP       075050 19100101 20151031 missing_value=99999.9 NARADHAN (URALBA)                         
19481001 19481031    27.9
19481101 19481130    33.8
19481201 19481231    61.5
19490101 19490131    13.0
19490201 19490228    14.2
19490301 19490331    90.7
19490401 19490430    17.5
19490501 19490531    45.2
19490601 19490630     8.9
19490701 19490731    38.1
19490801 19490831     4.8
19490901 19490930    36.1
19491001 19491031   108.0
19491101 19491130    64.9
19491201 19491231    20.0
19500101 19500131    22.6
19500201 19500228   133.4
19500301 19500331    57.7
19500401 19500430    19.3
19500501 19500531    38.6
19500601 19500630    54.4
19500701 19500731    39.9
19500801 19500831    31.5
19500901 19500930    17.5
19501001 19501031    99.6
19501101 19501130    78.2
19501201 19501231    27.2
19510101 19510131    39.0
19510201 19510228     8.5
19510301 19510331    11.3
19510401 19510430    16.6
19510501 19510531    42.9
19510601 19510630    60.7
19510701 19510731    31.0
19510801 19510831    15.2
19510901 19510930    31.8
19511001 19511031    40.1
19511101 19511130    22.6
19511201 19511231     0.0
19520101 19520131     0.0
19520201 19520229     6.5
19520301 19520331    90.1
19520401 19520430    84.8
19520501 19520531   103.5
19520601 19520630    48.7
19520701 19520731    44.6
19520801 19520831    36.6
19520901 19520930    21.3
19521001 19521031    45.7
19521101 19521130    44.7
19521201 19521231     8.9
19530101 19530131    39.9
19530201 19530228    30.0
19530301 19530331     0.0
19530401 19530430     6.6
19530501 19530531    22.9
19530601 19530630    18.5
19530701 19530731     7.6
19530801 19530831    66.5
19530901 19530930    26.9
19531001 19531031    87.1
19531101 19531130    31.8
19531201 19531231     2.3
19540101 19540131   142.7
19540201 19540228    15.0
19540301 19540331     0.0
19540401 19540430    21.6
19540501 19540531     2.0
19540601 19540630    40.6
19540701 19540731     3.8
19540801 19540831    46.2
19540901 19540930    22.6
19541001 19541031    43.4
19541101 19541130    82.8
19541201 19541231    75.9
19550101 19550131    30.7
19550201 19550228    89.7
19550301 19550331    61.2
19550401 19550430    16.5
19550501 19550531    73.9
19550601 19550630    45.0
19550701 19550731    42.9
19550801 19550831    71.9
19550901 19550930    36.1
19551001 19551031    82.0
19551101 19551130    33.0
19551201 19551231    10.7
19560101 19560131    37.8
19560201 19560229    15.0
19560301 19560331   311.7
19560401 19560430    98.8
19560501 19560531    92.2
19560601 19560630    68.6
19560701 19560731   104.1
19560801 19560831    50.8
19560901 19560930    25.9
19561001 19561031    66.3
19561101 19561130    11.9
19561201 19561231     0.0
19570101 19570131     2.5
19570201 19570228    42.7
19570301 19570331     8.4
19570401 19570430    11.4
19570501 19570531     0.0
19570601 19570630    32.0
19570701 19570731    68.1
19570801 19570831    22.4
19570901 19570930     0.0
19571001 19571031     8.9
19571101 19571130    10.2
19571201 19571231    30.0
19580101 19580131     2.0
19580201 19580228    37.1
19580301 19580331    30.7
19580401 19580430    40.9
19580501 19580531    51.8
19580601 19580630    10.9
19580701 19580731    34.0
19580801 19580831    68.1
19580901 19580930    38.9
19581001 19581031    51.8
19581101 19581130    22.4
19581201 19581231    24.6
19590101 19590131    33.5
