PRCP       007011 19020501 20160430 missing_value=99999.9 BURNERBINMAH                              
19340701 19340731    20.3
19340801 19340831    21.8
19340901 19340930     3.4
19341001 19341031     0.0
19341101 19341130    35.3
19341201 19341231     2.3
19350101 19350131    22.6
19350201 19350228    63.2
19350301 19350331   140.8
19350401 19350430     0.8
19350501 19350531     2.5
19350601 19350630     8.4
19350701 19350731     5.6
19350801 19350831    20.7
19350901 19350930     3.3
19351001 19351031     0.0
19351101 19351130     0.0
19351201 19351231     0.0
19360101 19360131    21.6
19360201 19360229     1.0
19360301 19360331    29.5
19360401 19360430     4.8
19360501 19360531     3.8
19360601 19360630    29.3
19360701 19360731     6.3
19360801 19360831    13.7
19360901 19360930     0.8
19361001 19361031     3.3
19361101 19361130     3.6
19361201 19361231    16.5
19370101 19370131    12.7
19370201 19370228     9.7
19370301 19370331    35.3
19370401 19370430    12.2
19370501 19370531    13.2
19370601 19370630    28.7
19370701 19370731     1.1
19370801 19370831    17.8
19370901 19370930     5.1
19371001 19371031     2.3
19371101 19371130    12.4
19371201 19371231     0.0
19380101 19380131    19.6
19380201 19380228     1.0
19380301 19380331     7.1
19380401 19380430     9.9
19380501 19380531     3.1
19380601 19380630    22.3
19380701 19380731    37.6
19380801 19380831    10.4
19380901 19380930     0.5
19381001 19381031     0.0
19381101 19381130    11.0
19381201 19381231     2.0
19390101 19390131    42.8
19390201 19390228    70.6
19390301 19390331     3.3
19390401 19390430     2.6
19390501 19390531    15.3
19390601 19390630    51.7
19390701 19390731    42.8
19390801 19390831    25.2
19390901 19390930     0.0
19391001 19391031    18.1
19391101 19391130    27.2
19391201 19391231     0.0
19400101 19400131     7.4
19400201 19400229     0.0
19400301 19400331     2.1
19400401 19400430     1.3
19400501 19400531    13.0
19400601 19400630    15.2
19400701 19400731    22.7
19400801 19400831     5.1
19400901 19400930     8.6
19401001 19401031     7.1
19401101 19401130     2.5
19401201 19401231     1.5
19410101 19410131     0.0
19410201 19410228     7.1
19410301 19410331     0.5
19410401 19410430    21.8
19410501 19410531    24.3
19410601 19410630    34.3
19410701 19410731    29.2
19410801 19410831    23.4
19410901 19410930     9.5
19411001 19411031     1.8
19411101 19411130    15.8
19411201 19411231    36.3
19420101 19420131    10.2
19420201 19420228     1.0
19420301 19420331    48.1
19420401 19420430    23.2
19420501 19420531    29.0
19420601 19420630    42.9
19420701 19420731    25.9
19420801 19420831    23.9
19420901 19420930     6.9
19421001 19421031     2.1
19421101 19421130     1.3
19421201 19421231    14.2
19430101 19430131     0.0
19430201 19430228    17.0
19430301 19430331    51.2
19430401 19430430    35.3
19430501 19430531    23.3
19430601 19430630    31.4
19430701 19430731    14.0
19430801 19430831     6.6
19430901 19430930     4.0
19431001 19431031     6.9
19431101 19431130     1.3
19431201 19431231    12.7
19440101 19440131     0.0
19440201 19440229     0.0
19440301 19440331     1.3
19440401 19440430     1.3
19440501 19440531    17.8
19440601 19440630     5.1
19440701 19440731    23.4
19440801 19440831    19.7
19440901 19440930     0.8
19441001 19441031     0.0
19441101 19441130     3.3
19441201 19441231     0.0
19450101 19450131     0.0
19450201 19450228    16.6
19450301 19450331    10.5
19450401 19450430    11.2
19450501 19450531     8.4
19450601 19450630   101.0
19450701 19450731     5.2
19450801 19450831    53.3
19450901 19450930     9.2
19451001 19451031     2.0
19451101 19451130     5.4
19451201 19451231     0.0
19460101 19460131    34.5
19460201 19460228    16.8
19460301 19460331     1.3
19460401 19460430     0.8
19460501 19460531    14.9
19460601 19460630    21.6
19460701 19460731    57.9
19460801 19460831    17.3
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     9.6
19461201 19461231     0.0
19470101 19470131    10.6
19470201 19470228    13.0
19470301 19470331    27.7
19470401 19470430     1.0
19470501 19470531    40.4
19470601 19470630    27.0
19470701 19470731    43.5
19470801 19470831    18.1
19470901 19470930    12.7
19471001 19471031    32.0
19471101 19471130     0.0
19471201 19471231     0.0
19480101 19480131     2.3
19480201 19480229    99.3
19480301 19480331    39.1
19480401 19480430    11.5
19480501 19480531     0.0
19480601 19480630    32.8
19480701 19480731    19.3
19480801 19480831    22.5
19480901 19480930     8.9
19481001 19481031     0.0
19481101 19481130    31.0
19481201 19481231     2.0
19490101 19490131     2.5
19490201 19490228    17.7
19490301 19490331     0.0
19490401 19490430     5.3
19490501 19490531     0.0
19490601 19490630    23.6
19490701 19490731    28.6
19490801 19490831    41.9
19490901 19490930    26.6
19491001 19491031    12.1
19491101 19491130    10.0
19491201 19491231     1.8
19500101 19500131     2.1
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    70.4
19500601 19500630    16.0
19500701 19500731    23.1
19500801 19500831    19.0
19500901 19500930     6.1
19501001 19501031     5.6
19501101 19501130     0.0
19501201 19501231     0.0
19510101 19510131    59.0
19510201 19510228    31.6
19510301 19510331    30.0
19510401 19510430    39.2
19510501 19510531    21.8
19510601 19510630    69.8
19510701 19510731    37.5
19510801 19510831     6.8
19510901 19510930     9.3
19511001 19511031     4.1
19511101 19511130     0.0
19511201 19511231     0.8
19520101 19520131    99.3
19520201 19520229    54.7
19520301 19520331     0.0
19520401 19520430    16.2
19520501 19520531    15.2
19520601 19520630     9.9
19520701 19520731    24.2
19520801 19520831     2.1
19520901 19520930     7.2
19521001 19521031     0.5
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131     2.3
19530201 19530228     0.0
19530301 19530331   249.8
19530401 19530430    37.0
19530501 19530531    34.9
19530601 19530630    41.2
19530701 19530731    21.1
19530801 19530831     7.6
19530901 19530930     3.3
19531001 19531031     7.6
19531101 19531130     0.0
19531201 19531231    10.2
19540101 19540131    10.9
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     1.3
19540501 19540531    46.3
19540601 19540630    14.3
19540701 19540731    15.3
19540801 19540831    13.7
19540901 19540930     9.2
19541001 19541031     0.0
19541101 19541130     0.0
19541201 19541231     0.0
19550101 19550131    18.2
19550201 19550228    51.0
19550301 19550331    32.0
19550401 19550430     3.1
19550501 19550531    25.2
19550601 19550630    29.4
19550701 19550731    12.8
19550801 19550831    26.9
19550901 19550930    40.5
19551001 19551031    14.4
19551101 19551130     0.0
19551201 19551231     0.0
19560101 19560131     0.0
19560201 19560229     3.8
19560301 19560331     0.0
19560401 19560430     1.3
19560501 19560531    40.9
19560601 19560630    32.6
19560701 19560731    28.3
19560801 19560831     9.7
19560901 19560930     0.0
19561001 19561031    17.0
19561101 19561130    21.8
19561201 19561231     0.0
19570101 19570131    37.5
19570201 19570228     2.5
19570301 19570331    67.8
19570401 19570430     1.3
19570501 19570531    14.2
19570601 19570630    26.4
19570701 19570731     6.1
19570801 19570831     4.6
19570901 19570930     1.3
19571001 19571031     0.0
19571101 19571130     0.0
19571201 19571231     9.1
19580101 19580131    30.0
19580201 19580228     0.0
19580301 19580331    11.7
19580401 19580430     0.0
19580501 19580531    44.5
19580601 19580630    13.5
19580701 19580731    55.0
19580801 19580831    51.6
19580901 19580930    41.1
19581001 19581031     0.0
19581101 19581130    15.2
19581201 19581231    19.6
19590101 19590131     0.0
19590201 19590228     0.0
19590301 19590331    15.3
19590401 19590430     7.4
19590501 19590531     5.8
19590601 19590630    53.6
19590701 19590731    21.4
19590801 19590831    17.5
19590901 19590930     0.0
19591001 19591031     7.6
19591101 19591130     0.0
19591201 19591231     7.6
19600101 19600131     1.0
19600201 19600229   153.9
19600301 19600331    59.5
19600401 19600430     9.9
19600501 19600531    12.0
19600601 19600630     2.8
19600701 19600731    92.2
19600801 19600831     6.6
19600901 19600930     2.1
19601001 19601031     2.8
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    27.5
19610201 19610228     0.0
19610301 19610331     9.4
19610401 19610430    44.0
19610501 19610531     9.4
19610601 19610630   107.7
19610701 19610731    11.7
19610801 19610831    19.8
19610901 19610930     0.0
19611001 19611031     1.0
19611101 19611130     0.0
19611201 19611231     0.0
19620101 19620131     7.1
19620201 19620228    21.3
19620301 19620331     0.0
19620401 19620430     8.1
19620501 19620531    80.2
19620601 19620630    13.1
19620701 19620731    26.4
19620801 19620831     1.3
19620901 19620930     1.3
19621001 19621031    11.5
19621101 19621130     3.3
19621201 19621231    42.5
19630101 19630131   116.0
19630201 19630228    78.7
19630301 19630331     8.1
19630401 19630430    14.2
19630501 19630531    69.8
19630601 19630630    47.2
19630701 19630731    82.4
19630801 19630831    23.4
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     3.0
19631201 19631231     8.9
19640101 19640131     0.0
19640201 19640229     0.0
19640301 19640331    20.6
19640401 19640430    51.0
19640501 19640531     0.0
19640601 19640630    50.9
19640701 19640731    68.4
19640801 19640831    16.8
19640901 19640930    15.5
19641001 19641031     3.3
19641101 19641130     6.4
19641201 19641231     0.0
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331    10.4
19650401 19650430     4.0
19650501 19650531    18.3
19650601 19650630    97.1
19650701 19650731    33.9
19650801 19650831    39.5
19650901 19650930    10.3
19651001 19651031     0.0
19651101 19651130    20.8
19651201 19651231     3.1
19660101 19660131     0.0
19660201 19660228     7.9
19660301 19660331     0.0
19660401 19660430    81.1
19660501 19660531     0.0
19660601 19660630    26.7
19660701 19660731    25.4
19660801 19660831    16.0
19660901 19660930     4.9
19661001 19661031    26.9
19661101 19661130     1.5
19661201 19661231     0.0
19670101 19670131    68.5
19670201 19670228     2.8
19670301 19670331     0.0
19670401 19670430     6.9
19670501 19670531    44.7
19670601 19670630    16.5
19670701 19670731    21.6
19670801 19670831    23.1
19670901 19670930    11.7
19671001 19671031     0.0
19671101 19671130     0.0
19671201 19671231    22.6
19680101 19680131    10.2
19680201 19680229     2.5
19680301 19680331     8.9
19680401 19680430    20.5
19680501 19680531    35.1
19680601 19680630   141.4
19680701 19680731     8.4
19680801 19680831    10.9
19680901 19680930     8.4
19681001 19681031     0.0
19681101 19681130     4.1
19681201 19681231     6.6
19690101 19690131     0.0
19690201 19690228    25.2
