PRCP       049023 18770201 20161231 missing_value=99999.9 EUSTON ( BENINGTON)                       
19090601 19090630    97.6
19090701 19090731    19.8
19090801 19090831    75.8
19090901 19090930    26.0
19091001 19091031     8.8
19091101 19091130    47.3
19091201 19091231     3.5
19100101 19100131    40.1
19100201 19100228    41.5
19100301 19100331    63.7
19100401 19100430     0.3
19100501 19100531    43.3
19100601 19100630    75.9
19100701 19100731    33.8
19100801 19100831    22.9
19100901 19100930    51.0
19101001 19101031    29.7
19101101 19101130    45.9
19101201 19101231    19.0
19110101 19110131    58.3
19110201 19110228   133.6
19110301 19110331    22.8
19110401 19110430     0.8
19110501 19110531    39.9
19110601 19110630    23.0
19110701 19110731    24.9
19110801 19110831    20.5
19110901 19110930    37.1
19111001 19111031     8.4
19111101 19111130     1.9
19111201 19111231    33.8
19120101 19120131     2.1
19120201 19120229    36.6
19120301 19120331     1.1
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    78.7
19120701 19120731    16.5
19120801 19120831    38.0
19120901 19120930    27.1
19121001 19121031     3.0
19121101 19121130    45.3
19121201 19121231    20.3
19130101 19130131     0.0
19130201 19130228     7.0
19130301 19130331    64.5
19130401 19130430    17.3
19130501 19130531    36.1
19130601 19130630     0.0
19130701 19130731     5.2
19130801 19130831    11.0
19130901 19130930    40.1
19131001 19131031    66.1
19131101 19131130     3.8
19131201 19131231     8.1
19140101 19140131     2.7
19140201 19140228     1.9
19140301 19140331    47.5
19140401 19140430    64.5
19140501 19140531    10.1
19140601 19140630     4.9
19140701 19140731     6.3
19140801 19140831     0.0
19140901 19140930     0.3
19141001 19141031     2.1
19141101 19141130    23.3
19141201 19141231    33.2
19150101 19150131    14.0
19150201 19150228     0.0
19150301 19150331     0.3
19150401 19150430    13.7
19150501 19150531    46.0
19150601 19150630    49.3
19150701 19150731    41.5
19150801 19150831    30.8
19150901 19150930    54.8
19151001 19151031    15.1
19151101 19151130     2.4
19151201 19151231     0.0
19160101 19160131    18.7
19160201 19160229     2.4
19160301 19160331     1.1
19160401 19160430     5.9
19160501 19160531    21.0
19160601 19160630    69.0
19160701 19160731    41.6
19160801 19160831    72.5
19160901 19160930    70.4
19161001 19161031    42.2
19161101 19161130    69.0
19161201 19161231    17.8
19170101 19170131    30.8
19170201 19170228    66.1
19170301 19170331    15.6
19170401 19170430     2.4
19170501 19170531    43.9
19170601 19170630    49.4
19170701 19170731    53.5
19170801 19170831    82.6
19170901 19170930    74.4
19171001 19171031    67.6
19171101 19171130    70.6
19171201 19171231     0.0
19180101 19180131    22.1
19180201 19180228    14.9
19180301 19180331    73.6
19180401 19180430    44.2
19180501 19180531    81.8
19180601 19180630    31.3
19180701 19180731    11.5
19180801 19180831    49.6
19180901 19180930     6.9
19181001 19181031    25.4
19181101 19181130     3.5
19181201 19181231     9.2
19190101 19190131     4.4
19190201 19190228    41.5
19190301 19190331     5.9
19190401 19190430    21.6
19190501 19190531    53.6
19190601 19190630    30.9
19190701 19190731    11.4
19190801 19190831    10.8
19190901 19190930    24.3
19191001 19191031    11.4
19191101 19191130     3.5
19191201 19191231    18.9
19200101 19200131     7.0
19200201 19200229     0.0
19200301 19200331     5.9
19200401 19200430     8.6
19200501 19200531    18.7
19200601 19200630    24.0
19200701 19200731    23.0
19200801 19200831    76.7
19200901 19200930    70.3
19201001 19201031    77.4
19201101 19201130    52.1
19201201 19201231    39.5
19210101 19210131    28.0
19210201 19210228    46.7
19210301 19210331    31.9
19210401 19210430     1.9
19210501 19210531    41.0
19210601 19210630    53.2
19210701 19210731    14.0
19210801 19210831    40.0
19210901 19210930    57.2
19211001 19211031    25.8
19211101 19211130    11.0
19211201 19211231    20.7
19220101 19220131     0.0
19220201 19220228     6.7
19220301 19220331     0.5
19220401 19220430    32.1
19220501 19220531    41.5
19220601 19220630    20.5
19220701 19220731    50.7
19220801 19220831    25.8
19220901 19220930    23.6
19221001 19221031    34.8
19221101 19221130     0.0
19221201 19221231    30.1
19230101 19230131     3.3
19230201 19230228     0.0
19230301 19230331     0.0
19230401 19230430     2.1
19230501 19230531    29.8
19230601 19230630   128.8
19230701 19230731    84.1
19230801 19230831    33.3
19230901 19230930    41.7
19231001 19231031    21.0
19231101 19231130    10.8
19231201 19231231    68.5
19240101 19240131    18.2
19240201 19240229    18.4
19240301 19240331    28.0
19240401 19240430    20.5
19240501 19240531     8.9
19240601 19240630    36.5
19240701 19240731     9.5
19240801 19240831    39.8
19240901 19240930    36.3
19241001 19241031    40.2
19241101 19241130    80.7
19241201 19241231    54.2
19250101 19250131    37.2
19250201 19250228    12.1
19250301 19250331    13.5
19250401 19250430     2.7
19250501 19250531    70.4
19250601 19250630    17.7
19250701 19250731    32.8
19250801 19250831    31.6
19250901 19250930    38.0
19251001 19251031     4.8
19251101 19251130    21.6
19251201 19251231     0.0
19260101 19260131     0.0
19260201 19260228     0.0
19260301 19260331    31.9
19260401 19260430    33.8
19260501 19260531    64.7
19260601 19260630    54.9
19260701 19260731    29.4
19260801 19260831    53.7
19260901 19260930    20.6
19261001 19261031    28.1
19261101 19261130     1.4
19261201 19261231    12.6
19270101 19270131    12.1
19270201 19270228     3.8
19270301 19270331    11.0
19270401 19270430     1.6
19270501 19270531     8.7
19270601 19270630    21.0
19270701 19270731    35.4
19270801 19270831    18.3
19270901 19270930    15.1
19271001 19271031    35.7
19271101 19271130    25.1
19271201 19271231     4.2
19280101 19280131    26.7
19280201 19280229    56.9
19280301 19280331    44.5
19280401 19280430    14.0
19280501 19280531     9.7
19280601 19280630    32.2
19280701 19280731    23.7
19280801 19280831     2.4
19280901 19280930    33.1
19281001 19281031    29.4
19281101 19281130     1.9
19281201 19281231     3.3
19290101 19290131     5.1
19290201 19290228    10.0
19290301 19290331    21.7
19290401 19290430    37.5
19290501 19290531     5.7
19290601 19290630     8.1
19290701 19290731     4.6
19290801 19290831    23.3
19290901 19290930    10.4
19291001 19291031     0.8
19291101 19291130    28.7
19291201 19291231    58.5
19300101 19300131     0.0
19300201 19300228     2.4
19300301 19300331    23.3
19300401 19300430     8.6
19300501 19300531    39.7
19300601 19300630     1.6
19300701 19300731    21.1
19300801 19300831    54.5
19300901 19300930    34.2
19301001 19301031    82.6
19301101 19301130    27.8
19301201 19301231    50.7
19310101 19310131     5.4
19310201 19310228     0.8
19310301 19310331    53.4
19310401 19310430    81.8
19310501 19310531    45.5
19310601 19310630    82.4
19310701 19310731    44.8
19310801 19310831     9.6
19310901 19310930    52.9
19311001 19311031    22.6
19311101 19311130     5.9
19311201 19311231     0.0
19320101 19320131     2.2
19320201 19320229   149.7
19320301 19320331    37.0
19320401 19320430    70.9
19320501 19320531    34.8
19320601 19320630    57.6
19320701 19320731    37.0
19320801 19320831    49.0
19320901 19320930    18.2
19321001 19321031     7.3
