PRCP       025004 19100101 20171231 missing_value=99999.9 GALGA                                     
19540901 19540930     5.3
19541001 19541031    19.8
19541101 19541130    21.5
19541201 19541231    30.7
19550101 19550131     0.0
19550201 19550228    39.3
19550301 19550331    13.2
19550401 19550430    15.7
19550501 19550531    58.9
19550601 19550630    81.2
19550701 19550731    10.6
19550801 19550831    23.6
19550901 19550930    18.5
19551001 19551031    15.7
19551101 19551130    17.2
19551201 19551231    14.7
19560101 19560131     4.6
19560201 19560229     0.0
19560301 19560331    33.9
19560401 19560430    38.3
19560501 19560531    44.7
19560601 19560630    37.5
19560701 19560731    34.0
19560801 19560831    18.0
19560901 19560930    28.4
19561001 19561031    25.9
19561101 19561130    10.6
19561201 19561231     3.8
19570101 19570131     0.0
19570201 19570228     4.1
19570301 19570331     1.8
19570401 19570430     5.8
19570501 19570531    13.9
19570601 19570630    23.4
19570701 19570731    25.1
19570801 19570831     4.3
19570901 19570930    11.9
19571001 19571031    22.6
19571101 19571130     5.1
19571201 19571231     7.1
19580101 19580131     1.5
19580201 19580228     2.6
19580301 19580331    16.8
19580401 19580430    13.5
19580501 19580531    36.6
19580601 19580630     0.5
19580701 19580731    35.0
19580801 19580831    41.4
19580901 19580930    47.6
19581001 19581031    37.5
19581101 19581130    20.7
19581201 19581231     5.1
19590101 19590131     0.0
19590201 19590228    26.0
19590301 19590331    23.4
19590401 19590430     5.3
19590501 19590531     5.8
19590601 19590630     5.9
19590701 19590731    19.1
19590801 19590831    15.5
19590901 19590930    18.9
19591001 19591031    48.8
19591101 19591130    10.1
19591201 19591231    11.2
19600101 19600131     7.4
19600201 19600229    41.4
19600301 19600331    10.2
19600401 19600430    29.5
19600501 19600531    46.2
19600601 19600630    12.1
19600701 19600731    42.1
19600801 19600831    14.1
19600901 19600930    48.5
19601001 19601031     5.1
19601101 19601130    38.8
19601201 19601231     2.3
19610101 19610131    14.0
19610201 19610228     1.5
19610301 19610331     0.5
19610401 19610430    88.4
19610501 19610531    18.9
19610601 19610630    11.5
19610701 19610731    35.6
19610801 19610831     9.6
19610901 19610930    29.9
19611001 19611031     3.6
19611101 19611130    41.2
19611201 19611231    11.7
19620101 19620131    29.3
19620201 19620228     5.6
19620301 19620331    35.8
19620401 19620430     4.1
19620501 19620531    21.6
19620601 19620630    25.9
19620701 19620731     7.1
19620801 19620831    25.6
19620901 19620930    10.5
19621001 19621031    46.7
19621101 19621130     2.8
19621201 19621231    28.7
19630101 19630131    33.5
19630201 19630228     5.1
19630301 19630331     6.7
19630401 19630430    52.2
19630501 19630531    64.8
19630601 19630630    40.4
19630701 19630731    30.3
19630801 19630831    41.8
19630901 19630930    10.2
19631001 19631031    22.4
19631101 19631130     8.4
19631201 19631231     3.8
19640101 19640131    16.5
19640201 19640229     6.4
19640301 19640331     3.0
19640401 19640430    30.5
19640501 19640531    12.7
19640601 19640630    12.7
19640701 19640731    27.0
19640801 19640831    28.2
19640901 19640930    76.1
19641001 19641031    32.7
19641101 19641130    37.0
19641201 19641231    56.4
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     3.8
19650401 19650430    14.7
19650501 19650531    34.0
19650601 19650630    29.5
19650701 19650731    38.5
19650801 19650831    60.3
19650901 19650930    29.0
19651001 19651031     2.8
19651101 19651130    15.2
19651201 19651231     6.9
19660101 19660131     0.0
19660201 19660228    20.3
19660301 19660331    11.2
19660401 19660430     4.9
19660501 19660531    16.2
19660601 19660630    33.9
19660701 19660731    42.7
19660801 19660831    14.0
19660901 19660930    20.8
19661001 19661031    31.0
19661101 19661130     3.5
19661201 19661231    63.5
19670101 19670131     2.5
19670201 19670228    14.6
19670301 19670331     3.5
19670401 19670430     3.6
19670501 19670531    37.0
19670601 19670630    14.2
19670701 19670731    20.1
19670801 19670831    33.5
19670901 19670930     7.1
19671001 19671031     9.8
19671101 19671130     0.0
19671201 19671231     8.6
19680101 19680131    18.8
19680201 19680229    17.3
19680301 19680331    37.9
19680401 19680430    28.9
19680501 19680531    38.8
19680601 19680630    31.9
19680701 19680731    38.4
19680801 19680831    38.8
19680901 19680930     8.8
19681001 19681031    20.3
19681101 19681130    27.0
19681201 19681231    22.9
19690101 19690131     2.3
19690201 19690228    77.2
19690301 19690331    57.7
19690401 19690430    26.9
19690501 19690531    37.0
19690601 19690630     8.4
19690701 19690731    51.1
19690801 19690831    14.9
19690901 19690930    37.1
19691001 19691031     1.0
19691101 19691130     8.2
19691201 19691231    30.9
19700101 19700131     7.4
19700201 19700228     0.0
19700301 19700331     9.9
19700401 19700430    47.0
19700501 19700531    14.4
19700601 19700630    16.9
19700701 19700731    10.4
19700801 19700831    48.0
19700901 19700930    54.4
19701001 19701031     7.2
19701101 19701130    48.5
19701201 19701231    16.3
19710101 19710131     0.5
19710201 19710228     9.9
19710301 19710331    18.3
19710401 19710430    32.8
19710501 19710531    27.1
19710601 19710630    44.6
19710701 19710731    22.9
19710801 19710831    29.4
19710901 19710930    37.8
19711001 19711031     3.8
19711101 19711130    32.7
19711201 19711231     8.7
19720101 19720131    26.4
19720201 19720229    29.3
19720301 19720331     0.0
19720401 19720430    13.2
19720501 19720531     8.1
19720601 19720630    10.1
19720701 19720731    20.7
19720801 19720831    42.3
19720901 19720930     7.7
19721001 19721031    10.0
19721101 19721130    16.9
19721201 19721231    13.0
19730101 19730131     9.2
19730201 19730228   105.3
19730301 19730331    17.3
19730401 19730430    32.5
19730501 19730531    32.0
19730601 19730630    34.1
19730701 19730731    60.8
19730801 19730831    38.1
19730901 19730930    23.0
19731001 19731031    95.0
19731101 19731130    47.0
19731201 19731231    30.0
19740101 19740131    71.6
19740201 19740228    22.2
19740301 19740331    64.8
