PRCP       031055 19080101 20180131 missing_value=99999.9 SOUTH MOSSMAN ALCHERA DVE                 
19580201 19580228   393.0
19580301 19580331   465.9
19580401 19580430   219.4
19580501 19580531    76.6
19580601 19580630    43.1
19580701 19580731     4.9
19580801 19580831    43.2
19580901 19580930     5.8
19581001 19581031     7.9
19581101 19581130    95.0
19581201 19581231    88.3
19590101 19590131   503.1
19590201 19590228   239.0
19590301 19590331   994.9
19590401 19590430   158.4
19590501 19590531   137.5
19590601 19590630    49.3
19590701 19590731    34.0
19590801 19590831    62.7
19590901 19590930    40.0
19591001 19591031     3.9
19591101 19591130   276.1
19591201 19591231   213.3
19600101 19600131   650.1
19600201 19600229   430.8
19600301 19600331   256.3
19600401 19600430    36.0
19600501 19600531    46.1
19600601 19600630    62.6
19600701 19600731    48.1
19600801 19600831    14.7
19600901 19600930     3.8
19601001 19601031     5.2
19601101 19601130    58.2
19601201 19601231   189.5
19610101 19610131   122.1
19610201 19610228    94.1
19610301 19610331   357.4
19610401 19610430    99.8
19610501 19610531    62.7
19610601 19610630     9.9
19610701 19610731    49.5
19610801 19610831    27.3
19610901 19610930    40.6
19611001 19611031    25.8
19611101 19611130    66.6
19611201 19611231   371.7
19620101 19620131   430.9
19620201 19620228   524.3
19620301 19620331   132.7
19620401 19620430   162.4
19620501 19620531    19.0
19620601 19620630    50.9
19620701 19620731    42.3
19620801 19620831     7.8
19620901 19620930    63.3
19621001 19621031     3.1
19621101 19621130    50.2
19621201 19621231    65.8
19630101 19630131   644.9
19630201 19630228   833.5
19630301 19630331   138.9
19630401 19630430   587.0
19630501 19630531   166.3
19630601 19630630    19.0
19630701 19630731     1.6
19630801 19630831     6.4
19630901 19630930     6.5
19631001 19631031    45.8
19631101 19631130    93.0
19631201 19631231   143.2
19640101 19640131   397.3
19640201 19640229   542.1
19640301 19640331   710.6
19640401 19640430    85.1
19640501 19640531   261.2
19640601 19640630     8.2
19640701 19640731    28.3
19640801 19640831    17.8
19640901 19640930    62.8
19641001 19641031   201.8
19641101 19641130   260.2
19641201 19641231   412.8
19650101 19650131   336.5
19650201 19650228   256.4
19650301 19650331   408.7
19650401 19650430   187.1
19650501 19650531    67.4
19650601 19650630   174.1
19650701 19650731     9.2
19650801 19650831     4.1
19650901 19650930     7.5
19651001 19651031    44.6
19651101 19651130    20.3
19651201 19651231   237.6
19660101 19660131   442.8
19660201 19660228   234.7
19660301 19660331   173.9
19660401 19660430   104.5
19660501 19660531    34.0
19660601 19660630    47.3
19660701 19660731    11.5
19660801 19660831    62.9
19660901 19660930     0.5
19661001 19661031    69.5
19661101 19661130   139.1
