PRCP       020053 19100101 20171231 missing_value=99999.9 TEPCO                                     
19691101 19691130     3.8
19691201 19691231     0.0
19700101 19700131     6.6
19700201 19700228     1.3
19700301 19700331     0.0
19700401 19700430    16.3
19700501 19700531     3.0
19700601 19700630     4.1
19700701 19700731     0.0
19700801 19700831    13.0
19700901 19700930    50.2
19701001 19701031    10.4
19701101 19701130     9.4
19701201 19701231    15.2
19710101 19710131     1.0
19710201 19710228    21.8
19710301 19710331    76.6
19710401 19710430    53.4
19710501 19710531    30.3
19710601 19710630     9.2
19710701 19710731    35.3
19710801 19710831     8.2
19710901 19710930    37.4
19711001 19711031     0.0
19711101 19711130    16.8
19711201 19711231     1.3
19720101 19720131    77.8
19720201 19720229     0.0
19720301 19720331     0.0
19720401 19720430     3.8
19720501 19720531    20.3
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831    14.3
19720901 19720930     2.0
19721001 19721031    21.3
19721101 19721130     0.0
19721201 19721231     0.0
19730101 19730131    33.5
19730201 19730228    64.9
19730301 19730331    62.5
19730401 19730430    11.4
19730501 19730531     2.5
19730601 19730630    23.9
19730701 19730731    30.2
19730801 19730831    49.2
19730901 19730930     3.8
19731001 19731031    89.7
19731101 19731130     8.0
19731201 19731231    57.4
19740101 19740131    83.0
19740201 19740228    16.8
19740301 19740331     8.8
19740401 19740430   140.4
19740501 19740531    67.2
19740601 19740630     9.0
19740701 19740731     8.8
19740801 19740831     6.6
19740901 19740930    38.6
19741001 19741031    55.8
19741101 19741130    22.4
19741201 19741231     1.2
19750101 19750131     8.2
19750201 19750228    34.2
19750301 19750331    12.0
19750401 19750430     2.5
19750501 19750531     8.4
19750601 19750630     0.0
19750701 19750731    11.2
19750801 19750831    20.2
19750901 19750930    62.0
19751001 19751031    88.4
19751101 19751130     7.6
19751201 19751231    91.2
19760101 19760131    69.2
19760201 19760229    72.8
19760301 19760331     0.8
19760401 19760430    36.2
19760501 19760531     0.0
19760601 19760630     1.8
19760701 19760731    26.2
19760801 19760831     6.6
19760901 19760930    14.4
19761001 19761031    46.4
19761101 19761130    13.0
19761201 19761231     6.6
19770101 19770131    10.0
19770201 19770228     4.4
19770301 19770331     1.4
19770401 19770430     0.0
19770501 19770531    15.6
19770601 19770630    13.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     2.6
19771001 19771031    16.8
19771101 19771130    31.9
19771201 19771231    10.8
19780101 19780131     0.4
19780201 19780228     0.0
19780301 19780331    16.6
19780401 19780430     1.4
19780501 19780531    20.0
19780601 19780630    48.6
19780701 19780731    20.2
19780801 19780831    17.0
19780901 19780930    47.4
19781001 19781031    51.8
19781101 19781130    32.5
