PRCP       039037 18810101 20171130 missing_value=99999.9 FAIRYMEAD SUGAR MILL                      
19100401 19100430    10.8
19100501 19100531    12.9
19100601 19100630   196.5
19100701 19100731    49.0
19100801 19100831    13.0
19100901 19100930    54.3
19101001 19101031    29.5
19101101 19101130   138.4
19101201 19101231    81.6
19110101 19110131   413.4
19110201 19110228   212.7
19110301 19110331   160.3
19110401 19110430    69.1
19110501 19110531    24.9
19110601 19110630     2.5
19110701 19110731     9.4
19110801 19110831    30.7
19110901 19110930     0.0
19111001 19111031    53.1
19111101 19111130    79.7
19111201 19111231   149.6
19120101 19120131    74.7
19120201 19120229    59.1
19120301 19120331   207.3
19120401 19120430     0.0
19120501 19120531    30.0
19120601 19120630   268.3
19120701 19120731    41.7
19120801 19120831    35.7
19120901 19120930     1.3
19121001 19121031   161.1
19121101 19121130    58.0
19121201 19121231    81.4
19130101 19130131  1108.4
19130201 19130228    99.6
19130301 19130331   132.0
19130401 19130430   174.2
19130501 19130531   105.8
19130601 19130630    86.2
19130701 19130731    41.1
19130801 19130831     0.5
19130901 19130930    16.0
19131001 19131031     1.3
19131101 19131130    48.2
19131201 19131231   142.2
19140101 19140131    32.7
19140201 19140228    93.0
19140301 19140331   187.2
19140401 19140430    92.0
19140501 19140531    56.9
19140601 19140630   114.1
19140701 19140731    21.3
19140801 19140831     5.1
19140901 19140930    12.5
19141001 19141031   170.0
19141101 19141130    22.4
19141201 19141231    64.0
19150101 19150131   113.5
19150201 19150228   302.3
19150301 19150331     2.4
19150401 19150430    10.6
19150501 19150531    31.4
19150601 19150630    15.0
19150701 19150731    32.5
19150801 19150831    30.1
19150901 19150930    11.9
19151001 19151031    25.0
19151101 19151130    25.0
19151201 19151231   120.3
19160101 19160131    43.1
19160201 19160229   151.1
19160301 19160331    84.7
19160401 19160430    95.9
19160501 19160531    45.6
19160601 19160630    89.5
19160701 19160731    54.3
19160801 19160831    55.6
19160901 19160930   100.2
19161001 19161031   193.2
19161101 19161130   168.8
19161201 19161231   136.9
19170101 19170131   223.8
19170201 19170228   218.3
19170301 19170331   254.2
19170401 19170430    51.1
19170501 19170531    58.5
19170601 19170630     4.2
19170701 19170731    10.0
19170801 19170831    32.8
19170901 19170930   132.2
19171001 19171031    69.0
19171101 19171130   208.4
19171201 19171231    86.6
19180101 19180131   425.4
19180201 19180228   180.0
19180301 19180331    87.9
19180401 19180430   118.1
19180501 19180531     7.0
19180601 19180630     0.0
19180701 19180731     7.6
19180801 19180831    28.3
19180901 19180930    15.2
19181001 19181031     2.4
19181101 19181130    51.7
19181201 19181231    30.5
19190101 19190131    12.2
19190201 19190228    93.1
19190301 19190331   155.7
19190401 19190430    29.3
19190501 19190531   155.2
19190601 19190630     3.6
19190701 19190731     1.8
19190801 19190831    19.8
19190901 19190930     0.0
19191001 19191031    72.4
19191101 19191130     5.1
19191201 19191231     5.6
19200101 19200131   309.8
19200201 19200229     9.0
19200301 19200331    43.7
19200401 19200430    57.2
19200501 19200531    88.5
19200601 19200630    48.3
19200701 19200731    50.0
19200801 19200831    45.5
19200901 19200930    66.0
19201001 19201031    58.7
19201101 19201130    28.4
19201201 19201231   233.2
19210101 19210131   235.9
19210201 19210228    30.2
19210301 19210331    93.4
19210401 19210430   223.5
19210501 19210531    72.9
19210601 19210630    96.6
19210701 19210731    74.2
19210801 19210831    21.3
19210901 19210930     8.1
19211001 19211031    28.4
