PRCP       005014 18860701 20180131 missing_value=99999.9 MOUNT FLORANCE                            
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930     0.0
19251001 19251031     0.0
19251101 19251130     2.3
19251201 19251231    37.8
19260101 19260131    38.9
19260201 19260228    56.8
19260301 19260331    61.4
19260401 19260430     0.0
19260501 19260531     0.0
19260601 19260630     0.0
19260701 19260731     0.0
19260801 19260831     0.0
19260901 19260930     0.0
19261001 19261031     0.0
19261101 19261130     1.8
19261201 19261231    31.8
19270101 19270131    49.6
19270201 19270228    95.6
19270301 19270331   141.4
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630    52.0
19270701 19270731     9.7
19270801 19270831     1.0
19270901 19270930     0.0
19271001 19271031     0.0
19271101 19271130    14.5
19271201 19271231    10.6
19280101 19280131    19.8
19280201 19280229   100.6
19280301 19280331     0.0
19280401 19280430     0.0
19280501 19280531    15.8
19280601 19280630    79.5
19280701 19280731     0.0
19280801 19280831     4.1
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    34.5
19281201 19281231    49.3
19290101 19290131     1.3
19290201 19290228   142.9
19290301 19290331   171.0
19290401 19290430     0.0
19290501 19290531    44.7
19290601 19290630    28.7
19290701 19290731     0.0
19290801 19290831    18.3
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130     0.0
19291201 19291231     0.0
19300101 19300131    17.0
19300201 19300228     8.9
19300301 19300331    90.9
19300401 19300430    65.1
19300501 19300531     9.1
19300601 19300630     8.1
19300701 19300731    16.5
19300801 19300831    29.4
19300901 19300930     0.0
19301001 19301031     5.8
19301101 19301130     0.0
19301201 19301231    58.5
19310101 19310131    45.3
19310201 19310228    46.9
19310301 19310331   201.2
19310401 19310430    82.1
19310501 19310531    76.2
19310601 19310630    59.6
19310701 19310731     1.5
19310801 19310831     7.1
19310901 19310930     1.5
19311001 19311031    81.3
19311101 19311130    36.8
19311201 19311231     4.8
19320101 19320131    46.9
19320201 19320229     0.0
19320301 19320331     0.0
19320401 19320430    12.8
19320501 19320531    45.2
19320601 19320630     0.0
19320701 19320731     0.0
19320801 19320831     8.4
19320901 19320930     0.0
19321001 19321031     0.0
19321101 19321130     0.0
19321201 19321231    46.0
19330101 19330131     3.0
19330201 19330228    15.2
19330301 19330331    74.0
19330401 19330430    43.6
19330501 19330531    14.5
19330601 19330630     0.0
19330701 19330731    22.3
19330801 19330831    31.2
19330901 19330930     0.0
19331001 19331031     0.0
19331101 19331130     1.8
19331201 19331231    18.3
19340101 19340131    73.4
19340201 19340228    75.4
19340301 19340331   286.3
19340401 19340430    36.4
19340501 19340531     0.0
19340601 19340630     3.3
19340701 19340731     2.5
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031     0.0
19341101 19341130    18.3
19341201 19341231     0.0
19350101 19350131    31.6
19350201 19350228    62.5
19350301 19350331    74.7
19350401 19350430     8.7
19350501 19350531     0.0
19350601 19350630     0.0
19350701 19350731     0.0
19350801 19350831     0.0
19350901 19350930     0.0
19351001 19351031     0.0
19351101 19351130    30.7
19351201 19351231     0.0
19360101 19360131    44.6
19360201 19360229    36.1
19360301 19360331     0.0
19360401 19360430     0.0
19360501 19360531     0.0
19360601 19360630     0.0
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130     5.6
19361201 19361231    16.7
19370101 19370131   149.5
19370201 19370228    13.0
19370301 19370331    63.2
19370401 19370430    49.2
19370501 19370531    63.0
19370601 19370630     0.5
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     2.5
19371001 19371031     0.0
19371101 19371130    10.1
19371201 19371231    56.9
19380101 19380131   109.0
19380201 19380228    86.3
19380301 19380331     4.3
19380401 19380430     0.0
19380501 19380531     2.5
19380601 19380630    19.1
19380701 19380731     0.0
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    12.7
19381201 19381231    41.1
19390101 19390131   178.6
19390201 19390228    66.3
19390301 19390331    13.4
19390401 19390430     0.0
19390501 19390531     0.0
19390601 19390630    45.2
19390701 19390731     0.0
19390801 19390831     0.0
19390901 19390930     0.0
