PRCP       007080 19070901 20180131 missing_value=99999.9 THREE RIVERS                              
19440701 19440731     0.0
19440801 19440831     0.0
19440901 19440930     0.0
19441001 19441031     0.0
19441101 19441130     0.0
19441201 19441231     0.0
19450101 19450131    34.5
19450201 19450228     7.9
19450301 19450331    31.7
19450401 19450430     0.0
19450501 19450531    11.4
19450601 19450630    72.9
19450701 19450731    45.9
19450801 19450831    53.3
19450901 19450930     2.5
19451001 19451031     4.8
19451101 19451130     0.0
19451201 19451231     0.0
19460101 19460131     2.5
19460201 19460228   147.8
19460301 19460331    61.4
19460401 19460430    31.7
19460501 19460531    52.6
19460601 19460630    14.0
19460701 19460731    27.1
19460801 19460831     0.0
19460901 19460930     0.0
19461001 19461031     0.0
19461101 19461130     0.0
19461201 19461231     0.0
19470101 19470131    19.3
19470201 19470228   179.4
19470301 19470331    64.6
19470401 19470430     0.0
19470501 19470531    16.5
19470601 19470630    16.5
19470701 19470731    37.1
19470801 19470831    23.3
19470901 19470930     0.0
19471001 19471031    11.4
19471101 19471130     0.0
19471201 19471231    11.2
19480101 19480131     3.8
19480201 19480229    62.5
19480301 19480331   119.4
19480401 19480430    96.6
19480501 19480531     8.1
19480601 19480630    38.1
19480701 19480731    24.4
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     3.8
19481201 19481231    42.0
19490101 19490131     0.0
19490201 19490228    68.1
19490301 19490331     0.0
19490401 19490430     2.5
19490501 19490531    50.8
19490601 19490630    31.7
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     0.0
19491101 19491130    46.2
19491201 19491231     0.0
19500101 19500131     3.8
19500201 19500228    18.3
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    44.3
19500601 19500630    14.0
19500701 19500731     8.4
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     0.0
19501101 19501130    17.8
19501201 19501231     0.0
19510101 19510131    26.4
19510201 19510228    34.3
19510301 19510331     3.8
19510401 19510430     0.0
19510501 19510531     0.0
19510601 19510630   100.3
19510701 19510731    15.2
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231    15.2
19520101 19520131    43.2
19520201 19520229    41.9
19520301 19520331    15.3
19520401 19520430     0.0
19520501 19520531    65.3
19520601 19520630     6.4
19520701 19520731     7.6
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031     0.0
19521101 19521130     0.0
19521201 19521231     0.0
19530101 19530131    13.2
19530201 19530228     0.0
19530301 19530331    48.5
19530401 19530430     0.0
19530501 19530531    31.2
19530601 19530630    30.5
19530701 19530731     0.0
19530801 19530831    16.8
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130     0.0
19531201 19531231     0.0
19540101 19540131    15.5
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    50.0
19540501 19540531    42.8
19540601 19540630    38.6
19540701 19540731     0.0
19540801 19540831     3.8
19540901 19540930     0.0
19541001 19541031     0.0
19541101 19541130     0.0
19541201 19541231     0.0
19550101 19550131    55.0
19550201 19550228    21.9
19550301 19550331    44.9
19550401 19550430     0.0
19550501 19550531     9.4
19550601 19550630    83.6
19550701 19550731     0.0
19550801 19550831    13.2
19550901 19550930    15.2
19551001 19551031     0.0
19551101 19551130     0.0
19551201 19551231     0.0
19560101 19560131     0.0
19560201 19560229     0.0
19560301 19560331     0.0
19560401 19560430     0.0
19560501 19560531     7.6
