PRCP       015590 19001001 20180131 missing_value=99999.9 ALICE SPRINGS AIRPORT                     
19470201 19470228    59.4
19470301 19470331    38.1
19470401 19470430     0.0
19470501 19470531     0.0
19470601 19470630     7.4
19470701 19470731     5.8
19470801 19470831   114.1
19470901 19470930    60.8
19471001 19471031    19.8
19471101 19471130    20.1
19471201 19471231    39.5
19480101 19480131    44.0
19480201 19480229    90.4
19480301 19480331     0.0
19480401 19480430     1.5
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731    30.8
19480801 19480831     0.0
19480901 19480930     0.3
19481001 19481031     7.1
19481101 19481130     1.3
19481201 19481231    18.9
19490101 19490131     0.8
19490201 19490228   152.2
19490301 19490331    28.5
19490401 19490430     0.0
19490501 19490531    60.8
19490601 19490630     2.8
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     7.1
19491001 19491031     6.6
19491101 19491130    11.7
19491201 19491231    22.3
19500101 19500131     8.9
19500201 19500228    17.0
19500301 19500331    12.2
19500401 19500430     0.0
19500501 19500531    45.1
19500601 19500630    71.1
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.6
19501001 19501031    35.4
19501101 19501130    44.5
19501201 19501231   139.5
19510101 19510131     7.2
19510201 19510228    13.2
19510301 19510331    10.9
19510401 19510430     3.8
19510501 19510531     0.0
19510601 19510630    54.7
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930    11.2
19511001 19511031     0.3
19511101 19511130    54.4
19511201 19511231     3.6
19520101 19520131    52.3
19520201 19520229     1.8
19520301 19520331     0.0
19520401 19520430     7.9
19520501 19520531    28.8
19520601 19520630     0.0
19520701 19520731    27.2
19520801 19520831     0.3
19520901 19520930     0.0
19521001 19521031    58.9
19521101 19521130    21.0
19521201 19521231     9.7
19530101 19530131    46.2
19530201 19530228    47.6
19530301 19530331     4.1
19530401 19530430    68.0
19530501 19530531     2.3
19530601 19530630     0.0
19530701 19530731    15.3
19530801 19530831     0.8
19530901 19530930     0.8
19531001 19531031     1.3
19531101 19531130    18.6
19531201 19531231   119.8
19540101 19540131    31.0
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    31.0
19540501 19540531     2.5
19540601 19540630     2.8
19540701 19540731     4.5
19540801 19540831    42.7
19540901 19540930     0.0
19541001 19541031    69.6
19541101 19541130    27.7
19541201 19541231    13.3
19550101 19550131     1.5
19550201 19550228     5.3
19550301 19550331    52.7
19550401 19550430    17.0
19550501 19550531    11.8
19550601 19550630    18.3
19550701 19550731    91.0
19550801 19550831    16.9
19550901 19550930     1.0
19551001 19551031    17.9
19551101 19551130     7.8
19551201 19551231     0.0
19560101 19560131     2.6
19560201 19560229   106.0
19560301 19560331    11.2
19560401 19560430     0.0
19560501 19560531    22.6
19560601 19560630    37.4
19560701 19560731    41.8
19560801 19560831     0.0
19560901 19560930    20.4
19561001 19561031    20.7
19561101 19561130     0.3
19561201 19561231    13.2
19570101 19570131     2.3
19570201 19570228    17.5
19570301 19570331     0.8
19570401 19570430    15.9
19570501 19570531     0.0
19570601 19570630    43.2
19570701 19570731    22.4
19570801 19570831     1.1
19570901 19570930     0.0
19571001 19571031     7.7
19571101 19571130     4.0
19571201 19571231   123.0
19580101 19580131     3.6
19580201 19580228     1.0
19580301 19580331     3.8
19580401 19580430     0.0
19580501 19580531    61.5
19580601 19580630    15.5
19580701 19580731     4.8
19580801 19580831     0.3
19580901 19580930     2.1
19581001 19581031    18.8
19581101 19581130    26.1
19581201 19581231    39.4
19590101 19590131     2.1
19590201 19590228     2.0
19590301 19590331    39.4
19590401 19590430     0.0
19590501 19590531    48.3
19590601 19590630     1.5
19590701 19590731     1.3
19590801 19590831     0.0
19590901 19590930     0.3
19591001 19591031    21.6
19591101 19591130    24.9
19591201 19591231    13.5
19600101 19600131   106.3
19600201 19600229    28.5
19600301 19600331     0.0
19600401 19600430     7.9
19600501 19600531    22.2
19600601 19600630     1.1
19600701 19600731     1.4
19600801 19600831     6.9
19600901 19600930     3.0
19601001 19601031    25.4
19601101 19601130    16.0
19601201 19601231    13.3
19610101 19610131    21.4
19610201 19610228     1.5
19610301 19610331     0.0
19610401 19610430    62.2
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.5
19610901 19610930     0.3
19611001 19611031     0.3
19611101 19611130     4.9
19611201 19611231     1.8
19620101 19620131    28.4
19620201 19620228     4.8
19620301 19620331    39.1
19620401 19620430     0.0
19620501 19620531     2.3
19620601 19620630    21.5
19620701 19620731    20.2
19620801 19620831    29.6
19620901 19620930     0.0
19621001 19621031    40.9
19621101 19621130     6.7
19621201 19621231     2.3
19630101 19630131    10.2
19630201 19630228     0.5
19630301 19630331    18.8
19630401 19630430     6.9
19630501 19630531    27.0
19630601 19630630    11.5
19630701 19630731     0.0
19630801 19630831     1.6
19630901 19630930     0.0
19631001 19631031     7.1
19631101 19631130     8.7
19631201 19631231    15.8
19640101 19640131     5.4
19640201 19640229     0.0
19640301 19640331     0.0
19640401 19640430    13.2
19640501 19640531    23.2
19640601 19640630    14.0
19640701 19640731     0.0
19640801 19640831     3.9
19640901 19640930    23.7
19641001 19641031    17.8
19641101 19641130    17.8
19641201 19641231     4.5
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331    11.9
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     4.4
19650701 19650731     0.0
19650801 19650831     8.1
19650901 19650930     0.5
19651001 19651031     6.4
19651101 19651130    10.2
19651201 19651231    40.6
19660101 19660131   182.4
19660201 19660228     7.1
19660301 19660331     0.0
19660401 19660430     0.0
19660501 19660531     9.9
19660601 19660630    55.2
19660701 19660731     0.3
19660801 19660831    63.5
19660901 19660930     0.0
19661001 19661031    36.9
19661101 19661130    18.1
19661201 19661231    16.0
19670101 19670131     7.1
19670201 19670228   155.1
19670301 19670331    22.1
19670401 19670430     0.0
19670501 19670531    37.9
19670601 19670630     2.3
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     1.0
19671101 19671130     2.8
19671201 19671231     7.9
19680101 19680131    77.0
19680201 19680229    22.9
19680301 19680331    24.1
19680401 19680430    37.8
19680501 19680531    67.9
19680601 19680630     9.8
19680701 19680731    61.0
19680801 19680831    11.9
19680901 19680930    33.1
19681001 19681031    21.5
19681101 19681130    47.5
19681201 19681231    48.0
19690101 19690131    29.1
19690201 19690228    45.6
19690301 19690331    26.7
19690401 19690430     0.3
19690501 19690531     3.3
19690601 19690630     3.8
19690701 19690731    45.5
19690801 19690831     0.3
19690901 19690930     0.0
19691001 19691031     6.6
19691101 19691130    13.2
19691201 19691231    10.5
19700101 19700131     0.0
19700201 19700228    14.2
19700301 19700331     8.6
19700401 19700430    51.3
19700501 19700531    11.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.3
19700901 19700930    12.0
19701001 19701031     3.8
19701101 19701130    18.6
19701201 19701231    56.0
19710101 19710131     0.5
19710201 19710228     0.3
19710301 19710331    13.7
19710401 19710430    14.3
19710501 19710531     0.0
19710601 19710630    11.7
19710701 19710731     7.9
19710801 19710831    12.6
19710901 19710930     3.6
19711001 19711031     0.0
19711101 19711130    39.5
19711201 19711231    21.4
19720101 19720131     2.8
19720201 19720229     1.1
19720301 19720331   225.8
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831    10.4
19720901 19720930     6.4
19721001 19721031     0.0
19721101 19721130    22.8
19721201 19721231     2.0
19730101 19730131    53.5
19730201 19730228     9.2
19730301 19730331     0.8
19730401 19730430    13.4
19730501 19730531    10.4
19730601 19730630   101.2
19730701 19730731    22.5
19730801 19730831    59.0
19730901 19730930    13.7
19731001 19731031    19.6
19731101 19731130    91.9
19731201 19731231    54.2
19740101 19740131   241.2
19740201 19740228   146.0
19740301 19740331    62.6
19740401 19740430    91.6
19740501 19740531    24.0
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    30.6
19740901 19740930    54.4
