PRCP       008091 18970701 20040229 missing_value=99999.9 MOORA                                     
19441001 19441031     5.7
19441101 19441130    19.4
19441201 19441231    26.2
19450101 19450131     0.0
19450201 19450228    14.3
19450301 19450331     8.2
19450401 19450430     5.4
19450501 19450531    43.2
19450601 19450630   230.7
19450701 19450731    64.5
19450801 19450831   136.5
19450901 19450930    52.1
19451001 19451031     6.8
19451101 19451130    36.8
19451201 19451231     3.8
19460101 19460131     0.3
19460201 19460228     0.0
19460301 19460331     6.5
19460401 19460430    52.6
19460501 19460531    75.9
19460601 19460630   163.6
19460701 19460731   190.6
19460801 19460831    69.9
19460901 19460930    29.2
19461001 19461031     5.4
19461101 19461130    55.9
19461201 19461231     0.8
19470101 19470131     7.1
19470201 19470228    16.6
19470301 19470331    19.0
19470401 19470430    29.8
19470501 19470531    90.7
19470601 19470630   112.0
19470701 19470731    85.7
19470801 19470831    16.8
19470901 19470930    35.6
19471001 19471031    86.2
19471101 19471130     2.5
19471201 19471231     0.5
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331    77.8
19480401 19480430    32.2
19480501 19480531     0.6
19480601 19480630    69.0
19480701 19480731    93.5
19480801 19480831    82.7
19480901 19480930    35.6
19481001 19481031     9.1
19481101 19481130    18.7
19481201 19481231     4.4
19490101 19490131     1.8
19490201 19490228    10.7
19490301 19490331     5.1
19490401 19490430    12.0
19490501 19490531     3.8
19490601 19490630    43.0
19490701 19490731   116.8
19490801 19490831    73.4
19490901 19490930    39.5
19491001 19491031    24.6
19491101 19491130    27.5
19491201 19491231     0.0
19500101 19500131     7.9
19500201 19500228     0.5
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    78.0
19500601 19500630    56.8
19500701 19500731    73.9
19500801 19500831    35.2
19500901 19500930    39.4
19501001 19501031    25.3
19501101 19501130    14.3
19501201 19501231     0.3
19510101 19510131     2.3
19510201 19510228    19.0
19510301 19510331     1.8
19510401 19510430    96.1
19510501 19510531    32.6
19510601 19510630    95.6
19510701 19510731    64.4
19510801 19510831    45.8
19510901 19510930    17.1
19511001 19511031    15.4
19511101 19511130    11.8
19511201 19511231    35.3
19520101 19520131    14.5
19520201 19520229     0.8
19520301 19520331     8.2
19520401 19520430     2.8
19520501 19520531    48.1
19520601 19520630    48.7
19520701 19520731   108.3
19520801 19520831    31.0
19520901 19520930    34.8
19521001 19521031    38.8
19521101 19521130     3.1
19521201 19521231    25.7
19530101 19530131     0.3
19530201 19530228    12.4
19530301 19530331    39.8
19530401 19530430    20.1
19530501 19530531   136.7
19530601 19530630    90.0
19530701 19530731    67.0
19530801 19530831    34.2
19530901 19530930    16.1
19531001 19531031    29.8
19531101 19531130    13.5
19531201 19531231     0.8
19540101 19540131     5.7
19540201 19540228     0.0
19540301 19540331     0.3
19540401 19540430    16.1
19540501 19540531    56.2
19540601 19540630    49.8
19540701 19540731    80.7
19540801 19540831    32.5
19540901 19540930    23.1
19541001 19541031     9.1
19541101 19541130     9.7
19541201 19541231     0.0
19550101 19550131    10.9
19550201 19550228   230.4
19550301 19550331     2.5
19550401 19550430    47.1
19550501 19550531    79.5
19550601 19550630    43.6
19550701 19550731    54.7
19550801 19550831   133.6
19550901 19550930    46.7
19551001 19551031    44.3
19551101 19551130     0.5
19551201 19551231    42.9
19560101 19560131     0.0
19560201 19560229     0.5
19560301 19560331    21.8
19560401 19560430    11.5
19560501 19560531   123.8
19560601 19560630   108.6
19560701 19560731   161.5
19560801 19560831    10.8
19560901 19560930    17.3
19561001 19561031    23.2
19561101 19561130    19.6
19561201 19561231     2.3
19570101 19570131    82.9
19570201 19570228     0.0
19570301 19570331     3.6
19570401 19570430    13.5
19570501 19570531    77.3
19570601 19570630   156.7
19570701 19570731    24.9
19570801 19570831    68.2
19570901 19570930    10.6
19571001 19571031    29.8
19571101 19571130     0.0
19571201 19571231     0.8
19580101 19580131     9.3
19580201 19580228     0.8
19580301 19580331     1.5
19580401 19580430     9.0
19580501 19580531    83.9
19580601 19580630    73.7
19580701 19580731   244.9
19580801 19580831    45.7
19580901 19580930    51.9
19581001 19581031    24.6
19581101 19581130    15.3
19581201 19581231    11.0
19590101 19590131     1.8
19590201 19590228     4.3
19590301 19590331     8.1
19590401 19590430    13.0
19590501 19590531    10.4
19590601 19590630    98.4
19590701 19590731    34.3
19590801 19590831    99.4
19590901 19590930    16.4
19591001 19591031    31.8
19591101 19591130    16.4
19591201 19591231     1.0
19600101 19600131    40.1
19600201 19600229    10.4
19600301 19600331    33.8
19600401 19600430    11.1
