PRCP       078043 18970801 20171231 missing_value=99999.9 YANAC NORTH                               
19270901 19270930    12.1
19271001 19271031    13.4
19271101 19271130    13.7
19271201 19271231    16.9
19280101 19280131    21.3
19280201 19280229    57.5
19280301 19280331    50.0
19280401 19280430    19.8
19280501 19280531    36.6
19280601 19280630    53.1
19280701 19280731    40.5
19280801 19280831     9.5
19280901 19280930    37.0
19281001 19281031    69.7
19281101 19281130     2.1
19281201 19281231     3.0
19290101 19290131     6.1
19290201 19290228    54.8
19290301 19290331     7.3
19290401 19290430    15.8
19290501 19290531    30.8
19290601 19290630    50.9
19290701 19290731    24.4
19290801 19290831    38.4
19290901 19290930    26.6
19291001 19291031    20.3
19291101 19291130    13.4
19291201 19291231    73.7
19300101 19300131     0.5
19300201 19300228    15.7
19300301 19300331     8.9
19300401 19300430    31.0
19300501 19300531    32.0
19300601 19300630     3.5
19300701 19300731    66.2
19300801 19300831    51.1
19300901 19300930    40.0
19301001 19301031    78.1
19301101 19301130    37.7
19301201 19301231   113.8
19310101 19310131     6.9
19310201 19310228     0.0
19310301 19310331    24.4
19310401 19310430    56.1
19310501 19310531    48.9
19310601 19310630    85.1
19310701 19310731    42.4
19310801 19310831    34.2
19310901 19310930    38.1
19311001 19311031     4.6
19311101 19311130    15.8
19311201 19311231     1.5
19320101 19320131     0.0
19320201 19320229    82.0
19320301 19320331    36.2
19320401 19320430    41.5
19320501 19320531    32.4
19320601 19320630    54.3
19320701 19320731    53.7
19320801 19320831    42.8
19320901 19320930    28.1
19321001 19321031    22.9
19321101 19321130    20.9
19321201 19321231    18.9
19330101 19330131    43.9
19330201 19330228     0.0
19330301 19330331    19.0
19330401 19330430    25.2
19330501 19330531    68.3
19330601 19330630    29.8
19330701 19330731    16.3
19330801 19330831    42.3
19330901 19330930    60.0
19331001 19331031    17.7
19331101 19331130   130.7
19331201 19331231    86.3
19340101 19340131    10.4
19340201 19340228    19.3
19340301 19340331    11.3
19340401 19340430    31.9
19340501 19340531     0.0
19340601 19340630    14.1
19340701 19340731    24.7
19340801 19340831    49.3
19340901 19340930    35.8
19341001 19341031    85.2
19341101 19341130    52.0
19341201 19341231    13.7
19350101 19350131     6.9
19350201 19350228     5.1
19350301 19350331    19.2
19350401 19350430    20.6
19350501 19350531    31.4
19350601 19350630    47.2
19350701 19350731    46.1
19350801 19350831    62.8
19350901 19350930    62.4
19351001 19351031    25.1
19351101 19351130    16.7
19351201 19351231    18.4
19360101 19360131    58.6
19360201 19360229     2.0
19360301 19360331     5.4
19360401 19360430     6.9
19360501 19360531    36.8
19360601 19360630    55.4
19360701 19360731    81.0
19360801 19360831    44.7
19360901 19360930    16.2
19361001 19361031    41.6
19361101 19361130     4.3
19361201 19361231   107.0
19370101 19370131    51.8
19370201 19370228     8.6
19370301 19370331    37.8
19370401 19370430    10.6
19370501 19370531    25.5
19370601 19370630    19.6
19370701 19370731    27.6
19370801 19370831    54.7
19370901 19370930    43.1
19371001 19371031    35.0
19371101 19371130    11.2
19371201 19371231    56.1
19380101 19380131    28.5
19380201 19380228    27.2
19380301 19380331     1.3
19380401 19380430    56.9
19380501 19380531     2.0
19380601 19380630    43.7
19380701 19380731    59.8
19380801 19380831    16.4
19380901 19380930    14.7
19381001 19381031     2.0
19381101 19381130    20.6
19381201 19381231     3.1
19390101 19390131    29.7
19390201 19390228    32.4
19390301 19390331     5.0
19390401 19390430    26.4
19390501 19390531    50.4
19390601 19390630    39.6
19390701 19390731    30.6
19390801 19390831    73.8
19390901 19390930    19.8
19391001 19391031    15.3
19391101 19391130    54.5
19391201 19391231     4.9
19400101 19400131    12.7
19400201 19400229     6.4
19400301 19400331     6.3
19400401 19400430    79.2
19400501 19400531    20.6
19400601 19400630     8.7
19400701 19400731    36.7
19400801 19400831    14.0
19400901 19400930    27.4
19401001 19401031    17.3
19401101 19401130    48.0
19401201 19401231    28.7
19410101 19410131   132.0
19410201 19410228     6.4
19410301 19410331    36.8
19410401 19410430    41.8
19410501 19410531    13.0
19410601 19410630    48.5
19410701 19410731    66.4
19410801 19410831    23.0
19410901 19410930    63.2
19411001 19411031    37.1
19411101 19411130    27.1
19411201 19411231    11.9
19420101 19420131    24.1
19420201 19420228    29.5
19420301 19420331     4.8
19420401 19420430    31.3
19420501 19420531    81.5
19420601 19420630    79.9
19420701 19420731    31.0
19420801 19420831    60.7
19420901 19420930    68.8
19421001 19421031    59.3
19421101 19421130    50.8
19421201 19421231     5.8
19430101 19430131    15.2
19430201 19430228    23.4
19430301 19430331     3.3
19430401 19430430    33.1
19430501 19430531    21.5
19430601 19430630    45.5
19430701 19430731    38.9
19430801 19430831    57.7
19430901 19430930    47.0
19431001 19431031    15.5
19431101 19431130    21.6
19431201 19431231     8.4
19440101 19440131     2.3
19440201 19440229     5.4
19440301 19440331     7.7
19440401 19440430    29.9
19440501 19440531    35.9
19440601 19440630     4.8
19440701 19440731    28.1
19440801 19440831     0.8
19440901 19440930     9.2
19441001 19441031    44.8
19441101 19441130    14.3
19441201 19441231    31.5
19450101 19450131    11.7
19450201 19450228    16.0
19450301 19450331     8.9
19450401 19450430     2.8
19450501 19450531    35.2
19450601 19450630    40.7
19450701 19450731    28.6
19450801 19450831    48.1
19450901 19450930    28.3
19451001 19451031    37.8
19451101 19451130    30.9
19451201 19451231    21.4
19460101 19460131    41.0
19460201 19460228   121.5
19460301 19460331    46.4
19460401 19460430     7.9
19460501 19460531    20.3
19460601 19460630    56.4
