PRCP       016006 19100101 20180131 missing_value=99999.9 COMMONWEALTH HILL                         
19691101 19691130     9.7
19691201 19691231     2.5
19700101 19700131     0.0
19700201 19700228     2.5
19700301 19700331     1.8
19700401 19700430     0.8
19700501 19700531     2.8
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     5.3
19700901 19700930    34.0
19701001 19701031     9.9
19701101 19701130    21.4
19701201 19701231     5.9
19710101 19710131     0.0
19710201 19710228     0.0
19710301 19710331     7.9
19710401 19710430    13.7
19710501 19710531     0.0
19710601 19710630    27.7
19710701 19710731     7.1
19710801 19710831    27.1
19710901 19710930     4.1
19711001 19711031     0.0
19711101 19711130    22.3
19711201 19711231    19.1
19720101 19720131     1.3
19720201 19720229     1.3
19720301 19720331     0.3
19720401 19720430     0.0
19720501 19720531     0.0
19720601 19720630     0.8
19720701 19720731     1.8
19720801 19720831    17.1
19720901 19720930    18.0
19721001 19721031     1.3
19721101 19721130     4.4
19721201 19721231     0.0
19730101 19730131    18.4
19730201 19730228   116.3
19730301 19730331    36.8
19730401 19730430    10.3
19730501 19730531     9.9
19730601 19730630    49.7
19730701 19730731    50.1
19730801 19730831    76.6
19730901 19730930    16.0
19731001 19731031    39.9
19731101 19731130    10.9
19731201 19731231    14.8
19740101 19740131    58.8
19740201 19740228    17.6
19740301 19740331     1.2
19740401 19740430    50.4
19740501 19740531   125.2
19740601 19740630     3.8
19740701 19740731    32.8
19740801 19740831    16.9
19740901 19740930    40.2
19741001 19741031   114.6
19741101 19741130     3.8
19741201 19741231     2.0
19750101 19750131     1.8
19750201 19750228    17.8
19750301 19750331    13.8
19750401 19750430    13.6
19750501 19750531     2.0
19750601 19750630     5.2
19750701 19750731    15.2
19750801 19750831     9.8
19750901 19750930    34.6
19751001 19751031    46.4
19751101 19751130     9.8
19751201 19751231    20.0
19760101 19760131    96.8
19760201 19760229     7.4
19760301 19760331     0.0
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.1
19760701 19760731     0.0
19760801 19760831     1.0
19760901 19760930    13.5
19761001 19761031    67.4
19761101 19761130    11.4
19761201 19761231    17.0
19770101 19770131     0.0
19770201 19770228     3.2
19770301 19770331     6.0
19770401 19770430     0.0
19770501 19770531    15.6
19770601 19770630     1.6
19770701 19770731     0.0
19770801 19770831    16.2
19770901 19770930    26.2
19771001 19771031     5.0
19771101 19771130    37.6
19771201 19771231     4.8
19780101 19780131    27.2
19780201 19780228     0.0
19780301 19780331     0.0
19780401 19780430     0.0
19780501 19780531    35.8
19780601 19780630    17.0
19780701 19780731    21.6
19780801 19780831    37.6
19780901 19780930    24.0
19781001 19781031     3.4
19781101 19781130     9.2
19781201 19781231    22.8
19790101 19790131     5.6
19790201 19790228     1.4
19790301 19790331     2.4
19790401 19790430    25.8
19790501 19790531    49.4
19790601 19790630    16.0
19790701 19790731    14.2
19790801 19790831    69.4
19790901 19790930    40.8
19791001 19791031     0.4
19791101 19791130    51.8
19791201 19791231     0.0
19800101 19800131     1.0
19800201 19800229    32.2
19800301 19800331     0.0
19800401 19800430    33.4
19800501 19800531     9.6
19800601 19800630    15.6
19800701 19800731    16.6
19800801 19800831     1.0
19800901 19800930     5.0
19801001 19801031    22.4
19801101 19801130    12.2
19801201 19801231    40.6
19810101 19810131    75.2
19810201 19810228    47.6
19810301 19810331    19.2
19810401 19810430     0.0
19810501 19810531    14.6
19810601 19810630    19.4
19810701 19810731     5.0
19810801 19810831     9.0
19810901 19810930     9.9
19811001 19811031     3.6
19811101 19811130    20.8
19811201 19811231    10.4
19820101 19820131     1.6
19820201 19820228    20.4
19820301 19820331    39.4
19820401 19820430     0.0
19820501 19820531     6.0
19820601 19820630    16.0
19820701 19820731     0.0
19820801 19820831     0.6
19820901 19820930     4.8
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231     2.8
19830101 19830131     0.0
19830201 19830228     0.0
19830301 19830331     8.8
19830401 19830430    14.6
19830501 19830531     3.6
19830601 19830630     0.2
19830701 19830731    10.6
19830801 19830831     3.0
19830901 19830930     5.8
19831001 19831031    20.4
19831101 19831130     2.8
19831201 19831231    57.0
19840101 19840131    33.8
19840201 19840229     0.0
19840301 19840331     1.4
19840401 19840430     6.4
19840501 19840531     9.8
19840601 19840630    17.6
19840701 19840731    21.2
19840801 19840831     6.6
19840901 19840930    15.8
19841001 19841031    13.4
19841101 19841130     3.0
19841201 19841231     2.0
19850101 19850131     1.4
19850201 19850228     2.6
19850301 19850331    14.2
19850401 19850430     0.0
19850501 19850531     6.4
19850601 19850630     0.2
19850701 19850731     2.0
19850801 19850831    36.8
19850901 19850930     0.6
19851001 19851031    34.0
19851101 19851130     8.8
19851201 19851231     0.0
19860101 19860131     2.0
19860201 19860228     2.2
19860301 19860331     0.0
19860401 19860430     0.2
19860501 19860531     5.2
19860601 19860630    10.2
19860701 19860731    50.4
19860801 19860831     7.4
19860901 19860930     2.4
19861001 19861031    22.6
19861101 19861130     5.6
19861201 19861231    33.8
19870101 19870131    25.8
19870201 19870228    41.8
19870301 19870331     0.0
19870401 19870430     1.2
19870501 19870531    13.6
19870601 19870630     6.0
19870701 19870731     2.6
19870801 19870831     0.4
19870901 19870930     5.8
19871001 19871031     1.4
19871101 19871130     0.0
19871201 19871231    41.8
19880101 19880131    24.4
19880201 19880229     0.0
19880301 19880331    29.0
19880401 19880430     4.6
19880501 19880531    28.0
19880601 19880630     2.0
19880701 19880731     0.4
19880801 19880831     0.0
19880901 19880930     5.8
19881001 19881031     4.8
19881101 19881130    12.6
19881201 19881231    66.6
19890101 19890131     0.0
19890201 19890228     0.0
19890301 19890331   179.6
19890401 19890430     4.4
19890501 19890531    44.6
