PRCP       010133 19090101 20111231 missing_value=99999.9 WALK WALKIN                               
19401001 19401031    23.0
19401101 19401130     5.4
19401201 19401231    34.6
19410101 19410131     0.5
19410201 19410228     5.6
19410301 19410331     2.0
19410401 19410430    42.4
19410501 19410531    38.9
19410601 19410630    69.6
19410701 19410731    30.3
19410801 19410831    14.7
19410901 19410930    23.7
19411001 19411031    10.1
19411101 19411130     6.4
19411201 19411231    29.8
19420101 19420131     9.2
19420201 19420228     0.0
19420301 19420331    20.8
19420401 19420430    15.0
19420501 19420531    76.0
19420601 19420630    39.1
19420701 19420731    32.2
19420801 19420831    49.2
19420901 19420930    19.8
19421001 19421031    14.6
19421101 19421130     2.6
19421201 19421231    25.4
19430101 19430131    14.2
19430201 19430228   110.0
19430301 19430331    66.0
19430401 19430430    47.8
19430501 19430531    63.0
19430601 19430630    60.2
19430701 19430731    27.3
19430801 19430831    33.3
19430901 19430930    20.9
19431001 19431031    11.9
19431101 19431130     0.5
19431201 19431231    11.2
19440101 19440131     4.4
19440201 19440229     0.0
19440301 19440331    17.0
19440401 19440430     1.8
19440501 19440531    54.1
19440601 19440630    16.5
19440701 19440731    76.1
19440801 19440831    43.8
19440901 19440930     3.4
19441001 19441031     2.8
19441101 19441130     0.5
19441201 19441231     6.2
19450101 19450131     0.0
19450201 19450228     7.2
19450301 19450331    16.7
19450401 19450430    17.3
19450501 19450531    29.9
19450601 19450630   114.6
19450701 19450731    30.9
19450801 19450831    72.2
19450901 19450930    26.4
19451001 19451031     1.5
19451101 19451130     4.1
19451201 19451231     3.1
19460101 19460131     0.0
19460201 19460228     0.0
19460301 19460331     1.0
19460401 19460430    23.9
19460501 19460531    61.0
19460601 19460630    76.5
19460701 19460731    96.4
19460801 19460831    39.2
19460901 19460930     4.1
19461001 19461031     0.0
19461101 19461130    41.0
19461201 19461231     0.0
19470101 19470131     3.0
19470201 19470228     2.8
19470301 19470331    19.1
19470401 19470430    18.5
19470501 19470531    46.4
19470601 19470630    47.0
19470701 19470731    38.9
19470801 19470831    15.2
19470901 19470930    19.6
19471001 19471031    38.1
19471101 19471130    14.7
19471201 19471231     0.5
19480101 19480131     1.8
19480201 19480229     5.3
19480301 19480331    32.9
19480401 19480430    31.9
19480501 19480531     0.5
19480601 19480630    48.2
19480701 19480731    47.2
19480801 19480831    55.9
19480901 19480930    15.3
19481001 19481031     3.8
19481101 19481130    15.7
19481201 19481231     4.8
19490101 19490131     0.0
19490201 19490228     6.0
19490301 19490331     3.0
19490401 19490430     3.8
19490501 19490531     2.8
19490601 19490630    39.2
19490701 19490731    68.7
19490801 19490831    61.1
19490901 19490930    42.0
19491001 19491031    10.0
19491101 19491130    28.5
19491201 19491231     0.0
19500101 19500131     9.6
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    52.2
19500601 19500630    23.1
19500701 19500731    28.4
19500801 19500831    24.1
19500901 19500930    17.5
19501001 19501031    14.5
19501101 19501130     1.0
19501201 19501231     0.0
19510101 19510131     0.0
19510201 19510228     0.0
19510301 19510331     0.0
19510401 19510430    52.1
19510501 19510531    37.7
19510601 19510630    66.9
19510701 19510731    55.6
19510801 19510831    33.6
19510901 19510930     9.9
19511001 19511031     4.8
19511101 19511130     0.0
19511201 19511231    19.6
19520101 19520131    16.2
19520201 19520229     5.4
19520301 19520331     4.6
19520401 19520430     5.4
19520501 19520531    64.4
19520601 19520630    16.0
19520701 19520731    46.5
19520801 19520831    11.4
19520901 19520930    16.3
19521001 19521031    22.2
19521101 19521130     0.0
19521201 19521231    20.3
19530101 19530131    12.4
19530201 19530228    18.6
19530301 19530331    92.2
19530401 19530430    46.8
19530501 19530531    32.8
19530601 19530630    47.6
19530701 19530731    53.0
19530801 19530831    19.6
19530901 19530930     9.6
19531001 19531031     9.7
19531101 19531130     3.3
19531201 19531231     0.0
19540101 19540131     1.8
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     7.1
19540501 19540531    65.2
19540601 19540630    23.7
19540701 19540731     5.6
19540801 19540831    41.7
19540901 19540930    26.6
19541001 19541031     1.8
19541101 19541130     7.4
19541201 19541231     5.9
19550101 19550131    10.2
19550201 19550228    51.6
19550301 19550331     3.3
19550401 19550430    13.8
19550501 19550531    35.2
19550601 19550630    22.7
19550701 19550731    41.8
19550801 19550831    60.6
19550901 19550930    27.2
19551001 19551031    14.3
19551101 19551130     0.0
19551201 19551231     1.0
19560101 19560131     1.3
19560201 19560229     0.0
19560301 19560331     3.0
19560401 19560430    10.1
19560501 19560531    54.6
19560601 19560630    67.3
19560701 19560731    61.3
19560801 19560831     8.5
19560901 19560930     3.8
19561001 19561031    17.4
19561101 19561130    22.7
19561201 19561231     7.9
19570101 19570131    17.0
19570201 19570228     0.0
19570301 19570331    12.4
19570401 19570430    15.8
19570501 19570531    37.6
19570601 19570630    99.4
19570701 19570731    11.8
19570801 19570831    20.7
19570901 19570930     6.4
19571001 19571031     1.8
19571101 19571130     0.0
19571201 19571231     0.0
19580101 19580131     3.1
19580201 19580228     0.0
19580301 19580331     2.5
19580401 19580430     2.0
19580501 19580531    54.3
19580601 19580630    41.4
19580701 19580731   116.9
19580801 19580831    52.0
19580901 19580930    53.2
19581001 19581031    10.1
19581101 19581130     5.4
19581201 19581231    26.1
19590101 19590131     5.6
19590201 19590228    18.8
19590301 19590331    16.3
19590401 19590430     2.8
19590501 19590531     3.9
19590601 19590630    84.8
19590701 19590731    28.1
19590801 19590831    76.1
19590901 19590930    12.2
19591001 19591031    17.3
19591101 19591130     9.4
19591201 19591231     1.8
19600101 19600131    15.2
19600201 19600229    11.5
19600301 19600331    29.9
19600401 19600430    10.5
19600501 19600531    62.3
19600601 19600630    25.6
19600701 19600731    83.3
19600801 19600831    10.4
19600901 19600930    31.8
19601001 19601031     2.8
19601101 19601130     8.9
19601201 19601231     1.3
19610101 19610131    73.7
19610201 19610228     8.6
19610301 19610331     5.3
19610401 19610430    78.4
19610501 19610531    14.8
19610601 19610630    98.7
19610701 19610731    42.9
19610801 19610831    28.2
19610901 19610930     4.3
19611001 19611031     4.4
19611101 19611130     0.0
19611201 19611231     7.4
19620101 19620131    22.0
19620201 19620228     4.4
19620301 19620331     6.0
19620401 19620430     3.3
19620501 19620531    65.6
19620601 19620630    60.8
19620701 19620731    50.8
19620801 19620831    14.1
19620901 19620930    23.0
19621001 19621031    17.1
19621101 19621130     7.1
19621201 19621231     9.5
19630101 19630131    44.5
19630201 19630228    38.1
19630301 19630331    28.2
19630401 19630430    22.1
19630501 19630531   110.8
19630601 19630630    55.2
19630701 19630731    83.1
19630801 19630831    87.6
19630901 19630930    11.0
19631001 19631031     2.0
19631101 19631130     2.3
19631201 19631231     9.4
19640101 19640131     0.5
19640201 19640229    23.6
19640301 19640331     4.1
19640401 19640430    12.3
19640501 19640531     1.3
19640601 19640630   103.6
19640701 19640731    76.7
19640801 19640831    38.3
19640901 19640930     9.7
19641001 19641031    11.0
19641101 19641130     4.8
19641201 19641231     4.1
19650101 19650131     3.8
19650201 19650228     0.0
19650301 19650331     1.3
19650401 19650430    17.1
19650501 19650531    73.7
19650601 19650630    86.4
19650701 19650731    72.3
19650801 19650831    62.9
19650901 19650930     8.7
19651001 19651031    31.6
19651101 19651130    36.7
19651201 19651231    12.2
19660101 19660131     4.3
19660201 19660228     3.0
19660301 19660331     0.0
19660401 19660430    83.8
19660501 19660531     4.6
19660601 19660630    58.7
19660701 19660731    57.0
19660801 19660831    25.5
19660901 19660930    26.2
19661001 19661031    24.2
19661101 19661130    13.7
19661201 19661231     1.0
19670101 19670131    30.4
19670201 19670228     4.9
19670301 19670331     2.0
19670401 19670430    11.0
19670501 19670531    57.4
19670601 19670630    48.5
19670701 19670731    51.5
19670801 19670831    20.6
19670901 19670930     5.9
19671001 19671031    11.0
19671101 19671130     7.9
19671201 19671231     8.5
19680101 19680131    77.4
19680201 19680229    15.5
19680301 19680331    40.9
19680401 19680430    26.0
19680501 19680531    15.9
19680601 19680630   135.5
19680701 19680731    31.5
19680801 19680831    22.8
19680901 19680930    18.9
19681001 19681031     8.7
19681101 19681130     1.3
19681201 19681231     0.0
19690101 19690131     1.8
19690201 19690228     0.5
19690301 19690331    11.7
19690401 19690430    16.3
19690501 19690531    27.3
19690601 19690630    30.3
19690701 19690731    21.9
19690801 19690831    11.5
19690901 19690930    17.6
19691001 19691031     1.9
19691101 19691130     5.3
19691201 19691231     1.6
19700101 19700131     0.5
19700201 19700228    83.7
19700301 19700331     1.3
19700401 19700430    28.3
19700501 19700531    25.4
19700601 19700630    62.4
19700701 19700731    21.9
19700801 19700831    21.9
19700901 19700930    38.7
19701001 19701031    14.5
19701101 19701130    23.6
19701201 19701231     9.9
19710101 19710131     5.3
19710201 19710228    15.5
19710301 19710331   137.6
19710401 19710430     7.2
19710501 19710531    16.3
19710601 19710630    35.0
19710701 19710731    26.1
19710801 19710831    37.5
19710901 19710930    24.6
19711001 19711031    18.8
19711101 19711130    16.5
19711201 19711231     2.0
19720101 19720131     0.0
19720201 19720229     4.6
19720301 19720331     3.3
19720401 19720430     5.1
19720501 19720531    19.1
19720601 19720630    86.5
19720701 19720731    65.6
19720801 19720831    42.3
19720901 19720930    13.7
19721001 19721031     5.0
19721101 19721130     2.3
19721201 19721231     0.0
19730101 19730131    40.1
19730201 19730228    10.2
19730301 19730331     0.5
19730401 19730430    12.9
19730501 19730531    20.0
19730601 19730630    49.4
19730701 19730731    66.2
19730801 19730831    47.1
19730901 19730930    62.2
19731001 19731031    12.9
19731101 19731130    11.5
19731201 19731231     0.8
19740101 19740131     0.0
19740201 19740228     0.6
19740301 19740331    38.6
19740401 19740430   107.7
19740501 19740531    80.7
19740601 19740630    45.3
19740701 19740731    58.4
19740801 19740831    44.8
19740901 19740930    16.5
19741001 19741031    24.4
19741101 19741130     0.6
19741201 19741231     2.2
19750101 19750131     0.0
19750201 19750228     3.0
19750301 19750331    21.5
19750401 19750430    37.6
19750501 19750531    41.4
19750601 19750630    37.0
19750701 19750731    50.5
19750801 19750831    21.8
19750901 19750930    19.8
19751001 19751031    62.6
19751101 19751130     1.4
19751201 19751231     9.0
19760101 19760131     7.8
19760201 19760229    16.6
19760301 19760331     0.0
19760401 19760430    30.6
19760501 19760531    17.4
19760601 19760630    21.2
19760701 19760731    18.0
19760801 19760831    49.4
19760901 19760930    17.2
19761001 19761031    12.0
19761101 19761130    18.8
19761201 19761231     0.0
19770101 19770131     1.6
19770201 19770228     1.2
19770301 19770331     8.8
19770401 19770430    19.6
19770501 19770531    24.8
19770601 19770630    27.6
19770701 19770731    10.0
19770801 19770831    42.2
19770901 19770930     6.8
19771001 19771031    27.4
19771101 19771130     4.6
19771201 19771231    21.2
19780101 19780131    29.8
19780201 19780228    56.0
19780301 19780331     0.8
19780401 19780430    27.6
19780501 19780531    16.4
19780601 19780630    35.4
19780701 19780731    72.2
19780801 19780831    14.8
19780901 19780930    26.6
19781001 19781031    12.8
19781101 19781130    24.0
19781201 19781231    64.2
19790101 19790131     5.6
19790201 19790228    29.8
19790301 19790331    17.6
19790401 19790430    16.6
19790501 19790531    19.4
19790601 19790630    54.8
19790701 19790731    23.0
19790801 19790831    74.2
19790901 19790930     8.8
19791001 19791031     2.0
19791101 19791130    25.4
19791201 19791231     0.4
19800101 19800131     1.4
19800201 19800229     8.8
19800301 19800331     0.4
19800401 19800430    16.0
19800501 19800531    29.4
19800601 19800630    24.2
19800701 19800731    37.6
19800801 19800831    18.8
19800901 19800930     4.6
19801001 19801031    12.8
19801101 19801130     1.8
19801201 19801231     3.4
19810101 19810131     4.4
19810201 19810228    21.4
19810301 19810331     0.8
19810401 19810430     6.2
19810501 19810531    75.4
19810601 19810630    40.8
19810701 19810731    47.6
19810801 19810831    45.4
19810901 19810930    12.4
19811001 19811031    14.8
19811101 19811130    29.4
19811201 19811231    31.2
19820101 19820131    51.4
19820201 19820228     0.0
19820301 19820331     3.2
19820401 19820430     0.6
19820501 19820531    41.8
19820601 19820630    67.2
19820701 19820731    17.2
19820801 19820831    62.6
19820901 19820930    25.6
19821001 19821031    14.8
19821101 19821130     4.2
19821201 19821231     6.4
19830101 19830131     0.0
19830201 19830228     0.8
19830301 19830331    12.0
19830401 19830430    12.4
19830501 19830531    10.6
19830601 19830630    84.6
19830701 19830731    62.8
19830801 19830831    39.6
19830901 19830930    27.2
19831001 19831031     2.2
19831101 19831130    58.8
19831201 19831231    22.2
19840101 19840131     1.0
19840201 19840229    10.4
19840301 19840331    61.0
19840401 19840430    41.2
19840501 19840531    85.4
19840601 19840630    16.0
19840701 19840731    36.8
19840801 19840831    20.0
19840901 19840930    16.8
19841001 19841031     1.8
19841101 19841130    12.8
19841201 19841231     3.4
19850101 19850131     0.0
19850201 19850228    22.0
19850301 19850331    27.4
19850401 19850430     1.6
19850501 19850531    36.2
19850601 19850630    23.0
19850701 19850731    60.4
19850801 19850831    42.2
19850901 19850930    36.0
19851001 19851031     8.8
19851101 19851130     3.4
19851201 19851231     5.0
19860101 19860131     2.4
19860201 19860228    41.4
19860301 19860331     7.2
19860401 19860430     8.2
19860501 19860531    43.4
19860601 19860630    74.2
19860701 19860731    24.6
19860801 19860831    35.6
19860901 19860930     7.2
19861001 19861031    14.2
19861101 19861130    21.2
19861201 19861231     2.0
19870101 19870131     0.6
19870201 19870228     0.0
19870301 19870331     5.6
19870401 19870430    13.2
19870501 19870531    31.2
19870601 19870630    53.8
19870701 19870731    39.4
19870801 19870831    24.4
19870901 19870930     8.4
19871001 19871031    29.6
19871101 19871130    15.0
19871201 19871231    23.8
19880101 19880131     0.0
19880201 19880229     0.0
19880301 19880331    30.2
19880401 19880430    27.0
19880501 19880531    57.0
19880601 19880630    54.6
19880701 19880731    38.6
19880801 19880831    47.6
19880901 19880930    15.2
19881001 19881031    12.2
19881101 19881130     6.6
19881201 19881231    11.0
19890101 19890131     9.0
19890201 19890228    22.6
19890301 19890331     0.2
19890401 19890430    25.2
19890501 19890531    81.6
19890601 19890630   107.6
19890701 19890731    26.6
19890801 19890831    13.0
19890901 19890930     5.4
19891001 19891031     6.8
19891101 19891130     0.6
19891201 19891231     1.8
19900101 19900131   101.4
19900201 19900228    23.4
19900301 19900331    32.2
19900401 19900430    27.8
19900501 19900531    29.6
19900601 19900630    30.2
19900701 19900731    58.8
19900801 19900831    34.0
19900901 19900930    16.6
19901001 19901031    34.4
19901101 19901130     0.2
19901201 19901231     3.2
19910101 19910131     6.4
19910201 19910228     0.0
19910301 19910331     3.4
19910401 19910430    11.6
19910501 19910531    31.4
19910601 19910630    40.6
19910701 19910731    49.0
19910801 19910831    16.8
19910901 19910930    12.8
19911001 19911031    14.0
19911101 19911130    19.6
19911201 19911231    46.8
19920101 19920131     0.0
19920201 19920229    54.2
19920301 19920331    44.0
19920401 19920430    49.4
19920501 19920531    10.0
19920601 19920630    40.0
19920701 19920731    22.8
19920801 19920831    54.6
19920901 19920930    47.2
19921001 19921031    17.4
19921101 19921130     9.2
19921201 19921231     2.8
19930101 19930131     0.0
19930201 19930228     2.0
19930301 19930331     9.0
19930401 19930430    21.2
19930501 19930531    90.2
19930601 19930630    67.0
19930701 19930731    22.2
19930801 19930831    38.8
19930901 19930930    15.0
19931001 19931031    14.4
19931101 19931130    43.4
19931201 19931231     3.6
19940101 19940131     0.0
19940201 19940228     0.0
19940301 19940331     0.6
19940401 19940430     0.0
19940501 19940531    38.8
19940601 19940630    18.2
19940701 19940731    14.8
19940801 19940831    44.6
19940901 19940930     9.8
19941001 19941031     0.6
19941101 19941130     0.4
19941201 19941231     3.0
19950101 19950131     4.6
19950201 19950228    32.8
19950301 19950331    11.6
19950401 19950430    13.4
19950501 19950531    41.4
19950601 19950630    50.2
19950701 19950731    94.2
19950801 19950831    11.4
19950901 19950930    24.8
19951001 19951031    22.6
19951101 19951130     3.4
19951201 19951231    19.4
19960101 19960131     0.0
19960201 19960229     2.6
19960301 19960331     1.2
19960401 19960430    27.4
19960501 19960531    13.2
19960601 19960630    58.8
19960701 19960731    75.8
19960801 19960831    33.6
19960901 19960930    39.8
19961001 19961031    22.4
19961101 19961130    16.0
19961201 19961231     0.6
19970101 19970131     1.2
19970201 19970228    29.6
19970301 19970331     0.0
19970401 19970430    26.1
19970501 19970531    20.0
19970601 19970630    12.8
19970701 19970731    35.0
19970801 19970831    28.4
19970901 19970930    30.0
19971001 19971031    10.8
19971101 19971130    31.8
19971201 19971231     0.0
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     2.4
19980401 19980430    41.4
19980501 19980531    33.5
19980601 19980630    73.2
19980701 19980731    41.0
19980801 19980831    40.8
19980901 19980930    11.6
19981001 19981031     0.0
19981101 19981130     0.0
19981201 19981231    12.8
19990101 19990131     4.8
19990201 19990228     0.0
19990301 19990331   123.8
19990401 19990430     7.2
19990501 19990531   112.0
19990601 19990630    35.0
19990701 19990731    38.6
19990801 19990831    42.2
19990901 19990930    18.2
19991001 19991031    26.6
19991101 19991130    14.2
19991201 19991231     8.4
20000101 20000131    84.8
20000201 20000229     0.0
20000301 20000331    76.0
20000401 20000430     8.0
20000501 20000531     2.0
20000601 20000630    15.2
20000701 20000731    52.0
20000801 20000831    20.2
20000901 20000930    15.0
20001001 20001031     1.4
20001101 20001130     1.0
20001201 20001231     0.6
20010101 20010131    60.0
20010201 20010228     6.2
20010301 20010331     2.0
20010401 20010430     1.4
20010501 20010531    42.0
20010601 20010630    16.0
20010701 20010731    44.8
20010801 20010831    22.6
20010901 20010930    24.4
20011001 20011031     8.2
20011101 20011130    15.6
20011201 20011231     2.0
20020101 20020131    18.6
20020201 20020228     0.0
20020301 20020331     6.2
20020401 20020430    12.8
20020501 20020531     8.4
20020601 20020630    16.2
20020701 20020731    18.6
20020801 20020831    18.8
20020901 20020930    13.6
20021001 20021031    10.6
20021101 20021130     3.2
20021201 20021231    19.8
20030101 20030131     1.4
20030201 20030228    29.0
20030301 20030331     7.2
20030401 20030430    37.2
20030501 20030531    34.0
20030601 20030630    26.6
20030701 20030731    32.2
20030801 20030831    78.8
20030901 20030930    35.6
20031001 20031031     3.6
