PRCP       053018 18790601 20180131 missing_value=99999.9 CROPPA CREEK (KRUI PLAINS)                
19160401 19160430    93.6
19160501 19160531     7.6
19160601 19160630    63.4
19160701 19160731    83.9
19160801 19160831    42.3
19160901 19160930    61.5
19161001 19161031    47.7
19161101 19161130   158.9
19161201 19161231   183.0
19170101 19170131   125.4
19170201 19170228   105.2
19170301 19170331    29.7
19170401 19170430     9.1
19170501 19170531     4.8
19170601 19170630    25.7
19170701 19170731    15.0
19170801 19170831    16.3
19170901 19170930    81.7
19171001 19171031    40.3
19171101 19171130   100.7
19171201 19171231    80.9
19180101 19180131   120.4
19180201 19180228     8.9
19180301 19180331     2.1
19180401 19180430    50.4
19180501 19180531     9.6
19180601 19180630    27.1
19180701 19180731    21.6
19180801 19180831    84.8
19180901 19180930     2.3
19181001 19181031    19.8
19181101 19181130    20.1
19181201 19181231     7.1
19190101 19190131    67.3
19190201 19190228    39.2
19190301 19190331     7.3
19190401 19190430    46.8
19190501 19190531    63.3
19190601 19190630     1.0
19190701 19190731     3.8
19190801 19190831    18.5
19190901 19190930     3.8
19191001 19191031    18.3
19191101 19191130     8.7
19191201 19191231    97.8
19200101 19200131   101.6
19200201 19200229    88.2
19200301 19200331    17.8
19200401 19200430    17.7
19200501 19200531    27.5
19200601 19200630    92.2
19200701 19200731    74.3
19200801 19200831    32.9
19200901 19200930    51.3
19201001 19201031    53.8
19201101 19201130    14.2
19201201 19201231    74.4
19210101 19210131     7.2
19210201 19210228    21.1
19210301 19210331    56.5
19210401 19210430    13.0
19210501 19210531   147.4
19210601 19210630   166.1
19210701 19210731   132.0
19210801 19210831    11.2
19210901 19210930    55.8
19211001 19211031    50.4
19211101 19211130    73.2
19211201 19211231   189.5
19220101 19220131    26.2
19220201 19220228    41.2
19220301 19220331    28.9
19220401 19220430    24.1
19220501 19220531     3.8
19220601 19220630    40.2
19220701 19220731    32.2
19220801 19220831     4.3
19220901 19220930    35.0
19221001 19221031    37.1
19221101 19221130    24.4
19221201 19221231   155.7
19230101 19230131     8.1
19230201 19230228     2.3
19230301 19230331     6.9
19230401 19230430    21.6
19230501 19230531     9.7
19230601 19230630    56.7
19230701 19230731    22.9
19230801 19230831     0.0
19230901 19230930    37.3
19231001 19231031    32.8
19231101 19231130     1.0
19231201 19231231    84.7
19240101 19240131    60.0
19240201 19240229   149.2
19240301 19240331     7.6
19240401 19240430   105.4
19240501 19240531     7.4
19240601 19240630    62.3
19240701 19240731    53.8
19240801 19240831    80.0
19240901 19240930    27.0
19241001 19241031    33.8
19241101 19241130   213.2
19241201 19241231     8.9
19250101 19250131    45.5
19250201 19250228    14.2
19250301 19250331    29.7
19250401 19250430     1.8
19250501 19250531    37.6
19250601 19250630     8.7
19250701 19250731    27.6
19250801 19250831    34.6
19250901 19250930     0.0
19251001 19251031     9.6
