PRCP       041013 19030101 20171231 missing_value=99999.9 CANNING DOWNS                             
19430801 19430831    89.5
19430901 19430930    66.0
19431001 19431031   104.8
19431101 19431130   106.2
19431201 19431231   166.4
19440101 19440131   181.0
19440201 19440229    47.9
19440301 19440331    66.7
19440401 19440430     8.9
19440501 19440531    40.4
19440601 19440630     5.8
19440701 19440731    58.4
19440801 19440831    83.6
19440901 19440930    39.5
19441001 19441031    37.6
19441101 19441130    60.5
19441201 19441231    73.4
19450101 19450131   123.6
19450201 19450228    65.7
19450301 19450331    18.3
19450401 19450430    37.1
19450501 19450531    44.7
19450601 19450630   134.7
19450701 19450731    44.3
19450801 19450831    58.1
19450901 19450930    19.3
19451001 19451031    25.3
19451101 19451130    39.9
19451201 19451231    67.2
19460101 19460131   216.7
19460201 19460228    68.8
19460301 19460331    86.6
19460401 19460430    21.4
19460501 19460531    17.5
19460601 19460630     0.6
19460701 19460731     2.4
19460801 19460831     1.8
19460901 19460930   109.0
19461001 19461031    52.0
19461101 19461130    44.5
19461201 19461231   106.4
19470101 19470131   138.6
19470201 19470228    60.9
19470301 19470331   103.1
19470401 19470430    35.2
19470501 19470531    49.8
19470601 19470630    14.7
19470701 19470731    14.7
19470801 19470831    17.5
19470901 19470930    69.2
19471001 19471031    99.3
19471101 19471130    76.8
19471201 19471231   179.9
19480101 19480131    52.1
19480201 19480229    18.4
19480301 19480331    91.0
19480401 19480430    11.6
19480501 19480531    45.2
19480601 19480630   159.3
19480701 19480731    34.0
19480801 19480831    19.0
19480901 19480930    30.7
19481001 19481031     2.8
19481101 19481130    63.5
19481201 19481231   134.9
19490101 19490131   105.0
19490201 19490228    95.3
19490301 19490331   119.2
19490401 19490430     1.0
19490501 19490531    26.7
19490601 19490630    93.4
19490701 19490731    38.2
19490801 19490831    21.1
19490901 19490930    45.2
19491001 19491031   174.2
19491101 19491130    78.3
19491201 19491231    66.4
19500101 19500131    41.5
19500201 19500228   107.1
19500301 19500331    20.8
19500401 19500430    17.5
19500501 19500531    13.3
19500601 19500630   210.0
19500701 19500731    76.2
19500801 19500831    20.1
19500901 19500930    38.5
19501001 19501031   197.5
19501101 19501130   140.5
19501201 19501231    18.1
19510101 19510131   262.6
19510201 19510228    13.4
19510301 19510331    21.1
19510401 19510430    24.7
19510501 19510531    24.4
19510601 19510630    61.3
19510701 19510731     4.6
19510801 19510831    25.7
19510901 19510930    17.8
19511001 19511031    44.9
19511101 19511130     8.6
19511201 19511231    47.2
19520101 19520131    10.7
19520201 19520229   124.1
