PRCP       045017 18790101 20050331 missing_value=99999.9 THARGOMINDAH POST OFFICE                  
19600201 19600229    44.4
19600301 19600331     0.0
19600401 19600430     1.3
19600501 19600531    67.5
19600601 19600630     2.2
19600701 19600731    30.9
19600801 19600831    31.3
19600901 19600930     4.0
19601001 19601031     1.8
19601101 19601130    44.9
19601201 19601231     4.3
19610101 19610131    45.5
19610201 19610228    19.1
19610301 19610331     0.8
19610401 19610430    20.1
19610501 19610531     0.0
19610601 19610630     2.5
19610701 19610731    13.2
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     5.1
19611101 19611130    45.3
19611201 19611231    10.4
19620101 19620131    47.8
19620201 19620228     0.5
19620301 19620331    42.3
19620401 19620430     0.3
19620501 19620531    10.1
19620601 19620630    50.5
19620701 19620731    19.3
19620801 19620831    24.9
19620901 19620930     0.0
19621001 19621031     4.6
19621101 19621130     1.3
19621201 19621231   150.9
19630101 19630131    58.2
19630201 19630228    41.9
19630301 19630331    56.4
19630401 19630430     0.0
19630501 19630531     0.0
19630601 19630630    16.3
19630701 19630731     0.0
19630801 19630831    15.0
19630901 19630930     0.0
19631001 19631031     4.3
19631101 19631130     1.3
19631201 19631231     0.0
19640101 19640131   170.2
19640201 19640229    12.5
19640301 19640331     0.0
19640401 19640430    43.9
19640501 19640531    49.2
19640601 19640630     0.0
19640701 19640731     5.6
19640801 19640831    37.1
19640901 19640930    36.1
19641001 19641031     9.4
19641101 19641130    12.5
19641201 19641231     0.8
19650101 19650131     2.6
19650201 19650228     0.0
19650301 19650331     4.1
19650401 19650430     0.0
19650501 19650531     0.5
19650601 19650630     5.3
19650701 19650731     4.3
19650801 19650831    10.6
19650901 19650930     2.1
19651001 19651031     4.3
19651101 19651130     0.0
19651201 19651231    61.5
19660101 19660131    27.2
19660201 19660228     8.4
19660301 19660331    10.7
19660401 19660430     0.0
19660501 19660531    30.7
19660601 19660630     4.8
19660701 19660731    19.3
19660801 19660831    57.9
19660901 19660930    11.9
19661001 19661031     4.6
19661101 19661130    31.6
19661201 19661231    34.9
19670101 19670131    33.8
19670201 19670228     1.5
19670301 19670331    77.6
19670401 19670430     0.0
19670501 19670531     7.4
19670601 19670630   115.3
19670701 19670731     0.0
19670801 19670831     9.4
19670901 19670930     0.0
19671001 19671031     6.9
19671101 19671130     0.0
19671201 19671231     8.2
19680101 19680131   109.0
19680201 19680229     2.0
19680301 19680331    11.4
19680401 19680430    29.2
19680501 19680531    38.8
19680601 19680630     1.5
19680701 19680731    35.1
19680801 19680831    15.8
19680901 19680930     1.0
19681001 19681031     5.0
19681101 19681130     5.0
19681201 19681231     6.6
19690101 19690131     0.0
19690201 19690228     8.1
19690301 19690331    82.5
19690401 19690430     0.0
19690501 19690531     0.0
19690601 19690630    13.5
19690701 19690731    13.2
19690801 19690831     3.5
19690901 19690930    19.8
19691001 19691031     9.9
19691101 19691130     0.0
19691201 19691231     0.5
19700101 19700131    10.7
19700201 19700228     0.0
19700301 19700331     8.6
19700401 19700430    56.2
19700501 19700531    11.4
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     1.5
19700901 19700930    28.2
19701001 19701031     2.8
19701101 19701130    12.6
19701201 19701231    30.0
19710101 19710131    12.1
19710201 19710228    39.4
19710301 19710331   121.4
19710401 19710430     9.1
19710501 19710531     3.6
19710601 19710630     2.0
19710701 19710731    14.2
19710801 19710831    25.8
19710901 19710930    19.9
19711001 19711031     0.0
19711101 19711130     7.6
19711201 19711231    21.0
19720101 19720131    77.0
19720201 19720229     0.5
19720301 19720331     0.0
19720401 19720430     1.3
19720501 19720531     8.7
19720601 19720630     2.1
19720701 19720731     0.0
19720801 19720831    22.1
19720901 19720930     0.0
19721001 19721031     1.5
19721101 19721130     8.9
19721201 19721231     0.5
19730101 19730131   102.9
19730201 19730228    76.6
19730301 19730331    19.3
19730401 19730430    30.0
19730501 19730531     7.9
19730601 19730630    22.9
19730701 19730731    24.8
19730801 19730831    32.1
19730901 19730930    11.7
19731001 19731031    39.4
19731101 19731130    98.1
19731201 19731231    51.7
19740101 19740131   395.6
19740201 19740228    33.8
19740301 19740331     3.8
19740401 19740430    82.4
19740501 19740531    31.6
19740601 19740630     1.0
19740701 19740731     1.6
19740801 19740831    25.4
19740901 19740930    14.6
19741001 19741031    21.8
19741101 19741130    23.4
19741201 19741231     1.3
19750101 19750131   110.8
19750201 19750228    83.4
19750301 19750331    18.8
