PRCP       080004 18870501 20180131 missing_value=99999.9 CANARY ISLAND                             
19280901 19280930    31.6
19281001 19281031    50.6
19281101 19281130     1.8
19281201 19281231     2.5
19290101 19290131     7.4
19290201 19290228    31.5
19290301 19290331     5.9
19290401 19290430    38.9
19290501 19290531     6.3
19290601 19290630    30.3
19290701 19290731     5.6
19290801 19290831    31.2
19290901 19290930    16.8
19291001 19291031    26.2
19291101 19291130    16.3
19291201 19291231    40.2
19300101 19300131     0.0
19300201 19300228     3.0
19300301 19300331    11.2
19300401 19300430     5.7
19300501 19300531    47.8
19300601 19300630     6.9
19300701 19300731    26.8
19300801 19300831    36.0
19300901 19300930    25.3
19301001 19301031    84.8
19301101 19301130    14.6
19301201 19301231   151.4
19310101 19310131    12.0
19310201 19310228     0.5
19310301 19310331    44.5
19310401 19310430    55.4
19310501 19310531    73.8
19310601 19310630    75.0
19310701 19310731    27.9
19310801 19310831    11.0
19310901 19310930    21.6
19311001 19311031    20.1
19311101 19311130    13.7
19311201 19311231     0.0
19320101 19320131     0.0
19320201 19320229    54.6
19320301 19320331    54.2
19320401 19320430    95.8
19320501 19320531    24.4
19320601 19320630    52.2
19320701 19320731    32.8
19320801 19320831    49.7
19320901 19320930    18.8
19321001 19321031    28.1
19321101 19321130    20.7
19321201 19321231    15.7
19330101 19330131    13.0
19330201 19330228     0.0
19330301 19330331    15.0
19330401 19330430     3.5
19330501 19330531    42.3
19330601 19330630    44.8
19330701 19330731    47.9
19330801 19330831    47.9
19330901 19330930    45.7
19331001 19331031    23.1
19331101 19331130    37.3
19331201 19331231    77.0
19340101 19340131    16.5
19340201 19340228    73.7
19340301 19340331     9.9
19340401 19340430    39.4
19340501 19340531     0.0
19340601 19340630    10.3
19340701 19340731    27.3
19340801 19340831    29.4
19340901 19340930    13.1
19341001 19341031    75.2
19341101 19341130    58.2
19341201 19341231     8.9
19350101 19350131    24.7
19350201 19350228    17.1
19350301 19350331    14.2
19350401 19350430    31.0
19350501 19350531    19.5
19350601 19350630    20.5
19350701 19350731    54.0
19350801 19350831    20.2
19350901 19350930    55.5
19351001 19351031    68.0
19351101 19351130     2.6
19351201 19351231    16.3
19360101 19360131    41.2
19360201 19360229     5.8
19360301 19360331     4.1
19360401 19360430    12.7
19360501 19360531    32.7
19360601 19360630    36.6
19360701 19360731   109.5
19360801 19360831    42.4
19360901 19360930     7.6
19361001 19361031    46.1
19361101 19361130     1.3
19361201 19361231    68.7
19370101 19370131    24.0
19370201 19370228     8.1
19370301 19370331     1.8
19370401 19370430     9.9
19370501 19370531    19.4
19370601 19370630    15.3
19370701 19370731    12.7
19370801 19370831    32.9
19370901 19370930    18.5
19371001 19371031    76.1
19371101 19371130     0.5
19371201 19371231    16.4
19380101 19380131    15.5
19380201 19380228    17.6
19380301 19380331     0.0
19380401 19380430     8.2
19380501 19380531     6.4
19380601 19380630    30.3
19380701 19380731    39.0
19380801 19380831     8.4
19380901 19380930     2.1
19381001 19381031     1.5
19381101 19381130     5.3
19381201 19381231     0.3
19390101 19390131     5.6
19390201 19390228    96.2
19390301 19390331    17.5
19390401 19390430    46.3
19390501 19390531    53.6
19390601 19390630    35.4
19390701 19390731    29.5
19390801 19390831    40.3
19390901 19390930    11.0
19391001 19391031    23.7
19391101 19391130    53.9
19391201 19391231     3.0
19400101 19400131     8.1
19400201 19400229     4.8
19400301 19400331     1.3
19400401 19400430    46.0
19400501 19400531     0.8
19400601 19400630     6.6
19400701 19400731    30.5
19400801 19400831     7.1
19400901 19400930    47.2
19401001 19401031     4.0
19401101 19401130    18.8
19401201 19401231     7.8
19410101 19410131    65.3
19410201 19410228     3.0
19410301 19410331    24.7
19410401 19410430     4.3
19410501 19410531    12.5
19410601 19410630    26.4
19410701 19410731    50.7
19410801 19410831     9.7
19410901 19410930    45.7
19411001 19411031    29.7
19411101 19411130    21.7
19411201 19411231     3.1
19420101 19420131    10.7
19420201 19420228    16.2
19420301 19420331    20.8
19420401 19420430    11.2
19420501 19420531    52.6
19420601 19420630    59.2
19420701 19420731    37.2
19420801 19420831    61.5
19420901 19420930    22.4
19421001 19421031    22.2
19421101 19421130    49.5
19421201 19421231     6.6
19430101 19430131    13.2
19430201 19430228     5.6
19430301 19430331     0.3
19430401 19430430    16.1
19430501 19430531     8.9
19430601 19430630    15.3
19430701 19430731    29.4
19430801 19430831    27.7
19430901 19430930    16.7
19431001 19431031    28.2
19431101 19431130    22.7
19431201 19431231    11.2
19440101 19440131    19.1
19440201 19440229     3.3
19440301 19440331     0.8
19440401 19440430    32.2
19440501 19440531    31.5
19440601 19440630     4.0
19440701 19440731    25.1
19440801 19440831     2.0
19440901 19440930     4.1
19441001 19441031    16.0
19441101 19441130    16.1
19441201 19441231    19.2
19450101 19450131    15.4
19450201 19450228    14.2
19450301 19450331     5.3
19450401 19450430     0.0
19450501 19450531    12.6
19450601 19450630    56.5
19450701 19450731    31.5
19450801 19450831    53.3
19450901 19450930    14.0
19451001 19451031    34.8
19451101 19451130    46.9
19451201 19451231    10.2
19460101 19460131    58.9
19460201 19460228    85.7
19460301 19460331    18.4
19460401 19460430     8.1
19460501 19460531    35.3
19460601 19460630    25.2
19460701 19460731    25.3
19460801 19460831    17.9
19460901 19460930     4.1
19461001 19461031    14.0
19461101 19461130    28.0
19461201 19461231    22.4
19470101 19470131     0.0
19470201 19470228    12.5
19470301 19470331    42.7
19470401 19470430    18.6
19470501 19470531     4.0
19470601 19470630    23.0
19470701 19470731    55.7
