PRCP       062026 18850101 20171130 missing_value=99999.9 RYLSTONE (ILFORD RD)                      
19290801 19290831    46.7
19290901 19290930    37.0
19291001 19291031    67.1
19291101 19291130    64.1
19291201 19291231    39.0
19300101 19300131   107.4
19300201 19300228     8.7
19300301 19300331    87.7
19300401 19300430    11.4
19300501 19300531    31.5
19300601 19300630    83.6
19300701 19300731    72.8
19300801 19300831    58.5
19300901 19300930    24.9
19301001 19301031   107.2
19301101 19301130    50.8
19301201 19301231    86.5
19310101 19310131    40.9
19310201 19310228    23.7
19310301 19310331   106.7
19310401 19310430    65.0
19310501 19310531   109.5
19310601 19310630    83.6
19310701 19310731    52.5
19310801 19310831    20.5
19310901 19310930    35.9
19311001 19311031    37.9
19311101 19311130    53.8
19311201 19311231    54.2
19320101 19320131    11.0
19320201 19320229    62.0
19320301 19320331   130.3
19320401 19320430    59.5
19320501 19320531     8.1
19320601 19320630    28.0
19320701 19320731    27.7
19320801 19320831    33.7
19320901 19320930    78.3
19321001 19321031    21.5
19321101 19321130    95.2
19321201 19321231    24.7
19330101 19330131    86.1
19330201 19330228     5.9
19330301 19330331    43.2
19330401 19330430    42.5
19330501 19330531    30.0
19330601 19330630    37.8
19330701 19330731    53.5
19330801 19330831     6.3
19330901 19330930    75.8
19331001 19331031    61.2
19331101 19331130   106.3
19331201 19331231    31.0
19340101 19340131    68.2
19340201 19340228   212.2
19340301 19340331    21.3
19340401 19340430    22.9
19340501 19340531     2.5
19340601 19340630    48.2
19340701 19340731    83.5
19340801 19340831    79.2
19340901 19340930    36.3
19341001 19341031   129.5
19341101 19341130    77.4
19341201 19341231    89.5
19350101 19350131   149.0
19350201 19350228    74.2
19350301 19350331    15.5
19350401 19350430    31.7
19350501 19350531    21.1
19350601 19350630     6.9
19350701 19350731    41.0
19350801 19350831    20.1
19350901 19350930    53.9
19351001 19351031    79.5
19351101 19351130    23.4
19351201 19351231    19.8
19360101 19360131    63.5
19360201 19360229    52.4
19360301 19360331   100.1
19360401 19360430    15.0
19360501 19360531    58.8
19360601 19360630    28.6
19360701 19360731    85.1
19360801 19360831    62.7
19360901 19360930    32.9
19361001 19361031    18.6
19361101 19361130    17.0
19361201 19361231    78.3
19370101 19370131    74.5
19370201 19370228    45.9
19370301 19370331    66.4
19370401 19370430    22.6
19370501 19370531    16.7
19370601 19370630    33.3
19370701 19370731     8.7
19370801 19370831    73.4
19370901 19370930    42.1
19371001 19371031    15.3
19371101 19371130    89.1
19371201 19371231    53.2
19380101 19380131    49.0
19380201 19380228    27.7
19380301 19380331     0.3
19380401 19380430    54.7
19380501 19380531    26.7
19380601 19380630    20.3
19380701 19380731    38.3
19380801 19380831    37.5
19380901 19380930    13.2
19381001 19381031    80.9
19381101 19381130    51.2
19381201 19381231     2.8
19390101 19390131    17.6
19390201 19390228     0.8
19390301 19390331   105.7
19390401 19390430    53.1
19390501 19390531    31.7
19390601 19390630    28.8
19390701 19390731    23.9
19390801 19390831    62.2
19390901 19390930    12.9
19391001 19391031    50.1
19391101 19391130    54.2
19391201 19391231    17.0
19400101 19400131    32.0
19400201 19400229     0.0
19400301 19400331     7.8
19400401 19400430    76.7
19400501 19400531    17.6
19400601 19400630    12.9
19400701 19400731     9.6
19400801 19400831    20.9
19400901 19400930    61.6
19401001 19401031    10.9
19401101 19401130    74.7
19401201 19401231    76.6
19410101 19410131   163.1
19410201 19410228    22.6
19410301 19410331    54.4
19410401 19410430     3.6
19410501 19410531    34.5
19410601 19410630    46.7
19410701 19410731    14.2
19410801 19410831    34.8
19410901 19410930    34.3
19411001 19411031    34.3
19411101 19411130    30.1
19411201 19411231    12.6
19420101 19420131    17.0
19420201 19420228    39.6
19420301 19420331   102.5
19420401 19420430     4.1
19420501 19420531    73.5
19420601 19420630    67.7
19420701 19420731    83.8
19420801 19420831    46.6
19420901 19420930    62.8
19421001 19421031    25.8
19421101 19421130   170.7
19421201 19421231    61.2
19430101 19430131    67.3
19430201 19430228    17.5
19430301 19430331    11.4
19430401 19430430    39.7
19430501 19430531    76.5
19430601 19430630    24.2
19430701 19430731    24.8
19430801 19430831    52.3
19430901 19430930    61.1
19431001 19431031    78.4
19431101 19431130    92.2
19431201 19431231    49.2
19440101 19440131    25.8
19440201 19440229    81.5
19440301 19440331    39.1
19440401 19440430    25.9
19440501 19440531    50.5
19440601 19440630     5.9
19440701 19440731    44.9
19440801 19440831    81.7
19440901 19440930    15.0
19441001 19441031     5.8
19441101 19441130    14.4
19441201 19441231     7.2
19450101 19450131   123.4
19450201 19450228   101.5
19450301 19450331    32.3
19450401 19450430    54.8
19450501 19450531    64.0
19450601 19450630    97.7
19450701 19450731    26.5
19450801 19450831    92.0
19450901 19450930     2.8
19451001 19451031    38.9
19451101 19451130    23.5
19451201 19451231    43.2
19460101 19460131    44.4
19460201 19460228    46.3
19460301 19460331    18.8
19460401 19460430    88.3
19460501 19460531    17.5
19460601 19460630    45.8
19460701 19460731    19.5
19460801 19460831     2.3
19460901 19460930    27.5
19461001 19461031    49.0
19461101 19461130    55.5
19461201 19461231    41.9
19470101 19470131    26.7
19470201 19470228   108.9
19470301 19470331    39.9
19470401 19470430    46.9
19470501 19470531    38.9
19470601 19470630    10.8
19470701 19470731    61.5
19470801 19470831    32.5
19470901 19470930    85.0
19471001 19471031    44.7
19471101 19471130   125.0
19471201 19471231   183.8
19480101 19480131    83.3
19480201 19480229   116.8
19480301 19480331    43.4
19480401 19480430    43.2
19480501 19480531    31.7
19480601 19480630    78.3
19480701 19480731    17.2
19480801 19480831    24.7
19480901 19480930    42.4
19481001 19481031    17.3
19481101 19481130    38.2
19481201 19481231    38.9
19490101 19490131    88.7
19490201 19490228    96.4
19490301 19490331    49.2
19490401 19490430    48.5
19490501 19490531    16.3
19490601 19490630   136.1
19490701 19490731    53.4
19490801 19490831    43.2
19490901 19490930    99.3
19491001 19491031    58.0
19491101 19491130    80.3
19491201 19491231    86.8
19500101 19500131   174.3
19500201 19500228   168.6
19500301 19500331    64.4
19500401 19500430   128.3
19500501 19500531    56.7
19500601 19500630   128.4
19500701 19500731   139.4
19500801 19500831    83.6
19500901 19500930    52.2
19501001 19501031   138.7
19501101 19501130   150.9
19501201 19501231     7.6
19510101 19510131    97.4
19510201 19510228    18.0
19510301 19510331    52.2
19510401 19510430    27.7
19510501 19510531    38.6
19510601 19510630    88.3
19510701 19510731    65.5
19510801 19510831    77.2
19510901 19510930    32.8
19511001 19511031    37.7
19511101 19511130    30.2
19511201 19511231    14.5
19520101 19520131     2.3
