PRCP       061010 18950901 20180131 missing_value=99999.9 CLARENCE TOWN (GREY ST)                   
19661101 19661130    73.3
19661201 19661231   109.6
19670101 19670131    80.1
19670201 19670228   163.6
19670301 19670331   157.4
19670401 19670430    98.2
19670501 19670531   108.0
19670601 19670630   184.2
19670701 19670731    70.9
19670801 19670831   156.2
19670901 19670930    78.4
19671001 19671031   212.0
19671101 19671130    24.1
19671201 19671231    47.2
19680101 19680131   365.1
19680201 19680229    67.1
19680301 19680331   263.4
19680401 19680430    13.6
19680501 19680531   146.5
19680601 19680630    24.6
19680701 19680731    56.5
19680801 19680831   102.5
19680901 19680930    26.2
19681001 19681031     1.5
19681101 19681130    41.9
19681201 19681231    88.6
19690101 19690131    23.4
19690201 19690228   126.0
19690301 19690331   114.8
19690401 19690430    32.5
19690501 19690531    67.7
19690601 19690630   177.3
19690701 19690731    39.1
19690801 19690831   110.2
19690901 19690930    41.5
19691001 19691031    90.6
19691101 19691130   174.4
19691201 19691231    68.6
19700101 19700131   259.0
19700201 19700228    50.8
19700301 19700331    77.9
19700401 19700430    32.9
19700501 19700531     5.6
19700601 19700630    15.5
19700701 19700731     0.0
19700801 19700831    11.0
19700901 19700930   112.0
19701001 19701031    60.3
19701101 19701130   108.5
19701201 19701231   185.5
19710101 19710131   523.3
19710201 19710228   240.1
19710301 19710331    77.0
19710401 19710430    53.6
19710501 19710531    94.8
19710601 19710630   141.0
19710701 19710731    24.7
19710801 19710831    25.9
19710901 19710930    35.4
19711001 19711031     5.1
19711101 19711130    45.8
19711201 19711231   205.6
19720101 19720131   332.2
19720201 19720229    38.4
19720301 19720331   212.1
19720401 19720430   104.8
19720501 19720531    86.9
19720601 19720630   126.1
19720701 19720731     8.7
19720801 19720831    55.6
19720901 19720930    46.2
19721001 19721031   149.7
19721101 19721130    99.9
19721201 19721231    38.2
19730101 19730131    31.3
19730201 19730228   229.7
19730301 19730331    47.8
19730401 19730430    15.8
19730501 19730531    18.8
19730601 19730630    30.4
19730701 19730731    65.2
19730801 19730831    36.7
19730901 19730930    39.2
19731001 19731031    92.5
19731101 19731130   135.3
19731201 19731231    63.3
19740101 19740131   184.2
19740201 19740228    80.0
19740301 19740331   152.2
19740401 19740430   156.0
19740501 19740531   171.5
19740601 19740630   188.0
19740701 19740731    15.0
19740801 19740831    66.6
19740901 19740930    28.2
19741001 19741031    46.2
19741101 19741130   162.8
19741201 19741231    97.6
19750101 19750131    41.6
19750201 19750228   142.2
19750301 19750331    61.0
19750401 19750430   134.6
19750501 19750531    15.0
19750601 19750630   249.6
19750701 19750731    39.2
19750801 19750831    28.7
19750901 19750930    82.0
19751001 19751031    32.9
19751101 19751130    67.2
19751201 19751231    94.0
19760101 19760131   213.6
19760201 19760229   215.6
19760301 19760331   259.4
19760401 19760430    77.8
19760501 19760531    38.6
19760601 19760630    81.0
19760701 19760731    91.4
19760801 19760831    14.4
19760901 19760930    59.8
19761001 19761031   104.0
19761101 19761130    65.2
19761201 19761231    19.8
19770101 19770131    46.6
19770201 19770228   149.4
19770301 19770331   264.4
19770401 19770430    22.2
19770501 19770531   267.0
19770601 19770630    92.4
19770701 19770731    39.4
19770801 19770831    17.8
19770901 19770930    59.8
19771001 19771031    26.0
19771101 19771130    21.4
19771201 19771231    37.4
19780101 19780131   197.0
19780201 19780228    12.4
19780301 19780331   511.4
19780401 19780430    96.2
19780501 19780531    47.0
19780601 19780630   173.2
19780701 19780731    19.0
19780801 19780831    63.2
19780901 19780930    79.2
19781001 19781031    65.4
19781101 19781130    60.8
19781201 19781231   165.0
19790101 19790131    48.6
19790201 19790228     6.0
19790301 19790331   151.4
19790401 19790430    30.8
19790501 19790531   206.8
19790601 19790630    90.2
19790701 19790731    34.8
19790801 19790831     5.2
19790901 19790930    25.2
19791001 19791031    48.4
19791101 19791130    21.4
19791201 19791231    29.0
19800101 19800131    57.6
19800201 19800229    24.6
19800301 19800331    42.8
19800401 19800430     1.2
19800501 19800531   112.2
19800601 19800630    62.2
19800701 19800731    22.2
19800801 19800831     9.6
19800901 19800930     0.0
19801001 19801031    42.2
19801101 19801130    16.8
19801201 19801231    58.6
19810101 19810131    32.9
19810201 19810228   276.4
19810301 19810331    12.1
19810401 19810430   136.1
19810501 19810531   113.5
19810601 19810630    84.6
19810701 19810731    33.5
19810801 19810831     2.6
19810901 19810930    11.0
19811001 19811031   126.9
19811101 19811130   129.8
19811201 19811231    88.3
19820101 19820131    89.9
19820201 19820228   100.9
19820301 19820331   202.8
19820401 19820430    15.6
19820501 19820531     1.2
19820601 19820630    65.8
19820701 19820731   101.6
19820801 19820831     6.7
19820901 19820930   119.4
19821001 19821031    84.3
19821101 19821130    22.8
19821201 19821231    36.7
19830101 19830131    65.1
19830201 19830228    35.3
19830301 19830331   157.2
19830401 19830430   145.4
19830501 19830531   109.8
19830601 19830630    72.0
19830701 19830731    35.1
19830801 19830831    19.8
19830901 19830930    23.5
19831001 19831031   130.4
19831101 19831130    32.0
19831201 19831231   112.3
19840101 19840131   173.6
19840201 19840229    60.3
19840301 19840331   157.0
19840401 19840430   113.6
19840501 19840531    36.6
19840601 19840630    57.4
19840701 19840731   101.2
19840801 19840831    12.3
19840901 19840930    29.1
19841001 19841031    99.6
19841101 19841130   147.2
19841201 19841231    62.6
19850101 19850131    14.4
19850201 19850228   120.0
19850301 19850331    79.4
19850401 19850430   116.8
19850501 19850531   147.2
19850601 19850630    57.9
19850701 19850731    94.8
19850801 19850831    35.4
19850901 19850930    53.4
19851001 19851031   250.0
19851101 19851130    94.0
19851201 19851231    86.6
19860101 19860131   166.0
19860201 19860228    55.8
19860301 19860331    12.8
19860401 19860430    50.0
19860501 19860531    49.9
19860601 19860630    56.8
19860701 19860731    31.2
19860801 19860831   129.0
19860901 19860930    75.3
19861001 19861031    20.2
19861101 19861130   149.9
19861201 19861231    13.6
19870101 19870131   164.8
19870201 19870228    14.8
19870301 19870331   139.2
