PRCP       002014 19070101 20100831 missing_value=99999.9 KIMBERLEY RES.STATION                     
19780701 19780731    29.5
19780801 19780831     0.0
19780901 19780930     0.2
19781001 19781031    37.7
19781101 19781130   135.6
19781201 19781231    89.7
19790101 19790131   249.8
19790201 19790228   117.9
19790301 19790331   172.7
19790401 19790430     0.0
19790501 19790531    38.6
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     1.8
19790901 19790930    13.8
19791001 19791031    43.0
19791101 19791130    17.9
19791201 19791231    89.7
19800101 19800131   174.2
19800201 19800229   355.4
19800301 19800331    76.0
19800401 19800430    26.8
19800501 19800531     1.8
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031     7.4
19801101 19801130    65.5
19801201 19801231   102.2
19810101 19810131   166.4
19810201 19810228   145.4
19810301 19810331    49.4
19810401 19810430    12.4
19810501 19810531     5.8
19810601 19810630     0.0
19810701 19810731     0.0
19810801 19810831     0.2
19810901 19810930     1.4
19811001 19811031    55.6
19811101 19811130   149.4
19811201 19811231   106.3
19820101 19820131   312.0
19820201 19820228   259.0
19820301 19820331   221.6
19820401 19820430     0.0
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     1.1
19821001 19821031     8.0
19821101 19821130    41.7
19821201 19821231    64.6
19830101 19830131    92.2
19830201 19830228   199.0
19830301 19830331   313.6
19830401 19830430    29.9
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     1.4
19831001 19831031    33.2
19831101 19831130    47.3
19831201 19831231    36.0
19840101 19840131   304.2
19840201 19840229    83.1
19840301 19840331   168.9
19840401 19840430     6.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     0.0
19840901 19840930     0.6
19841001 19841031    29.1
19841101 19841130    44.0
19841201 19841231   116.8
19850101 19850131   123.6
19850201 19850228   218.4
19850301 19850331    63.7
19850401 19850430    18.7
19850501 19850531     0.0
19850601 19850630     6.8
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     8.0
19851101 19851130    79.0
19851201 19851231    91.0
19860101 19860131   351.2
19860201 19860228    80.0
19860301 19860331   116.8
19860401 19860430    30.5
19860501 19860531     0.0
19860601 19860630     5.8
19860701 19860731    26.0
19860801 19860831     0.0
19860901 19860930     0.0
19861001 19861031     8.4
19861101 19861130    11.3
19861201 19861231    30.4
19870101 19870131   339.8
19870201 19870228   239.2
19870301 19870331    32.8
19870401 19870430    14.0
19870501 19870531     0.0
19870601 19870630     0.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     1.3
19871001 19871031     7.2
19871101 19871130    61.0
19871201 19871231   322.8
19880101 19880131   175.8
19880201 19880229    37.5
19880301 19880331   180.0
19880401 19880430    14.4
19880501 19880531     0.0
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     4.6
19881001 19881031    15.2
19881101 19881130    99.9
19881201 19881231   257.0
19890101 19890131    93.5
19890201 19890228    90.2
19890301 19890331   259.1
19890401 19890430    57.1
19890501 19890531     0.0
19890601 19890630     0.0
19890701 19890731     0.0
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130    54.2
19891201 19891231   146.4
19900101 19900131   113.6
19900201 19900228    69.5
19900301 19900331    92.7
19900401 19900430    21.8
19900501 19900531    21.2
19900601 19900630     0.0
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     0.8
19901101 19901130    23.0
19901201 19901231   129.5
19910101 19910131   188.6
19910201 19910228   221.2
19910301 19910331     5.2
19910401 19910430    25.4
19910501 19910531     0.0
19910601 19910630     0.0
19910701 19910731     2.0
19910801 19910831     0.0
19910901 19910930     2.6
19911001 19911031     0.9
19911101 19911130   150.2
19911201 19911231    59.1
19920101 19920131    96.5
19920201 19920229   186.6
19920301 19920331    60.6
19920401 19920430    21.0
19920501 19920531     0.0
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930     0.7
19921001 19921031    10.4
19921101 19921130    46.0
19921201 19921231    71.5
19930101 19930131   346.6
19930201 19930228   231.2
19930301 19930331    42.4
19930401 19930430     0.3
19930501 19930531    20.0
19930601 19930630    14.0
19930701 19930731     0.0
19930801 19930831     0.0
19930901 19930930     0.0
19931001 19931031     0.0
19931101 19931130    21.4
19931201 19931231    90.4
19940101 19940131   159.0
19940201 19940228   314.4
19940301 19940331   133.8
19940401 19940430     0.0
19940501 19940531     2.6
19940601 19940630     0.0
19940701 19940731     0.0
19940801 19940831     0.0
19940901 19940930     0.6
19941001 19941031     0.0
19941101 19941130    19.3
19941201 19941231   236.9
19950101 19950131   249.9
19950201 19950228   271.5
19950301 19950331   207.4
19950401 19950430   152.6
19950501 19950531     4.6
19950601 19950630     0.0
19950701 19950731     0.0
19950801 19950831     0.0
19950901 19950930     0.0
19951001 19951031    18.4
19951101 19951130    59.8
19951201 19951231   132.8
19960101 19960131   144.3
19960201 19960229   192.4
19960301 19960331   143.6
19960401 19960430   134.2
19960501 19960531     0.0
19960601 19960630     0.0
19960701 19960731     0.0
19960801 19960831     0.0
19960901 19960930     0.0
19961001 19961031    22.3
19961101 19961130    30.3
19961201 19961231   296.3
19970101 19970131   249.7
19970201 19970228   250.5
19970301 19970331    42.3
19970401 19970430     0.0
19970501 19970531     1.5
19970601 19970630     0.0
19970701 19970731     0.0
19970801 19970831     0.0
19970901 19970930     7.0
19971001 19971031    10.4
19971101 19971130    38.3
19971201 19971231   181.4
19980101 19980131   192.0
19980201 19980228   117.7
19980301 19980331    42.1
19980401 19980430    40.6
19980501 19980531     1.2
19980601 19980630     0.0
19980701 19980731     1.2
19980801 19980831     0.0
19980901 19980930    15.2
19981001 19981031    49.5
19981101 19981130    77.6
19981201 19981231   183.5
19990101 19990131   271.0
19990201 19990228   221.7
19990301 19990331   265.1
19990401 19990430    94.7
19990501 19990531     0.0
19990601 19990630     0.0
19990701 19990731     2.4
19990801 19990831     0.0
19990901 19990930     0.0
19991001 19991031    73.5
19991101 19991130   140.9
19991201 19991231   216.9
20000101 20000131   191.1
20000201 20000229   330.5
20000301 20000331   466.1
20000401 20000430   243.2
20000501 20000531     0.0
20000601 20000630     0.0
20000701 20000731     0.0
20000801 20000831     0.0
20000901 20000930     0.4
20001001 20001031    50.1
20001101 20001130    22.2
20001201 20001231   260.5
20010101 20010131   237.0
20010201 20010228   366.0
20010301 20010331   325.6
20010401 20010430     2.0
20010501 20010531     0.0
20010601 20010630     0.6
20010701 20010731     0.0
20010801 20010831     0.0
20010901 20010930    27.4
20011001 20011031    39.5
20011101 20011130   246.8
20011201 20011231   239.8
20020101 20020131   186.0
20020201 20020228   351.6
20020301 20020331    13.6
20020401 20020430     1.1
20020501 20020531     0.0
20020601 20020630     0.0
20020701 20020731     0.0
20020801 20020831     0.0
20020901 20020930     0.1
20021001 20021031     0.2
20021101 20021130   103.7
20021201 20021231    81.8
20030101 20030131    43.6
20030201 20030228   306.9
20030301 20030331    53.0
