PRCP       046042 19010101 20111231 missing_value=99999.9 WHITE CLIFFS POST OFFICE                  
19350901 19350930    91.5
19351001 19351031    13.5
19351101 19351130    12.4
19351201 19351231     0.0
19360101 19360131    45.4
19360201 19360229    56.2
19360301 19360331    39.2
19360401 19360430     0.0
19360501 19360531    22.6
19360601 19360630    32.5
19360701 19360731    45.3
19360801 19360831    20.3
19360901 19360930    17.5
19361001 19361031    12.2
19361101 19361130     0.0
19361201 19361231   117.0
19370101 19370131    25.4
19370201 19370228    31.3
19370301 19370331     0.5
19370401 19370430     0.0
19370501 19370531     6.9
19370601 19370630    20.8
19370701 19370731     0.0
19370801 19370831    11.2
19370901 19370930     0.0
19371001 19371031     3.6
19371101 19371130     0.0
19371201 19371231    34.1
19380101 19380131     0.0
19380201 19380228     1.0
19380301 19380331     0.0
19380401 19380430     0.5
19380501 19380531    16.8
19380601 19380630     6.1
19380701 19380731    11.0
19380801 19380831     3.8
19380901 19380930     0.0
19381001 19381031    25.7
19381101 19381130     0.0
19381201 19381231     0.0
19390101 19390131     6.8
19390201 19390228    37.3
19390301 19390331    83.2
19390401 19390430    46.4
19390501 19390531    29.5
19390601 19390630    24.7
19390701 19390731    18.8
19390801 19390831     0.0
19390901 19390930     0.0
19391001 19391031    17.3
19391101 19391130    53.7
19391201 19391231     9.7
19400101 19400131     1.8
19400201 19400229     0.0
19400301 19400331    10.2
19400401 19400430    43.9
19400501 19400531    27.9
19400601 19400630     0.0
19400701 19400731     0.5
19400801 19400831     7.9
19400901 19400930     2.0
19401001 19401031     0.0
19401101 19401130     0.0
19401201 19401231     8.9
19410101 19410131    69.4
19410201 19410228     0.0
19410301 19410331    10.7
19410401 19410430     0.0
19410501 19410531     0.5
19410601 19410630    19.6
19410701 19410731     6.1
19410801 19410831     0.0
19410901 19410930     4.1
19411001 19411031     2.5
19411101 19411130    43.2
19411201 19411231    19.5
19420101 19420131    17.5
19420201 19420228    89.5
19420301 19420331     0.0
19420401 19420430    19.6
19420501 19420531    47.5
19420601 19420630    28.9
19420701 19420731     5.6
19420801 19420831     3.8
19420901 19420930     0.0
19421001 19421031    11.2
19421101 19421130     0.0
19421201 19421231    57.5
19430101 19430131    13.5
19430201 19430228    31.5
19430301 19430331     0.0
19430401 19430430     0.0
19430501 19430531     3.6
19430601 19430630     1.5
19430701 19430731    14.0
19430801 19430831    19.8
19430901 19430930    38.6
19431001 19431031     0.0
19431101 19431130    17.7
19431201 19431231     0.0
19440101 19440131     0.0
19440201 19440229    49.8
19440301 19440331     8.9
19440401 19440430    14.0
19440501 19440531     1.0
19440601 19440630     6.8
19440701 19440731     0.0
19440801 19440831    18.8
19440901 19440930    11.2
19441001 19441031     0.5
19441101 19441130     0.0
19441201 19441231    28.7
19450101 19450131    17.0
19450201 19450228    16.2
19450301 19450331     0.0
19450401 19450430     0.0
19450501 19450531    19.1
19450601 19450630    34.8
19450701 19450731    37.1
19450801 19450831    35.5
19450901 19450930     0.0
19451001 19451031    37.2
19451101 19451130     0.0
19451201 19451231     6.4
19460101 19460131    44.7
19460201 19460228    79.8
19460301 19460331    10.2
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630    16.5
19460701 19460731     0.5
19460801 19460831     0.0
19460901 19460930    33.8
