PRCP       099005 18990301 20180131 missing_value=99999.9 FLINDERS ISLAND AIRPORT                   
19390701 19390731    33.7
19390801 19390831   220.9
19390901 19390930    58.4
19391001 19391031    71.5
19391101 19391130    52.1
19391201 19391231    53.7
19400101 19400131    39.7
19400201 19400229    21.7
19400301 19400331    30.9
19400401 19400430    76.1
19400501 19400531    31.7
19400601 19400630    55.6
19400701 19400731    65.1
19400801 19400831    30.8
19400901 19400930    77.7
19401001 19401031    11.6
19401101 19401130   208.8
19401201 19401231    90.1
19410101 19410131    72.6
19410201 19410228    32.9
19410301 19410331   107.9
19410401 19410430    12.2
19410501 19410531    11.6
19410601 19410630    46.4
19410701 19410731    49.3
19410801 19410831    70.1
19410901 19410930    88.1
19411001 19411031    44.2
19411101 19411130    28.8
19411201 19411231    33.9
19420101 19420131    31.2
19420201 19420228    15.0
19420301 19420331    25.8
19420401 19420430    40.0
19420501 19420531   132.3
19420601 19420630    53.9
19420701 19420731   143.6
19420801 19420831    69.7
19420901 19420930    58.7
19421001 19421031    26.1
19421101 19421130    32.9
19421201 19421231    47.7
19430101 19430131    35.4
19430201 19430228    22.4
19430301 19430331     8.7
19430401 19430430   104.5
19430501 19430531    34.5
19430601 19430630    61.5
19430701 19430731    78.2
19430801 19430831    35.3
19430901 19430930    43.4
19431001 19431031    25.5
19431101 19431130    32.2
19431201 19431231    19.1
19440101 19440131    38.2
19440201 19440229    11.0
19440301 19440331    48.7
19440401 19440430    50.6
19440501 19440531   105.1
19440601 19440630    30.0
19440701 19440731    60.0
19440801 19440831    29.3
19440901 19440930    28.7
19441001 19441031    25.5
19441101 19441130    41.9
19441201 19441231    73.0
19450101 19450131    38.6
19450201 19450228    79.9
19450301 19450331    32.4
19450401 19450430    30.7
19450501 19450531    34.5
19450601 19450630    41.9
19450701 19450731    31.0
19450801 19450831   109.4
19450901 19450930    48.9
19451001 19451031    55.7
19451101 19451130    29.8
19451201 19451231     5.8
19460101 19460131   112.3
19460201 19460228    97.8
19460301 19460331   162.0
19460401 19460430    74.3
19460501 19460531    35.6
19460601 19460630   134.1
19460701 19460731   150.6
19460801 19460831    88.2
19460901 19460930    64.8
19461001 19461031    44.1
19461101 19461130    28.4
19461201 19461231    42.4
19470101 19470131    23.1
19470201 19470228     6.8
19470301 19470331    56.0
19470401 19470430    18.2
19470501 19470531    44.7
19470601 19470630   168.4
19470701 19470731   114.5
19470801 19470831    83.1
19470901 19470930    49.3
19471001 19471031   151.2
19471101 19471130    55.4
19471201 19471231   115.7
19480101 19480131    38.7
19480201 19480229    33.3
19480301 19480331    28.8
19480401 19480430    22.9
19480501 19480531   106.0
19480601 19480630    12.9
19480701 19480731    57.9
19480801 19480831    48.9
19480901 19480930    66.8
19481001 19481031   144.3
19481101 19481130    28.2
19481201 19481231    14.2
19490101 19490131    47.9
19490201 19490228    62.3
19490301 19490331    74.5
19490401 19490430     9.5
19490501 19490531    74.2
19490601 19490630    80.9
19490701 19490731   107.4
19490801 19490831    42.2
19490901 19490930     6.1
19491001 19491031   166.1
19491101 19491130   184.5
19491201 19491231    44.3
19500101 19500131    31.1
19500201 19500228    24.0
19500301 19500331    96.0
