PRCP       086117 18920501 20180131 missing_value=99999.9 TOOROURRONG                               
19241201 19241231    69.5
19250101 19250131   118.0
19250201 19250228    50.4
19250301 19250331    25.4
19250401 19250430    35.5
19250501 19250531    40.4
19250601 19250630    29.8
19250701 19250731    84.8
19250801 19250831    46.1
19250901 19250930    79.9
19251001 19251031    20.5
19251101 19251130    87.9
19251201 19251231    10.4
19260101 19260131    70.8
19260201 19260228     3.3
19260301 19260331    36.3
19260401 19260430    59.3
19260501 19260531    69.9
19260601 19260630    88.5
19260701 19260731    58.2
19260801 19260831    63.7
19260901 19260930    36.3
19261001 19261031    68.5
19261101 19261130    31.1
19261201 19261231    25.6
19270101 19270131    20.3
19270201 19270228    26.8
19270301 19270331    21.2
19270401 19270430    17.4
19270501 19270531    43.6
19270601 19270630    47.7
19270701 19270731    79.3
19270801 19270831    72.1
19270901 19270930    56.5
19271001 19271031   100.0
19271101 19271130    22.9
19271201 19271231    42.0
19280101 19280131    94.8
19280201 19280229   222.6
19280301 19280331    96.1
19280401 19280430    57.5
19280501 19280531    58.2
19280601 19280630    76.0
19280701 19280731    46.6
19280801 19280831    16.1
19280901 19280930    48.6
19281001 19281031    72.7
19281101 19281130    18.8
19281201 19281231    40.9
19290101 19290131    35.8
19290201 19290228    52.9
19290301 19290331    49.1
19290401 19290430   121.5
19290501 19290531    79.7
19290601 19290630    50.4
19290701 19290731    43.4
19290801 19290831    66.3
19290901 19290930    51.4
19291001 19291031    96.3
19291101 19291130    92.0
19291201 19291231    88.4
19300101 19300131     2.3
19300201 19300228    70.7
19300301 19300331    23.6
19300401 19300430    39.6
19300501 19300531   122.0
19300601 19300630    50.5
19300701 19300731    35.2
19300801 19300831    98.9
19300901 19300930    44.0
19301001 19301031   110.2
19301101 19301130    46.6
19301201 19301231   233.9
19310101 19310131    69.7
19310201 19310228    21.9
19310301 19310331   174.6
19310401 19310430    91.5
19310501 19310531    92.6
19310601 19310630   120.7
19310701 19310731    43.0
19310801 19310831    69.7
19310901 19310930    64.1
19311001 19311031    57.3
19311101 19311130   126.7
19311201 19311231    22.0
19320101 19320131     3.4
19320201 19320229    73.4
19320301 19320331   122.7
19320401 19320430   137.1
19320501 19320531    36.7
19320601 19320630    71.7
19320701 19320731    66.0
19320801 19320831   119.5
19320901 19320930    24.4
19321001 19321031   119.2
19321101 19321130    20.9
19321201 19321231    96.8
19330101 19330131    31.8
19330201 19330228    10.5
19330301 19330331    71.5
19330401 19330430    10.0
19330501 19330531    52.1
19330601 19330630    51.8
19330701 19330731    80.5
19330801 19330831    53.5
19330901 19330930    76.2
19331001 19331031    43.8
19331101 19331130    53.0
19331201 19331231   132.0
19340101 19340131   138.4
19340201 19340228    48.4
19340301 19340331    11.5
19340401 19340430    98.5
19340501 19340531     2.9
19340601 19340630    42.0
19340701 19340731    53.0
19340801 19340831    69.5
19340901 19340930    34.6
19341001 19341031   233.4
19341101 19341130   213.3
19341201 19341231    93.1
19350101 19350131    63.3
19350201 19350228   112.2
19350301 19350331    27.0
19350401 19350430   234.0
19350501 19350531    36.2
19350601 19350630    61.5
19350701 19350731    77.8
19350801 19350831    53.3
19350901 19350930    49.4
19351001 19351031    92.5
19351101 19351130    37.3
19351201 19351231    47.8
19360101 19360131    52.3
19360201 19360229    21.3
19360301 19360331    28.9
19360401 19360430    95.5
19360501 19360531    44.2
19360601 19360630    81.3
19360701 19360731   126.6
19360801 19360831    69.7
19360901 19360930    31.1
19361001 19361031    66.1
19361101 19361130    48.4
19361201 19361231    95.6
19370101 19370131    70.3
19370201 19370228    69.0
19370301 19370331    29.6
19370401 19370430    28.5
