PRCP       012011 19111001 20180131 missing_value=99999.9 BULLFINCH                                 
19440401 19440430     2.5
19440501 19440531    48.0
19440601 19440630    16.3
19440701 19440731    53.8
19440801 19440831    51.6
19440901 19440930     3.1
19441001 19441031     0.0
19441101 19441130     0.8
19441201 19441231     2.1
19450101 19450131     0.0
19450201 19450228     0.5
19450301 19450331     3.6
19450401 19450430     5.6
19450501 19450531    25.9
19450601 19450630    77.9
19450701 19450731    35.1
19450801 19450831    75.7
19450901 19450930    32.3
19451001 19451031     1.3
19451101 19451130     0.0
19451201 19451231     5.6
19460101 19460131    20.3
19460201 19460228    19.3
19460301 19460331     0.8
19460401 19460430     8.2
19460501 19460531    49.3
19460601 19460630    59.0
19460701 19460731    64.4
19460801 19460831    42.6
19460901 19460930     7.1
19461001 19461031     0.0
19461101 19461130    22.0
19461201 19461231     0.0
19470101 19470131     4.4
19470201 19470228     1.8
19470301 19470331    11.4
19470401 19470430    23.9
19470501 19470531    19.3
19470601 19470630    22.3
19470701 19470731    34.2
19470801 19470831     6.1
19470901 19470930    15.0
19471001 19471031    37.6
19471101 19471130     2.5
19471201 19471231    19.1
19480101 19480131     0.0
19480201 19480229    45.4
19480301 19480331     1.6
19480401 19480430    10.9
19480501 19480531     0.0
19480601 19480630    20.8
19480701 19480731    45.7
19480801 19480831    30.3
19480901 19480930    14.9
19481001 19481031     3.0
19481101 19481130     8.9
19481201 19481231    57.2
19490101 19490131     0.0
19490201 19490228    27.9
19490301 19490331     0.5
19490401 19490430     2.1
19490501 19490531     1.3
19490601 19490630    34.9
19490701 19490731    78.1
19490801 19490831    55.6
19490901 19490930    19.8
19491001 19491031    17.1
19491101 19491130    42.1
19491201 19491231     3.8
19500101 19500131     4.7
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    69.6
19500601 19500630    22.1
19500701 19500731    23.5
19500801 19500831    29.0
19500901 19500930    17.2
19501001 19501031    13.1
19501101 19501130     5.1
19501201 19501231     0.0
19510101 19510131    42.8
19510201 19510228    19.9
19510301 19510331     2.8
19510401 19510430    71.3
19510501 19510531    20.7
19510601 19510630    93.3
19510701 19510731    53.2
19510801 19510831    28.5
19510901 19510930    26.9
19511001 19511031     9.7
19511101 19511130     1.8
19511201 19511231    19.0
19520101 19520131    46.7
19520201 19520229    12.7
19520301 19520331     7.1
19520401 19520430     4.0
19520501 19520531    17.1
19520601 19520630    10.1
19520701 19520731    43.6
19520801 19520831     3.7
19520901 19520930    16.1
19521001 19521031    14.8
19521101 19521130     6.7
19521201 19521231     2.6
19530101 19530131     0.0
19530201 19530228     7.6
19530301 19530331   122.1
19530401 19530430    48.2
19530501 19530531    74.5
19530601 19530630    58.9
19530701 19530731    48.6
19530801 19530831    17.3
19530901 19530930     2.1
19531001 19531031    13.8
19531101 19531130     3.3
19531201 19531231     0.8
19540101 19540131     3.3
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     4.3
19540501 19540531    44.4
19540601 19540630     7.6
19540701 19540731    48.6
19540801 19540831    24.8
19540901 19540930    19.5
19541001 19541031     1.8
19541101 19541130     2.8
19541201 19541231     1.3
19550101 19550131    13.5
19550201 19550228    99.1
19550301 19550331    36.4
