PRCP       076063 19121001 20170731 missing_value=99999.9 DANYO                                     
19450201 19450228     8.8
19450301 19450331     1.3
19450401 19450430     0.8
19450501 19450531    33.3
19450601 19450630    46.1
19450701 19450731    23.8
19450801 19450831    26.9
19450901 19450930    27.9
19451001 19451031    38.0
19451101 19451130    24.9
19451201 19451231    23.9
19460101 19460131    26.4
19460201 19460228    85.1
19460301 19460331    30.0
19460401 19460430    10.5
19460501 19460531    16.8
19460601 19460630    29.9
19460701 19460731    32.3
19460801 19460831    26.8
19460901 19460930    10.8
19461001 19461031    11.9
19461101 19461130    26.3
19461201 19461231    35.7
19470101 19470131     0.5
19470201 19470228    63.0
19470301 19470331    47.2
19470401 19470430     9.2
19470501 19470531     3.8
19470601 19470630    21.8
19470701 19470731    35.7
19470801 19470831    55.0
19470901 19470930     3.0
19471001 19471031    47.0
19471101 19471130    22.6
19471201 19471231    31.7
19480101 19480131     0.0
19480201 19480229     3.0
19480301 19480331     0.0
19480401 19480430    45.2
19480501 19480531    13.5
19480601 19480630    34.5
19480701 19480731    23.7
19480801 19480831    20.9
19480901 19480930     5.4
19481001 19481031    74.0
19481101 19481130    21.6
19481201 19481231    12.4
19490101 19490131    10.7
19490201 19490228    16.6
19490301 19490331     4.1
19490401 19490430     0.0
19490501 19490531    37.1
19490601 19490630     4.1
19490701 19490731    13.4
19490801 19490831     4.6
19490901 19490930    39.4
19491001 19491031    60.9
19491101 19491130    34.6
19491201 19491231     0.0
19500101 19500131     0.0
19500201 19500228    81.1
19500301 19500331    66.9
19500401 19500430     5.1
19500501 19500531    43.8
19500601 19500630    16.8
19500701 19500731    18.5
19500801 19500831    35.7
19500901 19500930    32.5
19501001 19501031    23.9
19501101 19501130    15.7
19501201 19501231    12.9
19510101 19510131     0.0
19510201 19510228     1.0
19510301 19510331     0.0
19510401 19510430     4.0
19510501 19510531    31.4
19510601 19510630    68.3
19510701 19510731    39.6
19510801 19510831    50.4
19510901 19510930     8.2
19511001 19511031    39.2
19511101 19511130     0.0
19511201 19511231    18.3
19520101 19520131    84.4
19520201 19520229    10.2
19520301 19520331    23.9
19520401 19520430    11.9
19520501 19520531    43.5
19520601 19520630    43.1
19520701 19520731    17.4
19520801 19520831    23.0
19520901 19520930     8.9
19521001 19521031    19.9
19521101 19521130    45.2
19521201 19521231     6.9
19530101 19530131    15.5
19530201 19530228     0.0
19530301 19530331     0.0
19530401 19530430     7.4
19530501 19530531     6.9
19530601 19530630    40.6
19530701 19530731    31.0
19530801 19530831    31.0
19530901 19530930    18.8
19531001 19531031    36.0
19531101 19531130    32.8
19531201 19531231    14.8
19540101 19540131    21.9
19540201 19540228     0.0
19540301 19540331     1.5
19540401 19540430    88.2
19540501 19540531    21.1
19540601 19540630     9.0
19540701 19540731    20.6
19540801 19540831    35.1
19540901 19540930    12.2
19541001 19541031    39.3
19541101 19541130    39.5
19541201 19541231    43.7
19550101 19550131    28.5
19550201 19550228    80.8
19550301 19550331    50.7
19550401 19550430     0.5
19550501 19550531    51.4
19550601 19550630    77.1
19550701 19550731    16.5
19550801 19550831    36.2
19550901 19550930    46.5
19551001 19551031    21.0
19551101 19551130    27.5
19551201 19551231     9.9
19560101 19560131     0.0
19560201 19560229     2.8
19560301 19560331    55.6
19560401 19560430     9.6
19560501 19560531    94.9
19560601 19560630    32.8
19560701 19560731   100.0
19560801 19560831    22.7
19560901 19560930    32.5
19561001 19561031    64.8
19561101 19561130    31.7
19561201 19561231     0.5
19570101 19570131     0.0
19570201 19570228    26.2
19570301 19570331    13.4
19570401 19570430     4.8
19570501 19570531     6.3
19570601 19570630    35.1
19570701 19570731     1.3
19570801 19570831    24.6
19570901 19570930     3.0
19571001 19571031    15.5
19571101 19571130    10.9
19571201 19571231     1.3
19580101 19580131    21.8
19580201 19580228     0.0
19580301 19580331     6.1
19580401 19580430     7.6
19580501 19580531    24.9
19580601 19580630     3.0
19580701 19580731    35.3
19580801 19580831    45.4
19580901 19580930    19.0
19581001 19581031    38.0
19581101 19581130    46.0
19581201 19581231     0.0
19590101 19590131     3.0
19590201 19590228    36.3
19590301 19590331    26.2
19590401 19590430     2.5
19590501 19590531    23.9
19590601 19590630     1.0
19590701 19590731     6.8
19590801 19590831    16.8
19590901 19590930    20.8
19591001 19591031    41.5
19591101 19591130     9.9
19591201 19591231     4.6
19600101 19600131    26.1
19600201 19600229    28.4
19600301 19600331     0.0
19600401 19600430    39.7
19600501 19600531    54.7
19600601 19600630    24.1
19600701 19600731    49.4
19600801 19600831    22.8
19600901 19600930    48.3
19601001 19601031     6.1
19601101 19601130    44.7
19601201 19601231     2.0
19610101 19610131     0.0
19610201 19610228    13.7
19610301 19610331     7.4
19610401 19610430    92.8
19610501 19610531     4.3
19610601 19610630    22.8
19610701 19610731    47.0
19610801 19610831    21.6
19610901 19610930    37.6
19611001 19611031    12.2
19611101 19611130    57.9
19611201 19611231    26.1
19620101 19620131    22.8
19620201 19620228     0.0
19620301 19620331    11.9
19620401 19620430     3.6
19620501 19620531    32.4
19620601 19620630    22.6
19620701 19620731    13.8
19620801 19620831    34.2
19620901 19620930    31.1
19621001 19621031    26.0
19621101 19621130    11.4
19621201 19621231    73.2
19630101 19630131    43.4
19630201 19630228     2.0
19630301 19630331     5.1
19630401 19630430    18.1
19630501 19630531    69.7
19630601 19630630    46.3
19630701 19630731    48.5
19630801 19630831    39.3
19630901 19630930    44.8
19631001 19631031    18.8
19631101 19631130     9.7
19631201 19631231    29.3
19640101 19640131    13.5
19640201 19640229     2.8
19640301 19640331     0.8
19640401 19640430    30.7
19640501 19640531    17.3
19640601 19640630    10.1
19640701 19640731    35.4
19640801 19640831    15.5
19640901 19640930   104.9
19641001 19641031    46.9
19641101 19641130    17.1
19641201 19641231    34.0
19650101 19650131     0.0
19650201 19650228     0.5
19650301 19650331     4.6
19650401 19650430    17.0
19650501 19650531    30.2
19650601 19650630    19.1
19650701 19650731    43.2
19650801 19650831    51.4
19650901 19650930    22.6
19651001 19651031     1.0
19651101 19651130    40.9
19651201 19651231    12.2
19660101 19660131    34.3
19660201 19660228    31.7
19660301 19660331     2.5
19660401 19660430     3.8
19660501 19660531    28.0
19660601 19660630    12.2
19660701 19660731    64.2
19660801 19660831     7.9
19660901 19660930    24.7
19661001 19661031    48.0
19661101 19661130     9.8
19661201 19661231    95.8
19670101 19670131     2.5
19670201 19670228    30.2
19670301 19670331     0.0
19670401 19670430     0.8
19670501 19670531    17.3
19670601 19670630     7.6
19670701 19670731    18.2
19670801 19670831    24.7
19670901 19670930    19.3
19671001 19671031     6.6
19671101 19671130     0.0
19671201 19671231    10.6
19680101 19680131     5.1
19680201 19680229    13.2
19680301 19680331    36.0
19680401 19680430    24.5
19680501 19680531    53.7
19680601 19680630    36.5
19680701 19680731    34.8
19680801 19680831    49.6
19680901 19680930    14.4
19681001 19681031    40.6
19681101 19681130    18.3
19681201 19681231    21.8
19690101 19690131     0.0
19690201 19690228   117.3
19690301 19690331    51.1
19690401 19690430     4.3
19690501 19690531    50.3
19690601 19690630     7.6
19690701 19690731    41.8
19690801 19690831    16.5
19690901 19690930    17.7
19691001 19691031     5.8
19691101 19691130    35.9
19691201 19691231     9.3
19700101 19700131    16.7
19700201 19700228     3.0
19700301 19700331     5.6
19700401 19700430    84.0
19700501 19700531     8.8
19700601 19700630    26.2
19700701 19700731     1.5
19700801 19700831    39.4
19700901 19700930    40.6
19701001 19701031    10.9
19701101 19701130    61.3
19701201 19701231    10.4
19710101 19710131     1.0
19710201 19710228     8.6
19710301 19710331    32.8
19710401 19710430    77.6
19710501 19710531    36.3
19710601 19710630    28.2
19710701 19710731    14.7
19710801 19710831    29.5
19710901 19710930    37.3
19711001 19711031    10.1
19711101 19711130    40.3
19711201 19711231    11.2
19720101 19720131    21.8
19720201 19720229    22.2
19720301 19720331     0.0
19720401 19720430    19.8
19720501 19720531    12.1
19720601 19720630     4.0
19720701 19720731    13.5
19720801 19720831    35.6
19720901 19720930    11.2
19721001 19721031    11.5
19721101 19721130    27.2
19721201 19721231     9.1
19730101 19730131     5.6
19730201 19730228    89.7
19730301 19730331    24.3
19730401 19730430    45.4
19730501 19730531    29.6
19730601 19730630    43.0
19730701 19730731    40.1
19730801 19730831    51.1
19730901 19730930    31.0
19731001 19731031   108.2
19731101 19731130    28.4
19731201 19731231    39.6
19740101 19740131    90.6
19740201 19740228    23.2
19740301 19740331    38.0
19740401 19740430    89.2
19740501 19740531    27.6
19740601 19740630    13.0
19740701 19740731    33.4
19740801 19740831    23.9
19740901 19740930    56.0
19741001 19741031    58.4
19741101 19741130    15.2
19741201 19741231     7.0
19750101 19750131     0.0
19750201 19750228     0.0
19750301 19750331     9.2
19750401 19750430     7.2
19750501 19750531    14.2
19750601 19750630     4.8
19750701 19750731    27.4
19750801 19750831    13.2
19750901 19750930    75.4
19751001 19751031   113.6
19751101 19751130    12.3
19751201 19751231    24.5
19760101 19760131     6.2
19760201 19760229    19.1
19760301 19760331     1.2
19760401 19760430    22.8
19760501 19760531     8.8
19760601 19760630    15.0
19760701 19760731    47.4
19760801 19760831    15.0
19760901 19760930    34.4
19761001 19761031    51.4
19761101 19761130    27.0
19761201 19761231     8.0
19770101 19770131    19.8
19770201 19770228     2.0
19770301 19770331     8.2
19770401 19770430     0.0
19770501 19770531    30.2
19770601 19770630    31.4
19770701 19770731     5.4
19770801 19770831     3.0
19770901 19770930     5.0
19771001 19771031    16.6
19771101 19771130    28.2
19771201 19771231     8.6
19780101 19780131    20.0
19780201 19780228     4.8
19780301 19780331    31.2
19780401 19780430    10.2
19780501 19780531    23.7
19780601 19780630    47.1
19780701 19780731    86.9
19780801 19780831    58.8
19780901 19780930    32.8
19781001 19781031    38.2
19781101 19781130    52.2
19781201 19781231     1.1
19790101 19790131    71.0
19790201 19790228    44.0
19790301 19790331     9.6
19790401 19790430    25.2
19790501 19790531    63.9
19790601 19790630    11.0
19790701 19790731     4.6
19790801 19790831    27.2
19790901 19790930    56.5
19791001 19791031    40.0
19791101 19791130    31.0
19791201 19791231     2.6
19800101 19800131     0.0
19800201 19800229     0.0
19800301 19800331     0.0
19800401 19800430    39.0
19800501 19800531    15.2
19800601 19800630    46.6
19800701 19800731    32.0
19800801 19800831    13.0
19800901 19800930     4.0
19801001 19801031    48.6
19801101 19801130     6.2
19801201 19801231     2.0
19810101 19810131     4.2
19810201 19810228    34.8
19810301 19810331     0.0
19810401 19810430     0.0
19810501 19810531    32.4
19810601 19810630    64.6
19810701 19810731    59.1
19810801 19810831    49.8
19810901 19810930    13.4
19811001 19811031    36.4
19811101 19811130    33.0
19811201 19811231     4.6
19820101 19820131    12.2
19820201 19820228    18.2
19820301 19820331    16.3
19820401 19820430    12.6
19820501 19820531    11.2
19820601 19820630    22.2
19820701 19820731     0.0
19820801 19820831    11.8
19820901 19820930     5.8
19821001 19821031     5.8
19821101 19821130     0.6
19821201 19821231     1.0
19830101 19830131     0.6
19830201 19830228     5.0
19830301 19830331    91.6
19830401 19830430    24.8
19830501 19830531    29.6
19830601 19830630     9.8
19830701 19830731    33.0
19830801 19830831    39.6
19830901 19830930    38.4
19831001 19831031    21.6
19831101 19831130    30.6
19831201 19831231    45.7
19840101 19840131    55.2
19840201 19840229     3.4
19840301 19840331    30.0
19840401 19840430     1.8
19840501 19840531    14.6
19840601 19840630     3.2
19840701 19840731    23.6
19840801 19840831    52.4
19840901 19840930    13.0
19841001 19841031     6.8
19841101 19841130    40.2
19841201 19841231     3.0
19850101 19850131    10.4
19850201 19850228     0.0
19850301 19850331     7.8
19850401 19850430     9.0
19850501 19850531    24.6
19850601 19850630    15.0
19850701 19850731     4.8
19850801 19850831    53.4
19850901 19850930     8.8
19851001 19851031    56.3
19851101 19851130    15.4
19851201 19851231    30.9
19860101 19860131     0.0
19860201 19860228     0.0
19860301 19860331     0.0
19860401 19860430    16.3
19860501 19860531    16.8
19860601 19860630     9.8
19860701 19860731    48.8
19860801 19860831    67.8
19860901 19860930    36.4
19861001 19861031    46.0
19861101 19861130     0.0
19861201 19861231    33.0
19870101 19870131    21.2
19870201 19870228    59.1
19870301 19870331    19.0
19870401 19870430    17.0
19870501 19870531    27.6
19870601 19870630    55.0
19870701 19870731    24.2
19870801 19870831    22.1
19870901 19870930     0.0
19871001 19871031    39.7
19871101 19871130     0.0
19871201 19871231    63.2
19880101 19880131    23.8
19880201 19880229    10.8
19880301 19880331     4.0
19880401 19880430     6.0
19880501 19880531    59.3
19880601 19880630    28.6
19880701 19880731    18.7
19880801 19880831     8.1
19880901 19880930    35.7
19881001 19881031    16.0
19881101 19881130    62.0
19881201 19881231    11.6
19890101 19890131     3.8
19890201 19890228     2.0
19890301 19890331    32.0
19890401 19890430     5.8
19890501 19890531    37.0
19890601 19890630    36.7
19890701 19890731    37.6
19890801 19890831    30.0
19890901 19890930    17.0
19891001 19891031     2.8
19891101 19891130     4.4
19891201 19891231     1.8
19900101 19900131    11.8
19900201 19900228    31.0
19900301 19900331     6.0
19900401 19900430    15.8
19900501 19900531    13.4
19900601 19900630    24.7
19900701 19900731    32.7
19900801 19900831    40.5
19900901 19900930    22.6
19901001 19901031     3.6
19901101 19901130    14.6
19901201 19901231     6.0
19910101 19910131    26.0
19910201 19910228     0.0
19910301 19910331     4.0
19910401 19910430    15.4
19910501 19910531     0.0
19910601 19910630    56.6
19910701 19910731    62.4
19910801 19910831    43.1
19910901 19910930    25.4
19911001 19911031     0.0
19911101 19911130    16.6
19911201 19911231     0.0
19920101 19920131     5.0
19920201 19920229    21.6
19920301 19920331     0.0
19920401 19920430    32.3
19920501 19920531    72.8
19920601 19920630     9.8
19920701 19920731    12.2
19920801 19920831    57.5
19920901 19920930    81.9
19921001 19921031    57.2
19921101 19921130    37.6
19921201 19921231    65.4
19930101 19930131    43.9
19930201 19930228     6.8
19930301 19930331    20.4
19930401 19930430     0.0
19930501 19930531    14.1
19930601 19930630    10.5
19930701 19930731    47.7
19930801 19930831    12.0
19930901 19930930    77.1
19931001 19931031    31.8
19931101 19931130    41.8
19931201 19931231    26.9
19940101 19940131     5.0
19940201 19940228    18.8
19940301 19940331     0.0
19940401 19940430     0.0
19940501 19940531     4.4
19940601 19940630    57.5
19940701 19940731    21.3
19940801 19940831     5.4
19940901 19940930    16.2
19941001 19941031     5.6
19941101 19941130    13.0
19941201 19941231     0.0
19950101 19950131    23.4
19950201 19950228    33.6
19950301 19950331     0.0
19950401 19950430    15.0
19950501 19950531    57.2
19950601 19950630    48.7
19950701 19950731    71.2
19950801 19950831     8.0
19950901 19950930    17.8
19951001 19951031    48.6
19951101 19951130     2.6
19951201 19951231     8.4
19960101 19960131    23.8
19960201 19960229    18.2
19960301 19960331    49.4
19960401 19960430     6.4
19960501 19960531     6.4
19960601 19960630    44.7
19960701 19960731    50.2
19960801 19960831    41.6
19960901 19960930    37.5
19961001 19961031    13.3
19961101 19961130     0.0
19961201 19961231    16.2
19970101 19970131    38.8
19970201 19970228    15.8
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    23.8
19970601 19970630    12.0
19970701 19970731     8.2
19970801 19970831    25.2
19970901 19970930    51.5
19971001 19971031    27.0
19971101 19971130    14.0
19971201 19971231    14.6
19980101 19980131     4.0
19980201 19980228    48.0
19980301 19980331     5.6
19980401 19980430    39.9
19980501 19980531     6.5
19980601 19980630    18.4
19980701 19980731    34.8
19980801 19980831    10.6
19980901 19980930    32.8
19981001 19981031    26.9
19981101 19981130    84.6
19981201 19981231    12.6
19990101 19990131    11.5
19990201 19990228    14.5
19990301 19990331    26.0
19990401 19990430     0.0
19990501 19990531    38.0
19990601 19990630    30.3
19990701 19990731    42.5
19990801 19990831     0.0
19990901 19990930     8.5
19991001 19991031    25.5
19991101 19991130    36.9
19991201 19991231    42.3
20000101 20000131     2.5
20000201 20000229   117.8
20000301 20000331     8.0
20000401 20000430    61.8
20000501 20000531    17.8
20000601 20000630     1.6
20000701 20000731    39.4
20000801 20000831    32.7
20000901 20000930    38.4
20001001 20001031    37.4
20001101 20001130    55.7
20001201 20001231    27.0
20010101 20010131     0.0
20010201 20010228     7.5
20010301 20010331     8.0
20010401 20010430     5.6
20010501 20010531    16.8
20010601 20010630    32.0
20010701 20010731    23.4
20010801 20010831    22.9
20010901 20010930    35.4
20011001 20011031    41.6
20011101 20011130    13.6
20011201 20011231     0.0
20020101 20020131    13.8
20020201 20020228    17.0
20020301 20020331     2.8
20020401 20020430     9.6
20020501 20020531    24.0
20020601 20020630    28.8
20020701 20020731    14.4
20020801 20020831    14.0
20020901 20020930    16.4
20021001 20021031     5.6
20021101 20021130    20.4
20021201 20021231     8.4
