PRCP       010123 19100101 20171231 missing_value=99999.9 THE GRANITES                              
19491001 19491031    15.6
19491101 19491130    44.2
19491201 19491231     0.0
19500101 19500131     3.5
19500201 19500228     0.0
19500301 19500331     0.0
19500401 19500430     0.0
19500501 19500531    66.5
19500601 19500630    28.9
19500701 19500731    37.2
19500801 19500831    19.7
19500901 19500930    20.1
19501001 19501031    17.9
19501101 19501130     6.6
19501201 19501231     1.5
19510101 19510131     4.4
19510201 19510228    70.9
19510301 19510331    10.0
19510401 19510430    80.7
19510501 19510531     8.9
19510601 19510630    69.2
19510701 19510731    28.2
19510801 19510831    29.2
19510901 19510930     5.4
19511001 19511031     9.6
19511101 19511130     6.2
19511201 19511231    22.4
19520101 19520131     5.3
19520201 19520229     0.0
19520301 19520331     8.6
19520401 19520430     6.9
19520501 19520531    15.3
19520601 19520630    28.6
19520701 19520731    60.7
19520801 19520831    10.5
19520901 19520930    27.4
19521001 19521031    18.4
19521101 19521130     3.8
19521201 19521231    45.5
19530101 19530131     0.0
19530201 19530228     6.6
19530301 19530331    81.4
19530401 19530430    46.1
19530501 19530531    79.4
19530601 19530630    60.7
19530701 19530731    29.4
19530801 19530831    36.1
19530901 19530930     9.5
19531001 19531031    23.6
19531101 19531130     5.1
19531201 19531231     0.0
19540101 19540131     0.0
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430     6.6
19540501 19540531    59.9
19540601 19540630    26.9
19540701 19540731    44.5
19540801 19540831    25.0
19540901 19540930    11.1
19541001 19541031     7.0
19541101 19541130     8.9
19541201 19541231     7.9
19550101 19550131     6.1
19550201 19550228   157.8
19550301 19550331    97.3
19550401 19550430    24.9
19550501 19550531    31.7
19550601 19550630    21.0
19550701 19550731    27.5
19550801 19550831    75.9
19550901 19550930    29.0
19551001 19551031    30.0
19551101 19551130     0.0
19551201 19551231     3.6
19560101 19560131     0.0
19560201 19560229     2.3
19560301 19560331     0.0
19560401 19560430    10.8
19560501 19560531    51.5
19560601 19560630    50.1
19560701 19560731    59.6
19560801 19560831     0.0
19560901 19560930    14.2
19561001 19561031    31.3
19561101 19561130    45.0
19561201 19561231     0.0
19570101 19570131    25.0
19570201 19570228     0.8
19570301 19570331     9.6
19570401 19570430    10.4
19570501 19570531    35.0
19570601 19570630    97.7
19570701 19570731     9.9
19570801 19570831    26.8
19570901 19570930     7.9
19571001 19571031    13.3
19571101 19571130     0.3
19571201 19571231     0.0
19580101 19580131     0.0
19580201 19580228     6.6
19580301 19580331     6.6
19580401 19580430     6.6
19580501 19580531    62.8
19580601 19580630    26.9
