PRCP       069006 18960401 20180131 missing_value=99999.9 BETTOWYND (CONDRY)                        
19650401 19650430    17.1
19650501 19650531     2.1
19650601 19650630    33.0
19650701 19650731    20.2
19650801 19650831     9.7
19650901 19650930    75.7
19651001 19651031   133.7
19651101 19651130    14.1
19651201 19651231    65.0
19660101 19660131    34.6
19660201 19660228    86.4
19660301 19660331    49.3
19660401 19660430     1.6
19660501 19660531    13.9
19660601 19660630    71.4
19660701 19660731    31.2
19660801 19660831    31.9
19660901 19660930    84.9
19661001 19661031    84.4
19661101 19661130   279.8
19661201 19661231    99.6
19670101 19670131    78.7
19670201 19670228    10.9
19670301 19670331    38.9
19670401 19670430    23.1
19670501 19670531    28.5
19670601 19670630    62.4
19670701 19670731    17.4
19670801 19670831   143.3
19670901 19670930   109.2
19671001 19671031    51.3
19671101 19671130    21.3
19671201 19671231     7.4
19680101 19680131    59.9
19680201 19680229     2.6
19680301 19680331    51.4
19680401 19680430     7.1
19680501 19680531   131.5
19680601 19680630    14.5
19680701 19680731    17.3
19680801 19680831    13.3
19680901 19680930     0.6
19681001 19681031    21.4
19681101 19681130    28.0
19681201 19681231   135.8
19690101 19690131    37.2
19690201 19690228   107.9
19690301 19690331    67.4
19690401 19690430   160.6
19690501 19690531    48.8
19690601 19690630    75.0
19690701 19690731    14.1
19690801 19690831    91.9
19690901 19690930    10.2
19691001 19691031   135.6
19691101 19691130   170.9
19691201 19691231    41.4
19700101 19700131    73.2
19700201 19700228    46.9
19700301 19700331    96.7
19700401 19700430    37.1
19700501 19700531    58.6
19700601 19700630    19.7
19700701 19700731     0.0
19700801 19700831    25.1
19700901 19700930    94.6
19701001 19701031    55.8
19701101 19701130    99.7
19701201 19701231   164.6
19710101 19710131    65.1
19710201 19710228   262.3
19710301 19710331    36.4
19710401 19710430    24.5
19710501 19710531    20.1
19710601 19710630     1.8
19710701 19710731     8.6
19710801 19710831    34.6
19710901 19710930    21.3
19711001 19711031    26.4
19711101 19711130    63.3
19711201 19711231    51.5
19720101 19720131   229.9
19720201 19720229    90.2
19720301 19720331    64.5
19720401 19720430    36.6
