PRCP       002019 19131201 20170831 missing_value=99999.9 MARGARET RIVER                            
19471001 19471031    21.8
19471101 19471130    19.1
19471201 19471231    26.6
19480101 19480131    13.4
19480201 19480229   191.7
19480301 19480331    21.3
19480401 19480430    43.4
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731    32.3
19480801 19480831     0.0
19480901 19480930     0.0
19481001 19481031     0.0
19481101 19481130     0.0
19481201 19481231    33.0
19490101 19490131    62.9
19490201 19490228   223.7
19490301 19490331     5.4
19490401 19490430     0.0
19490501 19490531    86.3
19490601 19490630     0.0
19490701 19490731     0.0
19490801 19490831     0.0
19490901 19490930     0.0
19491001 19491031     0.0
19491101 19491130     0.0
19491201 19491231   107.1
19500101 19500131    30.7
19500201 19500228    91.7
19500301 19500331    17.8
19500401 19500430     0.0
19500501 19500531     8.9
19500601 19500630     0.0
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930    25.9
19501001 19501031   102.9
19501101 19501130   100.3
19501201 19501231    94.0
19510101 19510131    79.2
19510201 19510228   173.0
19510301 19510331     0.0
19510401 19510430    21.3
19510501 19510531     0.0
19510601 19510630    50.8
19510701 19510731     0.0
19510801 19510831     0.0
19510901 19510930     0.0
19511001 19511031     0.0
19511101 19511130     0.0
19511201 19511231    36.8
19520101 19520131    74.2
19520201 19520229    35.6
19520301 19520331     0.0
19520401 19520430     0.0
19520501 19520531     2.5
19520601 19520630     0.0
19520701 19520731     0.0
19520801 19520831     0.0
19520901 19520930     0.0
19521001 19521031    19.1
19521101 19521130     0.0
19521201 19521231   123.2
19530101 19530131   168.1
19530201 19530228    39.5
19530301 19530331     3.8
19530401 19530430    59.7
19530501 19530531     0.0
19530601 19530630     1.5
19530701 19530731     1.5
19530801 19530831     1.3
19530901 19530930     0.0
19531001 19531031     0.0
19531101 19531130    37.6
19531201 19531231   124.3
19540101 19540131    60.5
19540201 19540228    18.3
19540301 19540331     7.1
19540401 19540430   231.3
19540501 19540531     0.8
19540601 19540630     0.0
19540701 19540731     0.0
19540801 19540831     0.0
19540901 19540930     0.0
19541001 19541031     5.5
19541101 19541130    15.8
19541201 19541231    25.7
19550101 19550131    88.5
19550201 19550228   121.4
19550301 19550331    51.0
19550401 19550430    44.5
19550501 19550531    16.3
19550601 19550630    10.7
19550701 19550731    33.0
19550801 19550831     7.1
19550901 19550930     0.0
19551001 19551031     0.0
19551101 19551130    70.9
19551201 19551231    17.7
19560101 19560131    25.0
19560201 19560229   354.8
19560301 19560331    15.5
19560401 19560430    20.3
19560501 19560531   146.3
19560601 19560630    14.0
19560701 19560731    47.0
19560801 19560831     0.0
19560901 19560930     0.0
19561001 19561031     0.0
19561101 19561130    16.5
19561201 19561231     5.3
19570101 19570131    18.5
19570201 19570228   152.9
19570301 19570331    18.4
19570401 19570430     0.0
19570501 19570531    24.1
19570601 19570630   159.1
19570701 19570731    27.2
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031    23.4
19571101 19571130     0.0
19571201 19571231   128.5
19580101 19580131    27.4
19580201 19580228    20.4
19580301 19580331    41.2
19580401 19580430    17.3
19580501 19580531     0.0
19580601 19580630     2.3
19580701 19580731     8.6
19580801 19580831     0.0
19580901 19580930     0.0
19581001 19581031     0.0
19581101 19581130    72.5
19581201 19581231    12.4
19590101 19590131   121.5
19590201 19590228    13.5
19590301 19590331    59.5
19590401 19590430    48.0
19590501 19590531    83.1
19590601 19590630     0.0
19590701 19590731     1.5
19590801 19590831     0.0
19590901 19590930     0.0
