PRCP       097091 19070101 20180131 missing_value=99999.9 SOUTH QUEENSTOWN                          
19470601 19470630   553.1
19470701 19470731   283.9
19470801 19470831   336.2
19470901 19470930   287.7
19471001 19471031   353.9
19471101 19471130   156.8
19471201 19471231   162.0
19480101 19480131    33.0
19480201 19480229   112.9
19480301 19480331   290.2
19480401 19480430   151.9
19480501 19480531   556.4
19480601 19480630   385.0
19480701 19480731   318.0
19480801 19480831   337.9
19480901 19480930   297.0
19481001 19481031   326.3
19481101 19481130   231.4
19481201 19481231   252.9
19490101 19490131   139.1
19490201 19490228   227.5
19490301 19490331   101.1
19490401 19490430   171.5
19490501 19490531   166.1
19490601 19490630   103.4
19490701 19490731   252.3
19490801 19490831   279.3
19490901 19490930   155.1
19491001 19491031   216.4
19491101 19491130   222.3
19491201 19491231   220.3
19500101 19500131   199.2
19500201 19500228    46.9
19500301 19500331   115.3
19500401 19500430   121.4
19500501 19500531   119.0
19500601 19500630    69.3
19500701 19500731   165.6
19500801 19500831   162.3
19500901 19500930   208.0
19501001 19501031   197.9
19501101 19501130   168.3
19501201 19501231   179.1
19510101 19510131    48.4
19510201 19510228    87.3
19510301 19510331   201.7
19510401 19510430   340.1
19510501 19510531   308.1
19510601 19510630    36.8
19510701 19510731   415.1
19510801 19510831   221.3
19510901 19510930    85.2
19511001 19511031   187.2
19511101 19511130   259.9
19511201 19511231   182.6
19520101 19520131   230.5
19520201 19520229   114.7
19520301 19520331    90.6
19520401 19520430   241.7
19520501 19520531   255.0
19520601 19520630   530.1
19520701 19520731   247.8
19520801 19520831   185.1
19520901 19520930   324.6
19521001 19521031   217.2
19521101 19521130   257.2
19521201 19521231   133.7
19530101 19530131    84.1
19530201 19530228   115.3
19530301 19530331    92.7
19530401 19530430   452.9
19530501 19530531   271.9
19530601 19530630   292.0
19530701 19530731   350.9
19530801 19530831   273.0
19530901 19530930   345.2
19531001 19531031   160.2
19531101 19531130   267.6
19531201 19531231   245.3
19540101 19540131    38.2
19540201 19540228   148.9
19540301 19540331   254.5
19540401 19540430   234.6
19540501 19540531   335.3
19540601 19540630   229.0
19540701 19540731   208.8
19540801 19540831   305.7
19540901 19540930   163.6
19541001 19541031   159.2
19541101 19541130   155.6
19541201 19541231   115.0
19550101 19550131   157.7
19550201 19550228    62.2
19550301 19550331    72.4
19550401 19550430   199.9
19550501 19550531   278.1
19550601 19550630   115.3
19550701 19550731   323.1
