PRCP       043035 18810101 20180131 missing_value=99999.9 SURAT POST OFFICE                         
19140201 19140228   264.9
19140301 19140331    64.0
19140401 19140430    27.0
19140501 19140531    40.2
19140601 19140630    67.1
19140701 19140731    38.8
19140801 19140831     0.0
19140901 19140930     7.6
19141001 19141031    28.5
19141101 19141130   108.3
19141201 19141231    76.4
19150101 19150131    17.3
19150201 19150228     1.8
19150301 19150331     2.8
19150401 19150430     6.8
19150501 19150531    38.1
19150601 19150630     7.7
19150701 19150731    24.3
19150801 19150831    32.3
19150901 19150930     7.6
19151001 19151031     2.5
19151101 19151130     6.9
19151201 19151231    18.4
19160101 19160131    44.1
19160201 19160229    71.6
19160301 19160331    31.8
19160401 19160430    11.0
19160501 19160531     0.0
19160601 19160630    74.9
19160701 19160731    59.7
19160801 19160831    24.7
19160901 19160930    18.3
19161001 19161031    58.2
19161101 19161130   136.6
19161201 19161231   107.8
19170101 19170131   127.6
19170201 19170228   232.4
19170301 19170331   115.5
19170401 19170430     2.5
19170501 19170531    11.4
19170601 19170630    15.5
19170701 19170731     6.1
19170801 19170831    43.5
19170901 19170930   149.0
19171001 19171031    53.8
19171101 19171130    60.4
19171201 19171231   115.5
19180101 19180131   144.6
19180201 19180228     4.3
19180301 19180331     2.5
19180401 19180430    84.9
19180501 19180531     0.8
19180601 19180630     2.3
19180701 19180731     2.3
19180801 19180831    33.0
19180901 19180930     4.8
19181001 19181031    21.6
19181101 19181130    21.4
19181201 19181231    48.7
19190101 19190131     1.3
19190201 19190228    76.9
19190301 19190331    77.4
19190401 19190430    29.9
19190501 19190531    70.2
19190601 19190630     7.4
19190701 19190731     5.1
19190801 19190831    13.7
19190901 19190930     0.3
19191001 19191031     9.5
19191101 19191130     6.8
19191201 19191231    66.9
19200101 19200131    34.0
19200201 19200229   102.6
19200301 19200331     6.6
19200401 19200430     6.8
19200501 19200531    29.2
19200601 19200630   109.2
19200701 19200731   152.7
19200801 19200831    24.9
19200901 19200930    58.8
19201001 19201031    44.6
19201101 19201130    20.6
19201201 19201231   104.7
19210101 19210131    24.2
19210201 19210228    21.5
19210301 19210331    59.2
19210401 19210430     1.0
19210501 19210531    59.8
19210601 19210630   117.1
19210701 19210731   190.6
19210801 19210831    15.1
19210901 19210930    23.5
19211001 19211031    18.7
19211101 19211130    26.9
19211201 19211231   250.3
19220101 19220131    60.4
19220201 19220228    17.8
19220301 19220331    26.4
19220401 19220430     0.0
19220501 19220531     0.0
19220601 19220630    80.5
19220701 19220731    39.9
19220801 19220831     0.0
19220901 19220930     8.6
19221001 19221031    60.2
19221101 19221130     6.7
19221201 19221231   155.4
19230101 19230131    65.5
19230201 19230228     7.4
19230301 19230331    12.5
19230401 19230430    26.4
19230501 19230531     3.4
19230601 19230630    69.5
19230701 19230731    33.8
19230801 19230831     0.6
19230901 19230930    44.0
19231001 19231031    10.3
19231101 19231130     8.6
19231201 19231231   144.7
19240101 19240131    56.1
19240201 19240229   154.7
19240301 19240331   134.6
19240401 19240430    58.7
19240501 19240531     0.0
19240601 19240630     3.0
19240701 19240731   123.4
19240801 19240831    82.3
19240901 19240930    68.1
19241001 19241031   106.2
19241101 19241130   251.5
19241201 19241231    80.3
19250101 19250131    90.2
19250201 19250228    14.5
19250301 19250331    35.9
19250401 19250430     0.0
19250501 19250531    32.0
19250601 19250630    26.5
19250701 19250731    20.9
19250801 19250831    56.2
19250901 19250930     1.3
19251001 19251031     5.3
19251101 19251130    71.9
19251201 19251231    79.4
19260101 19260131    91.2
19260201 19260228    27.9
19260301 19260331    16.0
19260401 19260430    30.4
19260501 19260531   133.4
19260601 19260630    24.6
19260701 19260731    13.4
19260801 19260831     8.1
19260901 19260930    44.9
19261001 19261031    14.2
19261101 19261130    12.7
19261201 19261231    96.5
19270101 19270131    41.2
19270201 19270228    30.6
19270301 19270331    77.8
19270401 19270430    39.1
19270501 19270531     0.5
19270601 19270630    37.6
19270701 19270731     0.5
19270801 19270831     1.5
19270901 19270930     3.0
19271001 19271031    57.1
19271101 19271130    74.6
19271201 19271231   121.4
19280101 19280131    14.1
19280201 19280229   135.3
19280301 19280331    10.7
19280401 19280430   106.0
19280501 19280531    20.3
19280601 19280630    64.8
19280701 19280731    19.6
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031    10.4
19281101 19281130    29.3
19281201 19281231    42.8
19290101 19290131    27.1
19290201 19290228    64.8
19290301 19290331    82.4
19290401 19290430   113.4
19290501 19290531     0.0
19290601 19290630    28.0
19290701 19290731     9.4
19290801 19290831     8.6
19290901 19290930     2.5
19291001 19291031    31.8
19291101 19291130    34.1
19291201 19291231    50.8
19300101 19300131     7.9
19300201 19300228     9.5
19300301 19300331    54.9
19300401 19300430    17.8
19300501 19300531    52.5
19300601 19300630    40.7
19300701 19300731    54.5
19300801 19300831    36.1
19300901 19300930    10.4
19301001 19301031    76.3
19301101 19301130    22.0
19301201 19301231    11.7
19310101 19310131    11.7
19310201 19310228     6.6
19310301 19310331   106.9
19310401 19310430    25.9
19310501 19310531    41.4
19310601 19310630    26.2
19310701 19310731    24.9
19310801 19310831     3.3
19310901 19310930    11.9
19311001 19311031    25.7
19311101 19311130    78.1
19311201 19311231    73.0
19320101 19320131     5.1
19320201 19320229     0.0
19320301 19320331    19.9
19320401 19320430    51.0
19320501 19320531    24.2
19320601 19320630    21.2
19320701 19320731     9.1
19320801 19320831     1.3
19320901 19320930    37.1
19321001 19321031    46.5
19321101 19321130    71.3
19321201 19321231    51.8
