PRCP       016033 18860701 20141231 missing_value=99999.9 OAKDEN HILLS                              
19430901 19430930     5.1
19431001 19431031     5.5
19431101 19431130     2.5
19431201 19431231     0.0
19440101 19440131     5.3
19440201 19440229    24.9
19440301 19440331     0.0
19440401 19440430    16.5
19440501 19440531    11.1
19440601 19440630     2.0
19440701 19440731     3.0
19440801 19440831     5.9
19440901 19440930    11.4
19441001 19441031     0.0
19441101 19441130     8.4
19441201 19441231    40.7
19450101 19450131    15.0
19450201 19450228     0.0
19450301 19450331     5.6
19450401 19450430     0.0
19450501 19450531     8.6
19450601 19450630    42.1
19450701 19450731    12.7
19450801 19450831     2.5
19450901 19450930    14.7
19451001 19451031    17.1
19451101 19451130    13.5
19451201 19451231    54.3
19460101 19460131    41.3
19460201 19460228   181.1
19460301 19460331     0.0
19460401 19460430     9.1
19460501 19460531     0.0
19460601 19460630    17.8
19460701 19460731    11.0
19460801 19460831     5.9
19460901 19460930    21.3
19461001 19461031     0.0
19461101 19461130    40.1
19461201 19461231    42.9
19470101 19470131     3.0
19470201 19470228    25.4
19470301 19470331    33.3
19470401 19470430     6.4
19470501 19470531     0.0
19470601 19470630    19.1
19470701 19470731    10.2
19470801 19470831    14.0
19470901 19470930    21.8
19471001 19471031    67.0
19471101 19471130     5.8
19471201 19471231     4.0
19480101 19480131     0.0
19480201 19480229     0.0
19480301 19480331     0.0
19480401 19480430     3.8
19480501 19480531     0.0
19480601 19480630     0.0
19480701 19480731     4.3
19480801 19480831     4.3
19480901 19480930     0.0
19481001 19481031     7.8
19481101 19481130     3.8
19481201 19481231    53.1
19490101 19490131     0.0
19490201 19490228    37.4
19490301 19490331     0.0
19490401 19490430     1.3
19490501 19490531    50.3
19490601 19490630     0.0
19490701 19490731    11.1
19490801 19490831     0.0
19490901 19490930    42.4
19491001 19491031    43.7
19491101 19491130     7.6
19491201 19491231     5.6
19500101 19500131     1.5
19500201 19500228    60.0
19500301 19500331    17.5
19500401 19500430     0.0
19500501 19500531    53.4
19500601 19500630     6.6
19500701 19500731     0.0
19500801 19500831     0.0
19500901 19500930     0.0
19501001 19501031     8.2
19501101 19501130    51.8
19501201 19501231     9.1
19510101 19510131     2.5
19510201 19510228     0.0
19510301 19510331     5.2
19510401 19510430     6.6
19510501 19510531     0.0
19510601 19510630    70.5
19510701 19510731    30.5
19510801 19510831     2.7
19510901 19510930     7.4
19511001 19511031     0.0
19511101 19511130     2.7
19511201 19511231    13.7
19520101 19520131    17.3
19520201 19520229     0.0
19520301 19520331     6.4
19520401 19520430    15.8
19520501 19520531    27.4
19520601 19520630     0.0
19520701 19520731     1.0
19520801 19520831    11.5
19520901 19520930    16.1
19521001 19521031    26.4
19521101 19521130    17.9
19521201 19521231     0.0
19530101 19530131    12.7
19530201 19530228    38.6
19530301 19530331     0.0
19530401 19530430     0.0
19530501 19530531     0.0
19530601 19530630    11.1
19530701 19530731     0.0
19530801 19530831    13.7
19530901 19530930     4.6
19531001 19531031     8.9
19531101 19531130     1.3
19531201 19531231    14.0
19540101 19540131    20.3
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    58.5
19540501 19540531     0.0
19540601 19540630    17.0
19540701 19540731     5.6
19540801 19540831    16.0
19540901 19540930     0.0
19541001 19541031    16.3
19541101 19541130     8.4
19541201 19541231    10.6
19550101 19550131     0.0
19550201 19550228    17.2
19550301 19550331    37.2
19550401 19550430    14.0
19550501 19550531    31.7
19550601 19550630    14.0
19550701 19550731    19.3
19550801 19550831    42.7
19550901 19550930    15.5
19551001 19551031     0.0
19551101 19551130    25.1
19551201 19551231     0.0
19560101 19560131     0.0
19560201 19560229    10.2
19560301 19560331     0.0
19560401 19560430     0.0
19560501 19560531    23.3
19560601 19560630    24.4
19560701 19560731    60.5
19560801 19560831     5.8
19560901 19560930     4.3
19561001 19561031    38.9
19561101 19561130     5.8
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228     0.0
19570301 19570331     1.0
19570401 19570430     2.8
19570501 19570531     0.0
19570601 19570630     7.6
19570701 19570731     4.4
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     9.7
19571101 19571130     0.0
19571201 19571231    21.1
19580101 19580131     1.5
19580201 19580228     0.0
19580301 19580331    85.3
19580401 19580430     8.9
19580501 19580531    22.1
19580601 19580630     0.0
19580701 19580731    27.5
19580801 19580831    48.5
19580901 19580930    17.0
19581001 19581031    25.6
19581101 19581130    18.8
19581201 19581231     2.3
19590101 19590131     5.1
19590201 19590228     9.2
19590301 19590331    34.3
19590401 19590430     0.0
19590501 19590531     8.9
19590601 19590630     4.8
19590701 19590731    20.0
19590801 19590831     3.3
19590901 19590930     0.8
19591001 19591031     1.8
19591101 19591130    10.9
19591201 19591231     6.0
19600101 19600131    20.8
19600201 19600229    18.0
19600301 19600331     0.0
19600401 19600430     9.1
19600501 19600531    12.9
19600601 19600630     6.4
19600701 19600731    15.7
19600801 19600831    11.4
19600901 19600930    40.3
19601001 19601031     0.0
19601101 19601130     6.6
19601201 19601231     0.0
19610101 19610131    11.4
19610201 19610228     0.0
19610301 19610331     3.0
19610401 19610430    37.2
19610501 19610531     2.3
19610601 19610630     6.9
19610701 19610731     1.3
19610801 19610831     3.8
19610901 19610930     2.0
19611001 19611031     0.0
19611101 19611130    49.6
19611201 19611231    13.0
19620101 19620131    89.2
19620201 19620228     0.0
19620301 19620331    34.1
