PRCP       041024 19060101 20180131 missing_value=99999.9 DOCTORS CREEK                             
19580201 19580228   123.0
19580301 19580331   115.0
19580401 19580430    63.3
19580501 19580531     2.6
19580601 19580630   130.2
19580701 19580731     9.2
19580801 19580831    48.5
19580901 19580930    23.4
19581001 19581031    72.7
19581101 19581130    19.6
19581201 19581231    66.5
19590101 19590131   189.5
19590201 19590228   112.3
19590301 19590331    71.5
19590401 19590430    11.0
19590501 19590531    37.5
19590601 19590630    10.2
19590701 19590731    50.5
19590801 19590831     1.0
19590901 19590930    70.0
19591001 19591031   124.7
19591101 19591130   197.4
19591201 19591231   133.4
19600101 19600131    40.5
19600201 19600229   165.1
19600301 19600331    31.1
19600401 19600430     8.7
19600501 19600531     5.9
19600601 19600630    34.8
19600701 19600731    44.0
19600801 19600831    30.8
19600901 19600930     9.6
19601001 19601031    91.8
19601101 19601130   107.0
19601201 19601231    45.3
19610101 19610131    30.8
19610201 19610228    85.2
19610301 19610331     6.6
19610401 19610430    39.7
19610501 19610531    31.4
19610601 19610630    40.1
19610701 19610731    51.6
19610801 19610831    21.4
19610901 19610930    22.1
19611001 19611031    54.9
19611101 19611130   210.1
19611201 19611231   114.9
19620101 19620131    50.1
19620201 19620228    61.3
19620301 19620331    40.1
19620401 19620430    73.4
19620501 19620531    13.5
19620601 19620630    19.1
19620701 19620731    94.7
19620801 19620831    49.7
19620901 19620930    52.8
19621001 19621031    14.9
19621101 19621130    47.7
19621201 19621231    59.1
19630101 19630131    59.1
19630201 19630228    61.8
19630301 19630331   117.9
19630401 19630430    27.4
19630501 19630531    78.5
19630601 19630630    28.2
19630701 19630731     3.4
19630801 19630831    81.4
19630901 19630930    35.3
19631001 19631031    86.1
19631101 19631130    98.8
19631201 19631231   102.6
19640101 19640131    63.0
19640201 19640229   102.5
19640301 19640331    84.0
19640401 19640430    52.4
19640501 19640531    48.3
19640601 19640630    44.5
19640701 19640731    43.9
19640801 19640831    19.1
19640901 19640930    80.5
19641001 19641031    98.7
19641101 19641130    53.5
19641201 19641231    75.5
19650101 19650131    68.8
19650201 19650228     6.6
19650301 19650331    13.5
19650401 19650430    12.2
19650501 19650531    21.8
19650601 19650630    52.5
19650701 19650731   162.8
19650801 19650831    42.6
19650901 19650930    19.5
19651001 19651031    31.1
19651101 19651130    40.2
19651201 19651231   217.2
19660101 19660131    71.3
19660201 19660228   145.6
19660301 19660331   109.8
19660401 19660430    67.6
19660501 19660531     3.8
19660601 19660630    55.7
19660701 19660731    12.2
19660801 19660831   100.4
19660901 19660930    52.3
19661001 19661031    44.5
19661101 19661130    34.2
19661201 19661231   223.0
19670101 19670131    44.4
19670201 19670228    32.6
19670301 19670331   129.5
19670401 19670430    19.1
19670501 19670531    56.4
19670601 19670630   178.1
19670701 19670731     6.1
19670801 19670831    27.5
19670901 19670930     2.5
19671001 19671031    32.3
19671101 19671130    51.8
19671201 19671231    32.5
19680101 19680131   129.6
19680201 19680229    28.8
19680301 19680331    85.6
19680401 19680430    49.3
19680501 19680531    49.7
19680601 19680630    11.2
19680701 19680731    56.1
19680801 19680831    78.5
19680901 19680930    20.2
19681001 19681031     1.8
19681101 19681130    33.8
19681201 19681231    83.1
19690101 19690131    45.5
19690201 19690228    72.0
19690301 19690331   102.2
